adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,cik,name,form,fy,fp
0001324424-21-000015,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2020,20171231,0,USD,EquityComponents=RetainedEarnings;,,331000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001585689-21-000016,NetIncomeLoss,us-gaap/2020,20190930,1,USD,,,288000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,IncreaseDecreaseInAccountsPayable,us-gaap/2020,20201231,4,USD,,,-133815000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,us-gaap/2020,20201231,4,USD,,,-88000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001585689-21-000016,OperatingLeaseRightOfUseAsset,us-gaap/2020,20201231,0,USD,FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;FairValueByMeasurementFrequency=FairValueMeasurementsNonrecurring;ImpairedLongLivedAssetsHeldAndUsedByType=PropertySubjectToOperatingLease;,,52000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001075531-21-000019,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2020,20181231,4,USD,,,-40000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0000815097-21-000027,TreasuryStockValueAcquiredCostMethodAndOther,0000815097-21-000027,20191130,4,USD,,,-548000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0000884887-21-000006,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20201231,4,USD,ProductOrService=ProductAndServiceOther;,,704236000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001628280-21-002433,Revenues,us-gaap/2020,20181231,4,USD,BusinessSegments=EuropeMiddleEastAndAfricaSegment;ConsolidationItems=OperatingSegments;,,1869000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001075531-21-000019,Assets,us-gaap/2020,20201231,0,USD,,,21874000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001585689-21-000016,OperatingIncomeLoss,us-gaap/2020,20201231,4,USD,BusinessSegments=ManagementandFranchise;,,1138000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,Goodwill,us-gaap/2020,20191231,0,USD,,,1385644000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001075531-21-000019,ComprehensiveIncomeNetOfTax,us-gaap/2020,20191231,4,USD,,,4990000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,Revenues,us-gaap/2020,20201231,4,USD,ProductOrService=FeeService;,,1551000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0000884887-21-000006,IncreaseDecreaseInReceivables,us-gaap/2020,20191231,4,USD,,,9898000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0000884887-21-000006,AmortizationOfFinancingCosts,us-gaap/2020,20181231,4,USD,,,41978000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001628280-21-002433,RevenuesGrossofCapitalizedContractCostAmortization,0001628280-21-002433,20191231,4,USD,BusinessSegments=AsiaPacificSegment;ConsolidationItems=OperatingSegments;ProductOrService=FeeService;,,477000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001628280-21-002433,Revenues,us-gaap/2020,20191231,4,USD,,,20972000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001324424-21-000015,ImpairmentOfIntangibleAssetsExcludingGoodwill,us-gaap/2020,20181231,4,USD,BusinessSegments=Trivago;ConsolidationItems=OperatingSegments;,,0.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001628280-21-002433,NetCashProvidedByUsedInOperatingActivities,us-gaap/2020,20191231,4,USD,,,1685000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001628280-21-002433,NetIncomeLoss,us-gaap/2020,20181231,4,USD,,,1907000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001324424-21-000015,TreasuryStockValueAcquiredCostMethod,us-gaap/2020,20191231,4,USD,EquityComponents=TreasuryStock;RelatedPartyTransactionsByRelatedParty=LibertyExpediaHoldings;,,3212000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001585689-21-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20201231,4,USD,ProductOrService=HotelOwned;,,421000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,CommonStockDividendsPerShareDeclared,us-gaap/2020,20191231,4,USD,,,1.8500,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001558370-21-001998,NetIncomeLoss,us-gaap/2019,20191231,1,USD,,,121297000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001324424-21-000015,IncreaseDecreaseInDeferredMerchantBookings,0001324424-21-000015,20201231,4,USD,,,-2576000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001558370-21-001998,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2019,20181231,0,USD,EquityComponents=AccumulatedGainLossNetCashFlowHedgeParent;,,-157449000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001558370-21-001998,CommonStockValue,us-gaap/2019,20191231,0,USD,,,237000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001324424-21-000015,GainLossOnSaleOfDerivatives,us-gaap/2020,20191231,4,USD,,,22000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001585689-21-000016,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2020,20191231,4,USD,EquityComponents=AccumulatedTranslationAdjustment;,,-4000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001585689-21-000016,CommonStockSharesAuthorized,us-gaap/2020,20201231,0,shares,,,10000000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001558370-21-001998,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,us-gaap/2019,20201231,4,USD,,,131240000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001628280-21-002433,OperatingIncomeLoss,us-gaap/2020,20181231,4,USD,BusinessSegments=AsiaPacificSegment;ConsolidationItems=OperatingSegments;,,456000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0000884887-21-000006,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,us-gaap/2020,20191231,4,USD,,,1431000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,Assets,us-gaap/2020,20201231,0,USD,,,18690000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001324424-21-000015,AccountsPayableOtherCurrent,us-gaap/2020,20191231,0,USD,,,906000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001324424-21-000015,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2020,20200331,1,USD,,,-1301000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000884887-21-000006,IncreaseDecreaseInOtherOperatingLiabilities,us-gaap/2020,20191231,4,USD,,,96490000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,ProceedsFromIssuanceOfRedeemablePreferredStock,us-gaap/2020,20181231,4,USD,,,0.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000884887-21-000006,ProceedsFromDerivativeInstrumentInvestingActivities,us-gaap/2020,20201231,4,USD,,,15874000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001628280-21-002433,CapitalizedContractCostAmortization,us-gaap/2020,20181231,4,USD,ProductOrService=FeeService;,,58000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001628280-21-002433,DepreciationAmortizationandOtherExcludingCapitalizedContractCostAmortization,0001628280-21-002433,20181231,4,USD,ConsolidationItems=CorporateNonSegment;,,52000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001628280-21-002433,CapitalizedContractCostAmortization,us-gaap/2020,20201231,4,USD,ConsolidationItems=OperatingSegments;ProductOrService=FeeService;,,127000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001324424-21-000015,PreferredStockSharesAuthorized,us-gaap/2020,20201231,0,shares,ClassOfStock=SeriesAPreferredStock;,,100000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000884887-21-000006,IncreaseDecreaseInInventories,us-gaap/2020,20181231,4,USD,,,23849000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,EquityInstrumentsAndEmployeeStockPurchasePlanValueExercisesInPeriod,0001324424-21-000015,20181231,4,USD,,,166000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000884887-21-000006,ShareBasedCompensation,us-gaap/2020,20181231,4,USD,,,46061000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001628280-21-002433,EarningsPerShareBasic,us-gaap/2020,20181231,4,USD,,,5.4500,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001075531-21-000019,IncreaseDecreaseInAccountsReceivable,us-gaap/2020,20191231,4,USD,,,323000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,us-gaap/2020,20191231,4,USD,EquityComponents=AccumulatedTranslationAdjustment;,,35000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001585689-21-000016,ProfitLoss,us-gaap/2020,20190930,1,USD,,,290000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001324424-21-000015,ContractWithCustomerLiabilityCurrent,us-gaap/2020,20201231,0,USD,,,172000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001324424-21-000015,ProfitLoss,us-gaap/2020,20201231,4,USD,,,-2728000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000815097-21-000027,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap/2020,20201130,4,USD,,,53000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0000815097-21-000027,OperatingIncomeLoss,us-gaap/2020,20181130,4,USD,BusinessSegments=Cruise;,,-296000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001628280-21-002433,ProceedsFromIssuanceOfLongTermDebt,us-gaap/2020,20201231,4,USD,,,3561000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001324424-21-000015,InvestmentsAndOtherNoncurrentAssets,us-gaap/2020,20191231,0,USD,,,796000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000815097-21-000027,StockholdersEquity,us-gaap/2020,20201130,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-1436000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001628280-21-002433,DepreciationAmortizationandOtherExcludingCapitalizedContractCostAmortization,0001628280-21-002433,20201231,4,USD,BusinessSegments=USAndCanadaSegment;ConsolidationItems=OperatingSegments;,,209000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0000815097-21-000027,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,us-gaap/2020,20181130,4,USD,,,-199000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0000815097-21-000027,IncomeTaxExpenseBenefit,us-gaap/2020,20181130,4,USD,,,54000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001075531-21-000019,Liabilities,us-gaap/2020,20191231,0,USD,,,15469000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001585689-21-000016,EarningsPerShareBasic,us-gaap/2020,20181231,4,USD,,,2.5300,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001585689-21-000016,PreferredStockSharesIssued,us-gaap/2020,20201231,0,shares,,,0.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001324424-21-000015,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2020,20201231,4,USD,EquityComponents=AdditionalPaidInCapital;,,225000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001628280-21-002433,RevenuesGrossofCapitalizedContractCostAmortization,0001628280-21-002433,20181231,4,USD,BusinessSegments=AsiaPacificSegment;ConsolidationItems=OperatingSegments;ProductOrService=FeeService;,,479000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001558370-21-001998,IncomeTaxExpenseBenefit,us-gaap/2019,20201231,4,USD,,,12467000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001324424-21-000015,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2020,20171231,0,USD,ClassOfStock=CommonClassB;EquityComponents=CommonStock;,,0.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000815097-21-000027,ProceedsFromRepaymentsOfShortTermDebt,us-gaap/2020,20181130,4,USD,,,417000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001324424-21-000015,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20191231,4,USD,ContractWithCustomerSalesChannel=SalesChannelThroughIntermediary;MajorCustomers=AdvertisingMediaAndOtherCustomers;,,1422000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001585689-21-000016,Assets,us-gaap/2020,20201231,0,USD,ConsolidationItems=CorporateNonSegment;,,4448000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,StockIssuedDuringPeriodValueUnderEmployeeRelatedPlans,0000884887-21-000006,20181231,4,USD,EquityComponents=CommonStock;,,6000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001075531-21-000019,IncomeTaxExpenseBenefit,us-gaap/2020,20181231,4,USD,,,837000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,DepreciationAmortizationandOtherExcludingCapitalizedContractCostAmortization,0001628280-21-002433,20181231,4,USD,BusinessSegments=AsiaPacificSegment;ConsolidationItems=OperatingSegments;,,26000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0000884887-21-000006,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20191231,4,USD,,,10950661000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0000815097-21-000027,DepreciationAndAmortization,us-gaap/2020,20181130,4,USD,BusinessSegments=EuropeandAsia;,,611000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001324424-21-000015,EquityInstrumentsAndEmployeeStockPurchasePlanValueExercisesInPeriod,0001324424-21-000015,20191231,4,USD,,,301000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000815097-21-000027,AccountsPayableCurrent,us-gaap/2020,20201130,0,USD,,,624000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001585689-21-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20201231,4,USD,ConsolidationItems=IntersegmentElimination;,,-3000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap/2020,20201231,4,USD,,,641000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001585689-21-000016,ChangeInOperatingLeaseLiabilities,0001585689-21-000016,20181231,4,USD,,,0.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,CommonStockDividendsPerShareDeclared,us-gaap/2020,20200331,1,USD,,,0.7800,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,TreasuryStockActivityRelatedToVestingOfEquityInstruments,0001324424-21-000015,20191231,4,USD,,,36000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000884887-21-000006,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,us-gaap/2020,20191231,4,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-151313000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001075531-21-000019,ForeignCurrencyTransactionGainLossbeforetaxassociatedwiththeremeasurementofnonfunctionalcurrencydebt,0001075531-21-000019,20181231,4,USD,,,0.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001558370-21-001998,EarningsPerShareBasic,us-gaap/2019,20191231,4,USD,,,4.3300,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0000884887-21-000006,StockholdersEquity,us-gaap/2020,20181231,0,USD,EquityComponents=RetainedEarnings;,,10263282000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001628280-21-002433,Revenues,us-gaap/2020,20191231,4,USD,BusinessSegments=AsiaPacificSegment;ConsolidationItems=OperatingSegments;ProductOrService=OwnedLeasedandOther;,,178000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001585689-21-000016,DeferredTaxLiabilitiesDeferredExpense,us-gaap/2020,20201231,0,USD,,,649000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001585689-21-000016,IncreaseDecreaseInContractWithCustomerLiability,us-gaap/2020,20191231,4,USD,ProductOrService=GuestLoyaltyProgram;,,191000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,SellingGeneralAndAdministrativeExpense,us-gaap/2020,20191231,4,USD,,,1559253000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001075531-21-000019,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2020,20181231,4,shares,,,48017000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0000815097-21-000027,NetIncomeLoss,us-gaap/2020,20191130,4,USD,,,2990000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
