adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0001193125-10-043119,ProceedsFromStockOptionsExercised,us-gaap/2009,20071231,4,CAD,,,12000000.0000,
0001104659-10-007860,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,us-gaap/2009,20091231,4,USD,,,837000.0000,
0000950123-10-016846,PreferredStockParOrStatedValuePerShare,us-gaap/2009,20081231,0,USD,,,1.0000,
0001047469-10-001574,OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20071231,4,USD,,,9464000.0000,
0001193125-10-042883,IncomeTaxExpenseBenefit,us-gaap/2009,20071231,4,USD,,,1783000000.0000,
0001193125-10-024406,NetCashProvidedByUsedInFinancingActivities,us-gaap/2009,20081231,4,USD,,,-5202000000.0000,
0001047469-10-001604,OperatingIncomeLoss,us-gaap/2009,20071231,4,USD,,,2509000000.0000,
0000874016-10-000018,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,us-gaap/2009,20091231,4,USD,,,0.0000,
0001193125-10-040838,ProceedsFromConvertibleDebt,us-gaap/2009,20081231,4,USD,,,647046000.0000,
0000950123-10-020525,IncomeLossFromContinuingOperationsPerDilutedShare,us-gaap/2009,20091231,4,USD,,,4.1300,
0000950123-10-018180,IncomeLossFromContinuingOperationsPerDilutedShare,us-gaap/2009,20071231,4,USD,,,6.3800,
0001193125-10-036385,PensionAndOtherPostretirementBenefitContributions,us-gaap/2009,20091231,4,USD,,,1299000000.0000,
0000950123-10-018284,OtherDepreciationAndAmortization,us-gaap/2009,20071231,4,USD,,,457000000.0000,
0000059558-10-000073,FundsHeldUnderReinsuranceAgreementsLiability,us-gaap/2009,20081231,0,USD,,,2042000000.0000,
0000950123-10-016361,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxEffectPeriodIncreaseDecrease,us-gaap/2009,20071231,4,USD,,,5100000.0000,
0001031296-10-000011,InterestPaidNet,us-gaap/2009,20091231,4,USD,,,718000000.0000,
0001193125-10-042964,OilAndGasRevenue,us-gaap/2009,20081231,4,USD,,,2227581000.0000,
0001122304-10-000024,GeneralAndAdministrativeExpense,us-gaap/2009,20091231,4,USD,,,5131100000.0000,
0000950123-10-005721,DeferredRevenueCurrent,us-gaap/2009,20091231,0,USD,,,567000000.0000,
0001193125-10-030758,OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20070630,4,USD,,,73000000.0000,
0000899689-10-000004,OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20081231,4,USD,,,3251000.0000,
0001193125-10-052764,EquityMethodInvestmentDividendsOrDistributions,us-gaap/2009,20071231,4,USD,,,16000000.0000,
0001193125-10-043093,EarningsPerShareDiluted,us-gaap/2009,20091231,4,USD,,,0.5300,
0001140361-10-008295,PaymentsToAcquireProductiveAssets,us-gaap/2009,20071231,4,USD,,,-43000000.0000,
0001193125-10-045994,DividendsCash,us-gaap/2009,20081231,4,USD,,,137300000.0000,
0001193125-10-036866,EarningsPerShareDiluted,us-gaap/2009,20081231,4,USD,,,-1.7700,
0000950123-10-006821,EarningsPerShareBasic,us-gaap/2009,20091231,2,USD,,,3.1700,
0000950123-10-017377,DeferredTaxAssetsNetCurrent,us-gaap/2009,20081231,0,USD,,,211000000.0000,
0001104659-10-010697,Goodwill,us-gaap/2009,20090131,0,USD,,,1241000000.0000,
0001193125-10-020962,LiabilitiesAndStockholdersEquity,us-gaap/2009,20091231,0,USD,,,56133000000.0000,
0000065984-10-000041,IncreaseDecreaseInOtherOperatingCapitalNet,us-gaap/2009,20071231,4,USD,,,-73269000.0000,
0000950123-10-018235,InterestIncomeExpenseNet,us-gaap/2009,20081231,4,USD,,,8782000000.0000,
0001104659-10-008891,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap/2009,20081231,0,USD,,,3003000.0000,
0001193125-10-041620,CommonStockValue,us-gaap/2009,20091231,0,USD,,,3000000.0000,
0001047469-10-001362,DeferredTaxLiabilitiesCurrent,us-gaap/2009,20091231,0,USD,,,1247000000.0000,
0001193125-10-071527,IncreaseDecreaseInOtherOperatingAssets,us-gaap/2009,20100131,4,USD,,,36000000.0000,
0001193125-10-023294,CommonStockDividendsPerShareCashPaid,us-gaap/2009,20081231,4,USD,,,0.9800,
0001193125-10-039749,DeferredTaxLiabilitiesNoncurrent,us-gaap/2009,20081231,0,USD,,,744456000.0000,
0000950123-10-016846,DeferredTaxLiabilitiesNoncurrent,us-gaap/2009,20091231,0,USD,,,11521000000.0000,
0001193125-10-044592,CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap/2009,20071231,4,USD,,,331800000.0000,
0001193125-10-042425,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2009,20081231,0,USD,,,-4569000000.0000,
0000950123-10-014419,DeferredIncomeTaxesAndTaxCredits,us-gaap/2009,20081231,4,USD,,,16000000.0000,
0001193125-10-041024,NetAmountOfNoncashLeaseEarrnings,0001193125-10-041024,20081231,4,USD,LegalEntity=ParentCompany;,ParentCompany,65000000.0000,
0000950123-10-016198,TreasuryStockValueAcquiredParValueMethod,us-gaap/2009,20071231,4,USD,EquityComponents=TreasuryStock;,,-862115000.0000,
0000950123-10-016801,ProceedsFromRepaymentsOfShortTermDebt,us-gaap/2009,20091231,4,USD,BusinessSegments=SegmentFinanceGroup;,,-768000000.0000,
0001193125-10-035850,CommonStockSharesAuthorized,us-gaap/2009,20081231,0,shares,ClassOfStock=ClassCCommonStock;,,2000000000.0000,
0001336047-10-000009,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20061231,0,USD,EquityComponents=ClassBUnits;,,0.0000,
0001193125-10-041278,AccountsReceivableNet,us-gaap/2009,20081231,0,USD,Scenario=ResidentialRealEstateDeveloper;,,74000000.0000,
0001193125-10-038824,ShareOfEquityMethodInvesteeOtherComprehensiveIncomeMovements,0001193125-10-038824,20081231,4,USD,EquityComponents=AccumulatedDefinedBenefitPlansAdjustment;,,8000000.0000,
0001193125-10-025517,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2009,20071231,4,USD,EquityComponents=Parent;,,3260000.0000,
0001193125-10-034308,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20081231,4,USD,EquityComponents=Parent;,,-1457000000.0000,
0001193125-10-044488,DividendsCommonStock,us-gaap/2009,20081231,4,USD,EquityComponents=Parent;,,101100000.0000,
0001193125-10-052764,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,0,USD,EquityComponents=RetainedEarnings;,,2436000000.0000,
0000891092-10-000656,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,0,USD,EquityComponents=RetainedEarnings;,,6465400000.0000,
0001041061-10-000011,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20071231,0,USD,EquityComponents=RetainedEarnings;,,1119000000.0000,
0000950123-10-016198,CumulativeEffectOfInitialAdoptionOfNewAccountingPrinciple,us-gaap/2009,20081231,4,USD,EquityComponents=RetainedEarnings;,,-2109000.0000,
0001193125-10-043162,TreasuryStockSharesAcquired,us-gaap/2009,20071231,4,shares,EquityComponents=CommonStock;,,-38249000.0000,
0001193125-10-030774,StockholdersEquity,us-gaap/2009,20081231,0,USD,EquityComponents=CommonStock;,,315000.0000,
0000950123-10-018286,StockholdersEquity,us-gaap/2009,20071231,0,USD,EquityComponents=CommonStock;,,256889000.0000,
0001104659-10-008891,StockIssuedDuringPeriodSharesStockOptionsExercised,us-gaap/2009,20081231,4,shares,EquityComponents=CommonStock;,,260000.0000,
0001193125-10-040508,StockholdersEquityOther,us-gaap/2009,20071231,4,USD,EquityComponents=CommonStock;,,-36000000.0000,
0001004155-10-000016,StockIssuedDuringPeriodValueTreasuryStockReissued,us-gaap/2009,20081231,4,USD,EquityComponents=AdditionalPaidInCapital;,,-1000000.0000,
0001193125-10-041278,PaymentsToAcquireTimberlands,0001193125-10-041278,20091231,4,USD,Scenario=ResidentialRealEstateDeveloper;,,0.0000,
0000950123-10-013022,ProfitLoss,us-gaap/2009,20071231,4,USD,EquityComponents=ComprehensiveIncome;,,1209000000.0000,
0001193125-10-044002,ComprehensiveIncomeNetOfTax,us-gaap/2009,20091231,4,USD,EquityComponents=ComprehensiveIncome;,,-245000000.0000,
0001193125-10-040773,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,us-gaap/2009,20091231,4,USD,EquityComponents=Parent;,,6150000.0000,
0001193125-10-042929,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20081231,4,USD,EquityComponents=Parent;,,-6964000000.0000,
0000891092-10-000656,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20081231,4,USD,EquityComponents=Parent;,,322300000.0000,
0001193125-10-041024,ProceedsFromIssuanceOfLongTermDebt,us-gaap/2009,20071231,4,USD,LegalEntity=PotomacElectricPowerCo;,PotomacElectricPowerCo,250000000.0000,
0001047469-10-000766,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,4,USD,EquityComponents=NoncontrollingInterest;,,14461000.0000,
0000732717-10-000013,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,us-gaap/2009,20071231,4,USD,EquityComponents=NoncontrollingInterest;,,-205000000.0000,
0000732717-10-000013,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,us-gaap/2009,20081231,4,USD,EquityComponents=NoncontrollingInterest;,,22000000.0000,
0001193125-10-033324,CumulativeEffectOfInitialAdoptionOfFIN48,us-gaap/2009,20071231,4,USD,EquityComponents=RetainedEarnings;,,145000.0000,
0001047469-10-001666,DividendsPreferredStockCash,us-gaap/2009,20071231,4,USD,EquityComponents=RetainedEarnings;,,40000000.0000,
0001393311-10-000004,StockBasedCompensationExpenseNote10,0001393311-10-000004,20091231,4,USD,ClassOfStock=CumulativePreferredStock;EquityComponents=PreferredStock;,,0.0000,
0001193125-10-015598,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,us-gaap/2009,20081231,1,USD,EquityComponents=RetainedEarnings;,,-514000000.0000,
0000950123-10-017267,OtherComprehensiveIncomeAmortizationOfOtherPostretirementBenefitsNetPriorServiceCostRecognizedInNetPeriodicPensionCostNetOfTax,0000950123-10-017267,20091231,4,USD,EquityComponents=RetainedEarnings;,,0.0000,
0001193125-10-023280,NonoperatingIncomeExpense,us-gaap/2009,20071231,4,USD,LegalEntity=PecoEnergyCo;,PecoEnergyCo,-210000000.0000,
0000950123-10-017187,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20071231,0,USD,EquityComponents=CommonStock;,,17000000.0000,
0001193125-10-042975,StockholdersEquityOther,us-gaap/2009,20071231,4,USD,EquityComponents=AdditionalPaidInCapital;,,-18000000.0000,
0000882835-10-000009,CumulativeEffectOfInitialAdoptionOfFIN48,us-gaap/2009,20071231,4,USD,EquityComponents=AdditionalPaidInCapital;,,0.0000,
0001193125-10-026625,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20061231,0,USD,EquityComponents=CommonStock;,,596000.0000,
0001193125-10-031419,IssuancesOfCapitalStockNetOfForfeituresValue,0001193125-10-031419,20081231,4,USD,EquityComponents=CommonStock;,,72000.0000,
0000918160-10-000011,PropertyPlantAndEquipmentGross,us-gaap/2009,20081231,0,USD,,,5282100000.0000,
0000059558-10-000073,RealizedLoss,0000059558-10-000073,20071231,4,USD,,,-175000000.0000,
0000004904-10-000018,RepaymentsOfLongTermCapitalLeaseObligations,us-gaap/2009,20071231,4,USD,,,67000000.0000,
0001193125-10-042948,ProceedsFromPrincipalRepaymentsOnLoansAndLeasesHeldForInvestment,us-gaap/2009,20091231,4,USD,,,4948000000.0000,
0001193125-10-044753,GoodwillAndIntangibleAssetsNet,0001193125-10-044753,20081231,0,USD,,,123008000.0000,
0001193125-10-030603,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20061231,0,USD,,,2651000000.0000,
0001193125-10-044296,AccumulatedOtherComprehensiveIncomeLossNetUnrealizedGainLossOnSecuritiesNotOtherThanTemporarilyImpaired,0001193125-10-044296,20091231,0,USD,,,456300000.0000,
0001004980-10-000015,StockIssued,us-gaap/2009,20091231,4,USD,,,50000000.0000,
0001437749-10-000316,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2009,20091231,1,shares,,,297400000.0000,
0001437749-10-000316,ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,us-gaap/2009,20091231,1,USD,,,13200000.0000,
0001193125-10-039749,ProceedsFromPaymentsForDerivativeFinancingActivities,0001193125-10-039749,20081231,4,USD,,,-25678000.0000,
0000950123-10-015194,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2009,20071231,4,USD,EquityComponents=OwnersNetInvestment;,,59000000.0000,
0001193125-10-040520,OtherComprehensiveIncomeOtherNetOfTax,0001193125-10-040520,20081231,4,USD,EquityComponents=ComprehensiveIncome;,,-29000000.0000,
0001193125-10-040793,NetIncomeLoss,us-gaap/2009,20091231,4,USD,LegalEntity=ParentCompany;EquityComponents=RetainedEarnings;,,236000000.0000,
0001047469-10-001674,ContributionsToDistributionsFromNoncontrollingInterests,0001047469-10-001674,20081231,4,USD,EquityComponents=NoncontrollingInterest;,,14356000.0000,
0001370368-10-000015,DividendsCommonStockCash,us-gaap/2009,20091231,4,CHF,EquityComponents=NoncontrollingInterest;,,129000000.0000,
0000950123-10-016384,CumulativeEffectOfInitialAdoptionOfFIN48,us-gaap/2009,20071231,4,USD,EquityComponents=RetainedEarnings;,,-29819000.0000,
0000950123-10-016328,OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20081231,4,USD,EquityComponents=RetainedEarnings;,,0.0000,
0001193125-10-037173,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20091231,0,USD,EquityComponents=RetainedEarnings;,,13868000000.0000,
0001193125-10-030603,DividendsCash,us-gaap/2009,20071231,4,USD,EquityComponents=RetainedEarnings;,,107000000.0000,
0000950123-10-017377,StockholdersEquityOther,us-gaap/2009,20071231,4,USD,EquityComponents=AdditionalPaidInCapital;,,-4000000.0000,
0001193125-10-043048,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20061231,0,USD,EquityComponents=CommonStock;,,6000000.0000,
0000950123-10-017267,MinorityInterestIncreaseFromStockIssuance,us-gaap/2009,20081231,4,USD,EquityComponents=CommonStock;,,0.0000,
0001193125-10-038621,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2009,20091231,4,USD,EquityComponents=AdditionalPaidInCapital;,,86000000.0000,
0001193125-10-038621,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap/2009,20071231,4,USD,EquityComponents=AdditionalPaidInCapital;,,63000000.0000,
0000107815-10-000046,CommonStockValue,us-gaap/2009,20071231,0,USD,EquityComponents=StockOptionsExercisable;,,400000.0000,
0000950123-10-029845,StockIssuedDuringPeriodValueShareBasedCompensation,us-gaap/2009,20090131,4,USD,EquityComponents=AdditionalPaidInCapital;,,147858000.0000,
0000037748-10-000014,StockIssuedDuringPeriodSharesStockOptionsExercised,us-gaap/2009,20071231,4,shares,EquityComponents=CommonStock;,,299000.0000,
0000029915-10-000024,SharesAllocatedToEsopParticipants,0000029915-10-000024,20091231,4,USD,,,-34000000.0000,
0000950123-10-018235,HFILoansAtAmortizedCost,0000950123-10-018235,20081231,0,USD,,,415065000000.0000,
0001157523-10-001176,PaymentsOnReverseRepoFromBrokerDealer,0001157523-10-001176,20091231,4,USD,,,-3100827000.0000,
0001193125-10-015598,StockholdersEquity,us-gaap/2009,20081231,0,USD,,,34478000000.0000,
0000950123-10-027758,InterestOnFundsHeldForClients,0000950123-10-027758,20100228,1,USD,,,14029000.0000,
0000107815-10-000046,ProceedsFromDecommissioningFund,us-gaap/2009,20091231,4,USD,,,0.0000,
0000950123-10-001322,RestructuringReserves,0000950123-10-001322,20090831,0,USD,,,286000000.0000,
0001206774-10-000241,EarningsBeforeIncomeTaxes,0001206774-10-000241,20081231,1,USD,,,131000000.0000,
0000007332-10-000005,GasPurchasesGasDistribution,0000007332-10-000005,20091231,4,USD,,,0.0000,
0001193125-10-040826,StockIssuedDuringPeriodValueConversionOfUnits,us-gaap/2009,20071231,4,USD,,,112720000.0000,
0001193125-10-038679,ContractDrillingRevenues,0001193125-10-038679,20081231,4,USD,,,3476000000.0000,
0001104659-10-017012,FundingFromNonControllingInterests,0001104659-10-017012,20091231,4,USD,,,304000000.0000,
0001193125-10-012091,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,us-gaap/2009,20090930,4,USD,,,-18000000.0000,
0001193125-10-042577,PaymentsForRepurchaseOfCommonStock,us-gaap/2009,20081231,4,USD,,,441000000.0000,
0001193125-10-036446,PaymentsForRepurchaseOfCommonStock,us-gaap/2009,20081231,4,USD,,,0.0000,
0000950123-10-016425,IncreaseDecreaseInFairValueOfCashFlowHedgesNetOfTax,0000950123-10-016425,20071231,4,USD,,,21900000.0000,
0000950123-10-009988,ProceedsFromRepaymentsOfShortTermDebt,us-gaap/2009,20081231,1,USD,,,928000.0000,
0001193125-10-030758,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,us-gaap/2009,20090630,4,USD,EquityComponents=RetainedEarningsAndAccumulatedOtherComprehensiveIncome;,,2000000.0000,
0001193125-10-023280,InventoryNet,us-gaap/2009,20081231,0,USD,LegalEntity=CommonwealthEdisonCo;,CommonwealthEdisonCo,75000000.0000,
0001193125-10-035850,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20081231,0,USD,EquityComponents=PreferredStock;,,2000000.0000,
0001193125-10-036435,OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,us-gaap/2009,20071231,4,USD,EquityComponents=RetainedEarningsAndAccumulatedOtherComprehensiveIncome;,,0.0000,Represents an amount of less than $0.5 million.
0001047469-10-001362,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,us-gaap/2009,20081231,0,USD,OperatingActivitiesSegment=SegmentLibertyCapital;,,0.0000,
0001157523-10-001176,PreferredStockDividendsDeclared,0001157523-10-001176,20071231,4,USD,ClassOfStock=SeriesCumulativeRedeemablePreferredStock;,,1.9700,
0001193125-10-038824,StockholdersEquity,us-gaap/2009,20071231,0,USD,EquityComponents=AccumulatedTranslationAdjustment;,,496000000.0000,
0001193125-10-042974,StockRepurchasedDuringPeriodValue,us-gaap/2009,20081231,4,USD,EquityComponents=Parent;,,154178000.0000,
0001104659-10-010102,PartnersCapitalAccountUnitBasedCompensationLongTermIncentivePlans,0001104659-10-010102,20091231,4,USD,PartnerCapitalComponents=Parent;,,12000000.0000,
0001047469-10-001452,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2009,20071231,0,USD,EquityComponents=RetainedEarnings;,,1958000000.0000,
0000950123-10-018524,StockholdersEquity,us-gaap/2009,20061231,0,USD,EquityComponents=RetainedEarnings;,,183000000.0000,
0001047469-10-001536,DebtInstrumentInterestRateStatedPercentage,us-gaap/2009,20081231,0,pure,DebtInstrument=FirstMortgageBondsSeriesDueSept12038;LegalEntity=NspWisconsin;,,0.0638,
0000950123-10-017949,StockIssuedDuringPeriodValueStockOptionsExercised,us-gaap/2009,20081231,4,USD,EquityComponents=CommonStock;,,400000.0000,
0001193125-10-044876,StockIssuedDuringPeriodValueShareBasedCompensation,us-gaap/2009,20091231,4,USD,EquityComponents=CommonStock;,,31000.0000,
0001144204-10-009164,StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,us-gaap/2009,20091231,4,USD,EquityComponents=AdditionalPaidInCapital;,,138000.0000,
0000950123-10-018097,SharesIssuedNetOfSharesRepurchasedInConnectionWithEmployeeStockPlansAndOther,0000950123-10-018097,20071231,4,USD,EquityComponents=AdditionalPaidInCapital;,,-757000000.0000,
0001193125-10-036866,PaymentsOfStockIssuanceCosts,us-gaap/2009,20091231,4,USD,,,30748000.0000,
0001193125-10-043048,EarningsPerClassBShareBasicAndDiluted,0001193125-10-043048,20091231,4,USD,,,-165.0000,
0001193125-10-043450,IncreaseDecreaseInDerivativeContractAssetsAndLiabilities,0001193125-10-043450,20091231,4,USD,,,5441000000.0000,
0000950123-10-029090,StockholdersEquity,us-gaap/2009,20100228,0,USD,,,1339654000.0000,
0000950123-10-018789,TradingAccountAssets,0000950123-10-018789,20081231,4,USD,,,56000000.0000,
