fy_sentence_candidate,fy_level_pct,q3_margin_assumed_pct,nine_month_margin_pct,nine_month_margin_yoy_pts,q4_revenue_guide_mid_musd,q4_revenue_source,implied_fy_revenue_musd,implied_q4_adj_ebitda_musd,implied_q4_margin_pct,implied_q4_margin_yoy_pts
approximately 35.5%,35.5,50.1,37.67,0.57,3178.0,bridge v3 revenue forecast,14194.0,889.0,27.98,-0.32
approximately 36%,36.0,49.0,37.2,0.1,3178.0,bridge v3 revenue forecast,14194.0,1012.0,31.85,3.55
approximately 36%,36.0,49.5,37.41,0.31,3178.0,bridge v3 revenue forecast,14194.0,988.0,31.1,2.81
approximately 36%,36.0,50.1,37.67,0.57,3178.0,bridge v3 revenue forecast,14194.0,960.0,30.21,1.92
at least 36%,36.0,49.0,37.2,0.1,3178.0,bridge v3 revenue forecast,14194.0,1012.0,31.85,3.55
at least 36%,36.0,49.5,37.41,0.31,3178.0,bridge v3 revenue forecast,14194.0,988.0,31.1,2.81
at least 36%,36.0,50.1,37.67,0.57,3178.0,bridge v3 revenue forecast,14194.0,960.0,30.21,1.92
approximately 36.5%,36.5,49.0,37.2,0.1,3178.0,bridge v3 revenue forecast,14194.0,1083.0,34.08,5.79
approximately 36.5%,36.5,49.5,37.41,0.31,3178.0,bridge v3 revenue forecast,14194.0,1059.0,33.34,5.04
approximately 36.5%,36.5,50.1,37.67,0.57,3178.0,bridge v3 revenue forecast,14194.0,1031.0,32.44,4.15
