series_id,description,file_path,script_path,frequency,first_period,last_period,n_obs,pit_lag_days,target_lines,mechanism,prior_evidence,status,suggested_method
P11_peer_margin_benchmark,"10-company peer benchmark FY2021-FY2025 (ABNB, BKNG, EXPE, TRIP, UBER, DASH, META, NFLX, DUOL, SPOT): EBITDA proxy margin, SBC %, S&M %, FCF, revenue per employee",data/processed/overnight/07_peer_margin_benchmark.csv,analysis/src/overnight/07_peer_benchmark.py,annual,FY2021,FY2025,50,60,margin_total;sbc;sm_brand;pd,Peer cost mixes bound the realistic margin ceiling and give cyclical cost-flex comparators (BKNG/EXPE marketing through 2020-22).,07: BKNG 37.4% EBITDA proxy is the ceiling; ABNB SBC-adjusted FCF margin 24.6% vs BKNG 31.5%.,available,M6 cycle;M2 ts
P12_abnb_vs_bkng_annual,"ABNB vs BKNG vs EXPE FY2021-FY2025: take rate, marketing % rev, SBC %, op margin, FCF conversion, buybacks % FCF, share change",data/processed/abnb_vs_bkng_annual.csv,analysis/src/bkng_head_to_head.py,annual,FY2021,FY2025,15,60,margin_total;sbc;sm_brand;shares,Head-to-head cost structure; BKNG marketing flex in downturns is the cyclical analogue for M6.,margin-drivers s13: the 12pt GAAP op-margin gap is SBC (13.0% vs 2.3%).,available,M6 cycle
P13_quarterly_pnl_ws30,"WS30 quarterly P&L 3Q26-4Q27 by scenario: cash lines, adj. EBITDA, SBC, op income, interest income/expense, tax rate, net income, diluted shares, EPS proxy, per-unit costs",data/processed/overnight/30_quarterly_pnl.csv,analysis/src/overnight/30_margin_walk.py,scenario,3Q26,4Q27,18,0,margin_total;cor;ops;pd;sm_brand;sm_field;ga;sbc;int_inc;tax;shares,Existing quarterly forward P&L; the margin harness compares new methods against it.,"Base FY26 36.2%, FY27 36.4%; 31b base is 0.9pt lower on FY26 (brand +27% vs H2 phase-down).",available,M2 ts;M7 below-EBITDA
P14_margin_walk_ws30,"WS30 margin walk 4Q25 -> 4Q26 by scenario with FY summary, assumptions and management-language rows",data/processed/overnight/30_margin_walk.csv,analysis/src/overnight/30_margin_walk.py,scenario,4Q25,4Q26,72,0,margin_total,Quarterly walk of margin y/y by driver.,"Companion files 30_fy_summary.csv, 30_margin_assumptions.csv, 30_mgmt_language.csv.",available,M2 ts
P15_31b_line_elasticities,"31b: elasticity of each cash line to its natural driver (1Q23-2Q26 y/y logs, n 14), t, LOO range, intercept (fixed) share, per-unit trend, promote flag",data/processed/overnight/31b_line_elasticities.csv,analysis/src/overnight/31b_operating_profile.py,parameter,1Q23,2Q26,34,0,cor;ops;pd;sm_brand;sm_field;ga,The current M1 parameter set: CoR-GBV 1.01 (promoted); ops-nights 1.39 LOO 0.41-1.66 (imposed 1.0); four discretionary lines imposed 0.,"Only CoR passes the promotion rule (n>=12, |t|>2, LOO range <0.6, admissible sign). Fixed shares G&A 61%, PD 32%, ops 19%, CoR 1%.",available,M1 driver
P16_31b_decomposition_annual,"31b annual margin decomposition FY2019-FY2025 and 1H26: unit-cost vs revenue-per-night effects, ADR split into regional mix / size mix / FX / LOS / price, nights leverage vs per-unit decisions",data/processed/overnight/31b_margin_decomposition_annual.csv,analysis/src/overnight/31b_operating_profile.py,annual,FY2019,1H2026,182,50,margin_total;cor;ops;pd;sm_brand;sm_field;ga;rev_drivers,Attributes every historical margin move; regional mix drag (-0.5 to -0.7pt/yr) is its own line.,"FY19->22 +39.8pt of which revenue/night +30.0; FY22->25 +0.5pt; 1H26 support +0.4, brand -3.2.",available,M1 driver;M6 cycle
P17_31b_overlay_parameters,"31b overlay table: per line x year x profile (historical / management / base) target, trend, overlay, judgement flag, management confidence and 31a statement IDs",data/processed/overnight/31b_overlay_parameters.csv,analysis/src/overnight/31b_operating_profile.py,parameter,FY2026E,FY2028E,54,0,cor;ops;pd;sm_brand;sm_field;ga;addbacks,Single place the forward cost assumptions live; M1/M3 read management vs base values from here.,Management silent on 5 of 6 lines for FY28; expansion-market count NOT DISCLOSED; brand fixed share -2% (unidentified).,available,M1 driver;M3 guide
P18_31b_forward_by_profile,"31b forward margin by profile x scenario x line, quarterly 3Q26-4Q27 and annual FY26-FY28; plus 31b_margin_bridge_fy26_fy28.csv and 31b_sensitivities.csv",data/processed/overnight/31b_forward_margin_by_profile.csv,analysis/src/overnight/31b_operating_profile.py,scenario,3Q26,FY2028E,1107,0,margin_total;cor;ops;pd;sm_brand;sm_field;ga,Comparison column for every stage-2 method (historical 34.6 / management 37.4 / base 36.9 at FY28).,Sensitivities FY28: support -10% +0.84; brand +5pt -0.66; take +10bp +0.47; ADR ex-FX +1pt +0.42; nights +1pt +0.34; mix 1pt NA->LatAm/APAC -0.33.,available,M1 driver;M6 cycle
P19_historicals_workbook,"model/ABNB_historicals.xlsx: quarterly historicals, regressions and guidance-vs-move sheets (openpyxl on py -3.13)",model/ABNB_historicals.xlsx,analysis/src/abnb_historicals_workbook.py,workbook,1Q21,2Q26,,40,margin_total;rev_drivers,Workbook mirror of the historic panel for the pitch model.,Built 7 Sep; carries earnings regressions.,available,M2 ts
P20_driver_model_workbook,"model/ABNB_driver_model.xlsx (9 sheets, 2,353 formulas): regional nights x ADR x FX x take rate to adj. EBITDA, GAAP, FCF, share count, valuation; mirrored by 13_driver_model.py",model/ABNB_driver_model.xlsx,analysis/src/overnight/13_driver_model.py,workbook,3Q26,FY2028E,,0,margin_total;sbc;da;int_inc;tax;shares;fcf_timing;capex,The existing full P&L-to-FCF model; the margin model must reconcile to or replace its cost stack.,"Outputs in 13_model_quarterly.csv / 13_model_annual.csv (base FY27 margin 35.9%, FCF conv 95%).",available,M7 below-EBITDA
P21_model_annual_ws13,"13_model_annual.csv: scenario x year FY2026-FY2028 full P&L (cash lines, SBC, D&A, GAAP op income, interest, tax rate, net income, EPS, cash taxes, unearned-fee change, capex, FCF, share count)",data/processed/overnight/13_model_annual.csv,analysis/src/overnight/13_driver_model.py,scenario,FY2026,FY2028,9,0,margin_total;sbc;da;int_inc;tax;shares;fcf_timing;capex,"Below-EBITDA assumptions currently in the house model (cash taxes, RSU withholding, buybacks $4.2B).",Companion 13_model_quarterly.csv (3Q26-4Q27).,available,M7 below-EBITDA
B01_fcf_bridge,"Adj. EBITDA -> CFO -> FCF bridge 1Q21-2Q26 + FY21-FY25: interest income, interest expense, tax provision, other income/expense, change in unearned fees, residual, capex, unearned fees and funds payable balances, cash taxes (10-K memo), source letter",data/processed/abnb_fcf_bridge.csv,analysis/src/abnb_fcf_bridge.py,quarterly,1Q21,2Q26,27,40,int_inc;other_inc;tax;fcf_timing;capex;da;sbc,Every below-EBITDA item from the letters; CFO - capex ties to letter FCF in all 22 quarters.,"margin-drivers s12: TTM FCF margin 44.2% (3Q23) -> 36.7% (2Q26) entirely below EBITDA: taxes, RNPL float, interest income.",available,M7 below-EBITDA
B02_capital_return_quarterly,"SBC, buybacks, RSU tax withholding, CFO, capex, FCF, diluted and basic weighted shares, net cash return, FCF per share 1Q21-2Q26 (XBRL YTD differenced; letters from 1Q23)",data/processed/abnb_capital_return_quarterly.csv,analysis/src/capital_return_panel.py,quarterly,1Q21,2Q26,22,42,sbc;shares;fcf_timing,"Share-count path = f(buyback $, price, SBC issuance, RSU withholding); EPS denominator.",capital-return note: diluted count -4.6% y/y at 2Q26; $1.4B per 1% of count; buybacks stepped $0.5B -> $0.75B -> $1.0-1.1B/quarter.,available,M7 below-EBITDA
B03_capital_return_scorecard,"Peer cannibal scorecard FY2021-FY2025 (ABNB, BKNG, EXPE, META, NFLX, UBER, DASH): SBC % rev/FCF, buybacks % FCF, net return, share change",data/processed/capital_return_scorecard_annual.csv,analysis/src/capital_return_panel.py,annual,FY2021,FY2025,42,60,sbc;shares,Benchmarks the SBC ratio path and buyback conversion.,ABNB heaviest SBC load in the set (13.1% of revenue FY25).,available,M7 below-EBITDA
B04_backlog_indicators,"Quarter-end unearned fees and funds held for clients (XBRL) with y/y, next-quarter revenue, pre-RNPL OLS fit and RNPL gap",data/processed/abnb_backlog_indicators.csv,analysis/src/abnb_eu_platform_and_backlog.py,quarterly,4Q20,2Q26,23,42,fcf_timing;int_inc;rev_drivers,Unearned fees change is the float term in CFO; funds held x short rates is the interest-income base.,WS08/20: unearned fees R2 0.96 in-sample but walk-forward 1.85x AR(1) (kill list: not a forecast); RNPL switched the float off (2Q26 -0.9% y/y vs revenue +16.5%).,available,M7 below-EBITDA;M4 alt
B05_qog_cash_reality,"RNPL short-audit cash-reality panel 1Q21-2Q26: revenue, adj. EBITDA, SBC, CFO, capex, FCF, unearned fees, funds payable, cash, ST investments, restricted cash, interest income, FCF ex-float, FCF less SBC, customer float, interest-earning balances, implied annualised yield",data/processed/rnpl_short_audit/qog_cash_reality_quarterly.csv,analysis/src/rnpl_short_audit/,quarterly,1Q21,2Q26,22,42,int_inc;fcf_timing;sbc,Implied yield on interest-earning balances (interest income / avg balances) is the M7 interest-income model; customer float split shows the RNPL drag.,Built for the RNPL short audit (docs/rnpl-short-audit); interest yield series not yet tested against T-bill rates.,available,M7 below-EBITDA
B06_tracker_backlog_rebuild,"Lane 1 tracker-backlog rebuild: unearned fees and funds held with RNPL-era flags, coverage ratios, circularity verdict (do not use restated unearned fees as a feature)",data/processed/forecast_methods/tracker_backlog/01_backlog_rebuild.csv,analysis/src/forecast_methods/tracker_backlog/,quarterly,4Q20,2Q26,23,42,fcf_timing,Same stocks as B04 with the harness-registered walk-forward gate results.,Gate G1 walk-forward summary in 03_gate_g1_walkforward_summary.csv; restated unearned fees are on the kill list (circular).,available,M7 below-EBITDA
B07_fx_hedge_disclosures,"10-Q/10-K derivative notes 1Q23-2Q26: designated/non-designated notional, AOCI, realised hedge gains reclassified to revenue (pp on growth), expected next-12M reclass, gross FX ex hedge; plus 28_fx_hedge_tests.csv and 28_fx_hedge_forward.csv",data/processed/overnight/28_fx_hedge_disclosures.csv,analysis/src/overnight/28_fx_hedge_disclosures.py,quarterly,1Q23,2Q26,14,45,rev_drivers;other_inc,Non-designated hedge remeasurement lands in other income (expense); designated hedges shape reported revenue FX (and so margin via 84% flow-through).,28: lag fits of hedge effect; forward drag from the next-12M disclosure. Balance-sheet FX: 10% adverse move ~$38M in other income (margin-drivers s14).,available,M7 below-EBITDA;M1 driver
B08_multiples_monthly,"Monthly point-in-time ABNB multiples on last-reported LTM (price, diluted shares, EV, LTM revenue/EBITDA/FCF/SBC-adj FCF/net income, NTM proxies)",data/processed/overnight/12_abnb_multiples_monthly.csv,analysis/src/overnight/12_abnb_multiples_history.py,monthly,2021-02-28,2026-09-04,68,1,shares;sbc,Share price path sets buyback share retirement per $ and the grant-date value of SBC.,WS12: margin moves the multiple zero (t 0.3); growth +0.48 turns per pt.,available,M7 below-EBITDA
B09_prices_daily,"Daily closes ABNB and 19 tickers/factors (QQQ, SPY, BKNG, EXPE, MAR, HLT, ^TNX, ^VIX ...) Dec 2020-Sep 2026",data/processed/overnight/09_prices_daily.csv,analysis/src/overnight/09_stock_behaviour.py,daily,2020-12-01,2026-09-04,1448,0,shares;sbc,Average price per quarter converts buyback dollars to shares; ^TNX is a rates proxy for interest income.,"Also data/processed/abnb_daily_close.csv (1,440 sessions).",available,M7 below-EBITDA
B10_reverse_dcf_mgmt_inputs,"Management-implied model inputs by scenario x quarter (3Q26-4Q27): nights, ADR, FX, take-rate, SBC growth, D&A %, interest income/expense, tax rate, buyback $, buyback price, RSU net, FCF conversion, margin change",data/processed/reverse_dcf/mgmt_implied_inputs.csv,analysis/src/reverse_dcf/,scenario,3Q26,4Q27,18,0,sbc;da;int_inc;tax;shares;fcf_timing;margin_total,The 12-13 Sep management-implied and market-implied below-EBITDA assumption sets (Street FY27 = guide + cushion).,docs/reverse_dcf/SYNTHESIS.md: $182 mid target vs $170 spot; market-implied cases in reverse_dcf/market/.,available,M7 below-EBITDA;M5 street
B11_options_ledger,"ABNB options ledger (Yahoo chains, runs 5-6 Sep 2026): ATM IV, straddles, skew, event classification (estimator withdrawn A08)",data/processed/abnb_options_ledger.csv,analysis/src/abnb_options_ledger.py,snapshot,2026-09-05,2026-09-06,83,0,sbc,Implied vol is an input to the Black-Scholes value of option grants (minor; RSUs dominate ABNB SBC).,Kill list: no event-implied move until the 6 Nov weekly lists.,available,M7 below-EBITDA
G01_guidance_ledger,"194 guidance statements from all 23 letters (159 scoreable): metric, type (range/floor/point/ceiling/qualitative), values, actual, outcome, cushion, quote; incl. adj_ebitda_margin_pct rows",data/processed/overnight/02_guidance_ledger.csv,analysis/src/overnight/02_guidance_ledger.py,event,4Q20,2Q26,194,0,margin_total;guide;rev_drivers,The margin guide (floor/ceiling/point) is the M3 object; the ledger gives every historical pairing of guide and actual.,"31a corrections: letter-sourced, so the FY24 flat-marketing and FY25 +20bp take-rate call guides are missing (S071/S072/S110 in 31a).",available,M3 guide
G02_guidance_accuracy,"Guidance hit/beat/miss statistics by metric x guide type (n, mean/median distance from mid)",data/processed/overnight/02_guidance_accuracy.csv,analysis/src/overnight/02_guidance_ledger.py,summary,4Q20,2Q26,57,0,margin_total;guide,Base rates for the floor-cushion model.,Mean cushion on the seven FY floor rows 1.51pt (31a).,available,M3 guide
G03_fy_guide_revisions,"Every FY guide by print (revenue, margin, SBC, take rate ...) with revisions and the eventual actual",data/processed/overnight/02_fy_guide_revisions.csv,analysis/src/overnight/02_guidance_ledger.py,event,4Q20,2Q26,47,0,margin_total;guide;sbc,February floor -> November point pattern; the raise/hold decision is the 5 Nov language object.,"Floor beats FY24 +140bp, FY25 +60bp (31a corrects the 60-180bp claim).",available,M3 guide
G04_guidance_cushion_series,Revenue guide ranges vs actual 4Q21-3Q26 with walk-forward cushion,data/processed/overnight/02_guidance_cushion_series.csv,analysis/src/overnight/02_guidance_ledger.py,quarterly,3Q21,1Q26,19,0,guide;rev_drivers,Revenue surprise vs guide feeds incremental margin (M5 flow-through).,19 of 19 above midpoint; trailing-8 median cushion +1.79%.,available,M3 guide;M5 street
G05_disclosure_changes,"Ledger of metric definition and disclosure changes (rename to Nights and Seats 2Q25, regional buckets from 4Q24, FY margin floor from 4Q23, hedging language from 2Q25, ...)",data/processed/overnight/02_disclosure_changes.csv,analysis/src/overnight/02_guidance_ledger.py,event,4Q20,2Q26,23,0,guide;rev_drivers,Tells the harness when a series changes basis (needed for PIT refits).,23 rows.,available,M3 guide
G06_31a_mgmt_statements,"194 verified management margin/cost statements 4Q20-2Q26 (letters, calls, 5 conferences): cost line, horizon, quantified, implied direction, verdict kept/partly/missed",data/processed/overnight/31a_mgmt_margin_statements.csv,analysis/src/overnight/31a_mgmt_margin_statements.py,event,2021-02-25,2026-08-06,194,0,margin_total;cor;ops;pd;sm_brand;sm_field;ga;sbc;tax;guide,Line-level management guidance and its reliability (total margin 91% kept n 43; brand 63% n 35; take rate 59% n 17; SBC 40% n 5).,Only quantified forward cost number is support cost per booking -10%/-16%; FY27/28 silent. WS05 extends to conferences and filings.,available,M3 guide
G07_31a_implied_profile,31a management-implied cost profile: 9 lines x FY2026/27/28 with confidence and mgmt_silent flags; plus 31a_margin_algorithm_quotes.csv (25 quotes),data/processed/overnight/31a_mgmt_implied_profile.csv,analysis/src/overnight/31a_mgmt_margin_statements.py,parameter,FY2026,FY2028,30,0,cor;ops;pd;sm_brand;sm_field;ga;sbc;tax,Qualitative trajectory per line from statements; the management profile in 31b.,12 of 30 rows mgmt_silent.,available,M3 guide
G08_mgmt_language_ws30,"WS30 management margin-language table (floor wording, beats)",data/processed/overnight/30_mgmt_language.csv,analysis/src/overnight/30_margin_walk.py,event,4Q23,2Q26,8,0,guide;margin_total,Historical wording of the FY guide by print (floor/point).,Says 60-140bp (consistent with 31a).,available,M3 guide
G09_call_features,"132 language features per earnings call (tone, hedging, numbers per 1k words, theme shares incl. margins/profitability and marketing, CEO/CFO share)",data/processed/overnight/03_call_features.csv,analysis/src/overnight/03_call_features.py,quarterly,2020Q4,2026Q2,23,0,guide;margin_total;sm_brand,Marketing and margin theme intensity on the call could lead spend decisions; tone as a cost-discipline signal.,"WS03: 948 tests vs the stock, zero survive BH; never tested against cost lines.",available,M4 alt;M3 guide
G10_credibility_scorecard,83 management claims scored for credibility by theme/speaker/horizon (03_forward_claims.csv has the claims),data/processed/overnight/03_credibility_scorecard.csv,analysis/src/overnight/03_call_features.py,summary,4Q20,2Q26,30,0,guide,Discount factor for speaker/horizon when translating statements to cost assumptions.,"Chesky 42%, multi-year 26%.",available,M3 guide
G11_call_topics,23 calls x 14 topics: keyword mentions per 1k words by prepared remarks / management Q&A / analyst questions,data/processed/abnb_call_topics.csv,analysis/src/transcript_analytics.py,quarterly,2020Q4,2026Q2,322,0,guide;sm_brand;margin_total,Analyst pressure on margin/marketing (asked 2.8x prepared rate) as a guide-language predictor.,transcript-analytics note; untested vs costs.,available,M4 alt;M3 guide
G12_declined_to_quantify,"37 hand-verified instances where management declined a number (Experiences/hotels economics, AI spend, long-term margin never sized)",data/processed/abnb_declined_to_quantify.csv,analysis/src/transcript_analytics.py,event,4Q20,2Q26,37,0,guide;pd;sm_field;cor,"Maps the unsized items in the FY26 P&L (AI spend, new-business field investment, incentive drag).",4 of the 37 matter for margins (07/31a).,available,M3 guide
G13_consensus_at_print_merged,"Consensus at all 23 prints (145 sourced press/vendor quotes): revenue 23/23, EPS 17/23, adj. EBITDA 8/23, nights, GBV, next-Q revenue; reactions",data/processed/overnight/16_consensus_at_print_merged.csv,analysis/src/overnight/16_merge_and_rerun.py,quarterly,2020Q4,2026Q2,23,0,margin_total;guide,Street EBITDA/EPS surprise history for M5 (bias) and the comparison column; only 8 EBITDA points so WS03 must rebuild from LSEG.,"Vendors spliced (LSEG, Refinitiv, StreetAccount, Zacks); keep the vendor column.",available,M5 street
G14_L0_vintage_register,"Frozen L0 consensus vintage register: vendor + timestamp per value at guide/print dates (append-only, dated backup first)",data/processed/forecast_methods/L0/L0_vintage_register.csv,analysis/src/forecast_methods/L0/,event,2023Q1,2026Q3,167,0,guide;margin_total,Point-in-time consensus spine; WS03 writes an append-candidate file in this schema.,Frozen; 167 rows incl. comment header.,available,M5 street
G15_harness_targets_calendar,"Frozen forecast-harness targets (revenue, GBV, nights, ADR, take rate, FX pts, guide, Street) and calendar (print/guide/letter/reaction dates, W1/W2 windows)",data/processed/forecast_methods/harness/targets.csv,analysis/src/forecast_methods/harness/,quarterly,2020Q3,2026Q3,25,0,guide;rev_drivers,The margin harness imports this calendar and validator; margin targets are NOT in targets.csv (WS10 adds them).,harness/README.md FORMAT 1.0; calendar.csv 25 rows 2020Q3-2026Q3.,available,M2 ts;M5 street
G16_current_consensus,"Current Street snapshot 3-4 Sep 2026 (Q3/Q4/FY26/FY27 revenue, EPS) and 04_consensus_sources.csv",data/processed/overnight/04_current_consensus.csv,analysis/src/overnight/04_consensus_at_print.py,snapshot,2026-09-03,2026-09-04,16,0,guide;margin_total,Street comparison column for the 5 Nov card.,"Q3 revenue $4,740M, EPS $2.87, Q4 $3,200M.",available,M5 street
G17_analyst_targets,31 live sell-side targets (1 Sep 2026) with implied FY27 EV/EBITDA and P/SBC-adj FCF; 09_analyst_actions.csv has 466 actions,data/processed/overnight/12_analyst_targets.csv,analysis/src/overnight/12_exit_multiples_and_targets.py,snapshot,2025-10-23,2026-09-01,34,0,margin_total,Implied Street EBITDA per target; comparison only.,Every Buy is an EBITDA lens; every Sell a cash-after-SBC lens.,available,M5 street
G18_print_features_pred04,"22 prints x 47 features: revenue beat, nights/GBV acceleration, margin vs bound, S&M deleverage, ops per night y/y, SBC ratio change, guide actions, 1/5/20-day excess",data/processed/predictive/04_print_features.csv,analysis/src/predictive/04_reaction_function.py,quarterly,2021Q1,2026Q2,22,0,margin_total;sm_brand;ops;sbc;guide,Feature set already aligned to prints; the lagged S&M deleverage feature is the one pre-print margin predictor.,"Prior-quarter S&M deleverage vs next margin surprise r -0.62 (p 0.017, n 14), LOO RMSE 2.61 vs 2.79 guide, 3.03 naive-last. Ops per night lag, take-rate lag, SBC lag, CPI lodging all fail LOO.",available,M2 ts;M4 alt
G19_margin_predictability,"Margin-surprise predictability results (66 tests) and quarter table 1Q23-2Q26 (guide type/bound, surprise, S&M deleverage, LOO forecasts)",data/processed/predictive/04_margin_predictability.csv,analysis/src/predictive/04_margin_predictability.py,summary,1Q23,2Q26,80,0,margin_total;guide,"The existing margin-surprise test bed; WS10 baselines should reproduce its RMSEs (guide 2.79, naive-last 3.03, mean 2.97).","Directional margin guide held 13 of 14 since 1Q23; floors beaten +1.3 to +6.3, ceilings undershot -0.5 to -2.5 (8 of 9). Companion 04_margin_predictability_quarters.csv.",available,M2 ts;M3 guide
G20_print_base_rates,"Per-print beat, guide direction, margin met, FY floor action, 1/5/20-day excess with permutation/Fisher base rates",data/processed/predictive/01_print_base_rates.csv,analysis/src/predictive/01_print_base_rates.py,quarterly,2020Q4,2026Q2,23,0,guide;margin_total,Base rates for floor raise/hold at each print type.,FY floor raised at 3 of last 4 prints.,available,M3 guide
G21_earnings_reactions,"1/5/20-session ABNB, QQQ and excess returns for all 23 prints; plus abnb_earnings_regressions.csv and abnb_guidance_reaction_results.csv (surprise regressions, descriptive)",data/processed/abnb_earnings_reactions.csv,analysis/src/abnb_from_theo_guidance.py,quarterly,2020Q4,2026Q2,23,1,guide,Only for the reaction card; margin surprises do not move the stock alone (predictive/04).,Margin met + nights accel +5.0% (6/7); met + decel -2.1% (2/11).,available,M3 guide
