gap_id,input,target_lines,mechanism,suggested_source,url_pattern_or_field,reachability,frequency,history,pit_note,priority,ws04_action
GAP11,Cloud / hosting price indices and AWS price announcements; contracted hosting obligations by year,cor,Third-party data-center cost sits in CoR; server costs +$15M 1H26 on reserved-instance amortisation; hosting commitment $1.7B through 2031 (~$280M/yr vs ~$220M).,"10-K Note 13 (in repo, annual); AWS price-change announcements (aws.amazon.com/blogs/aws/category/price-reduction via Wayback); Cloud price indices (none official); 10-Q commitments updates",http://web.archive.org/cdx/search/cdx?url=aws.amazon.com/blogs/aws/category/price-reduction*&from=2019&output=json ; 10-K Note 13 'data hosting' sentences in data/raw/filings/txt,archives / EDGAR,annual + event,FY2022+,10-K filing date,2,Table of hosting commitment by year from Note 13 (6 10-Ks); annual step in CoR ex-payments (07 cor_cash_ex_payments_musd)
GAP12,AirCover / host-protection claims and insurance premium proxies,ops;cor,Ops & support includes 'customer relations costs ... expenses associated with our host protection programs' and insurance premiums (+$14M FY25 'as a result of higher nights booked'); no public claims data.,10-K MD&A insurance deltas (in repo); insurer/captive filings not public; news counts (LSEG) for AirCover payouts; nothing else reachable,data/raw/filings/txt (grep 'insurance'); LSEG ld.news headlines query 'Airbnb AirCover',EDGAR / LSEG news / not reachable for claims,annual,FY2021+,10-K date,3,Log as not reachable beyond MD&A deltas; carry insurance as % of nights from 07
GAP13,Chargeback and fraud loss series,cor,10-K FY2025: 'total chargeback expense was $67 million'; merchant fees + chargebacks 1.82% of GBV; RNPL and cancellation changes raise chargeback exposure.,10-K text FY2021-FY2025 (chargeback sentence each year); Visa/Mastercard chargeback-ratio programme thresholds,grep 'chargeback' in data/raw/filings/txt/*.txt,EDGAR,annual,FY2020+,10-K date,2,Extract annual chargeback $ and % GBV; test 2025-26 step vs RNPL share
GAP14,"Marketing spend trackers: Meta Ad Library (EU transparency), Google Ads Transparency Center, TV ad-spend press (iSpot, MediaRadar quotes), app-install rank history",sm_brand,"Brand + performance marketing is the least-guided, most-missed line (63% kept); outside reads of media flighting would date the Q1 campaign and the 2026 ramp.","Meta Ad Library report (EU DSA transparency: advertiser 'Airbnb' spend ranges) via https://www.facebook.com/ads/library/report/ ; Google Ads Transparency Center (no spend, creative counts); iSpot.tv public estimated TV spend pages via Wayback; AppFigures/SensorTower free rank pages via Wayback",https://www.facebook.com/ads/library/report/?country=ALL ; https://adstransparency.google.com/advertiser/<id> ; http://web.archive.org/cdx/search/cdx?url=ispot.tv/brands/*/airbnb&from=2019&output=json,third_party_public / archives (partial),monthly / daily,"2019+ (iSpot), 2023+ (DSA)",Capture/report dates; Meta ranges are coarse,2,"Try each; log reachability; where a series exists, test y/y vs brand+perf cash y/y (n 18 quarters)"
GAP15,Google Trends re-pull with pull-date stamp (branded search per marketing $),sm_brand,Repo has 08_trends_weekly (not PIT); a fresh weekly capture with the pull date stamped is the insurance series; search y/y per brand-spend y/y is a marketing-efficiency read.,"pytrends (py -3.13): 'airbnb', 'vrbo', 'booking.com', 'hotels' worldwide and US/GB/DE/FR/BR/JP/AU, monthly 2019-2026","pytrends TrendReq().build_payload(kw_list, timeframe='2019-01-01 2026-09-13', geo=...)",third_party_public,weekly/monthly,2004+,NOT point-in-time (renormalised per pull); stamp pull date,3,"Pull, stamp, test vs S&M cash growth (never done: WS08 tested only nights)"
GAP16,"Sponsorship and campaign calendar (IOC TOP partner 2021-2028, Paris 2024, Milan-Cortina 2026, LA 2028; FIFA 2026; Super Bowl-period campaigns)",sm_brand,"Brand marketing has a fixed multi-year component (Olympic partnership reported ~$500M over 9 years) and event-quarter spikes (3Q24 Paris, 1Q26 Milan-Cortina) that explain seasonality residuals.","Press (IOC announcement Nov 2019, Airbnb newsroom via archives), 10-K commitments; dated table hand-built",https://olympics.com/ioc/news/ioc-and-airbnb-announce-major-global-olympic-partnership ; Wayback of news.airbnb.com posts,third_party_public / archives,event,2019+,Announcement dates,2,Build a dated campaign/sponsorship table with quarter dummies for M4
GAP17,Effective-tax-rate reconciliation and cash-tax schedule,tax,ETR guided 'high teens' (OBBBA); cash taxes $232M FY25 vs $626M provision as released deferred tax assets are used; FCF loses 2-3pt of revenue as they converge.,"10-K income-tax note (rate reconciliation, DTA balances, NOLs) FY2020-FY2025 in data/raw/filings/txt; XBRL tags IncomeTaxExpenseBenefit, CurrentIncomeTaxExpenseBenefit, DeferredIncomeTaxExpenseBenefit, DeferredTaxAssetsNet, IncomeTaxesPaidNet",grep 'effective tax rate' / 'deferred tax assets' in data/raw/filings/txt/*.txt; companyfacts tags above,EDGAR (repo),annual (quarterly tags),FY2020+,10-K date,1,Extract rate reconciliation table by year; DTA run-down schedule; supply ETR and cash-tax path to M7
GAP18,"Period-end shares outstanding, buyback cadence by month, RSU vesting schedule",shares;sbc,EPS uses weighted diluted shares; period-end (dei:EntityCommonStockSharesOutstanding on the 10-Q cover) plus the monthly repurchase table and unvested RSU count (10-K equity note) give a forward count path.,"XBRL dei tag (in companyfacts JSON, repo); 10-Q Item 2 monthly repurchase table (GAP06); 10-K stock-comp note: unvested RSUs, weighted grant value, unrecognised SBC and weighted period",data/raw/xbrl/ABNB_companyfacts.json -> facts.dei.EntityCommonStockSharesOutstanding ; 10-K note 'Unrecognized stock-based compensation',EDGAR (repo + GAP06),quarterly,4Q20+,Cover date ~ filing date,1,Build count path: shares_end(t) = shares_end(t-1) - buyback$/avg price + RSU vests - withheld; unrecognised SBC gives 12-month-forward SBC floor
GAP19,"Lodging-tax and non-income-tax reserves, fines and settlements ledger",ga,"G&A includes 'indirect taxes, including lodging tax reserves'; FY23 G&A distorted +1,160bp by Italian reserves; 1H26 G&A -$38M non-income taxes; Spain EUR64M fine 2026.",10-K/10-Q 'reserves for lodging taxes' and contingencies notes (repo 10-Ks + GAP06); LSEG news for fines; regulatory SQLite events,grep 'lodging tax' 'reserve' 'settlement' in data/raw/filings/txt; abnb_regulatory_events.csv,EDGAR / repo / LSEG news,event,FY2020+,Filing / announcement date,2,Dated one-off ledger with $ and line; strip from G&A to get underlying payroll trend
GAP20,"Restructuring / other add-back history and forward D&A schedule (capitalised software, acquired intangibles)",da;addbacks,D&A ~0.7% of revenue; amortisation of internally developed software sits in CoR; add-backs 0.9%; no restructuring since 2020.,"XBRL DepreciationDepletionAndAmortization, CapitalizedComputerSoftwareAmortization1, RestructuringCharges; 10-K property note",data/raw/xbrl/ABNB_companyfacts.json,EDGAR (repo),quarterly,2019+,Filing date,3,Extract; hold D&A % revenue with capex 0.3%
GAP21,"Consensus for cost lines, EBITDA, EPS, FCF by date (LSEG) and EBITDA-margin surprise history",margin_total;guide,Only 8 of 23 prints have EBITDA consensus in the repo; M5 needs Street EBITDA at each guide date and print date.,"LSEG desktop session (brief snippet): TR.EBITDAMean/.date/.periodenddate, TR.EPSMean, TR.FCFMean, TR.SGAExpMean, TR.RDExpMean, TR.COGSMean; Period FQ1-FQ4, FY1-FY3","ld.get_data('ABNB.O', ['TR.EBITDAMean','TR.EBITDAMean.date','TR.EBITDAMean.periodenddate'], {'SDate':'2021-01-01','EDate':'2026-09-13','Frq':'D','Period':'FQ1'})",LSEG,daily,2021+,Observation date = PIT,1,WS03 owns this; WS04 only if WS03 fails
GAP22,Layoff / WARN notices and hiring-freeze events,pd;ga;ops;sbc,Headcount step changes (May 2020 -25%) and hiring pauses are visible in California EDD WARN filings and layoffs.fyi before the 10-K headcount.,"California EDD WARN report (public xlsx), layoffs.fyi (public sheet via Wayback)",https://edd.ca.gov/en/jobs_and_training/Layoff_Services_WARN/ (WARN report xlsx) ; http://web.archive.org/cdx/search/cdx?url=layoffs.fyi&from=2020&output=json,third_party_public / archives,event,2020+,Notice date,3,Pull; dated dummies (only 2020 expected for ABNB)
GAP23,Similarweb free-tier airbnb.com monthly visits and channel mix (direct vs paid),sm_brand,'~90% of traffic direct or unpaid' is management's efficiency claim; a paid-channel share series tests performance-marketing intensity.,"similarweb.com/website/airbnb.com free tile (3-month aggregate, top channels) captured monthly; Wayback for history",https://www.similarweb.com/website/airbnb.com/ ; http://web.archive.org/cdx/search/cdx?url=similarweb.com/website/airbnb.com*&from=2020&output=json,third_party_public / archives,monthly,2020+ (captures sparse),Capture date,3,Capture now and via Wayback; paid share x visits vs brand+perf cash (n small)
GAP24,"Third-party support-provider and BPO cost indices (Philippines/India BPO wage, Teleperformance/Concentrix pricing commentary)",ops,"'The vast majority of our community support is performed by third-party service providers' (13,000 workers FY25); BPO wage inflation and the AI-deflection substitution set ops cost per contact.","Teleperformance / Concentrix / TaskUs quarterly reports (EDGAR for TaskUs CIK 1829864, Concentrix CIK 1803599: revenue per employee, pricing commentary); Philippines BSP wage data",https://data.sec.gov/api/xbrl/companyfacts/CIK0001829864.json ; CIK0001803599.json,EDGAR,quarterly,2020+,Filing date,3,Pull BPO peer revenue/headcount as a unit-cost index; low priority
GAP25,ALFRED vintages for rates and CPI used in any PIT refit,int_inc;ga,Macro inputs must be the vintage known at the guide date; FRED cache is latest-vintage.,ALFRED,https://alfred.stlouisfed.org/series/downloaddata?seid=DTB3 ; https://api.stlouisfed.org/fred/series/observations?series_id=CPIAUCSL&realtime_start=YYYY-MM-DD (needs free key),FRED/ALFRED,as source,1950+,True vintages,3,Only for series that survive a first-pass test (rates are unrevised; CPI revisions are tiny)
GAP26,Support automation timeline as a step series (AI resolution share 15% -> 33% -> 40% -> 45%; support cost per booking -10% / -16%),ops,Management's only quantified line-level cost claims; a dated step series lets M4 test whether the line moved when the claims were made.,31a statements S141/S145/S151/S152/S160/S188 (repo); WS05 statement file,data/processed/overnight/31a_mgmt_margin_statements.csv,repo,event,2Q23+,Statement date,2,Build quarterly series of stated AI resolution share and per-booking cost change; interpolate; test vs ops cash per night
