series,region,quarter,value,n_months,knowable_from,yoy_pct
jnto,apac,2022Q2,407024.0,3,2026-09-13,1250.4893991174226
jnto,apac,2022Q3,521121.0,3,2026-09-13,450.33846933710703
jnto,apac,2022Q4,2803359.0,3,2026-09-13,5008.254523588258
jnto,apac,2023Q1,4790543.0,3,2026-09-13,4661.687175715167
jnto,apac,2023Q2,5921853.0,3,2026-09-13,1354.91494359055
jnto,apac,2023Q3,6662326.0,3,2026-09-13,1178.4604727117119
jnto,apac,2023Q4,7691628.0,3,2026-09-13,174.37185176782566
jnto,apac,2024Q1,8558483.0,3,2026-09-13,78.65371420317071
jnto,apac,2024Q2,9223939.0,3,2026-09-13,55.761026151780534
jnto,apac,2024Q3,9098470.0,3,2026-09-13,36.5659681018311
jnto,apac,2024Q4,9989256.0,3,2026-09-13,29.871803472554824
jnto,apac,2025Q1,10537875.0,3,2026-09-13,23.12783702438854
jnto,apac,2025Q2,10980700.0,3,2026-09-13,19.045670184939432
jnto,apac,2025Q3,10132752.0,3,2026-09-13,11.367647527551327
jnto,apac,2025Q4,11031974.0,3,2026-09-13,10.438395011600466
jnto,apac,2026Q1,10683888.0,3,2026-09-13,1.385601935874159
jnto,apac,2026Q2,10401220.0,3,2026-09-13,-5.277259191126249
ntto,na,2021Q1,2808234.0,3,2026-09-13,
ntto,na,2021Q2,4875004.0,3,2026-09-13,
ntto,na,2021Q3,6174369.0,3,2026-09-13,
ntto,na,2021Q4,8422493.0,3,2026-09-13,
ntto,na,2022Q1,7932519.0,3,2026-09-13,182.47357591995538
ntto,na,2022Q2,12543263.0,3,2026-09-13,157.29749144821216
ntto,na,2022Q3,15656315.0,3,2026-09-13,153.56947406285565
ntto,na,2022Q4,14638588.0,3,2026-09-13,73.80350449682771
ntto,na,2023Q1,14145903.0,3,2026-09-13,78.32800652604803
ntto,na,2023Q2,15932582.0,3,2026-09-13,27.021031130416382
ntto,na,2023Q3,19167257.0,3,2026-09-13,22.425085340963058
ntto,na,2023Q4,17104117.0,3,2026-09-13,16.84266952523017
ntto,na,2024Q1,15951634.0,3,2026-09-13,12.765045822808197
ntto,na,2024Q2,17546209.0,3,2026-09-13,10.127843685348669
ntto,na,2024Q3,20526042.0,3,2026-09-13,7.08909469936152
ntto,na,2024Q4,18272980.0,3,2026-09-13,6.833810830456777
ntto,na,2025Q1,15678573.0,3,2026-09-13,-1.7118058250333523
ntto,na,2025Q2,16879671.0,3,2026-09-13,-3.7987578969337465
ntto,na,2025Q3,18549673.0,3,2026-09-13,-9.628592789588952
ntto,na,2025Q4,17179876.0,3,2026-09-13,-5.982078456825324
ntto,na,2026Q1,15610536.0,3,2026-09-13,-0.4339489314493128
ntto,na,2026Q2,16822778.0,3,2026-09-13,-0.33705040815072973
