name,period,value
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-07,22496.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-08,15052.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-09,22913.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-10,17665.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-11,8230.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2015-12,9395.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-01,7847.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-02,7411.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-03,7572.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-04,9427.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-05,9886.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-06,21541.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-07,30025.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-08,17653.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-09,28677.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-10,13023.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-11,10208.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2016-12,20543.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-01,9295.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-02,7486.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-03,8595.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-04,10410.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-05,15412.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-06,24898.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-07,31972.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-08,22887.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-09,31308.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-10,17779.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-11,11191.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2017-12,10461.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-01,8181.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-02,10174.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-03,10434.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-04,11040.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-05,11468.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-06,28630.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-07,34253.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-08,22671.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-09,31768.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-10,26294.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-11,11591.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2018-12,16805.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-01,9504.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-02,11017.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-03,11934.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-04,10770.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-05,20224.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-06,27236.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-07,32603.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-08,19597.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-09,32941.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-10,24079.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-11,9669.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2019-12,12499.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-01,6854.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-02,13014.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-03,7403.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-04,0.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-05,
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-06,
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-07,4560.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-08,7115.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-09,3876.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-10,3404.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-11,6246.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2020-12,5311.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-01,5399.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-02,7595.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-03,13056.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-04,10933.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-05,10911.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-06,12744.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-07,25237.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-08,28910.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-09,28397.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-10,39611.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-11,25847.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2021-12,15932.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-01,17867.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-02,22897.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-03,33340.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-04,47454.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-05,42311.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-06,24490.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-07,57107.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-08,41184.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-09,49947.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-10,64132.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-11,34826.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2022-12,14916.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-01,23286.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-02,14430.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-03,21381.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-04,16735.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-05,23231.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-06,31866.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-07,50321.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-08,42505.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-09,38653.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-10,30900.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-11,18335.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2023-12,17199.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-01,19057.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-02,20927.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-03,22681.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-04,22847.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-05,24587.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-06,35788.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-07,48590.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-08,34940.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-09,43867.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-10,34547.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-11,18361.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2024-12,17727.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-01,19459.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-02,22844.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-03,25153.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-04,26834.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-05,25543.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-06,35494.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-07,32968.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-08,31464.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-09,39220.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-10,37618.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-11,21796.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2025-12,18552.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-01,18472.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-02,31116.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-03,30662.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-04,20606.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-05,29735.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-06,33685.0
National. Holiday apartments. Overnight stays. Czech Republic. Base Datum.,2026-07,40470.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2009-12,14430.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-01,11834.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-02,11034.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-03,10852.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-04,13741.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-05,16821.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-06,22707.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-07,32934.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-08,30277.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-09,42328.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-10,19669.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-11,11209.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2010-12,9888.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-01,14313.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-02,14796.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-03,13347.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-04,18544.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-05,27064.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-06,36113.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-07,38945.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-08,41282.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-09,52941.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-10,26486.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-11,16551.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2011-12,20438.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-01,18540.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-02,20347.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-03,17413.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-04,20676.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-05,32630.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-06,37816.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-07,47631.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-08,48111.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-09,52485.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-10,27905.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-11,14811.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2012-12,15939.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-01,18039.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-02,12445.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-03,15437.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-04,17294.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-05,38524.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-06,36419.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-07,45458.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-08,43782.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-09,49932.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-10,24393.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-11,16693.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2013-12,12354.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-01,12950.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-02,18142.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-03,20710.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-04,25890.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-05,32802.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-06,43311.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-07,52313.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-08,47837.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-09,42563.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-10,36351.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-11,20155.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2014-12,19786.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-01,23550.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-02,27489.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-03,19482.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-04,27147.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-05,35388.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-06,43086.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-07,61051.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-08,43992.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-09,54307.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-10,43407.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-11,30162.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2015-12,23974.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-01,29766.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-02,32897.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-03,34670.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-04,39433.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-05,49267.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-06,65192.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-07,84870.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-08,72064.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-09,71568.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-10,55071.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-11,37307.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2016-12,33529.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-01,37366.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-02,46565.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-03,52107.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-04,50457.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-05,64344.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-06,83312.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-07,96314.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-08,90008.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-09,88120.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-10,58231.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-11,37260.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2017-12,33893.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-01,44142.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-02,39021.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-03,36958.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-04,49426.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-05,62106.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-06,78014.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-07,97492.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-08,89301.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-09,92354.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-10,61515.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-11,28835.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2018-12,28766.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-01,41315.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-02,36714.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-03,32931.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-04,40063.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-05,58033.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-06,73121.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-07,75258.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-08,76577.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-09,74874.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-10,48524.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-11,27777.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2019-12,27100.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-01,34866.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-02,37092.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-03,10077.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-04,0.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-05,
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-06,
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-07,23373.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-08,36393.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-09,12808.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-10,11606.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-11,6984.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2020-12,8565.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-01,9774.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-02,10181.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-03,14051.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-04,10405.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-05,19234.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-06,32764.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-07,66345.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-08,65796.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-09,50211.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-10,43873.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-11,29020.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2021-12,29106.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-01,35101.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-02,44348.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-03,42682.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-04,37761.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-05,48567.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-06,56002.0
National. Holiday apartments. Overnight stays. Poland. Base Datum.,2022-07,77938.0
