period,property,measure,value
2026-03,Backpackers,Guest arrivals,279800.0
2026-04,Backpackers,Guest arrivals,229800.0
2026-05,Backpackers,Guest arrivals,162000.0
2026-06,Backpackers,Guest arrivals,119600.0
2026-07,Backpackers,Guest arrivals,133700.0
2020-06,Backpackers,International guest nights,192200.0
2020-07,Backpackers,International guest nights,165400.0
2020-08,Backpackers,International guest nights,125100.0
2020-09,Backpackers,International guest nights,131600.0
2020-10,Backpackers,International guest nights,136000.0
2020-11,Backpackers,International guest nights,144700.0
2020-12,Backpackers,International guest nights,148600.0
2021-01,Backpackers,International guest nights,125500.0
2021-02,Backpackers,International guest nights,70900.0
2021-03,Backpackers,International guest nights,92700.0
2021-04,Backpackers,International guest nights,105400.0
2021-05,Backpackers,International guest nights,99700.0
2021-06,Backpackers,International guest nights,108700.0
2021-07,Backpackers,International guest nights,123300.0
2021-08,Backpackers,International guest nights,63500.0
2021-09,Backpackers,International guest nights,51200.0
2021-10,Backpackers,International guest nights,56800.0
2021-11,Backpackers,International guest nights,36200.0
2021-12,Backpackers,International guest nights,49200.0
2022-01,Backpackers,International guest nights,43000.0
2022-02,Backpackers,International guest nights,38000.0
2022-03,Backpackers,International guest nights,39700.0
2022-04,Backpackers,International guest nights,49600.0
2022-05,Backpackers,International guest nights,64400.0
2022-06,Backpackers,International guest nights,89400.0
2022-07,Backpackers,International guest nights,122000.0
2022-08,Backpackers,International guest nights,132000.0
2022-09,Backpackers,International guest nights,188200.0
2022-10,Backpackers,International guest nights,182800.0
2022-11,Backpackers,International guest nights,257400.0
2022-12,Backpackers,International guest nights,267000.0
2023-01,Backpackers,International guest nights,384300.0
2023-02,Backpackers,International guest nights,398100.0
2023-03,Backpackers,International guest nights,428600.0
2023-04,Backpackers,International guest nights,349900.0
2023-05,Backpackers,International guest nights,283300.0
2023-06,Backpackers,International guest nights,257800.0
2023-07,Backpackers,International guest nights,259600.0
2023-08,Backpackers,International guest nights,230500.0
2023-09,Backpackers,International guest nights,248500.0
2023-10,Backpackers,International guest nights,280100.0
2023-11,Backpackers,International guest nights,350100.0
2023-12,Backpackers,International guest nights,370800.0
2024-01,Backpackers,International guest nights,407400.0
2024-02,Backpackers,International guest nights,445800.0
2024-03,Backpackers,International guest nights,436200.0
2024-04,Backpackers,International guest nights,297500.0
2024-05,Backpackers,International guest nights,256900.0
2024-06,Backpackers,International guest nights,214600.0
2024-07,Backpackers,International guest nights,246300.0
2024-08,Backpackers,International guest nights,221800.0
2024-09,Backpackers,International guest nights,263300.0
2024-10,Backpackers,International guest nights,303000.0
2024-11,Backpackers,International guest nights,385500.0
2024-12,Backpackers,International guest nights,406500.0
2025-01,Backpackers,International guest nights,450000.0
2025-02,Backpackers,International guest nights,439300.0
2025-03,Backpackers,International guest nights,422500.0
2025-04,Backpackers,International guest nights,343400.0
2025-05,Backpackers,International guest nights,247700.0
2025-06,Backpackers,International guest nights,215200.0
2025-07,Backpackers,International guest nights,242500.0
2025-08,Backpackers,International guest nights,231800.0
2025-09,Backpackers,International guest nights,283800.0
2025-10,Backpackers,International guest nights,315800.0
2025-11,Backpackers,International guest nights,411500.0
2025-12,Backpackers,International guest nights,423000.0
2026-01,Backpackers,International guest nights,486200.0
2026-02,Backpackers,International guest nights,466500.0
2026-03,Backpackers,International guest nights,455600.0
2026-04,Backpackers,International guest nights,350800.0
2026-05,Backpackers,International guest nights,271200.0
2026-06,Backpackers,International guest nights,226600.0
2026-07,Backpackers,International guest nights,241500.0
2020-06,Backpackers,Number of active establishments,484.0
2020-07,Backpackers,Number of active establishments,480.0
2020-08,Backpackers,Number of active establishments,482.0
2020-09,Backpackers,Number of active establishments,494.0
2020-10,Backpackers,Number of active establishments,498.0
2020-11,Backpackers,Number of active establishments,500.0
2020-12,Backpackers,Number of active establishments,500.0
2021-01,Backpackers,Number of active establishments,494.0
2021-02,Backpackers,Number of active establishments,476.0
2021-03,Backpackers,Number of active establishments,464.0
2021-04,Backpackers,Number of active establishments,446.0
2021-05,Backpackers,Number of active establishments,428.0
2021-06,Backpackers,Number of active establishments,434.0
2021-07,Backpackers,Number of active establishments,418.0
2021-08,Backpackers,Number of active establishments,408.0
2021-09,Backpackers,Number of active establishments,400.0
2021-10,Backpackers,Number of active establishments,396.0
2021-11,Backpackers,Number of active establishments,380.0
2021-12,Backpackers,Number of active establishments,378.0
2022-01,Backpackers,Number of active establishments,372.0
2022-02,Backpackers,Number of active establishments,368.0
2022-03,Backpackers,Number of active establishments,354.0
2022-04,Backpackers,Number of active establishments,352.0
2022-05,Backpackers,Number of active establishments,336.0
2022-06,Backpackers,Number of active establishments,334.0
2022-07,Backpackers,Number of active establishments,330.0
2022-08,Backpackers,Number of active establishments,328.0
2022-09,Backpackers,Number of active establishments,328.0
2022-10,Backpackers,Number of active establishments,348.0
2022-11,Backpackers,Number of active establishments,366.0
2022-12,Backpackers,Number of active establishments,376.0
2023-01,Backpackers,Number of active establishments,380.0
2023-02,Backpackers,Number of active establishments,386.0
2023-03,Backpackers,Number of active establishments,380.0
2023-04,Backpackers,Number of active establishments,374.0
2023-05,Backpackers,Number of active establishments,366.0
2023-06,Backpackers,Number of active establishments,362.0
2023-07,Backpackers,Number of active establishments,358.0
2023-08,Backpackers,Number of active establishments,360.0
2023-09,Backpackers,Number of active establishments,356.0
2023-10,Backpackers,Number of active establishments,374.0
2023-11,Backpackers,Number of active establishments,382.0
2023-12,Backpackers,Number of active establishments,382.0
2024-01,Backpackers,Number of active establishments,380.0
2024-02,Backpackers,Number of active establishments,380.0
2024-03,Backpackers,Number of active establishments,376.0
2024-04,Backpackers,Number of active establishments,380.0
2024-05,Backpackers,Number of active establishments,370.0
2024-06,Backpackers,Number of active establishments,366.0
2024-07,Backpackers,Number of active establishments,362.0
2024-08,Backpackers,Number of active establishments,362.0
2024-09,Backpackers,Number of active establishments,370.0
2024-10,Backpackers,Number of active establishments,384.0
2024-11,Backpackers,Number of active establishments,390.0
2024-12,Backpackers,Number of active establishments,384.0
2025-01,Backpackers,Number of active establishments,384.0
2025-02,Backpackers,Number of active establishments,382.0
2025-03,Backpackers,Number of active establishments,376.0
2025-04,Backpackers,Number of active establishments,378.0
2025-05,Backpackers,Number of active establishments,370.0
2025-06,Backpackers,Number of active establishments,370.0
2025-07,Backpackers,Number of active establishments,368.0
2025-08,Backpackers,Number of active establishments,370.0
2025-09,Backpackers,Number of active establishments,378.0
2025-10,Backpackers,Number of active establishments,384.0
2025-11,Backpackers,Number of active establishments,390.0
2025-12,Backpackers,Number of active establishments,392.0
2026-01,Backpackers,Number of active establishments,390.0
2026-02,Backpackers,Number of active establishments,390.0
2026-03,Backpackers,Number of active establishments,386.0
2026-04,Backpackers,Number of active establishments,388.0
2026-05,Backpackers,Number of active establishments,378.0
2026-06,Backpackers,Number of active establishments,366.0
2026-07,Backpackers,Number of active establishments,356.0
2020-06,Backpackers,Stay unit nights occupied,240200.0
2020-07,Backpackers,Stay unit nights occupied,243800.0
2020-08,Backpackers,Stay unit nights occupied,219700.0
2020-09,Backpackers,Stay unit nights occupied,248500.0
2020-10,Backpackers,Stay unit nights occupied,271500.0
2020-11,Backpackers,Stay unit nights occupied,259000.0
2020-12,Backpackers,Stay unit nights occupied,302800.0
2021-01,Backpackers,Stay unit nights occupied,316000.0
2021-02,Backpackers,Stay unit nights occupied,214400.0
2021-03,Backpackers,Stay unit nights occupied,220500.0
2021-04,Backpackers,Stay unit nights occupied,250100.0
2021-05,Backpackers,Stay unit nights occupied,203900.0
2021-06,Backpackers,Stay unit nights occupied,218000.0
2021-07,Backpackers,Stay unit nights occupied,283400.0
2021-08,Backpackers,Stay unit nights occupied,170000.0
2021-09,Backpackers,Stay unit nights occupied,127000.0
2021-10,Backpackers,Stay unit nights occupied,157100.0
2021-11,Backpackers,Stay unit nights occupied,147100.0
2021-12,Backpackers,Stay unit nights occupied,151700.0
2022-01,Backpackers,Stay unit nights occupied,174400.0
2022-02,Backpackers,Stay unit nights occupied,122500.0
2022-03,Backpackers,Stay unit nights occupied,115400.0
2022-04,Backpackers,Stay unit nights occupied,150400.0
2022-05,Backpackers,Stay unit nights occupied,144000.0
2022-06,Backpackers,Stay unit nights occupied,178500.0
2022-07,Backpackers,Stay unit nights occupied,235600.0
2022-08,Backpackers,Stay unit nights occupied,217600.0
2022-09,Backpackers,Stay unit nights occupied,274800.0
2022-10,Backpackers,Stay unit nights occupied,290300.0
2022-11,Backpackers,Stay unit nights occupied,339000.0
2022-12,Backpackers,Stay unit nights occupied,360700.0
2023-01,Backpackers,Stay unit nights occupied,458400.0
2023-02,Backpackers,Stay unit nights occupied,453400.0
2023-03,Backpackers,Stay unit nights occupied,479900.0
2023-04,Backpackers,Stay unit nights occupied,414500.0
2023-05,Backpackers,Stay unit nights occupied,336400.0
2023-06,Backpackers,Stay unit nights occupied,307600.0
2023-07,Backpackers,Stay unit nights occupied,318300.0
2023-08,Backpackers,Stay unit nights occupied,309400.0
2023-09,Backpackers,Stay unit nights occupied,319000.0
2023-10,Backpackers,Stay unit nights occupied,331400.0
2023-11,Backpackers,Stay unit nights occupied,386700.0
2023-12,Backpackers,Stay unit nights occupied,432500.0
2024-01,Backpackers,Stay unit nights occupied,476300.0
2024-02,Backpackers,Stay unit nights occupied,472000.0
2024-03,Backpackers,Stay unit nights occupied,466900.0
2024-04,Backpackers,Stay unit nights occupied,343000.0
2024-05,Backpackers,Stay unit nights occupied,291800.0
2024-06,Backpackers,Stay unit nights occupied,257100.0
2024-07,Backpackers,Stay unit nights occupied,273100.0
2024-08,Backpackers,Stay unit nights occupied,260500.0
2024-09,Backpackers,Stay unit nights occupied,295700.0
2024-10,Backpackers,Stay unit nights occupied,342200.0
2024-11,Backpackers,Stay unit nights occupied,417800.0
2024-12,Backpackers,Stay unit nights occupied,434900.0
2025-01,Backpackers,Stay unit nights occupied,483500.0
2025-02,Backpackers,Stay unit nights occupied,465100.0
2025-03,Backpackers,Stay unit nights occupied,460400.0
2025-04,Backpackers,Stay unit nights occupied,385500.0
2025-05,Backpackers,Stay unit nights occupied,292700.0
2025-06,Backpackers,Stay unit nights occupied,262300.0
2025-07,Backpackers,Stay unit nights occupied,285000.0
2025-08,Backpackers,Stay unit nights occupied,284900.0
2025-09,Backpackers,Stay unit nights occupied,317300.0
2025-10,Backpackers,Stay unit nights occupied,357000.0
2025-11,Backpackers,Stay unit nights occupied,436100.0
2025-12,Backpackers,Stay unit nights occupied,443900.0
2026-01,Backpackers,Stay unit nights occupied,512100.0
2026-02,Backpackers,Stay unit nights occupied,482100.0
2026-03,Backpackers,Stay unit nights occupied,481000.0
2026-04,Backpackers,Stay unit nights occupied,397400.0
2026-05,Backpackers,Stay unit nights occupied,327000.0
2026-06,Backpackers,Stay unit nights occupied,273200.0
2026-07,Backpackers,Stay unit nights occupied,297500.0
2020-06,Backpackers,Total guest nights,296500.0
2020-07,Backpackers,Total guest nights,326400.0
2020-08,Backpackers,Total guest nights,266300.0
2020-09,Backpackers,Total guest nights,307100.0
2020-10,Backpackers,Total guest nights,333800.0
2020-11,Backpackers,Total guest nights,307900.0
2020-12,Backpackers,Total guest nights,388400.0
2021-01,Backpackers,Total guest nights,423000.0
2021-02,Backpackers,Total guest nights,264200.0
2021-03,Backpackers,Total guest nights,281800.0
2021-04,Backpackers,Total guest nights,327900.0
2021-05,Backpackers,Total guest nights,242200.0
2021-06,Backpackers,Total guest nights,260600.0
2021-07,Backpackers,Total guest nights,353800.0
2021-08,Backpackers,Total guest nights,203700.0
2021-09,Backpackers,Total guest nights,151300.0
2021-10,Backpackers,Total guest nights,194500.0
2021-11,Backpackers,Total guest nights,181400.0
2021-12,Backpackers,Total guest nights,187800.0
2022-01,Backpackers,Total guest nights,225300.0
2022-02,Backpackers,Total guest nights,156800.0
2022-03,Backpackers,Total guest nights,145700.0
2022-04,Backpackers,Total guest nights,196800.0
2022-05,Backpackers,Total guest nights,173000.0
2022-06,Backpackers,Total guest nights,211100.0
2022-07,Backpackers,Total guest nights,277200.0
2022-08,Backpackers,Total guest nights,265000.0
2022-09,Backpackers,Total guest nights,314700.0
2022-10,Backpackers,Total guest nights,333700.0
2022-11,Backpackers,Total guest nights,390000.0
2022-12,Backpackers,Total guest nights,417100.0
2023-01,Backpackers,Total guest nights,550500.0
2023-02,Backpackers,Total guest nights,529000.0
2023-03,Backpackers,Total guest nights,565700.0
2023-04,Backpackers,Total guest nights,484300.0
2023-05,Backpackers,Total guest nights,378600.0
2023-06,Backpackers,Total guest nights,354000.0
2023-07,Backpackers,Total guest nights,368600.0
2023-08,Backpackers,Total guest nights,354600.0
2023-09,Backpackers,Total guest nights,369100.0
2023-10,Backpackers,Total guest nights,391200.0
2023-11,Backpackers,Total guest nights,466900.0
2023-12,Backpackers,Total guest nights,509000.0
2024-01,Backpackers,Total guest nights,558500.0
2024-02,Backpackers,Total guest nights,554400.0
2024-03,Backpackers,Total guest nights,551500.0
2024-04,Backpackers,Total guest nights,401300.0
2024-05,Backpackers,Total guest nights,332900.0
2024-06,Backpackers,Total guest nights,304100.0
2024-07,Backpackers,Total guest nights,333200.0
2024-08,Backpackers,Total guest nights,312300.0
2024-09,Backpackers,Total guest nights,356400.0
2024-10,Backpackers,Total guest nights,415800.0
2024-11,Backpackers,Total guest nights,492500.0
2024-12,Backpackers,Total guest nights,516300.0
2025-01,Backpackers,Total guest nights,587400.0
2025-02,Backpackers,Total guest nights,554500.0
2025-03,Backpackers,Total guest nights,547100.0
2025-04,Backpackers,Total guest nights,469800.0
2025-05,Backpackers,Total guest nights,347300.0
2025-06,Backpackers,Total guest nights,307700.0
2025-07,Backpackers,Total guest nights,347700.0
2025-08,Backpackers,Total guest nights,350800.0
2025-09,Backpackers,Total guest nights,395400.0
2025-10,Backpackers,Total guest nights,431900.0
2025-11,Backpackers,Total guest nights,527000.0
2025-12,Backpackers,Total guest nights,548900.0
2026-01,Backpackers,Total guest nights,625500.0
2026-02,Backpackers,Total guest nights,586600.0
2026-03,Backpackers,Total guest nights,585900.0
2026-04,Backpackers,Total guest nights,487600.0
2026-05,Backpackers,Total guest nights,390300.0
2026-06,Backpackers,Total guest nights,327200.0
2026-07,Backpackers,Total guest nights,373500.0
2020-06,Holiday parks & campgrounds,Domestic guest nights,585200.0
2020-07,Holiday parks & campgrounds,Domestic guest nights,936700.0
2020-08,Holiday parks & campgrounds,Domestic guest nights,657400.0
2020-09,Holiday parks & campgrounds,Domestic guest nights,955300.0
2020-10,Holiday parks & campgrounds,Domestic guest nights,1409100.0
2020-11,Holiday parks & campgrounds,Domestic guest nights,988400.0
2020-12,Holiday parks & campgrounds,Domestic guest nights,2162100.0
2021-01,Holiday parks & campgrounds,Domestic guest nights,3645300.0
2021-02,Holiday parks & campgrounds,Domestic guest nights,1619300.0
2021-03,Holiday parks & campgrounds,Domestic guest nights,1238700.0
2021-04,Holiday parks & campgrounds,Domestic guest nights,1741300.0
2021-05,Holiday parks & campgrounds,Domestic guest nights,745300.0
2021-06,Holiday parks & campgrounds,Domestic guest nights,699900.0
2021-07,Holiday parks & campgrounds,Domestic guest nights,894900.0
2021-08,Holiday parks & campgrounds,Domestic guest nights,500100.0
2021-09,Holiday parks & campgrounds,Domestic guest nights,504700.0
2021-10,Holiday parks & campgrounds,Domestic guest nights,935000.0
2021-11,Holiday parks & campgrounds,Domestic guest nights,694900.0
2021-12,Holiday parks & campgrounds,Domestic guest nights,1773100.0
2022-01,Holiday parks & campgrounds,Domestic guest nights,3391500.0
2022-02,Holiday parks & campgrounds,Domestic guest nights,1228700.0
2022-03,Holiday parks & campgrounds,Domestic guest nights,1004600.0
2022-04,Holiday parks & campgrounds,Domestic guest nights,1484200.0
2022-05,Holiday parks & campgrounds,Domestic guest nights,680900.0
2022-06,Holiday parks & campgrounds,Domestic guest nights,660200.0
2022-07,Holiday parks & campgrounds,Domestic guest nights,746700.0
2022-08,Holiday parks & campgrounds,Domestic guest nights,651300.0
2022-09,Holiday parks & campgrounds,Domestic guest nights,749000.0
2022-10,Holiday parks & campgrounds,Domestic guest nights,1163200.0
2022-11,Holiday parks & campgrounds,Domestic guest nights,928500.0
2022-12,Holiday parks & campgrounds,Domestic guest nights,2012600.0
2023-01,Holiday parks & campgrounds,Domestic guest nights,3154600.0
2023-02,Holiday parks & campgrounds,Domestic guest nights,1336800.0
2023-03,Holiday parks & campgrounds,Domestic guest nights,1268300.0
2023-04,Holiday parks & campgrounds,Domestic guest nights,1398800.0
2023-05,Holiday parks & campgrounds,Domestic guest nights,595300.0
2023-06,Holiday parks & campgrounds,Domestic guest nights,571200.0
2023-07,Holiday parks & campgrounds,Domestic guest nights,728400.0
2023-08,Holiday parks & campgrounds,Domestic guest nights,584700.0
2023-09,Holiday parks & campgrounds,Domestic guest nights,717900.0
2023-10,Holiday parks & campgrounds,Domestic guest nights,973900.0
2023-11,Holiday parks & campgrounds,Domestic guest nights,911200.0
2023-12,Holiday parks & campgrounds,Domestic guest nights,1953800.0
2024-01,Holiday parks & campgrounds,Domestic guest nights,3286300.0
2024-02,Holiday parks & campgrounds,Domestic guest nights,1593100.0
2024-03,Holiday parks & campgrounds,Domestic guest nights,1677100.0
2024-04,Holiday parks & campgrounds,Domestic guest nights,1062200.0
2024-05,Holiday parks & campgrounds,Domestic guest nights,605900.0
2024-06,Holiday parks & campgrounds,Domestic guest nights,596400.0
2024-07,Holiday parks & campgrounds,Domestic guest nights,619500.0
2024-08,Holiday parks & campgrounds,Domestic guest nights,550600.0
2024-09,Holiday parks & campgrounds,Domestic guest nights,669900.0
2024-10,Holiday parks & campgrounds,Domestic guest nights,946400.0
2024-11,Holiday parks & campgrounds,Domestic guest nights,898200.0
2024-12,Holiday parks & campgrounds,Domestic guest nights,1918800.0
2025-01,Holiday parks & campgrounds,Domestic guest nights,3088700.0
2025-02,Holiday parks & campgrounds,Domestic guest nights,1533100.0
2025-03,Holiday parks & campgrounds,Domestic guest nights,1229800.0
2025-04,Holiday parks & campgrounds,Domestic guest nights,1254800.0
2025-05,Holiday parks & campgrounds,Domestic guest nights,603400.0
2025-06,Holiday parks & campgrounds,Domestic guest nights,529800.0
2025-07,Holiday parks & campgrounds,Domestic guest nights,562500.0
2025-08,Holiday parks & campgrounds,Domestic guest nights,538600.0
2025-09,Holiday parks & campgrounds,Domestic guest nights,698800.0
2025-10,Holiday parks & campgrounds,Domestic guest nights,834300.0
2025-11,Holiday parks & campgrounds,Domestic guest nights,879800.0
2025-12,Holiday parks & campgrounds,Domestic guest nights,1899000.0
2026-01,Holiday parks & campgrounds,Domestic guest nights,3098600.0
2026-02,Holiday parks & campgrounds,Domestic guest nights,1505300.0
2026-03,Holiday parks & campgrounds,Domestic guest nights,1179400.0
2026-04,Holiday parks & campgrounds,Domestic guest nights,1209300.0
2026-05,Holiday parks & campgrounds,Domestic guest nights,623600.0
2026-06,Holiday parks & campgrounds,Domestic guest nights,436600.0
2026-07,Holiday parks & campgrounds,Domestic guest nights,670400.0
2020-06,Holiday parks & campgrounds,Guest arrivals,204700.0
2020-07,Holiday parks & campgrounds,Guest arrivals,442600.0
2020-08,Holiday parks & campgrounds,Guest arrivals,244800.0
2020-09,Holiday parks & campgrounds,Guest arrivals,429700.0
2020-10,Holiday parks & campgrounds,Guest arrivals,725300.0
2020-11,Holiday parks & campgrounds,Guest arrivals,481400.0
2020-12,Holiday parks & campgrounds,Guest arrivals,836500.0
2021-01,Holiday parks & campgrounds,Guest arrivals,1214700.0
2021-02,Holiday parks & campgrounds,Guest arrivals,728000.0
2021-03,Holiday parks & campgrounds,Guest arrivals,590300.0
2021-04,Holiday parks & campgrounds,Guest arrivals,798800.0
2021-05,Holiday parks & campgrounds,Guest arrivals,332100.0
2021-06,Holiday parks & campgrounds,Guest arrivals,304200.0
2021-07,Holiday parks & campgrounds,Guest arrivals,398000.0
2021-08,Holiday parks & campgrounds,Guest arrivals,156900.0
2021-09,Holiday parks & campgrounds,Guest arrivals,146000.0
2021-10,Holiday parks & campgrounds,Guest arrivals,384300.0
2021-11,Holiday parks & campgrounds,Guest arrivals,289400.0
2021-12,Holiday parks & campgrounds,Guest arrivals,638000.0
2022-01,Holiday parks & campgrounds,Guest arrivals,1038800.0
2022-02,Holiday parks & campgrounds,Guest arrivals,508500.0
2022-03,Holiday parks & campgrounds,Guest arrivals,430500.0
2022-04,Holiday parks & campgrounds,Guest arrivals,638300.0
2022-05,Holiday parks & campgrounds,Guest arrivals,294300.0
2022-06,Holiday parks & campgrounds,Guest arrivals,277900.0
2022-07,Holiday parks & campgrounds,Guest arrivals,337800.0
2022-08,Holiday parks & campgrounds,Guest arrivals,287400.0
2022-09,Holiday parks & campgrounds,Guest arrivals,407700.0
2022-10,Holiday parks & campgrounds,Guest arrivals,617300.0
