quarter,per_name,cat_code,cat_desc,dt_code,is_adj,val
3Q16,Q3-2016,7211T,7211: Traveler Accommodation,QREV,1,61675
4Q16,Q4-2016,7211T,7211: Traveler Accommodation,QREV,1,61512
1Q16,Q1-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1087
2Q16,Q2-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1800
3Q16,Q3-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1978
4Q16,Q4-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,969
1Q16,Q1-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1392
2Q16,Q2-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1493
3Q16,Q3-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1453
4Q16,Q4-2016,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1484
1Q17,Q1-2017,721T,721: Accommodation,QREV,0,60683
2Q17,Q2-2017,721T,721: Accommodation,QREV,0,67395
3Q17,Q3-2017,721T,721: Accommodation,QREV,0,69699
4Q17,Q4-2017,721T,721: Accommodation,QREV,0,62312
1Q17,Q1-2017,721T,721: Accommodation,QREV,1,65105
2Q17,Q2-2017,721T,721: Accommodation,QREV,1,65031
3Q17,Q3-2017,721T,721: Accommodation,QREV,1,64747
4Q17,Q4-2017,721T,721: Accommodation,QREV,1,64943
1Q17,Q1-2017,7211T,7211: Traveler Accommodation,QREV,0,59016
2Q17,Q2-2017,7211T,7211: Traveler Accommodation,QREV,0,65216
3Q17,Q3-2017,7211T,7211: Traveler Accommodation,QREV,0,67007
4Q17,Q4-2017,7211T,7211: Traveler Accommodation,QREV,0,60768
1Q17,Q1-2017,7211T,7211: Traveler Accommodation,QREV,1,63119
2Q17,Q2-2017,7211T,7211: Traveler Accommodation,QREV,1,63072
3Q17,Q3-2017,7211T,7211: Traveler Accommodation,QREV,1,62682
4Q17,Q4-2017,7211T,7211: Traveler Accommodation,QREV,1,62907
1Q17,Q1-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1250
2Q17,Q2-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1833
3Q17,Q3-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2199
4Q17,Q4-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1055
1Q17,Q1-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1576
2Q17,Q2-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1548
3Q17,Q3-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1624
4Q17,Q4-2017,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1558
1Q18,Q1-2018,721T,721: Accommodation,QREV,0,61220
2Q18,Q2-2018,721T,721: Accommodation,QREV,0,71200
3Q18,Q3-2018,721T,721: Accommodation,QREV,0,72799
4Q18,Q4-2018,721T,721: Accommodation,QREV,0,66068
1Q18,Q1-2018,721T,721: Accommodation,QREV,1,66085
2Q18,Q2-2018,721T,721: Accommodation,QREV,1,68732
3Q18,Q3-2018,721T,721: Accommodation,QREV,1,67473
4Q18,Q4-2018,721T,721: Accommodation,QREV,1,68628
1Q18,Q1-2018,7211T,7211: Traveler Accommodation,QREV,0,59435
2Q18,Q2-2018,7211T,7211: Traveler Accommodation,QREV,0,68890
3Q18,Q3-2018,7211T,7211: Traveler Accommodation,QREV,0,69985
4Q18,Q4-2018,7211T,7211: Traveler Accommodation,QREV,0,64316
1Q18,Q1-2018,7211T,7211: Traveler Accommodation,QREV,1,63977
2Q18,Q2-2018,7211T,7211: Traveler Accommodation,QREV,1,66625
3Q18,Q3-2018,7211T,7211: Traveler Accommodation,QREV,1,65285
4Q18,Q4-2018,7211T,7211: Traveler Accommodation,QREV,1,66374
1Q18,Q1-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1278
2Q18,Q2-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1887
3Q18,Q3-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2305
4Q18,Q4-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1261
1Q18,Q1-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1608
2Q18,Q2-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1609
3Q18,Q3-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1729
4Q18,Q4-2018,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1779
1Q19,Q1-2019,721T,721: Accommodation,QREV,0,63644
2Q19,Q2-2019,721T,721: Accommodation,QREV,0,72564
3Q19,Q3-2019,721T,721: Accommodation,QREV,0,76454
4Q19,Q4-2019,721T,721: Accommodation,QREV,0,68707
1Q19,Q1-2019,721T,721: Accommodation,QREV,1,69305
2Q19,Q2-2019,721T,721: Accommodation,QREV,1,69952
3Q19,Q3-2019,721T,721: Accommodation,QREV,1,70536
4Q19,Q4-2019,721T,721: Accommodation,QREV,1,71233
1Q19,Q1-2019,7211T,7211: Traveler Accommodation,QREV,0,61745
2Q19,Q2-2019,7211T,7211: Traveler Accommodation,QREV,0,70095
3Q19,Q3-2019,7211T,7211: Traveler Accommodation,QREV,0,73534
4Q19,Q4-2019,7211T,7211: Traveler Accommodation,QREV,0,66715
1Q19,Q1-2019,7211T,7211: Traveler Accommodation,QREV,1,67041
2Q19,Q2-2019,7211T,7211: Traveler Accommodation,QREV,1,67725
3Q19,Q3-2019,7211T,7211: Traveler Accommodation,QREV,1,68213
4Q19,Q4-2019,7211T,7211: Traveler Accommodation,QREV,1,68778
1Q19,Q1-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1375
2Q19,Q2-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2068
3Q19,Q3-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2303
4Q19,Q4-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1379
1Q19,Q1-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1743
2Q19,Q2-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1760
3Q19,Q3-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1762
4Q19,Q4-2019,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1866
1Q20,Q1-2020,721T,721: Accommodation,QREV,0,57379
2Q20,Q2-2020,721T,721: Accommodation,QREV,0,23672
3Q20,Q3-2020,721T,721: Accommodation,QREV,0,46471
4Q20,Q4-2020,721T,721: Accommodation,QREV,0,40073
1Q20,Q1-2020,721T,721: Accommodation,QREV,1,63023
2Q20,Q2-2020,721T,721: Accommodation,QREV,1,22768
3Q20,Q3-2020,721T,721: Accommodation,QREV,1,42600
4Q20,Q4-2020,721T,721: Accommodation,QREV,1,41736
1Q20,Q1-2020,7211T,7211: Traveler Accommodation,QREV,0,55592
2Q20,Q2-2020,7211T,7211: Traveler Accommodation,QREV,0,22143
3Q20,Q3-2020,7211T,7211: Traveler Accommodation,QREV,0,44122
4Q20,Q4-2020,7211T,7211: Traveler Accommodation,QREV,0,38333
1Q20,Q1-2020,7211T,7211: Traveler Accommodation,QREV,1,60889
2Q20,Q2-2020,7211T,7211: Traveler Accommodation,QREV,1,21374
3Q20,Q3-2020,7211T,7211: Traveler Accommodation,QREV,1,40703
4Q20,Q4-2020,7211T,7211: Traveler Accommodation,QREV,1,39600
1Q20,Q1-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1211
2Q20,Q2-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1198
3Q20,Q3-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1811
4Q20,Q4-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1276
1Q20,Q1-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1555
2Q20,Q2-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1014
3Q20,Q3-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1405
4Q20,Q4-2020,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1692
1Q21,Q1-2021,721T,721: Accommodation,QREV,0,40922
2Q21,Q2-2021,721T,721: Accommodation,QREV,0,59594
3Q21,Q3-2021,721T,721: Accommodation,QREV,0,73934
4Q21,Q4-2021,721T,721: Accommodation,QREV,0,67344
1Q21,Q1-2021,721T,721: Accommodation,QREV,1,45227
2Q21,Q2-2021,721T,721: Accommodation,QREV,1,57155
3Q21,Q3-2021,721T,721: Accommodation,QREV,1,67704
4Q21,Q4-2021,721T,721: Accommodation,QREV,1,70274
1Q21,Q1-2021,7211T,7211: Traveler Accommodation,QREV,0,39156
2Q21,Q2-2021,7211T,7211: Traveler Accommodation,QREV,0,56715
3Q21,Q3-2021,7211T,7211: Traveler Accommodation,QREV,0,70724
4Q21,Q4-2021,7211T,7211: Traveler Accommodation,QREV,0,65106
1Q21,Q1-2021,7211T,7211: Traveler Accommodation,QREV,1,43076
2Q21,Q2-2021,7211T,7211: Traveler Accommodation,QREV,1,54586
3Q21,Q3-2021,7211T,7211: Traveler Accommodation,QREV,1,65123
4Q21,Q4-2021,7211T,7211: Traveler Accommodation,QREV,1,67537
1Q21,Q1-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1283
2Q21,Q2-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2394
3Q21,Q3-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2590
4Q21,Q4-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1617
1Q21,Q1-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,1658
2Q21,Q2-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2020
3Q21,Q3-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2014
4Q21,Q4-2021,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2142
1Q22,Q1-2022,721T,721: Accommodation,QREV,0,63692
2Q22,Q2-2022,721T,721: Accommodation,QREV,0,81386
3Q22,Q3-2022,721T,721: Accommodation,QREV,0,85845
4Q22,Q4-2022,721T,721: Accommodation,QREV,0,78102
1Q22,Q1-2022,721T,721: Accommodation,QREV,1,70256
2Q22,Q2-2022,721T,721: Accommodation,QREV,1,77935
3Q22,Q3-2022,721T,721: Accommodation,QREV,1,78957
4Q22,Q4-2022,721T,721: Accommodation,QREV,1,81628
1Q22,Q1-2022,7211T,7211: Traveler Accommodation,QREV,0,61472
2Q22,Q2-2022,7211T,7211: Traveler Accommodation,QREV,0,78213
3Q22,Q3-2022,7211T,7211: Traveler Accommodation,QREV,0,82223
4Q22,Q4-2022,7211T,7211: Traveler Accommodation,QREV,0,75684
1Q22,Q1-2022,7211T,7211: Traveler Accommodation,QREV,1,67552
2Q22,Q2-2022,7211T,7211: Traveler Accommodation,QREV,1,75060
3Q22,Q3-2022,7211T,7211: Traveler Accommodation,QREV,1,76062
4Q22,Q4-2022,7211T,7211: Traveler Accommodation,QREV,1,78674
1Q22,Q1-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1609
2Q22,Q2-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2501
3Q22,Q3-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2846
4Q22,Q4-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1643
1Q22,Q1-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2073
2Q22,Q2-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2127
3Q22,Q3-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2186
4Q22,Q4-2022,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2208
1Q23,Q1-2023,721T,721: Accommodation,QREV,0,75807
2Q23,Q2-2023,721T,721: Accommodation,QREV,0,87036
3Q23,Q3-2023,721T,721: Accommodation,QREV,0,91711
4Q23,Q4-2023,721T,721: Accommodation,QREV,0,81618
1Q23,Q1-2023,721T,721: Accommodation,QREV,1,82818
2Q23,Q2-2023,721T,721: Accommodation,QREV,1,83189
3Q23,Q3-2023,721T,721: Accommodation,QREV,1,85220
4Q23,Q4-2023,721T,721: Accommodation,QREV,1,84836
1Q23,Q1-2023,7211T,7211: Traveler Accommodation,QREV,0,73200
2Q23,Q2-2023,7211T,7211: Traveler Accommodation,QREV,0,83471
3Q23,Q3-2023,7211T,7211: Traveler Accommodation,QREV,0,87819
4Q23,Q4-2023,7211T,7211: Traveler Accommodation,QREV,0,79073
1Q23,Q1-2023,7211T,7211: Traveler Accommodation,QREV,1,79652
2Q23,Q2-2023,7211T,7211: Traveler Accommodation,QREV,1,79953
3Q23,Q3-2023,7211T,7211: Traveler Accommodation,QREV,1,82151
4Q23,Q4-2023,7211T,7211: Traveler Accommodation,QREV,1,81687
1Q23,Q1-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1873
2Q23,Q2-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2859
3Q23,Q3-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,3072
4Q23,Q4-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1737
1Q23,Q1-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2401
2Q23,Q2-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2460
3Q23,Q3-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2322
4Q23,Q4-2023,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2366
1Q24,Q1-2024,721T,721: Accommodation,QREV,0,78945
2Q24,Q2-2024,721T,721: Accommodation,QREV,0,88283
3Q24,Q3-2024,721T,721: Accommodation,QREV,0,89780
4Q24,Q4-2024,721T,721: Accommodation,QREV,0,82537
1Q24,Q1-2024,721T,721: Accommodation,QREV,1,85620
2Q24,Q2-2024,721T,721: Accommodation,QREV,1,84761
3Q24,Q3-2024,721T,721: Accommodation,QREV,1,83895
4Q24,Q4-2024,721T,721: Accommodation,QREV,1,85628
1Q24,Q1-2024,7211T,7211: Traveler Accommodation,QREV,0,76380
2Q24,Q2-2024,7211T,7211: Traveler Accommodation,QREV,0,84843
3Q24,Q3-2024,7211T,7211: Traveler Accommodation,QREV,0,85484
4Q24,Q4-2024,7211T,7211: Traveler Accommodation,QREV,0,80065
1Q24,Q1-2024,7211T,7211: Traveler Accommodation,QREV,1,82484
2Q24,Q2-2024,7211T,7211: Traveler Accommodation,QREV,1,81580
3Q24,Q3-2024,7211T,7211: Traveler Accommodation,QREV,1,80569
4Q24,Q4-2024,7211T,7211: Traveler Accommodation,QREV,1,82541
1Q24,Q1-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1848
2Q24,Q2-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2717
3Q24,Q3-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,3414
4Q24,Q4-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1711
1Q24,Q1-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2391
2Q24,Q2-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2373
3Q24,Q3-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2536
4Q24,Q4-2024,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2347
1Q25,Q1-2025,721T,721: Accommodation,QREV,0,79067
2Q25,Q2-2025,721T,721: Accommodation,QREV,0,88961
3Q25,Q3-2025,721T,721: Accommodation,QREV,0,91774
4Q25,Q4-2025,721T,721: Accommodation,QREV,0,84917
1Q25,Q1-2025,721T,721: Accommodation,QREV,1,85097
2Q25,Q2-2025,721T,721: Accommodation,QREV,1,85533
3Q25,Q3-2025,721T,721: Accommodation,QREV,1,86340
4Q25,Q4-2025,721T,721: Accommodation,QREV,1,87892
1Q25,Q1-2025,7211T,7211: Traveler Accommodation,QREV,0,76550
2Q25,Q2-2025,7211T,7211: Traveler Accommodation,QREV,0,85790
3Q25,Q3-2025,7211T,7211: Traveler Accommodation,QREV,0,87713
4Q25,Q4-2025,7211T,7211: Traveler Accommodation,QREV,0,82439
1Q25,Q1-2025,7211T,7211: Traveler Accommodation,QREV,1,82047
2Q25,Q2-2025,7211T,7211: Traveler Accommodation,QREV,1,82570
3Q25,Q3-2025,7211T,7211: Traveler Accommodation,QREV,1,83219
4Q25,Q4-2025,7211T,7211: Traveler Accommodation,QREV,1,84814
1Q25,Q1-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1779
2Q25,Q2-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2518
3Q25,Q3-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,3103
4Q25,Q4-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1631
1Q25,Q1-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2284
2Q25,Q2-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2228
3Q25,Q3-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2267
4Q25,Q4-2025,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2250
1Q26,Q1-2026,721T,721: Accommodation,QREV,0,83356
2Q26,Q2-2026,721T,721: Accommodation,QREV,0,92714
1Q26,Q1-2026,721T,721: Accommodation,QREV,1,89326
2Q26,Q2-2026,721T,721: Accommodation,QREV,1,89260
1Q26,Q1-2026,7211T,7211: Traveler Accommodation,QREV,0,80756
2Q26,Q2-2026,7211T,7211: Traveler Accommodation,QREV,0,89344
1Q26,Q1-2026,7211T,7211: Traveler Accommodation,QREV,1,86186
2Q26,Q2-2026,7211T,7211: Traveler Accommodation,QREV,1,86073
1Q26,Q1-2026,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,1764
2Q26,Q2-2026,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,0,2610
1Q26,Q1-2026,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2276
2Q26,Q2-2026,7212T,7212: RV (Recreational Vehicle) Parks and Recreational Camps,QREV,1,2324
