geo,nace_r2,period,value,updated
AT,I551,2018-10,5909656,2026-09-11T23:00:00+0200
AT,I551,2018-11,3978904,2026-09-11T23:00:00+0200
AT,I551,2018-12,7501426,2026-09-11T23:00:00+0200
AT,I551,2019-01,9163057,2026-09-11T23:00:00+0200
AT,I551,2019-02,10323988,2026-09-11T23:00:00+0200
AT,I551,2019-03,9246629,2026-09-11T23:00:00+0200
AT,I551,2019-04,5541037,2026-09-11T23:00:00+0200
AT,I551,2019-05,5231195,2026-09-11T23:00:00+0200
AT,I551,2019-06,7976921,2026-09-11T23:00:00+0200
AT,I551,2019-07,10470705,2026-09-11T23:00:00+0200
AT,I551,2019-08,11425843,2026-09-11T23:00:00+0200
AT,I551,2019-09,7816004,2026-09-11T23:00:00+0200
AT,I551,2019-10,6162889,2026-09-11T23:00:00+0200
AT,I551,2019-11,4018179,2026-09-11T23:00:00+0200
AT,I551,2019-12,7891270,2026-09-11T23:00:00+0200
AT,I551,2020-01,9679380,2026-09-11T23:00:00+0200
AT,I551,2020-02,11273261,2026-09-11T23:00:00+0200
AT,I551,2020-03,3613509,2026-09-11T23:00:00+0200
AT,I551,2020-04,145588,2026-09-11T23:00:00+0200
AT,I551,2020-05,418760,2026-09-11T23:00:00+0200
AT,I551,2020-06,2965323,2026-09-11T23:00:00+0200
AT,I551,2020-07,8113461,2026-09-11T23:00:00+0200
AT,I551,2020-08,9520167,2026-09-11T23:00:00+0200
AT,I551,2020-09,6066505,2026-09-11T23:00:00+0200
AT,I551,2020-10,2896202,2026-09-11T23:00:00+0200
AT,I551,2020-11,555362,2026-09-11T23:00:00+0200
AT,I551,2020-12,384662,2026-09-11T23:00:00+0200
AT,I551,2021-01,385370,2026-09-11T23:00:00+0200
AT,I551,2021-02,451323,2026-09-11T23:00:00+0200
AT,I551,2021-03,588338,2026-09-11T23:00:00+0200
AT,I551,2021-04,545186,2026-09-11T23:00:00+0200
AT,I551,2021-05,1656087,2026-09-11T23:00:00+0200
AT,I551,2021-06,4412838,2026-09-11T23:00:00+0200
AT,I551,2021-07,8400876,2026-09-11T23:00:00+0200
AT,I551,2021-08,11313859,2026-09-11T23:00:00+0200
AT,I551,2021-09,7492828,2026-09-11T23:00:00+0200
AT,I551,2021-10,5562689,2026-09-11T23:00:00+0200
AT,I551,2021-11,2245160,2026-09-11T23:00:00+0200
AT,I551,2021-12,3508739,2026-09-11T23:00:00+0200
AT,I551,2022-01,5878002,2026-09-11T23:00:00+0200
AT,I551,2022-02,7496788,2026-09-11T23:00:00+0200
AT,I551,2022-03,7238631,2026-09-11T23:00:00+0200
AT,I551,2022-04,4871578,2026-09-11T23:00:00+0200
AT,I551,2022-05,4718724,2026-09-11T23:00:00+0200
AT,I551,2022-06,7300908,2026-09-11T23:00:00+0200
AT,I551,2022-07,9655807,2026-09-11T23:00:00+0200
AT,I551,2022-08,11239028,2026-09-11T23:00:00+0200
AT,I551,2022-09,7608368,2026-09-11T23:00:00+0200
AT,I551,2022-10,5830399,2026-09-11T23:00:00+0200
AT,I551,2022-11,3584997,2026-09-11T23:00:00+0200
AT,I551,2022-12,6971421,2026-09-11T23:00:00+0200
AT,I551,2023-01,8779202,2026-09-11T23:00:00+0200
AT,I551,2023-02,9799360,2026-09-11T23:00:00+0200
AT,I551,2023-03,7829122,2026-09-11T23:00:00+0200
AT,I551,2023-04,5342485,2026-09-11T23:00:00+0200
AT,I551,2023-05,5312684,2026-09-11T23:00:00+0200
AT,I551,2023-06,7436979,2026-09-11T23:00:00+0200
AT,I551,2023-07,9946902,2026-09-11T23:00:00+0200
AT,I551,2023-08,10887457,2026-09-11T23:00:00+0200
AT,I551,2023-09,7840850,2026-09-11T23:00:00+0200
AT,I551,2023-10,5987267,2026-09-11T23:00:00+0200
AT,I551,2023-11,3825626,2026-09-11T23:00:00+0200
AT,I551,2023-12,7328044,2026-09-11T23:00:00+0200
AT,I551,2024-01,8932763,2026-09-11T23:00:00+0200
AT,I551,2024-02,10252450,2026-09-11T23:00:00+0200
AT,I551,2024-03,8327444,2026-09-11T23:00:00+0200
AT,I551,2024-04,4436751,2026-09-11T23:00:00+0200
AT,I551,2024-05,5934552,2026-09-11T23:00:00+0200
AT,I551,2024-06,7112969,2026-09-11T23:00:00+0200
AT,I551,2024-07,9969474,2026-09-11T23:00:00+0200
AT,I551,2024-08,11254380,2026-09-11T23:00:00+0200
AT,I551,2024-09,7389473,2026-09-11T23:00:00+0200
AT,I551,2024-10,6270277,2026-09-11T23:00:00+0200
AT,I551,2024-11,4109567,2026-09-11T23:00:00+0200
AT,I551,2024-12,8014799,2026-09-11T23:00:00+0200
AT,I551,2025-01,9320855,2026-09-11T23:00:00+0200
AT,I551,2025-02,9567631,2026-09-11T23:00:00+0200
AT,I551,2025-03,7691422,2026-09-11T23:00:00+0200
AT,I551,2025-04,5330170,2026-09-11T23:00:00+0200
AT,I551,2025-05,5595571,2026-09-11T23:00:00+0200
AT,I551,2025-06,7823658,2026-09-11T23:00:00+0200
AT,I551,2025-07,9934549,2026-09-11T23:00:00+0200
AT,I551,2025-08,11322492,2026-09-11T23:00:00+0200
AT,I551,2025-09,7874574,2026-09-11T23:00:00+0200
AT,I551,2025-10,6397157,2026-09-11T23:00:00+0200
AT,I551,2025-11,4273462,2026-09-11T23:00:00+0200
AT,I551,2025-12,8696348,2026-09-11T23:00:00+0200
AT,I551,2026-01,9551022,2026-09-11T23:00:00+0200
AT,I551,2026-02,10117665,2026-09-11T23:00:00+0200
AT,I551,2026-03,7503866,2026-09-11T23:00:00+0200
AT,I551,2026-04,5137401,2026-09-11T23:00:00+0200
AT,I551,2026-05,6048041,2026-09-11T23:00:00+0200
AT,I551,2026-06,7633594,2026-09-11T23:00:00+0200
AT,I551-I553,2015-01,11166722,2026-09-11T23:00:00+0200
AT,I551-I553,2015-02,13115139,2026-09-11T23:00:00+0200
AT,I551-I553,2015-03,10240054,2026-09-11T23:00:00+0200
AT,I551-I553,2015-04,6179178,2026-09-11T23:00:00+0200
AT,I551-I553,2015-05,6600771,2026-09-11T23:00:00+0200
AT,I551-I553,2015-06,8780798,2026-09-11T23:00:00+0200
AT,I551-I553,2015-07,13357814,2026-09-11T23:00:00+0200
AT,I551-I553,2015-08,15536546,2026-09-11T23:00:00+0200
AT,I551-I553,2015-09,9300415,2026-09-11T23:00:00+0200
AT,I551-I553,2015-10,6262680,2026-09-11T23:00:00+0200
AT,I551-I553,2015-11,4190625,2026-09-11T23:00:00+0200
AT,I551-I553,2015-12,8667921,2026-09-11T23:00:00+0200
AT,I551-I553,2016-01,11385155,2026-09-11T23:00:00+0200
AT,I551-I553,2016-02,13578525,2026-09-11T23:00:00+0200
AT,I551-I553,2016-03,12466660,2026-09-11T23:00:00+0200
AT,I551-I553,2016-04,5266850,2026-09-11T23:00:00+0200
AT,I551-I553,2016-05,7183131,2026-09-11T23:00:00+0200
AT,I551-I553,2016-06,8300971,2026-09-11T23:00:00+0200
AT,I551-I553,2016-07,14238871,2026-09-11T23:00:00+0200
AT,I551-I553,2016-08,16319834,2026-09-11T23:00:00+0200
AT,I551-I553,2016-09,9790662,2026-09-11T23:00:00+0200
AT,I551-I553,2016-10,6858899,2026-09-11T23:00:00+0200
AT,I551-I553,2016-11,4310786,2026-09-11T23:00:00+0200
AT,I551-I553,2016-12,8256909,2026-09-11T23:00:00+0200
AT,I551-I553,2017-01,11697401,2026-09-11T23:00:00+0200
AT,I551-I553,2017-02,13285022,2026-09-11T23:00:00+0200
AT,I551-I553,2017-03,11299302,2026-09-11T23:00:00+0200
AT,I551-I553,2017-04,7179220,2026-09-11T23:00:00+0200
AT,I551-I553,2017-05,6483415,2026-09-11T23:00:00+0200
AT,I551-I553,2017-06,9893068,2026-09-11T23:00:00+0200
AT,I551-I553,2017-07,14743837,2026-09-11T23:00:00+0200
AT,I551-I553,2017-08,16491458,2026-09-11T23:00:00+0200
AT,I551-I553,2017-09,9761353,2026-09-11T23:00:00+0200
AT,I551-I553,2017-10,7003337,2026-09-11T23:00:00+0200
AT,I551-I553,2017-11,4434501,2026-09-11T23:00:00+0200
AT,I551-I553,2017-12,8854629,2026-09-11T23:00:00+0200
AT,I551-I553,2018-01,12341784,2026-09-11T23:00:00+0200
AT,I551-I553,2018-02,13996480,2026-09-11T23:00:00+0200
AT,I551-I553,2018-03,12527209,2026-09-11T23:00:00+0200
AT,I551-I553,2018-04,6376455,2026-09-11T23:00:00+0200
AT,I551-I553,2018-05,7519381,2026-09-11T23:00:00+0200
AT,I551-I553,2018-06,9509098,2026-09-11T23:00:00+0200
AT,I551-I553,2018-07,15217204,2026-09-11T23:00:00+0200
AT,I551-I553,2018-08,16341361,2026-09-11T23:00:00+0200
AT,I551-I553,2018-09,9907819,2026-09-11T23:00:00+0200
AT,I551-I553,2018-10,7206373,2026-09-11T23:00:00+0200
AT,I551-I553,2018-11,4785286,2026-09-11T23:00:00+0200
AT,I551-I553,2018-12,9500720,2026-09-11T23:00:00+0200
AT,I551-I553,2019-01,12189270,2026-09-11T23:00:00+0200
AT,I551-I553,2019-02,13816816,2026-09-11T23:00:00+0200
AT,I551-I553,2019-03,12157412,2026-09-11T23:00:00+0200
AT,I551-I553,2019-04,7172743,2026-09-11T23:00:00+0200
AT,I551-I553,2019-05,6708899,2026-09-11T23:00:00+0200
AT,I551-I553,2019-06,10975695,2026-09-11T23:00:00+0200
AT,I551-I553,2019-07,15578211,2026-09-11T23:00:00+0200
AT,I551-I553,2019-08,16715852,2026-09-11T23:00:00+0200
AT,I551-I553,2019-09,10028049,2026-09-11T23:00:00+0200
AT,I551-I553,2019-10,7599877,2026-09-11T23:00:00+0200
AT,I551-I553,2019-11,4859122,2026-09-11T23:00:00+0200
AT,I551-I553,2019-12,10088601,2026-09-11T23:00:00+0200
AT,I551-I553,2020-01,12950026,2026-09-11T23:00:00+0200
AT,I551-I553,2020-02,15250683,2026-09-11T23:00:00+0200
AT,I551-I553,2020-03,4947239,2026-09-11T23:00:00+0200
AT,I551-I553,2020-04,191886,2026-09-11T23:00:00+0200
AT,I551-I553,2020-05,630104,2026-09-11T23:00:00+0200
AT,I551-I553,2020-06,4405685,2026-09-11T23:00:00+0200
AT,I551-I553,2020-07,12514315,2026-09-11T23:00:00+0200
AT,I551-I553,2020-08,14511831,2026-09-11T23:00:00+0200
AT,I551-I553,2020-09,8390793,2026-09-11T23:00:00+0200
AT,I551-I553,2020-10,3775127,2026-09-11T23:00:00+0200
AT,I551-I553,2020-11,913563,2026-09-11T23:00:00+0200
AT,I551-I553,2020-12,652147,2026-09-11T23:00:00+0200
AT,I551-I553,2021-01,670923,2026-09-11T23:00:00+0200
AT,I551-I553,2021-02,755872,2026-09-11T23:00:00+0200
AT,I551-I553,2021-03,941400,2026-09-11T23:00:00+0200
AT,I551-I553,2021-04,902313,2026-09-11T23:00:00+0200
AT,I551-I553,2021-05,2501560,2026-09-11T23:00:00+0200
AT,I551-I553,2021-06,6345585,2026-09-11T23:00:00+0200
AT,I551-I553,2021-07,12738312,2026-09-11T23:00:00+0200
AT,I551-I553,2021-08,16932375,2026-09-11T23:00:00+0200
AT,I551-I553,2021-09,10092280,2026-09-11T23:00:00+0200
AT,I551-I553,2021-10,7037240,2026-09-11T23:00:00+0200
AT,I551-I553,2021-11,2911745,2026-09-11T23:00:00+0200
AT,I551-I553,2021-12,4879234,2026-09-11T23:00:00+0200
AT,I551-I553,2022-01,8120750,2026-09-11T23:00:00+0200
AT,I551-I553,2022-02,10378344,2026-09-11T23:00:00+0200
AT,I551-I553,2022-03,9918831,2026-09-11T23:00:00+0200
AT,I551-I553,2022-04,6509095,2026-09-11T23:00:00+0200
AT,I551-I553,2022-05,6418277,2026-09-11T23:00:00+0200
AT,I551-I553,2022-06,10395234,2026-09-11T23:00:00+0200
AT,I551-I553,2022-07,14982221,2026-09-11T23:00:00+0200
AT,I551-I553,2022-08,17165927,2026-09-11T23:00:00+0200
AT,I551-I553,2022-09,10175196,2026-09-11T23:00:00+0200
AT,I551-I553,2022-10,7411926,2026-09-11T23:00:00+0200
AT,I551-I553,2022-11,4451046,2026-09-11T23:00:00+0200
AT,I551-I553,2022-12,9135849,2026-09-11T23:00:00+0200
AT,I551-I553,2023-01,12249035,2026-09-11T23:00:00+0200
AT,I551-I553,2023-02,13787781,2026-09-11T23:00:00+0200
AT,I551-I553,2023-03,10792722,2026-09-11T23:00:00+0200
AT,I551-I553,2023-04,7128252,2026-09-11T23:00:00+0200
AT,I551-I553,2023-05,7330281,2026-09-11T23:00:00+0200
AT,I551-I553,2023-06,10915394,2026-09-11T23:00:00+0200
AT,I551-I553,2023-07,15677019,2026-09-11T23:00:00+0200
AT,I551-I553,2023-08,16962830,2026-09-11T23:00:00+0200
AT,I551-I553,2023-09,10708506,2026-09-11T23:00:00+0200
AT,I551-I553,2023-10,7721248,2026-09-11T23:00:00+0200
AT,I551-I553,2023-11,4766592,2026-09-11T23:00:00+0200
AT,I551-I553,2023-12,9726250,2026-09-11T23:00:00+0200
AT,I551-I553,2024-01,12706968,2026-09-11T23:00:00+0200
AT,I551-I553,2024-02,14667983,2026-09-11T23:00:00+0200
AT,I551-I553,2024-03,11686261,2026-09-11T23:00:00+0200
AT,I551-I553,2024-04,5898803,2026-09-11T23:00:00+0200
AT,I551-I553,2024-05,8369744,2026-09-11T23:00:00+0200
AT,I551-I553,2024-06,10331001,2026-09-11T23:00:00+0200
AT,I551-I553,2024-07,15764666,2026-09-11T23:00:00+0200
AT,I551-I553,2024-08,17714380,2026-09-11T23:00:00+0200
AT,I551-I553,2024-09,10008645,2026-09-11T23:00:00+0200
AT,I551-I553,2024-10,8135552,2026-09-11T23:00:00+0200
AT,I551-I553,2024-11,5139618,2026-09-11T23:00:00+0200
AT,I551-I553,2024-12,10777612,2026-09-11T23:00:00+0200
AT,I551-I553,2025-01,13228025,2026-09-11T23:00:00+0200
AT,I551-I553,2025-02,13744620,2026-09-11T23:00:00+0200
AT,I551-I553,2025-03,10736324,2026-09-11T23:00:00+0200
AT,I551-I553,2025-04,7350823,2026-09-11T23:00:00+0200
AT,I551-I553,2025-05,7674188,2026-09-11T23:00:00+0200
AT,I551-I553,2025-06,11795683,2026-09-11T23:00:00+0200
AT,I551-I553,2025-07,15602893,2026-09-11T23:00:00+0200
AT,I551-I553,2025-08,17906369,2026-09-11T23:00:00+0200
AT,I551-I553,2025-09,10857675,2026-09-11T23:00:00+0200
AT,I551-I553,2025-10,8330954,2026-09-11T23:00:00+0200
AT,I551-I553,2025-11,5365281,2026-09-11T23:00:00+0200
AT,I551-I553,2025-12,11864669,2026-09-11T23:00:00+0200
AT,I551-I553,2026-01,13690320,2026-09-11T23:00:00+0200
AT,I551-I553,2026-02,14634076,2026-09-11T23:00:00+0200
AT,I551-I553,2026-03,10465074,2026-09-11T23:00:00+0200
AT,I551-I553,2026-04,6994854,2026-09-11T23:00:00+0200
AT,I551-I553,2026-05,8616613,2026-09-11T23:00:00+0200
AT,I551-I553,2026-06,11309467,2026-09-11T23:00:00+0200
AT,I552,2015-01,2441686,2026-09-11T23:00:00+0200
AT,I552,2015-02,2933277,2026-09-11T23:00:00+0200
AT,I552,2015-03,2169168,2026-09-11T23:00:00+0200
AT,I552,2015-04,1072284,2026-09-11T23:00:00+0200
AT,I552,2015-05,1026238,2026-09-11T23:00:00+0200
AT,I552,2015-06,1333514,2026-09-11T23:00:00+0200
AT,I552,2015-07,2442959,2026-09-11T23:00:00+0200
AT,I552,2015-08,2847690,2026-09-11T23:00:00+0200
AT,I552,2015-09,1333899,2026-09-11T23:00:00+0200
AT,I552,2015-10,882768,2026-09-11T23:00:00+0200
AT,I552,2015-11,615669,2026-09-11T23:00:00+0200
AT,I552,2015-12,1550856,2026-09-11T23:00:00+0200
AT,I552,2016-01,2555454,2026-09-11T23:00:00+0200
AT,I552,2016-02,3128010,2026-09-11T23:00:00+0200
AT,I552,2016-03,2726831,2026-09-11T23:00:00+0200
AT,I552,2016-04,889815,2026-09-11T23:00:00+0200
AT,I552,2016-05,1118179,2026-09-11T23:00:00+0200
AT,I552,2016-06,1287244,2026-09-11T23:00:00+0200
AT,I552,2016-07,2633484,2026-09-11T23:00:00+0200
AT,I552,2016-08,3022261,2026-09-11T23:00:00+0200
AT,I552,2016-09,1443829,2026-09-11T23:00:00+0200
AT,I552,2016-10,985402,2026-09-11T23:00:00+0200
AT,I552,2016-11,681867,2026-09-11T23:00:00+0200
AT,I552,2016-12,1468847,2026-09-11T23:00:00+0200
AT,I552,2017-01,2667903,2026-09-11T23:00:00+0200
AT,I552,2017-02,3098349,2026-09-11T23:00:00+0200
AT,I552,2017-03,2534986,2026-09-11T23:00:00+0200
AT,I552,2017-04,1360315,2026-09-11T23:00:00+0200
AT,I552,2017-05,1054870,2026-09-11T23:00:00+0200
AT,I552,2017-06,1569452,2026-09-11T23:00:00+0200
AT,I552,2017-07,2838019,2026-09-11T23:00:00+0200
AT,I552,2017-08,3140217,2026-09-11T23:00:00+0200
AT,I552,2017-09,1457761,2026-09-11T23:00:00+0200
AT,I552,2017-10,1046054,2026-09-11T23:00:00+0200
AT,I552,2017-11,698296,2026-09-11T23:00:00+0200
AT,I552,2017-12,1639656,2026-09-11T23:00:00+0200
AT,I552,2018-01,2903180,2026-09-11T23:00:00+0200
AT,I552,2018-02,3321803,2026-09-11T23:00:00+0200
AT,I552,2018-03,2880145,2026-09-11T23:00:00+0200
AT,I552,2018-04,1129794,2026-09-11T23:00:00+0200
AT,I552,2018-05,1230107,2026-09-11T23:00:00+0200
AT,I552,2018-06,1535200,2026-09-11T23:00:00+0200
AT,I552,2018-07,3014285,2026-09-11T23:00:00+0200
AT,I552,2018-08,3160476,2026-09-11T23:00:00+0200
AT,I552,2018-09,1495556,2026-09-11T23:00:00+0200
AT,I552,2018-10,1101966,2026-09-11T23:00:00+0200
AT,I552,2018-11,771572,2026-09-11T23:00:00+0200
AT,I552,2018-12,1844629,2026-09-11T23:00:00+0200
AT,I552,2019-01,2894411,2026-09-11T23:00:00+0200
AT,I552,2019-02,3371086,2026-09-11T23:00:00+0200
AT,I552,2019-03,2781718,2026-09-11T23:00:00+0200
AT,I552,2019-04,1395231,2026-09-11T23:00:00+0200
AT,I552,2019-05,1136675,2026-09-11T23:00:00+0200
AT,I552,2019-06,1812936,2026-09-11T23:00:00+0200
AT,I552,2019-07,3181794,2026-09-11T23:00:00+0200
AT,I552,2019-08,3273464,2026-09-11T23:00:00+0200
AT,I552,2019-09,1554329,2026-09-11T23:00:00+0200
AT,I552,2019-10,1232339,2026-09-11T23:00:00+0200
AT,I552,2019-11,811577,2026-09-11T23:00:00+0200
AT,I552,2019-12,2035984,2026-09-11T23:00:00+0200
AT,I552,2020-01,3127112,2026-09-11T23:00:00+0200
AT,I552,2020-02,3809998,2026-09-11T23:00:00+0200
AT,I552,2020-03,1289302,2026-09-11T23:00:00+0200
AT,I552,2020-04,39169,2026-09-11T23:00:00+0200
AT,I552,2020-05,123294,2026-09-11T23:00:00+0200
AT,I552,2020-06,765118,2026-09-11T23:00:00+0200
AT,I552,2020-07,2548432,2026-09-11T23:00:00+0200
AT,I552,2020-08,2966411,2026-09-11T23:00:00+0200
AT,I552,2020-09,1455757,2026-09-11T23:00:00+0200
AT,I552,2020-10,760465,2026-09-11T23:00:00+0200
AT,I552,2020-11,351391,2026-09-11T23:00:00+0200
AT,I552,2020-12,263193,2026-09-11T23:00:00+0200
AT,I552,2021-01,280145,2026-09-11T23:00:00+0200
AT,I552,2021-02,301134,2026-09-11T23:00:00+0200
AT,I552,2021-03,347014,2026-09-11T23:00:00+0200
AT,I552,2021-04,347222,2026-09-11T23:00:00+0200
AT,I552,2021-05,561500,2026-09-11T23:00:00+0200
AT,I552,2021-06,1075735,2026-09-11T23:00:00+0200
AT,I552,2021-07,2580175,2026-09-11T23:00:00+0200
AT,I552,2021-08,3432373,2026-09-11T23:00:00+0200
AT,I552,2021-09,1707981,2026-09-11T23:00:00+0200
AT,I552,2021-10,1234907,2026-09-11T23:00:00+0200
AT,I552,2021-11,631795,2026-09-11T23:00:00+0200
AT,I552,2021-12,1265974,2026-09-11T23:00:00+0200
AT,I552,2022-01,2117853,2026-09-11T23:00:00+0200
AT,I552,2022-02,2760129,2026-09-11T23:00:00+0200
AT,I552,2022-03,2562748,2026-09-11T23:00:00+0200
AT,I552,2022-04,1429039,2026-09-11T23:00:00+0200
AT,I552,2022-05,1205457,2026-09-11T23:00:00+0200
AT,I552,2022-06,1930421,2026-09-11T23:00:00+0200
AT,I552,2022-07,3171024,2026-09-11T23:00:00+0200
AT,I552,2022-08,3651809,2026-09-11T23:00:00+0200
AT,I552,2022-09,1801596,2026-09-11T23:00:00+0200
AT,I552,2022-10,1324712,2026-09-11T23:00:00+0200
AT,I552,2022-11,831723,2026-09-11T23:00:00+0200
AT,I552,2022-12,2028232,2026-09-11T23:00:00+0200
AT,I552,2023-01,3317141,2026-09-11T23:00:00+0200
AT,I552,2023-02,3824558,2026-09-11T23:00:00+0200
AT,I552,2023-03,2867369,2026-09-11T23:00:00+0200
AT,I552,2023-04,1572808,2026-09-11T23:00:00+0200
AT,I552,2023-05,1414541,2026-09-11T23:00:00+0200
AT,I552,2023-06,2096621,2026-09-11T23:00:00+0200
AT,I552,2023-07,3589110,2026-09-11T23:00:00+0200
AT,I552,2023-08,3911766,2026-09-11T23:00:00+0200
AT,I552,2023-09,1940323,2026-09-11T23:00:00+0200
AT,I552,2023-10,1433484,2026-09-11T23:00:00+0200
AT,I552,2023-11,903904,2026-09-11T23:00:00+0200
AT,I552,2023-12,2248753,2026-09-11T23:00:00+0200
AT,I552,2024-01,3611408,2026-09-11T23:00:00+0200
AT,I552,2024-02,4238506,2026-09-11T23:00:00+0200
AT,I552,2024-03,3169598,2026-09-11T23:00:00+0200
AT,I552,2024-04,1283948,2026-09-11T23:00:00+0200
AT,I552,2024-05,1664564,2026-09-11T23:00:00+0200
AT,I552,2024-06,2007901,2026-09-11T23:00:00+0200
AT,I552,2024-07,3659941,2026-09-11T23:00:00+0200
AT,I552,2024-08,4064638,2026-09-11T23:00:00+0200
AT,I552,2024-09,1844064,2026-09-11T23:00:00+0200
AT,I552,2024-10,1572797,2026-09-11T23:00:00+0200
AT,I552,2024-11,987324,2026-09-11T23:00:00+0200
AT,I552,2024-12,2587670,2026-09-11T23:00:00+0200
AT,I552,2025-01,3734839,2026-09-11T23:00:00+0200
AT,I552,2025-02,4030636,2026-09-11T23:00:00+0200
AT,I552,2025-03,2910234,2026-09-11T23:00:00+0200
AT,I552,2025-04,1663467,2026-09-11T23:00:00+0200
AT,I552,2025-05,1504471,2026-09-11T23:00:00+0200
AT,I552,2025-06,2336687,2026-09-11T23:00:00+0200
AT,I552,2025-07,3692035,2026-09-11T23:00:00+0200
AT,I552,2025-08,4241451,2026-09-11T23:00:00+0200
AT,I552,2025-09,2060246,2026-09-11T23:00:00+0200
AT,I552,2025-10,1643743,2026-09-11T23:00:00+0200
AT,I552,2025-11,1043839,2026-09-11T23:00:00+0200
AT,I552,2025-12,2969672,2026-09-11T23:00:00+0200
AT,I552,2026-01,3961242,2026-09-11T23:00:00+0200
AT,I552,2026-02,4330009,2026-09-11T23:00:00+0200
AT,I552,2026-03,2840572,2026-09-11T23:00:00+0200
AT,I552,2026-04,1610204,2026-09-11T23:00:00+0200
AT,I552,2026-05,1778852,2026-09-11T23:00:00+0200
AT,I552,2026-06,2285976,2026-09-11T23:00:00+0200
AT,I553,2015-01,114444,2026-09-11T23:00:00+0200
AT,I553,2015-02,128504,2026-09-11T23:00:00+0200
AT,I553,2015-03,85578,2026-09-11T23:00:00+0200
AT,I553,2015-04,130276,2026-09-11T23:00:00+0200
AT,I553,2015-05,349436,2026-09-11T23:00:00+0200
AT,I553,2015-06,675179,2026-09-11T23:00:00+0200
AT,I553,2015-07,1543794,2026-09-11T23:00:00+0200
AT,I553,2015-08,1685114,2026-09-11T23:00:00+0200
AT,I553,2015-09,472431,2026-09-11T23:00:00+0200
AT,I553,2015-10,112718,2026-09-11T23:00:00+0200
AT,I553,2015-11,29087,2026-09-11T23:00:00+0200
AT,I553,2015-12,126463,2026-09-11T23:00:00+0200
AT,I553,2016-01,116407,2026-09-11T23:00:00+0200
AT,I553,2016-02,132035,2026-09-11T23:00:00+0200
AT,I553,2016-03,144641,2026-09-11T23:00:00+0200
AT,I553,2016-04,104499,2026-09-11T23:00:00+0200
AT,I553,2016-05,445622,2026-09-11T23:00:00+0200
AT,I553,2016-06,569242,2026-09-11T23:00:00+0200
AT,I553,2016-07,1608971,2026-09-11T23:00:00+0200
AT,I553,2016-08,1897979,2026-09-11T23:00:00+0200
AT,I553,2016-09,620032,2026-09-11T23:00:00+0200
AT,I553,2016-10,146108,2026-09-11T23:00:00+0200
AT,I553,2016-11,28303,2026-09-11T23:00:00+0200
AT,I553,2016-12,117579,2026-09-11T23:00:00+0200
AT,I553,2017-01,134533,2026-09-11T23:00:00+0200
