period,nature,paying_passengers,rpk
2016-01,INTERNACIONAL,2084580.0,12235954922.0
2016-02,INTERNACIONAL,1733622.0,10129760176.0
2016-03,INTERNACIONAL,1632616.0,9615831459.0
2016-04,INTERNACIONAL,1589426.0,9690240094.0
2016-05,INTERNACIONAL,1642778.0,10142521492.0
2016-06,INTERNACIONAL,1612226.0,9954136415.0
2016-07,INTERNACIONAL,1899575.0,11249474090.0
2016-08,INTERNACIONAL,1840833.0,11241813287.0
2016-09,INTERNACIONAL,1731192.0,10469843165.0
2016-10,INTERNACIONAL,1755474.0,10574278967.0
2016-11,INTERNACIONAL,1612089.0,9498824226.0
2016-12,INTERNACIONAL,1795138.0,10654611267.0
2017-01,INTERNACIONAL,2015599.0,11570088124.0
2017-02,INTERNACIONAL,1707029.0,9660886028.0
2017-03,INTERNACIONAL,1766078.0,10201474077.0
2017-04,INTERNACIONAL,1668709.0,9833639929.0
2017-05,INTERNACIONAL,1684481.0,10219013211.0
2017-06,INTERNACIONAL,1660469.0,10204421460.0
2017-07,INTERNACIONAL,2048988.0,11854907639.0
2017-08,INTERNACIONAL,1860067.0,10941156305.0
2017-09,INTERNACIONAL,1821927.0,10757854408.0
2017-10,INTERNACIONAL,1869077.0,11029377575.0
2017-11,INTERNACIONAL,1765128.0,10257286539.0
2017-12,INTERNACIONAL,2023939.0,11768930962.0
2018-01,INTERNACIONAL,2355539.0,13174079216.0
2018-02,INTERNACIONAL,1996549.0,11138771444.0
2018-03,INTERNACIONAL,1978246.0,11278186017.0
2018-04,INTERNACIONAL,1877895.0,10857627900.0
2018-05,INTERNACIONAL,1890281.0,11406705457.0
2018-06,INTERNACIONAL,1816285.0,11343179711.0
2018-07,INTERNACIONAL,2188427.0,12878735061.0
2018-08,INTERNACIONAL,2048097.0,12178172690.0
2018-09,INTERNACIONAL,1974276.0,11755290247.0
2018-10,INTERNACIONAL,1920211.0,11492785815.0
2018-11,INTERNACIONAL,1907594.0,11256249436.0
2018-12,INTERNACIONAL,2173858.0,12850488103.0
2019-01,INTERNACIONAL,2425757.0,13736967370.0
2019-02,INTERNACIONAL,2016646.0,11325660170.0
2019-03,INTERNACIONAL,2089106.0,12144410828.0
2019-04,INTERNACIONAL,1878228.0,11206251045.0
2019-05,INTERNACIONAL,1908558.0,11643925646.0
2019-06,INTERNACIONAL,1917662.0,11676349385.0
2019-07,INTERNACIONAL,2207998.0,12981414260.0
2019-08,INTERNACIONAL,2048758.0,12195370720.0
2019-09,INTERNACIONAL,1919946.0,11628365827.0
2019-10,INTERNACIONAL,1881013.0,11511436587.0
2019-11,INTERNACIONAL,1807053.0,10980320003.0
2019-12,INTERNACIONAL,2069104.0,12457795272.0
2020-01,INTERNACIONAL,2283527.0,13340808290.0
2020-02,INTERNACIONAL,1965866.0,11396560161.0
2020-03,INTERNACIONAL,1171429.0,6988313618.0
2020-04,INTERNACIONAL,39380.0,311364519.0
2020-05,INTERNACIONAL,52258.0,401023518.0
2020-06,INTERNACIONAL,67720.0,539532696.0
2020-07,INTERNACIONAL,88436.0,721550833.0
2020-08,INTERNACIONAL,120106.0,965212161.0
2020-09,INTERNACIONAL,145141.0,1128713712.0
2020-10,INTERNACIONAL,193314.0,1434998528.0
2020-11,INTERNACIONAL,236972.0,1620264746.0
2020-12,INTERNACIONAL,406125.0,2808574117.0
2021-01,INTERNACIONAL,389191.0,2634684542.0
2021-02,INTERNACIONAL,198932.0,1292474291.0
2021-03,INTERNACIONAL,188726.0,1299271763.0
2021-04,INTERNACIONAL,165515.0,1216432629.0
2021-05,INTERNACIONAL,196791.0,1409604124.0
2021-06,INTERNACIONAL,242519.0,1769682431.0
2021-07,INTERNACIONAL,346939.0,2560315691.0
2021-08,INTERNACIONAL,393731.0,2909506279.0
2021-09,INTERNACIONAL,412306.0,3052012718.0
2021-10,INTERNACIONAL,543403.0,3972420506.0
2021-11,INTERNACIONAL,742223.0,5040627117.0
2021-12,INTERNACIONAL,1012286.0,6893973726.0
2022-01,INTERNACIONAL,1062363.0,6920231104.0
2022-02,INTERNACIONAL,928324.0,6045186122.0
2022-03,INTERNACIONAL,1082763.0,7083898513.0
2022-04,INTERNACIONAL,1160269.0,7574380568.0
2022-05,INTERNACIONAL,1223072.0,8052612747.0
2022-06,INTERNACIONAL,1257812.0,8311376538.0
2022-07,INTERNACIONAL,1506002.0,9552496540.0
2022-08,INTERNACIONAL,1444567.0,9164730970.0
2022-09,INTERNACIONAL,1428622.0,9005473847.0
2022-10,INTERNACIONAL,1517843.0,9528921601.0
2022-11,INTERNACIONAL,1491362.0,9520637782.0
2022-12,INTERNACIONAL,1660584.0,10399142594.0
2023-01,INTERNACIONAL,1911497.0,11281811278.0
2023-02,INTERNACIONAL,1620897.0,9704848772.0
2023-03,INTERNACIONAL,1671938.0,10285458007.0
2023-04,INTERNACIONAL,1593903.0,9847913384.0
2023-05,INTERNACIONAL,1609863.0,10166341898.0
2023-06,INTERNACIONAL,1668885.0,10439897738.0
2023-07,INTERNACIONAL,1951332.0,11547947482.0
2023-08,INTERNACIONAL,1876723.0,11328049431.0
2023-09,INTERNACIONAL,1859558.0,11253639235.0
2023-10,INTERNACIONAL,1918153.0,11628938184.0
2023-11,INTERNACIONAL,1866802.0,11131043454.0
2023-12,INTERNACIONAL,2031574.0,12258281844.0
2024-01,INTERNACIONAL,2356598.0,13435566722.0
2024-02,INTERNACIONAL,2089301.0,11981314621.0
2024-03,INTERNACIONAL,2025373.0,11959334871.0
2024-04,INTERNACIONAL,1864204.0,11259280120.0
2024-05,INTERNACIONAL,1932111.0,11871820147.0
2024-06,INTERNACIONAL,1963370.0,11945560002.0
2024-07,INTERNACIONAL,2355265.0,13458457881.0
2024-08,INTERNACIONAL,2202279.0,12857521313.0
2024-09,INTERNACIONAL,2112156.0,12576410672.0
2024-10,INTERNACIONAL,2184392.0,13126039628.0
2024-11,INTERNACIONAL,2165915.0,12900255315.0
2024-12,INTERNACIONAL,2407965.0,14264816611.0
2025-01,INTERNACIONAL,2761428.0,15378233025.0
2025-02,INTERNACIONAL,2400393.0,13148251253.0
2025-03,INTERNACIONAL,2432188.0,13914304243.0
2025-04,INTERNACIONAL,2196766.0,12940511919.0
2025-05,INTERNACIONAL,2199103.0,13300661625.0
2025-06,INTERNACIONAL,2226740.0,13366177176.0
2025-07,INTERNACIONAL,2697539.0,15159052043.0
2025-08,INTERNACIONAL,2514594.0,14515526875.0
2025-09,INTERNACIONAL,2361127.0,13919060123.0
2025-10,INTERNACIONAL,2411722.0,14549529877.0
2025-11,INTERNACIONAL,2398076.0,14114051057.0
2025-12,INTERNACIONAL,2668875.0,15647569184.0
2026-01,INTERNACIONAL,3149258.0,17109078909.0
2026-02,INTERNACIONAL,2794671.0,15032616392.0
2026-03,INTERNACIONAL,2672631.0,14491657532.0
2026-04,INTERNACIONAL,2285301.0,13262526976.0
2026-05,INTERNACIONAL,2300194.0,14043440402.0
2026-06,INTERNACIONAL,2213870.0,13540308009.0
2026-07,INTERNACIONAL,2785300.0,15820632668.0
