geo,c_resid,period,value
EU27_2020,TOTAL,2023,2943247398
EU27_2020,TOTAL,2024,3021911702
FR,TOTAL,2015,410052887
FR,TOTAL,2016,404763426
FR,TOTAL,2017,433058728
FR,TOTAL,2018,442760050
FR,TOTAL,2019,446553868
FR,TOTAL,2020,257875315
FR,TOTAL,2021,324389046
FR,TOTAL,2022,449792261
FR,TOTAL,2023,460271796
FR,TOTAL,2024,457644262
FR,TOTAL,2025,471652349
HR,TOTAL,2015,71339000
HR,TOTAL,2016,77824114
HR,TOTAL,2017,86094847
HR,TOTAL,2018,89567653
HR,TOTAL,2019,91178083
HR,TOTAL,2020,40771344
HR,TOTAL,2021,70171684
HR,TOTAL,2022,90005383
HR,TOTAL,2023,92341148
HR,TOTAL,2024,93643696
HR,TOTAL,2025,94785576
HU,TOTAL,2015,27542898
HU,TOTAL,2016,29291168
HU,TOTAL,2017,31608719
HU,TOTAL,2018,32830120
HU,TOTAL,2019,33199961
HU,TOTAL,2020,14598682
HU,TOTAL,2021,17370771
HU,TOTAL,2022,29446040
HU,TOTAL,2023,30488308
HU,TOTAL,2024,31802810
HU,TOTAL,2025,33075720
IE,TOTAL,2015,29710054
IE,TOTAL,2016,31105668
IE,TOTAL,2018,35071345
IE,TOTAL,2019,32580794
IE,TOTAL,2020,16140254
IE,TOTAL,2021,14930451
IE,TOTAL,2022,34930828
IE,TOTAL,2023,40636150
IE,TOTAL,2024,41677951
IT,TOTAL,2015,392874070
IT,TOTAL,2016,402962113
IT,TOTAL,2017,420629155
IT,TOTAL,2018,428844937
IT,TOTAL,2019,436739271
IT,TOTAL,2020,208447085
IT,TOTAL,2021,289178142
IT,TOTAL,2022,412008532
IT,TOTAL,2023,447170049
IT,TOTAL,2024,466158045
IT,TOTAL,2025,535463245
NL,TOTAL,2015,103534302
NL,TOTAL,2016,106212858
NL,TOTAL,2017,111697814
NL,TOTAL,2018,116081577
NL,TOTAL,2019,123442571
NL,TOTAL,2020,85414861
NL,TOTAL,2021,101094277
NL,TOTAL,2022,132638265
NL,TOTAL,2023,142272461
NL,TOTAL,2024,145369331
PL,TOTAL,2015,71234421
PL,TOTAL,2016,79393860
PL,TOTAL,2017,83880915
PL,TOTAL,2018,88860463
PL,TOTAL,2019,93342738
PL,TOTAL,2020,51377168
PL,TOTAL,2021,62837520
PL,TOTAL,2022,89953799
PL,TOTAL,2023,92797861
PL,TOTAL,2024,97648143
PT,TOTAL,2015,59419938
PT,TOTAL,2016,66014226
PT,TOTAL,2017,72035786
PT,TOTAL,2018,74407596
PT,TOTAL,2019,77594254
PT,TOTAL,2020,30157800
PT,TOTAL,2021,42444419
PT,TOTAL,2022,76947985
PT,TOTAL,2023,84886830
PT,TOTAL,2024,88073583
PT,TOTAL,2025,89427522
SE,TOTAL,2015,55611847
SE,TOTAL,2016,57234148
SE,TOTAL,2017,58683201
SE,TOTAL,2018,60856874
SE,TOTAL,2019,63175281
SE,TOTAL,2020,39804561
SE,TOTAL,2021,50044620
SE,TOTAL,2022,62925559
SE,TOTAL,2023,63896119
SE,TOTAL,2024,64116085
SE,TOTAL,2025,65611668
