variable,activity,period,value
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-06,115.58605
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-07,115.56201
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-08,113.70638
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-09,114.53009
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-10,113.675
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-11,115.18355
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2011-12,114.02099
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-01,114.20763
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-02,114.02595
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-03,113.50355
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-04,112.79293
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-05,115.44686
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-06,114.61804
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-07,113.075
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-08,115.51044
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-09,115.68569
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-10,115.38912
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-11,118.3478
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2012-12,115.09698
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-01,113.55548
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-02,113.52128
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-03,115.30521
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-04,115.95733
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-05,115.24904
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-06,114.92769
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-07,117.11068
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-08,116.94553
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-09,116.59749
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-10,116.576
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-11,116.78155
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2013-12,116.41306
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-01,115.72774
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-02,115.47502
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-03,115.0547
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-04,115.44099
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-05,115.96933
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-06,111.24861
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-07,108.50763
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-08,114.51158
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-09,112.64733
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-10,113.13677
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-11,111.32298
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2014-12,112.35528
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-01,111.63842
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-02,111.2367
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-03,108.60299
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-04,108.06352
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-05,105.46545
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-06,109.27648
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-07,105.10304
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-08,105.0416
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-09,105.55571
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-10,106.59269
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-11,104.64036
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2015-12,105.59114
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-01,106.73453
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-02,106.40509
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-03,103.99126
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-04,103.16703
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-05,100.96573
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-06,100.71617
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-07,99.74044
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-08,101.01976
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-09,99.33938
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-10,99.36206
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-11,99.78826
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2016-12,102.25431
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-01,102.43691
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-02,103.5525
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-03,100.64255
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-04,101.00077
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-05,102.63951
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-06,105.66909
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-07,103.16238
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-08,98.38974
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-09,103.12166
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-10,101.09398
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-11,101.92274
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2017-12,99.30525
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-01,99.72014
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-02,99.58535
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-03,101.86101
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-04,104.08758
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-05,101.92182
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-06,100.51271
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-07,104.45427
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-08,103.97812
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-09,104.31033
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-10,102.72677
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-11,104.93104
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2018-12,104.98241
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-01,106.55563
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-02,105.04241
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-03,106.95524
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-04,106.75935
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-05,105.76207
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-06,106.56684
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-07,106.61871
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-08,104.82177
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-09,104.57273
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-10,106.60021
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-11,104.23939
PMS - Número-índice com ajuste sazonal (2022=100),1.1 Serviços de alojamento e alimentação,2019-12,105.69372
