source,url,access_date,http_status,payload_bytes,cache_file,cache_bytes,sha256,last_period,comment
mexico_banxico_sie,https://www.banxico.org.mx/SieAPIRest/service/v1/series/SE47180/datos,2026-09-12,HTTP 400 without a token,0,,0,,,no access (free registration wall): HTTP 400 without a token; the SIE API needs a free registered token
mexico_upm_boletin,https://www.politicamigratoria.gob.mx/es/PoliticaMigratoria/CuadrosBOLETIN?Anual=2026&Secc=3,2026-09-12,ConnectionError (max retries) on 12 Sep 2026,0,,0,,,no access: ConnectionError (max retries) on 12 Sep 2026
korea_kto_datalab,https://kto.visitkorea.or.kr/eng/tourismStatics/keyFacts/KoreaMonthlyStatistics.kto,2026-09-12,302 to https://knto.or.kr/eng/index,0,,0,,,no access: 302 to https://knto.or.kr/eng/index; the monthly xlsx sits behind the datalab login and JS
italy_istat_sdmx,https://esploradati.istat.it/SDMXWS/rest/dataflow/IT1,2026-09-12,ReadTimeout at 90 s and HTTP 400 on a bare data call,0,,0,,,duplicate of Eurostat IT: ReadTimeout at 90 s and HTTP 400 on a bare data call; Italy taken from Eurostat tour_occ_nim geo=IT instead
greece_bank_of_greece,https://www.bankofgreece.gr/en/statistics/external-sector/balance-of-payments/travel-services,2026-09-12,HTTP 403 to fetchers,0,,0,,,no access: HTTP 403 to fetchers; Greece taken from Eurostat tour_occ_nim geo=EL
greece_hcaa,https://www.ypa.gr/en/profile/statistics/yearstats/,2026-09-12,HTTP 403,0,,0,,,no access: HTTP 403
croatia_evisitor_htz,https://www.htz.hr/en-GB/tourism-in-numbers/arrivals-and-overnights,2026-09-12,HTTP 404 on both language paths,0,,0,,,duplicate of Eurostat HR: HTTP 404 on both language paths; podaci.dzs.hr tourism page has no machine-readable link; Croatia taken from Eurostat geo=HR
france_insee_bdm,https://api.insee.fr/series/BDM/V1/dataflow/FR1/all,2026-09-12,API answers keyless (200) but no dataflow named for hotel or,0,,0,,,duplicate of Eurostat FR: API answers keyless (200) but no dataflow named for hotel or other-accommodation occupancy was found in the 204 KB dataflow list; France taken from Eurostat geo=FR
portugal_ine_alojamento_local,https://www.ine.pt/ine/json_indicador/pindica.jsp?op=2&varcd=0008519&lang=EN,2026-09-12,HTTP 500 on the guessed indicator codes 0008519 and 0008537 ,0,,0,,,"duplicate of Eurostat PT: HTTP 500 on the guessed indicator codes 0008519 and 0008537 (the API works: 0011000 returns 200), code for the alojamento local nights series not resolved in the time box; Portugal taken from Eurostat geo=PT"
uk_ons_ott,https://www.ons.gov.uk/peoplepopulationandcommunity/leisureandtourism/datasets/overseastravelandtourism,2026-09-12,200,0,,0,,,no coverage: 200; the only current file is the annual 2019 to 2023 workbook released 17 May 2024; the monthly series is discontinued (already in G)
japan_mlit_minpaku,https://www.mlit.go.jp/kankocho/minpaku/,2026-09-12,200 landing,0,,0,,,no access (PDF only): 200 landing; the bimonthly private-lodging results are PDF only (no xlsx or csv on the site map)
scotland_stl_licensing,https://www.gov.scot/publications/?term=short-term+lets+licensing+statistics,2026-09-12,"200 search page, no matching publication link",0,,0,,,"wrong asset class (licence counts, not stays): 200 search page, no matching publication link; the statistics are licence application counts (supply), quarterly from Oct 2023"
wales_stl,https://www.gov.wales/,2026-09-12,no short-term let statistical series exists yet (licensing s,0,,0,,,no coverage: no short-term let statistical series exists yet (licensing scheme not live)
nyc_ose_registry,https://www.nyc.gov/site/specialenforcement/registration-law/registration-data.page,2026-09-12,HTTP 404 on the registration-data page,0,,0,,,"wrong asset class (registry counts): HTTP 404 on the registration-data page; the registry is a count of registered hosts (supply), not stays"
texas_hot,https://data.texas.gov/api/catalog/v1?q=hotel%20occupancy%20tax,2026-09-12,200,0,,0,,,no coverage: 200; datasets are annual local HOT reporting 2022 to 2025 by municipality; no monthly or quarterly STR series
florida_dbpr_vacation_rental,https://www2.myfloridalicense.com/,2026-09-12,not probed within the time box,0,,0,,,"wrong asset class (licence counts): not probed within the time box; DBPR publishes licence counts (supply), not stays"
bts_t100,https://www.transtats.bts.gov/DL_SelectFields.aspx?gnoyr_VQ=FIM,2026-09-12,200 but a form-gated download (no direct file URL),0,,0,,,no access: 200 but a form-gated download (no direct file URL); PREZIP path returned 404; FRED mirror timed out; TSA daily throughput already tested in G
japan_immigration_moj,https://www.moj.go.jp/isa/policies/statistics/toukei_ichiran_nyukan.html,2026-09-12,not pulled: JNTO arrivals are compiled from the same immigra,0,,0,,,duplicate of JNTO: not pulled: JNTO arrivals are compiled from the same immigration counts
india_mot_fta,https://tourism.gov.in/,2026-09-12,not probed within the time box,0,,0,,,no access (PDF only): not probed within the time box; monthly foreign tourist arrivals are PIB press releases (PDF)
statcan_24100045,https://www150.statcan.gc.ca/t1/wds/rest/getCubeMetadata (productId 24100045),2026-09-12,200,0,,0,,,"no coverage: 200; Canadian resident trips by destination, quarterly, cube end 2025-10 (released 29 May 2026), so no 2026 data"
ine_eoap_1998,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/1998?nult=200,2026-09-12,200,2421701,raw\ine_eoap_1998_monthly.csv,173413,833fe1766341208cb8545eb2043764430dc41ca972f54b0e461bb57cfeab462e,2026-07,10 national series kept of 120; operation EOAP id 239
census_qss,https://www.census.gov/econ_getzippedfile/?programCode=QSS,2026-09-12,200,602272,raw\census_qss_721_quarterly.csv,23120,a4f6b2166918012fcbddb2439d567d31e12da478e9adcd0d601a71ccf81d2315,2Q26,"data updated Wednesday, 09-Sep-26 09:01:42 EDT; 3Q26 advance is scheduled 19 Nov 2026"
jta_nights,https://www.mlit.go.jp/kankocho/content/002018997.xlsx,2026-09-12,200,1329948,raw\jta_accommodation_nights_monthly.csv,14520,e8d42553fdf3cc7b5f2bf7a8018fcf15991b0ad648652d3e9a7b486ecf0d464b,2026-07,"national total and foreign guest nights (person-nights); Jan 2026 methodology change flagged by JTA (stratification by rooms, not employees); Jul 2026 preliminary 54.67m total is in a separate first-release file"
nz_mbie_adp,https://teic.mbie.govt.nz/assets/adp/ADP_All_Measures.csv,2026-09-12,200,34318798,raw\nz_adp_national_monthly.csv,189222,215363d4f28f28525cd0d9a675919401a079a336eb79f5b9fb0e1cbf513dc6d8,2026-07,"34.7 MB CSV aggregated to national (sum of RTOs) by property type; properties ['Backpackers', 'Holiday parks & campgrounds', 'Hotels', 'Lodges & boutique accommodation', 'Motels & apartments (6-20)', 'Motels & apartments (>20)', 'Total']; no holiday-home category in this file (commercial accommodation only)"
statcan_liia,"https://www150.statcan.gc.ca/t1/wds/rest/getDataFromCubePidCoordAndLatestNPeriods (productIds 24100056 and 24100058, daily, summed to complete months)",2026-09-12,200,7360283,raw\statcan_liia_monthly.csv,73463,d9cb7ca3665730aed4b2b1ef86c83c601343c4097b517628d4e93cde8c421121,2026-08,10 series from 2017-09; leading indicator published about 10 days after month end; Aug 2026 released 11 Sep 2026
hawaii_vacation_rental,https://files.hawaii.gov/dbedt/economic/tourism/vacation-rental/hawaii-vacation-rental-performance-{ym}.xlsx,2026-09-12,200,5039,raw\hawaii_vacation_rental_monthly.csv,5039,a8ce0ef3abf2eda062dcfb945a5479154ad20e4b6034a52b5d33193b5547198f,2026-07,"19 monthly reports parsed, each carrying current and prior-year values; missing 13: 2024-01:404; 2024-02:404; 2024-03:404; 2024-04:404; 2024-05:404; 2024-06:404; 2024-07:404; 2024-08:404; DBEDT compiles Transparent Intelligence listing data (Airbnb, Vrbo, Booking, TripAdvisor)"
anac_brazil,https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/Base_10_anos.zip,2026-09-12,200,15701597,raw\anac_brazil_passengers_monthly.csv,11395,68291e06e88ee357be892f2af78ad0faa61124575833f925651f0cdd9749cdbc,2026-07,"aggregated in memory from 388,244 flight-month rows; raw csv not kept"
fred_AIRRPMTSID11,https://fred.stlouisfed.org/graph/fredgraph.csv?id=AIRRPMTSID11,2026-09-12,"ConnectionError(ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was f",0,,0,,,FETCH FAILED (fredgraph.csv timed out four times on 12 Sep 2026)
fred_AIRRPMTSII11,https://fred.stlouisfed.org/graph/fredgraph.csv?id=AIRRPMTSII11,2026-09-12,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='fred.stlouisfed.org', port=443): Read timed out. (read",0,,0,,,FETCH FAILED (fredgraph.csv timed out four times on 12 Sep 2026)
