geo,period,value
DE,2019-11,15703175
DE,2019-12,15340457
DE,2020-01,14069946
DE,2020-02,13659950
DE,2020-03,6503935
DE,2020-04,265803
DE,2020-05,397715
DE,2020-06,1323571
DE,2020-07,4556602
DE,2020-08,5618984
DE,2020-09,4300025
DE,2020-10,3663114
DE,2020-11,1547855
DE,2020-12,1888478
DE,2021-01,1648149
DE,2021-02,1196831
DE,2021-03,1791215
DE,2021-04,2087961
DE,2021-05,3010568
DE,2021-06,5164510
DE,2021-07,9394201
DE,2021-08,11199195
DE,2021-09,10618890
DE,2021-10,11859000
DE,2021-11,8207078
DE,2021-12,7419772
DE,2022-01,5846554
DE,2022-02,5953831
DE,2022-03,8800311
DE,2022-04,12754206
DE,2022-05,14791466
DE,2022-06,16268203
DE,2022-07,16935054
DE,2022-08,17545739
DE,2022-09,16823304
DE,2022-10,16681865
DE,2022-11,11651673
DE,2022-12,11250437
DE,2023-01,10254268
DE,2023-02,9916237
DE,2023-03,12373903
DE,2023-04,15045928
DE,2023-05,16855109
DE,2023-06,17751244
DE,2023-07,19365025
DE,2023-08,19569977
DE,2023-09,19120022
DE,2023-10,19078985
DE,2023-11,13227488
DE,2023-12,12721282
DE,2024-01,11442379
DE,2024-02,11416098
DE,2024-03,14117366
DE,2024-04,16339726
DE,2024-05,18639891
DE,2024-06,18843555
DE,2024-07,20105842
DE,2024-08,20659487
DE,2024-09,19936016
DE,2024-10,20060738
DE,2024-11,14134310
DE,2024-12,13860195
DE,2025-01,11785398
DE,2025-02,11629075
DE,2025-03,14323410
DE,2025-04,17540385
DE,2025-05,18812337
DE,2025-06,19521317
DE,2025-07,20663515
DE,2025-08,21723970
DE,2025-09,20692378
DE,2025-10,21201466
DE,2025-11,14752451
DE,2025-12,14594074
DE,2026-01,12184688
DE,2026-02,11951304
DE,2026-03,14735626
DE,2026-04,16290067
DE,2026-05,18866891
DK,2015-01,1854130
DK,2015-02,1872931
DK,2015-03,2282557
DK,2015-04,2402197
DK,2015-05,2631635
DK,2015-06,2895624
DK,2015-07,3195140
DK,2015-08,2927393
DK,2015-09,2845032
DK,2015-10,2822697
DK,2015-11,2261523
DK,2015-12,2104646
DK,2016-01,2064353
DK,2016-02,2159939
DK,2016-03,2538415
DK,2016-04,2569129
DK,2016-05,2904048
DK,2016-06,3140864
DK,2016-07,3480953
DK,2016-08,3131773
DK,2016-09,3053033
DK,2016-10,3042096
DK,2016-11,2398470
DK,2016-12,2280069
DK,2017-01,2208716
DK,2017-02,2208467
DK,2017-03,2548433
DK,2017-04,2736104
DK,2017-05,2954722
DK,2017-06,3192279
DK,2017-07,3531785
DK,2017-08,3191707
DK,2017-09,3092281
DK,2017-10,3030083
DK,2017-11,2357263
DK,2017-12,2209374
DK,2018-01,2183832
DK,2018-02,2218270
DK,2018-03,2691520
DK,2018-04,2841987
DK,2018-05,3156768
DK,2018-06,3387213
DK,2018-07,3686607
DK,2018-08,3371061
DK,2018-09,3239388
DK,2018-10,3147214
DK,2018-11,2478048
DK,2018-12,2299231
DK,2019-01,2233010
DK,2019-02,2260089
DK,2019-03,2652203
DK,2019-04,2884516
DK,2019-05,3075631
DK,2019-06,3401375
DK,2019-07,3640974
DK,2019-08,3416166
DK,2019-09,3273384
DK,2019-10,3168106
DK,2019-11,2443406
DK,2019-12,2331267
DK,2020-01,2247096
DK,2020-02,2274056
DK,2020-03,978517
DK,2020-04,30861
DK,2020-05,49903
DK,2020-06,171539
DK,2020-07,654988
DK,2020-08,726796
DK,2020-09,563206
DK,2020-10,463323
DK,2020-11,217608
DK,2020-12,280761
DK,2021-01,193382
DK,2021-02,116984
DK,2021-03,165610
DK,2021-04,203784
DK,2021-05,288724
DK,2021-06,590578
DK,2021-07,1497600
DK,2021-08,1532329
DK,2021-09,1545364
DK,2021-10,1883441
DK,2021-11,1532790
DK,2021-12,1267231
DK,2022-01,955277
DK,2022-02,1194114
DK,2022-03,1654271
DK,2022-04,2189086
DK,2022-05,2507209
DK,2022-06,2736553
DK,2022-07,3042711
DK,2022-08,2855112
DK,2022-09,2778727
DK,2022-10,2755610
DK,2022-11,2017894
DK,2022-12,1963009
DK,2023-01,1855453
DK,2023-02,1899797
DK,2023-03,2286218
DK,2023-04,2625671
DK,2023-05,2869390
DK,2023-06,3033647
DK,2023-07,3469412
DK,2023-08,3139316
DK,2023-09,3051788
DK,2023-10,3069243
DK,2023-11,2223263
DK,2023-12,2214176
DK,2024-01,1958286
DK,2024-02,2113580
DK,2024-03,2550396
DK,2024-04,2831630
DK,2024-05,3219701
DK,2024-06,3360610
DK,2024-07,3806660
DK,2024-08,3495860
DK,2024-09,3347070
DK,2024-10,3262808
DK,2024-11,2464224
DK,2024-12,2454886
DK,2025-01,2207960
DK,2025-02,2248923
DK,2025-03,2533455
DK,2025-04,2961670
DK,2025-05,3234891
DK,2025-06,3510875
DK,2025-07,3800975
DK,2025-08,3618356
DK,2025-09,3483238
DK,2025-10,3422672
DK,2025-11,2663308
DK,2025-12,2665272
DK,2026-01,2455166
DK,2026-02,2424782
DK,2026-03,2865054
EL,2015-01,1193377
EL,2015-02,1091972
EL,2015-03,1347345
EL,2015-04,2227095
EL,2015-05,4112577
EL,2015-06,5617275
EL,2015-07,7014031
EL,2015-08,7427749
EL,2015-09,5810847
EL,2015-10,3382557
EL,2015-11,1452899
EL,2015-12,1418678
EL,2016-01,1295643
EL,2016-02,1260146
EL,2016-03,1564712
EL,2016-04,2258706
EL,2016-05,4371155
EL,2016-06,5758329
EL,2016-07,7576260
EL,2016-08,7785589
EL,2016-09,6417788
EL,2016-10,4022715
EL,2016-11,1604824
EL,2016-12,1627504
EL,2017-01,1437783
EL,2017-02,1339482
EL,2017-03,1662534
EL,2017-04,2816560
EL,2017-05,4752752
EL,2017-06,6664081
EL,2017-07,8228022
EL,2017-08,8336358
EL,2017-09,7006850
EL,2017-10,4484004
EL,2017-11,1751236
EL,2017-12,1691066
EL,2018-01,1518890
EL,2018-02,1421370
EL,2018-03,1891780
EL,2018-04,3015244
EL,2018-05,5565067
EL,2018-06,7300584
EL,2018-07,8755833
EL,2018-08,8835744
EL,2018-09,7442136
EL,2018-10,4670003
EL,2018-11,1965347
EL,2018-12,1876828
EL,2019-01,1652468
EL,2019-02,1567624
EL,2019-03,1957347
EL,2019-04,3134121
EL,2019-05,5176922
EL,2019-06,7632190
EL,2019-07,8993720
EL,2019-08,9284850
EL,2019-09,7690464
EL,2019-10,4947216
EL,2019-11,2056288
EL,2019-12,1995317
EL,2020-01,1907871
EL,2020-02,1772156
EL,2020-03,853676
EL,2020-04,27068
EL,2020-05,99321
EL,2020-06,388740
EL,2020-07,2419186
EL,2020-08,4170338
EL,2020-09,2957622
EL,2020-10,2082385
EL,2020-11,366805
EL,2020-12,296024
EL,2021-01,289278
EL,2021-02,244293
EL,2021-03,301175
EL,2021-04,404784
EL,2021-05,1020330
EL,2021-06,2765252
EL,2021-07,6143070
EL,2021-08,7524563
EL,2021-09,5916192
EL,2021-10,4573936
EL,2021-11,1629116
EL,2021-12,1433570
EL,2022-01,1011847
EL,2022-02,1070215
EL,2022-03,1555753
EL,2022-04,3141662
EL,2022-05,5477430
EL,2022-06,7895465
EL,2022-07,9883277
EL,2022-08,10093579
EL,2022-09,8296522
EL,2022-10,5615668
EL,2022-11,1963622
EL,2022-12,1900930
EL,2023-01,1722152
EL,2023-02,1608832
EL,2023-03,2025753
EL,2023-04,3606432
EL,2023-05,5995891
EL,2023-06,8409252
EL,2023-07,10254935
EL,2023-08,10266007
EL,2023-09,8738143
EL,2023-10,6081850
EL,2023-11,2446802
EL,2023-12,2204373
EL,2024-01,1887504
EL,2024-02,1871152
EL,2024-03,2420152
EL,2024-04,3994782
EL,2024-05,6932638
EL,2024-06,9136667
EL,2024-07,10840444
EL,2024-08,11042246
EL,2024-09,9289439
EL,2024-10,6693177
EL,2024-11,2639123
EL,2024-12,2504558
EL,2025-01,2142439
EL,2025-02,2048515
EL,2025-03,2634157
EL,2025-04,4376902
EL,2025-05,7109052
EL,2025-06,9441496
EL,2025-07,11209682
EL,2025-08,11656942
EL,2025-09,9673444
EL,2025-10,7056575
EL,2025-11,2901048
EL,2025-12,2749972
EL,2026-01,2301974
EL,2026-02,2283353
EL,2026-03,2775959
ES,2015-01,9496882
ES,2015-02,9372113
ES,2015-03,11835533
ES,2015-04,14086347
ES,2015-05,15967412
ES,2015-06,17215856
ES,2015-07,19737822
ES,2015-08,20551587
ES,2015-09,17960010
ES,2015-10,16311112
ES,2015-11,11297437
ES,2015-12,10820392
ES,2016-01,10576079
ES,2016-02,10841422
ES,2016-03,13524242
ES,2016-04,15092080
ES,2016-05,17691974
ES,2016-06,19024463
ES,2016-07,22032687
ES,2016-08,22166098
ES,2016-09,19829990
ES,2016-10,18353580
ES,2016-11,12408391
ES,2016-12,12331031
ES,2017-01,11721882
ES,2017-02,11510948
ES,2017-03,14162252
ES,2017-04,17738888
ES,2017-05,19041330
ES,2017-06,20926797
ES,2017-07,23635177
ES,2017-08,23573035
ES,2017-09,21439063
ES,2017-10,19379552
ES,2017-11,13457715
ES,2017-12,13237450
ES,2018-01,12604441
ES,2018-02,12425769
ES,2018-03,15651657
ES,2018-04,18081120
ES,2018-05,20102304
ES,2018-06,21901051
ES,2018-07,24212494
ES,2018-08,24145090
ES,2018-09,22288388
ES,2018-10,20534431
ES,2018-11,14384398
ES,2018-12,14280286
ES,2019-01,13501719
ES,2019-02,13223229
ES,2019-03,16219646
ES,2019-04,19292641
ES,2019-05,20623195
ES,2019-06,22940081
ES,2019-07,24715129
ES,2019-08,24884676
ES,2019-09,22783216
ES,2019-10,20629484
ES,2019-11,14780490
ES,2019-12,14668866
ES,2020-01,13656107
ES,2020-02,13609445
ES,2020-03,6596673
ES,2020-04,84558
ES,2020-05,173061
ES,2020-06,663375
ES,2020-07,5287294
ES,2020-08,6449237
ES,2020-09,3644489
ES,2020-10,3026977
ES,2020-11,1972250
ES,2020-12,2633839
ES,2021-01,1952713
ES,2021-02,1479142
ES,2021-03,2149283
ES,2021-04,2554008
ES,2021-05,4163677
ES,2021-06,6738141
ES,2021-07,11592903
ES,2021-08,13939662
ES,2021-09,12862051
ES,2021-10,13972027
ES,2021-11,10667433
ES,2021-12,9827201
ES,2022-01,8284889
ES,2022-02,9581123
ES,2022-03,12680242
ES,2022-04,17038973
ES,2022-05,18644871
ES,2022-06,20377438
ES,2022-07,22627833
ES,2022-08,22835773
ES,2022-09,20820742
ES,2022-10,20076693
ES,2022-11,14304125
ES,2022-12,14454933
ES,2023-01,13790403
ES,2023-02,13538236
ES,2023-03,16428538
ES,2023-04,19872761
ES,2023-05,21371225
ES,2023-06,22291387
ES,2023-07,25061677
ES,2023-08,25212368
ES,2023-09,23232669
ES,2023-10,22441624
ES,2023-11,16273714
ES,2023-12,16525956
ES,2024-01,15372903
ES,2024-02,15800098
ES,2024-03,18890682
ES,2024-04,21540184
ES,2024-05,23919537
ES,2024-06,24921460
ES,2024-07,27038800
ES,2024-08,27308026
ES,2024-09,25197576
ES,2024-10,24040779
ES,2024-11,17851439
ES,2024-12,17858400
ES,2025-01,16379810
ES,2025-02,16608822
ES,2025-03,19847289
ES,2025-04,23152567
ES,2025-05,24866062
ES,2025-06,25949461
ES,2025-07,27948699
ES,2025-08,28537375
ES,2025-09,25982288
ES,2025-10,25220355
ES,2025-11,18885506
ES,2025-12,18743278
ES,2026-01,16968889
ES,2026-02,17216261
ES,2026-03,20823609
EU27_2020,2015-01,48696415
EU27_2020,2015-02,47229441
EU27_2020,2015-03,57275838
EU27_2020,2015-04,64945625
EU27_2020,2015-05,73955011
EU27_2020,2015-06,79928443
EU27_2020,2015-07,89871431
EU27_2020,2015-08,92166775
EU27_2020,2015-09,82168500
EU27_2020,2015-10,74434121
EU27_2020,2015-11,54844861
EU27_2020,2015-12,54182487
EU27_2020,2016-01,51914314
EU27_2020,2016-02,52116050
EU27_2020,2016-03,61750980
EU27_2020,2016-04,67275975
EU27_2020,2016-05,77674055
EU27_2020,2016-06,83152285
EU27_2020,2016-07,95632649
EU27_2020,2016-08,95509661
EU27_2020,2016-09,87370678
EU27_2020,2016-10,79580509
EU27_2020,2016-11,59088084
EU27_2020,2016-12,60630542
EU27_2020,2017-01,57033206
EU27_2020,2017-02,55054400
EU27_2020,2017-03,65564179
EU27_2020,2017-04,76963881
EU27_2020,2017-05,83242903
EU27_2020,2017-06,90573477
EU27_2020,2017-07,102678345
EU27_2020,2017-08,102243952
EU27_2020,2017-09,93758077
EU27_2020,2017-10,84446859
EU27_2020,2017-11,63710237
EU27_2020,2017-12,63584960
EU27_2020,2018-01,60638252
EU27_2020,2018-02,58476466
EU27_2020,2018-03,71430892
EU27_2020,2018-04,80017364
EU27_2020,2018-05,88492973
EU27_2020,2018-06,96585682
EU27_2020,2018-07,107499430
EU27_2020,2018-08,107392014
EU27_2020,2018-09,98863261
EU27_2020,2018-10,90213827
EU27_2020,2018-11,68311602
EU27_2020,2018-12,68373648
EU27_2020,2019-01,63822312
EU27_2020,2019-02,61892324
EU27_2020,2019-03,74498411
EU27_2020,2019-04,85110974
EU27_2020,2019-05,91336136
EU27_2020,2019-06,101804421
EU27_2020,2019-07,110506124
EU27_2020,2019-08,111294621
EU27_2020,2019-09,101522967
EU27_2020,2019-10,92522218
EU27_2020,2019-11,69975439
EU27_2020,2019-12,70833885
EU27_2020,2020-01,66046231
EU27_2020,2020-02,63043028
EU27_2020,2020-03,28614686
EU27_2020,2020-04,890607
EU27_2020,2020-05,1457377
EU27_2020,2020-06,4949208
EU27_2020,2020-07,21944477
EU27_2020,2020-08,30604656
EU27_2020,2020-09,21930578
EU27_2020,2020-10,17411214
EU27_2020,2020-11,8187508
EU27_2020,2020-12,11678538
EU27_2020,2021-01,9928014
EU27_2020,2021-02,6768367
EU27_2020,2021-03,8506732
EU27_2020,2021-04,10001375
EU27_2020,2021-05,15204485
EU27_2020,2021-06,26989414
EU27_2020,2021-07,48960587
EU27_2020,2021-08,59263957
EU27_2020,2021-09,52442840
EU27_2020,2021-10,53716941
EU27_2020,2021-11,42146857
EU27_2020,2021-12,39880194
EU27_2020,2022-01,31459100
EU27_2020,2022-02,35479395
EU27_2020,2022-03,48280862
EU27_2020,2022-04,64899155
EU27_2020,2022-05,74984780
EU27_2020,2022-06,84296444
EU27_2020,2022-07,94388694
EU27_2020,2022-08,95469231
EU27_2020,2022-09,86813668
EU27_2020,2022-10,81008592
EU27_2020,2022-11,58827144
EU27_2020,2022-12,60792887
EU27_2020,2023-01,56788349
EU27_2020,2023-02,55318247
EU27_2020,2023-03,65996272
EU27_2020,2023-04,78448919
EU27_2020,2023-05,87208182
EU27_2020,2023-06,94526611
EU27_2020,2023-07,105673486
EU27_2020,2023-08,106008119
EU27_2020,2023-09,97458495
EU27_2020,2023-10,91186884
EU27_2020,2023-11,66102386
EU27_2020,2023-12,68225967
EU27_2020,2024-01,61786354
EU27_2020,2024-02,62525255
EU27_2020,2024-03,73954432
EU27_2020,2024-04,84425564
EU27_2020,2024-05,95916971
EU27_2020,2024-06,102129882
EU27_2020,2024-07,111971090
EU27_2020,2024-08,113469569
EU27_2020,2024-09,103730133
EU27_2020,2024-10,96967820
EU27_2020,2024-11,71625955
EU27_2020,2024-12,73859110
EU27_2020,2025-01,65592901
EU27_2020,2025-02,64971825
EU27_2020,2025-03,76096142
EU27_2020,2025-04,90485000
EU27_2020,2025-05,98463997
EU27_2020,2025-06,104984758
EU27_2020,2025-07,114284687
EU27_2020,2025-08,117695767
EU27_2020,2025-09,106213825
EU27_2020,2025-10,101601452
EU27_2020,2025-11,75236885
EU27_2020,2025-12,77977084
FR,2015-01,9330402
FR,2015-02,8973519
FR,2015-03,10519596
FR,2015-04,11754598
FR,2015-05,12887801
FR,2015-06,12990793
FR,2015-07,14637298
FR,2015-08,15051150
FR,2015-09,12976938
FR,2015-10,12573842
FR,2015-11,9279859
FR,2015-12,9891773
FR,2016-01,9500484
FR,2016-02,9421939
FR,2016-03,10771060
FR,2016-04,12360620
FR,2016-05,13087761
FR,2016-06,13149053
FR,2016-07,15149478
FR,2016-08,14964678
FR,2016-09,13187194
FR,2016-10,12801655
FR,2016-11,9950959
FR,2016-12,10935721
FR,2017-01,10253846
FR,2017-02,9890411
FR,2017-03,11308326
FR,2017-04,13452179
FR,2017-05,13616813
FR,2017-06,13863102
FR,2017-07,16130763
FR,2017-08,15980800
FR,2017-09,14103738
FR,2017-10,13524224
FR,2017-11,10657504
FR,2017-12,11314779
FR,2018-01,10885368
FR,2018-02,10183848
FR,2018-03,12250339
FR,2018-04,13606815
FR,2018-05,14195103
FR,2018-06,14826254
FR,2018-07,16759218
FR,2018-08,16673238
FR,2018-09,14945124
FR,2018-10,14439815
FR,2018-11,11348905
FR,2018-12,11877152
FR,2019-01,11234746
FR,2019-02,10790524
FR,2019-03,12897338
FR,2019-04,14839443
FR,2019-05,14652125
FR,2019-06,15951063
FR,2019-07,17323730
FR,2019-08,17325626
FR,2019-09,15270459
FR,2019-10,14654497
FR,2019-11,11688139
FR,2019-12,12099098
FR,2020-01,11627143
FR,2020-02,11125495
FR,2020-03,5397724
FR,2020-04,141251
FR,2020-05,229023
FR,2020-06,896617
FR,2020-07,4043385
FR,2020-08,5746232
FR,2020-09,3820073
FR,2020-10,3456138
FR,2020-11,1345175
FR,2020-12,2895755
FR,2021-01,2814119
FR,2021-02,1708526
FR,2021-03,1788461
FR,2021-04,1761799
FR,2021-05,2826669
FR,2021-06,4634796
FR,2021-07,8613403
FR,2021-08,9965622
FR,2021-09,7971676
FR,2021-10,8499148
FR,2021-11,7797203
FR,2021-12,7652387
FR,2022-01,5654865
FR,2022-02,6893358
FR,2022-03,8956095
FR,2022-04,11131522
FR,2022-05,12679354
FR,2022-06,13187026
FR,2022-07,15007442
FR,2022-08,15204350
FR,2022-09,13047693
FR,2022-10,13130776
FR,2022-11,10286428
FR,2022-12,11382029
FR,2023-01,10269778
FR,2023-02,10205486
FR,2023-03,11209832
FR,2023-04,13254862
FR,2023-05,14606517
FR,2023-06,14801598
FR,2023-07,16592853
FR,2023-08,16668316
FR,2023-09,14855547
FR,2023-10,14522085
FR,2023-11,10969786
FR,2023-12,12107602
FR,2024-01,10528089
FR,2024-02,10684247
FR,2024-03,12297222
FR,2024-04,14190775
FR,2024-05,15463738
FR,2024-06,15563741
FR,2024-07,16887691
FR,2024-08,17473085
FR,2024-09,15341338
FR,2024-10,14935884
FR,2024-11,11361562
FR,2024-12,12649471
FR,2025-01,11351860
FR,2025-02,11305568
FR,2025-03,12589498
FR,2025-04,15054124
FR,2025-05,15645834
FR,2025-06,16075290
FR,2025-07,17149226
FR,2025-08,17695526
FR,2025-09,15234199
FR,2025-10,15221042
FR,2025-11,11692838
FR,2025-12,12948997
HR,2015-01,166761
HR,2015-02,155406
HR,2015-03,216813
HR,2015-04,380684
HR,2015-05,658218
HR,2015-06,839919
HR,2015-07,1152439
HR,2015-08,1172321
HR,2015-09,883847
HR,2015-10,547767
HR,2015-11,208369
HR,2015-12,189154
HR,2016-01,173905
HR,2016-02,174996
HR,2016-03,243427
HR,2016-04,389458
HR,2016-05,715450
HR,2016-06,963074
HR,2016-07,1383725
HR,2016-08,1322025
HR,2016-09,1012613
HR,2016-10,656370
HR,2016-11,230064
HR,2016-12,210356
HR,2017-01,192291
HR,2017-02,177653
HR,2017-03,239268
HR,2017-04,527746
HR,2017-05,841810
HR,2017-06,1171531
HR,2017-07,1647474
HR,2017-08,1577489
HR,2017-09,1220104
HR,2017-10,746623
HR,2017-11,264337
HR,2017-12,236727
HR,2018-01,219879
HR,2018-02,199626
HR,2018-03,302114
HR,2018-04,549937
HR,2018-05,970602
