guide_date,target_quarter,spec,prior_basis,n_train,n_train_pit,coef,point,sigma,actual,b0_pit,b0_elapsed_frac,n_params,in_W1,in_W2
2023-11-01,4Q23,H2b_phi_basket,PIT,10,10,[1.0073],2.4601,2.9924,3.0,1.1909,0.323,2,True,False
2023-11-01,4Q23,H3_free_weights,PIT,10,10,"[1.0609, 0.342, 0.0]",2.4485,0.7731,3.0,1.1909,0.323,4,True,False
2023-11-01,4Q23,H3b_free_lags123,PIT,10,10,"[1.1056, 0.0, 0.0]",3.8305,2.4075,3.0,1.1909,0.323,4,True,False
2024-02-13,1Q24,H0_contemporaneous,PIT,11,11,[1.3187],1.0433,1.0364,0.0,0.7911,0.446,2,True,True
2024-02-13,1Q24,H1_repo_eur_mean_t1_t2,PIT,11,11,"[-0.7116, 0.4125]",2.0616,2.4831,0.0,0.7911,0.446,3,True,True
2024-02-13,1Q24,H2_phi_adrfx,PIT,5,5,[0.7501],1.7252,2.6628,0.0,0.7911,0.446,2,True,True
2024-02-13,1Q24,H2b_phi_basket,PIT,11,11,[1.0192],2.9014,2.8562,0.0,0.7911,0.446,2,True,True
2024-02-13,1Q24,H3_free_weights,PIT,11,11,"[1.0675, 0.3052, 0.0104]",1.655,0.7732,0.0,0.7911,0.446,4,True,True
2024-02-13,1Q24,H3b_free_lags123,PIT,11,11,"[1.0826, 0.0, 0.0]",2.7473,2.3061,0.0,0.7911,0.446,4,True,True
2024-05-08,2Q24,H0_contemporaneous,PIT,12,12,[1.3083],-0.7937,1.0509,0.0,-0.6066,0.415,2,True,True
2024-05-08,2Q24,H1_repo_eur_mean_t1_t2,PIT,12,12,"[-0.9192, 0.3885]",0.3402,2.4364,0.0,-0.6066,0.415,3,True,True
2024-05-08,2Q24,H2_phi_adrfx,PIT,6,6,[0.7117],0.7828,2.5229,0.0,-0.6066,0.415,2,True,True
2024-05-08,2Q24,H2b_phi_basket,PIT,12,12,[0.9499],1.3995,2.8504,0.0,-0.6066,0.415,2,True,True
2024-05-08,2Q24,H3_free_weights,PIT,12,12,"[1.0933, 0.26, 0.0]",-0.4185,0.8915,0.0,-0.6066,0.415,4,True,True
2024-05-08,2Q24,H3b_free_lags123,PIT,12,12,"[1.0296, 0.0, 0.0]",0.969,2.338,0.0,-0.6066,0.415,4,True,True
2024-08-06,3Q24,H0_contemporaneous,PIT,13,13,[1.3024],-1.4127,1.039,0.0,-1.0847,0.379,2,True,True
2024-08-06,3Q24,H1_repo_eur_mean_t1_t2,PIT,13,13,"[-0.9476, 0.3865]",-0.9392,2.3412,0.0,-1.0847,0.379,3,True,True
2024-08-06,3Q24,H2_phi_adrfx,PIT,7,7,[0.7034],-0.2814,2.3517,0.0,-1.0847,0.379,2,True,True
2024-08-06,3Q24,H2b_phi_basket,PIT,13,13,[0.9329],-0.1518,2.7643,0.0,-1.0847,0.379,2,True,True
2024-08-06,3Q24,H3_free_weights,PIT,13,13,"[1.0783, 0.2742, 0.0]",-1.3656,0.8651,0.0,-1.0847,0.379,4,True,True
2024-08-06,3Q24,H3b_free_lags123,PIT,13,13,"[1.0227, 0.0, 0.0]",-0.7309,2.2607,0.0,-1.0847,0.379,4,True,True
2024-11-07,4Q24,H0_contemporaneous,PIT,14,14,[1.2992],-0.9468,1.0146,0.0,-0.7287,0.394,2,True,True
2024-11-07,4Q24,H1_repo_eur_mean_t1_t2,PIT,14,14,"[-0.8791, 0.3878]",-0.9143,2.2676,0.0,-0.7287,0.394,3,True,True
2024-11-07,4Q24,H2_phi_adrfx,PIT,8,8,[0.7023],-0.4916,2.1998,0.0,-0.7287,0.394,2,True,True
2024-11-07,4Q24,H2b_phi_basket,PIT,14,14,[0.9327],-0.5475,2.6629,0.0,-0.7287,0.394,2,True,True
2024-11-07,4Q24,H3_free_weights,PIT,14,14,"[1.084, 0.2595, 0.0084]",-0.9317,0.8542,0.0,-0.7287,0.394,4,True,True
2024-11-07,4Q24,H3b_free_lags123,PIT,14,14,"[1.0188, 0.0, 0.0]",-0.533,2.1858,0.0,-0.7287,0.394,4,True,True
2025-02-13,1Q25,H0_contemporaneous,PIT,15,15,[1.2774],-4.1721,1.0811,-2.0,-3.2661,0.453,2,True,True
2025-02-13,1Q25,H1_repo_eur_mean_t1_t2,PIT,15,15,"[-0.817, 0.389]",-0.8024,2.2013,-2.0,-3.2661,0.453,3,True,True
2025-02-13,1Q25,H2_phi_adrfx,PIT,9,9,[0.6991],-0.6525,2.0783,-2.0,-3.2661,0.453,2,True,True
2025-02-13,1Q25,H2b_phi_basket,PIT,15,15,[0.93],-1.0238,2.5754,-2.0,-3.2661,0.453,2,True,True
2025-02-13,1Q25,H3_free_weights,PIT,15,15,"[1.0442, 0.2876, 0.0]",-3.81,0.9219,-2.0,-3.2661,0.453,4,True,True
2025-02-13,1Q25,H3b_free_lags123,PIT,15,15,"[1.0167, 0.0, 0.0]",-1.4128,2.1149,-2.0,-3.2661,0.453,4,True,True
2025-05-01,2Q25,H0_contemporaneous,PIT,16,16,[1.2376],0.8597,1.1212,0.0,0.6946,0.338,2,True,True
2025-05-01,2Q25,H1_repo_eur_mean_t1_t2,PIT,16,16,"[-0.8933, 0.3874]",-1.6394,2.1498,0.0,0.6946,0.338,3,True,True
2025-05-01,2Q25,H2_phi_adrfx,PIT,10,10,[0.7109],-1.1612,2.0147,0.0,0.6946,0.338,2,True,True
2025-05-01,2Q25,H2b_phi_basket,PIT,16,16,[0.9388],-2.2442,2.5044,0.0,0.6946,0.338,2,True,True
2025-05-01,2Q25,H3_free_weights,PIT,16,16,"[0.994, 0.3091, 0.0]",-0.2031,0.9521,0.0,0.6946,0.338,4,True,True
2025-05-01,2Q25,H3b_free_lags123,PIT,16,16,"[1.0227, 0.0, 0.0]",-2.9567,2.0516,0.0,0.6946,0.338,4,True,True
2025-08-06,3Q25,H0_contemporaneous,PIT,17,17,[1.2285],1.8866,1.1227,0.0,1.5358,0.379,2,True,True
2025-08-06,3Q25,H1_repo_eur_mean_t1_t2,PIT,17,17,"[-0.799, 0.3853]",-0.3437,2.1198,0.0,1.5358,0.379,3,True,True
2025-08-06,3Q25,H2_phi_adrfx,PIT,11,11,[0.6935],0.4392,1.9499,0.0,1.5358,0.379,2,True,True
2025-08-06,3Q25,H2b_phi_basket,PIT,17,17,[0.8971],-0.2904,2.4862,0.0,1.5358,0.379,2,True,True
2025-08-06,3Q25,H3_free_weights,PIT,17,17,"[0.9912, 0.3121, 0.0]",1.8218,0.9211,0.0,1.5358,0.379,4,True,True
2025-08-06,3Q25,H3b_free_lags123,PIT,17,17,"[0.9631, 0.0, 0.0]",0.9245,2.1074,0.0,1.5358,0.379,4,True,True
2025-11-06,4Q25,H0_contemporaneous,PIT,18,18,[1.1887],3.4663,1.234,1.0,2.9161,0.379,2,True,True
2025-11-06,4Q25,H1_repo_eur_mean_t1_t2,PIT,18,18,"[-0.779, 0.3862]",1.4817,2.0604,1.0,2.9161,0.379,3,True,True
2025-11-06,4Q25,H2_phi_adrfx,PIT,12,12,[0.6909],1.6812,1.8695,1.0,2.9161,0.379,2,True,True
2025-11-06,4Q25,H2b_phi_basket,PIT,18,18,[0.8963],1.5033,2.4162,1.0,2.9161,0.379,2,True,True
2025-11-06,4Q25,H3_free_weights,PIT,18,18,"[0.9889, 0.2393, 0.0793]",3.4471,1.0335,1.0,2.9161,0.379,4,True,True
2025-11-06,4Q25,H3b_free_lags123,PIT,18,18,"[0.957, 0.0, 0.0]",1.9482,2.0583,1.0,2.9161,0.379,4,True,True
2026-02-12,1Q26,H0_contemporaneous,PIT,19,19,[1.1025],6.4308,1.4039,3.0,5.8332,0.438,2,True,True
2026-02-12,1Q26,H1_repo_eur_mean_t1_t2,PIT,19,19,"[-0.8064, 0.3823]",2.1538,2.0071,3.0,5.8332,0.438,3,True,True
2026-02-12,1Q26,H2_phi_adrfx,PIT,13,13,[0.6765],1.9168,1.8038,3.0,5.8332,0.438,2,True,True
2026-02-12,1Q26,H2b_phi_basket,PIT,19,19,[0.8899],2.7702,2.3536,3.0,5.8332,0.438,2,True,True
2026-02-12,1Q26,H3_free_weights,PIT,19,19,"[0.8576, 0.324, 0.0296]",6.2456,1.2164,3.0,5.8332,0.438,4,True,True
2026-02-12,1Q26,H3b_free_lags123,PIT,19,19,"[0.944, 0.0, 0.0]",3.4468,2.0138,3.0,5.8332,0.438,4,True,True
2026-05-07,2Q26,H0_contemporaneous,PIT,20,20,[0.9962],2.6797,1.5164,4.0,2.69,0.4,2,True,True
2026-05-07,2Q26,H1_repo_eur_mean_t1_t2,PIT,20,20,"[-0.7633, 0.3902]",3.1853,1.9633,4.0,2.69,0.4,3,True,True
2026-05-07,2Q26,H2_phi_adrfx,PIT,14,14,[0.7014],3.0162,1.759,4.0,2.69,0.4,2,True,True
2026-05-07,2Q26,H2b_phi_basket,PIT,20,20,[0.895],4.4741,2.2936,4.0,2.69,0.4,2,True,True
2026-05-07,2Q26,H3_free_weights,PIT,20,20,"[0.7276, 0.3751, 0.0]",4.0849,1.3368,4.0,2.69,0.4,4,True,True
2026-05-07,2Q26,H3b_free_lags123,PIT,20,20,"[0.9339, 0.0, 0.0]",5.2979,1.9641,4.0,2.69,0.4,4,True,True
2026-08-06,3Q26,H0_contemporaneous,PIT,21,21,[1.0182],0.3352,1.5253,,0.3292,0.379,2,False,False
2026-08-06,3Q26,H1_repo_eur_mean_t1_t2,PIT,21,21,"[-0.7278, 0.3986]",1.9969,1.922,,0.3292,0.379,3,False,False
2026-08-06,3Q26,H2_phi_adrfx,PIT,15,15,[0.7313],1.8527,1.7143,,0.3292,0.379,2,False,False
2026-08-06,3Q26,H2b_phi_basket,PIT,21,21,[0.8807],2.996,2.2395,,0.3292,0.379,2,False,False
2026-08-06,3Q26,H3_free_weights,PIT,21,21,"[0.7228, 0.385, 0.0]",1.1103,1.3038,,0.3292,0.379,4,False,False
2026-08-06,3Q26,H3b_free_lags123,PIT,21,21,"[0.896, 0.0, 0.0]",2.0304,1.9331,,0.3292,0.379,4,False,False
