quarter,adr_global_usd,nights_global_m,seasonal_index,adr_na_usd,adr_na_usd_anchored,adr_yoy_na_pct,adr_yoy_exfx_na_pct,fx_pp_na,nights_share_na_pct,basis_adr_na,adr_emea_usd,adr_emea_usd_anchored,adr_yoy_emea_pct,adr_yoy_exfx_emea_pct,fx_pp_emea,nights_share_emea_pct,basis_adr_emea,adr_latam_usd,adr_latam_usd_anchored,adr_yoy_latam_pct,adr_yoy_exfx_latam_pct,fx_pp_latam,nights_share_latam_pct,basis_adr_latam,adr_apac_usd,adr_apac_usd_anchored,adr_yoy_apac_pct,adr_yoy_exfx_apac_pct,fx_pp_apac,nights_share_apac_pct,basis_adr_apac
3Q23,161.38,113.2,0.9815,230.3879,231.5063,-1.0,-1.1632,0.1632,33.9515,disclosed-chained,141.1848,140.0039,13.8998,6.0,7.8998,38.5496,disclosed-chained,92.8413,92.9655,3.2008,-3.7278,6.9286,14.5022,modelled,115.7754,115.8646,1.8175,4.569,-2.7515,12.9967,modelled
4Q23,156.73,98.8,0.9537,228.4205,229.5294,0.0,-0.2236,0.2236,33.5411,disclosed-chained,135.4704,134.3373,11.3446,6.0,5.3446,40.8038,disclosed-chained,90.2117,90.3324,2.1632,-2.7994,4.9625,14.8907,modelled,112.4962,112.5829,0.7937,1.848,-1.0543,10.7643,modelled
1Q24,172.88,132.6,1.0468,255.642,255.2672,3.0,2.7792,0.2208,30.0818,disclosed-chained,156.2121,154.4873,7.0,5.0172,1.9828,42.0962,disclosed-chained,97.6788,98.4533,-0.4307,-4.4003,3.9696,14.9702,modelled,122.2817,121.6313,-0.0435,4.0312,-4.0747,12.8518,modelled
2Q24,169.53,125.1,1.0191,254.5658,254.1925,4.0,4.0906,-0.0906,30.8094,disclosed-chained,147.9207,146.2874,4.0,4.61,-0.61,43.1146,disclosed-chained,95.0989,95.853,-1.1864,-0.1754,-1.011,15.2301,modelled,119.0519,118.4187,-0.8021,2.3195,-3.1216,10.8459,modelled
3Q24,163.64,122.8,0.9784,237.2995,236.9516,3.0,3.3314,-0.3314,32.8447,disclosed-chained,149.6559,148.0034,6.0,4.6137,1.3863,37.6958,disclosed-chained,91.3004,92.0244,-1.6596,4.724,-6.3836,15.3543,modelled,114.2967,113.6888,-1.2772,-1.5166,0.2394,14.1051,modelled
4Q24,158.13,111.0,0.9513,235.2732,234.9282,3.0,3.4676,-0.4676,31.6028,disclosed-chained,143.5987,142.0131,6.0,6.0,0.196,40.3147,disclosed-chained,85.7011,86.3806,-5.0,4.0,-8.1378,16.3643,disclosed-chained,113.6212,113.0169,1.0,2.0,-1.004,11.7182,disclosed-chained
1Q25,171.34,143.1,1.0094,260.7549,260.9354,2.0,3.0,-0.8172,28.1887,disclosed-chained,159.3364,156.8688,2.0,4.0,-2.328,41.4521,disclosed-chained,90.8413,92.8778,-7.0,2.0,-9.1536,16.693,disclosed-chained,121.0588,120.4803,-1.0,3.0,-3.5345,13.6662,disclosed-chained
2Q25,174.48,134.4,1.0172,262.2027,262.3842,3.0,3.3308,-0.3308,29.0787,disclosed-chained,161.2335,158.7366,9.0,3.0,5.408,42.7607,disclosed-chained,92.246,94.3139,-3.0,2.0,-5.5768,16.5443,disclosed-chained,121.433,120.8527,2.0,1.0,-0.2883,11.6163,disclosed-chained
3Q25,171.29,133.6,0.9949,249.1645,249.337,5.0,5.0474,-0.0474,31.3935,disclosed-chained,164.6215,162.0721,10.0,4.0,5.5869,36.7798,disclosed-chained,94.9525,97.0811,4.0,3.0,0.9465,16.9649,disclosed-chained,116.5826,116.0255,2.0,3.0,-1.3874,14.8618,disclosed-chained
4Q25,167.51,121.9,0.9758,247.0368,247.2078,5.0,4.777,0.223,30.0561,disclosed-chained,160.8305,158.3398,12.0,4.0,7.6372,40.2575,disclosed-chained,93.4142,95.5083,9.0,3.0,5.0618,17.4009,disclosed-chained,115.8936,115.3398,2.0,2.0,-0.4851,12.2855,disclosed-chained
1Q26,186.82,156.2,,279.0077,279.2009,7.0,6.3048,0.6952,27.7286,disclosed-chained,183.2368,180.3991,15.0,4.0,9.8899,39.6427,disclosed-chained,99.9254,102.1656,10.0,3.0,7.6624,17.9409,disclosed-chained,128.3224,127.7091,6.0,2.0,4.2211,14.6878,disclosed-chained
2Q26,183.73,148.3,,280.5569,280.7511,7.0,6.7506,0.2494,28.2553,disclosed-chained,172.5199,169.8482,7.0,5.0,2.0119,41.55,disclosed-chained,100.5481,102.8022,9.0,2.0,7.0893,17.8621,disclosed-chained,122.6473,122.0612,1.0,-1.3509,2.3509,12.3325,disclosed-chained

