window,candidate,baseline,deletion_kind,excluded,n,rmse_ratio
W1,fixed_flight,guide_growth,quarter,2025Q1,8,1.2270799536939294
W1,fixed_flight,guide_growth,quarter,2025Q2,8,1.1475726173553271
W1,fixed_flight,guide_growth,quarter,2025Q3,8,1.0529544307707863
W1,fixed_flight,guide_growth,quarter,2025Q4,8,1.2013699950000853
W1,fixed_flight,guide_growth,quarter,2026Q1,8,1.4202253102479658
W1,fixed_flight,guide_growth,quarter,2026Q2,8,1.1008700269927107
W1,fixed_flight,revenue_growth,year,2024,6,0.6144606723302808
W1,fixed_flight,revenue_growth,year,2025,5,0.4880509340748282
W1,fixed_flight,revenue_growth,year,2026,7,0.6381495510771458
W1,fixed_flight,revenue_growth,quarter,2024Q2,8,0.51998129819581
W1,fixed_flight,revenue_growth,quarter,2024Q3,8,0.6737474888113733
W1,fixed_flight,revenue_growth,quarter,2024Q4,8,0.5790727938881363
W1,fixed_flight,revenue_growth,quarter,2025Q1,8,0.577289759490246
W1,fixed_flight,revenue_growth,quarter,2025Q2,8,0.5424263832936702
W1,fixed_flight,revenue_growth,quarter,2025Q3,8,0.5529688682763132
W1,fixed_flight,revenue_growth,quarter,2025Q4,8,0.5747339039788206
W1,fixed_flight,revenue_growth,quarter,2026Q1,8,0.6416247018574645
W1,fixed_flight,revenue_growth,quarter,2026Q2,8,0.5597808779597788
W2,joint_flight,joint_noflight,year,2024,6,1.1952432297865683
W2,joint_flight,joint_noflight,year,2025,5,1.4137597932370518
W2,joint_flight,joint_noflight,year,2026,7,1.022444028777848
W2,joint_flight,joint_noflight,quarter,2024Q2,8,1.2214285297935026
W2,joint_flight,joint_noflight,quarter,2024Q3,8,1.1760770202842388
W2,joint_flight,joint_noflight,quarter,2024Q4,8,1.1911661923898518
W2,joint_flight,joint_noflight,quarter,2025Q1,8,1.195660305430145
W2,joint_flight,joint_noflight,quarter,2025Q2,8,1.222894647457282
W2,joint_flight,joint_noflight,quarter,2025Q3,8,1.367025306412846
W2,joint_flight,joint_noflight,quarter,2025Q4,8,1.186608615176158
W2,joint_flight,joint_noflight,quarter,2026Q1,8,1.158192799861694
W2,joint_flight,joint_noflight,quarter,2026Q2,8,1.0972952521268946
W2,joint_flight,guide_growth,year,2024,6,1.4619178305543294
W2,joint_flight,guide_growth,year,2025,5,1.1592362224305277
W2,joint_flight,guide_growth,year,2026,7,1.1197606417352761
W2,joint_flight,guide_growth,quarter,2024Q2,8,1.301110250076201
W2,joint_flight,guide_growth,quarter,2024Q3,8,1.377796453041232
W2,joint_flight,guide_growth,quarter,2024Q4,8,1.2844160741746005
W2,joint_flight,guide_growth,quarter,2025Q1,8,1.3140470786742606
W2,joint_flight,guide_growth,quarter,2025Q2,8,1.3018185638752693
W2,joint_flight,guide_growth,quarter,2025Q3,8,1.0533410862888033
W2,joint_flight,guide_growth,quarter,2025Q4,8,1.2825707042704384
W2,joint_flight,guide_growth,quarter,2026Q1,8,1.4110140291231206
W2,joint_flight,guide_growth,quarter,2026Q2,8,1.0274604298043708
W2,joint_flight,revenue_growth,year,2024,6,0.7416690340428543
W2,joint_flight,revenue_growth,year,2025,5,0.5551982259557593
W2,joint_flight,revenue_growth,year,2026,7,0.5282838563801494
W2,joint_flight,revenue_growth,quarter,2024Q2,8,0.6410361114041929
W2,joint_flight,revenue_growth,quarter,2024Q3,8,0.7027464535505829
W2,joint_flight,revenue_growth,quarter,2024Q4,8,0.611466789147748
W2,joint_flight,revenue_growth,quarter,2025Q1,8,0.6182041518347046
W2,joint_flight,revenue_growth,quarter,2025Q2,8,0.6153342495525729
W2,joint_flight,revenue_growth,quarter,2025Q3,8,0.5531719240382363
W2,joint_flight,revenue_growth,quarter,2025Q4,8,0.6135802217984995
W2,joint_flight,revenue_growth,quarter,2026Q1,8,0.6374632596814888
W2,joint_flight,revenue_growth,quarter,2026Q2,8,0.5224528666985232
W2,fixed_flight,fixed_noflight,year,2024,6,1.0197892078115982
W2,fixed_flight,fixed_noflight,year,2025,5,1.0195955209511447
W2,fixed_flight,fixed_noflight,year,2026,7,0.880472408918056
W2,fixed_flight,fixed_noflight,quarter,2024Q2,8,1.0205248192046121
W2,fixed_flight,fixed_noflight,quarter,2024Q3,8,0.9614450874974597
W2,fixed_flight,fixed_noflight,quarter,2024Q4,8,0.9582481133150533
W2,fixed_flight,fixed_noflight,quarter,2025Q1,8,0.9690134606893521
W2,fixed_flight,fixed_noflight,quarter,2025Q2,8,1.0191838578328263
W2,fixed_flight,fixed_noflight,quarter,2025Q3,8,0.9383557008106607
W2,fixed_flight,fixed_noflight,quarter,2025Q4,8,0.9485648284567573
W2,fixed_flight,fixed_noflight,quarter,2026Q1,8,0.963136474680343
W2,fixed_flight,fixed_noflight,quarter,2026Q2,8,0.8776153395218615
W2,fixed_flight,guide_growth,year,2024,6,1.2111750279736428
W2,fixed_flight,guide_growth,year,2025,5,1.0190348144514374
W2,fixed_flight,guide_growth,year,2026,7,1.3526340852691514
W2,fixed_flight,guide_growth,quarter,2024Q2,8,1.055405436440242
W2,fixed_flight,guide_growth,quarter,2024Q3,8,1.3209414229550862
W2,fixed_flight,guide_growth,quarter,2024Q4,8,1.2163708933788082
W2,fixed_flight,guide_growth,quarter,2025Q1,8,1.2270799536939294
W2,fixed_flight,guide_growth,quarter,2025Q2,8,1.1475726173553271
W2,fixed_flight,guide_growth,quarter,2025Q3,8,1.0529544307707863
W2,fixed_flight,guide_growth,quarter,2025Q4,8,1.2013699950000853
W2,fixed_flight,guide_growth,quarter,2026Q1,8,1.4202253102479658
W2,fixed_flight,guide_growth,quarter,2026Q2,8,1.1008700269927107
W2,fixed_flight,revenue_growth,year,2024,6,0.6144606723302808
W2,fixed_flight,revenue_growth,year,2025,5,0.4880509340748282
W2,fixed_flight,revenue_growth,year,2026,7,0.6381495510771458
W2,fixed_flight,revenue_growth,quarter,2024Q2,8,0.51998129819581
W2,fixed_flight,revenue_growth,quarter,2024Q3,8,0.6737474888113733
W2,fixed_flight,revenue_growth,quarter,2024Q4,8,0.5790727938881363
W2,fixed_flight,revenue_growth,quarter,2025Q1,8,0.577289759490246
W2,fixed_flight,revenue_growth,quarter,2025Q2,8,0.5424263832936702
W2,fixed_flight,revenue_growth,quarter,2025Q3,8,0.5529688682763132
W2,fixed_flight,revenue_growth,quarter,2025Q4,8,0.5747339039788206
W2,fixed_flight,revenue_growth,quarter,2026Q1,8,0.6416247018574645
W2,fixed_flight,revenue_growth,quarter,2026Q2,8,0.5597808779597788
