check,pass,detail
source hash: data/processed/github_altdata/samples/sideye-boston-occupancy-tax-imputed-nights/compute_reservations.py,True,
source hash: data/processed/github_altdata/samples/bookingcom-multi-destination-trip-wsdm2021/bkng_trip_README.md,True,
source hash: docs/github-altdata/INTEGRATION_PLAN.md,True,
actual locality: K2_recommended,True,
inventory hash: K2_recommended,True,
actual locality: K2_leadtime_month,True,
inventory hash: K2_leadtime_month,True,
actual locality: K2_raw_coverage,True,
inventory hash: K2_raw_coverage,True,
actual locality: K2_truncation,True,
inventory hash: K2_truncation,True,
actual locality: financial_kpi,True,
inventory hash: financial_kpi,True,
actual locality: calendar_reopen,True,
inventory hash: calendar_reopen,True,
actual locality: rnpl_scenario_matrix,True,
inventory hash: rnpl_scenario_matrix,True,
actual locality: rnpl_scenario_parameters,True,
inventory hash: rnpl_scenario_parameters,True,
actual locality: PR60_daio_PIT,True,
inventory hash: PR60_daio_PIT,True,
actual locality: PR60_daio_features,True,
inventory hash: PR60_daio_features,True,
actual locality: PR60_review_vintages,True,
inventory hash: PR60_review_vintages,True,
actual locality: PR60_review_raw_manifest,True,
inventory hash: PR60_review_raw_manifest,True,
actual locality: PR60_review_BA_sample,True,
inventory hash: PR60_review_BA_sample,True,
actual locality: PR60_WSDM_sample,True,
actual locality: PR60_RecTour_sample,True,
actual locality: PR60_BrightData_quotes,True,
actual locality: PR60_Boston_booked,True,
inventory hash: PR60_Boston_booked,True,
actual locality: PR60_Boston_stay,True,
inventory hash: PR60_Boston_stay,True,
actual locality: PR60_iCal_demo,True,
inventory hash: PR60_iCal_demo,True,
actual locality: PR60_card_spend,True,
inventory hash: PR60_card_spend,True,
actual locality: PR60_BNPL_adoption,True,
inventory hash: PR60_BNPL_adoption,True,
actual locality: PR60_BNPL_financial,True,
inventory hash: PR60_BNPL_financial,True,
actual locality: PR60_Texas_lodging,True,
inventory hash: PR60_Texas_lodging,True,
raw-candidate locality: data/raw/booking/rectour24_train_users.csv,True,
raw-candidate locality: data/raw/booking/bkng_trip_train_head.csv,True,
no candidate labelled direct/current corporate cohort,True,
K2 four value groups,True,
K2 denominator retains3+tail,True,
K2 sample count,True,
K2 source month labels retained,True,
K2 correction did not recover reference mean,True,IPW range 40.61313..43.63755 vs reference 52.30637
review actual header lacks booking/fee/cancellation,True,
WSDM advertised created_date absent in sampled schema,True,
WSDM sampled reservation CSV unavailable here,True,
Sideye labels availability transitions as bookings,True,
Sideye discards repeated reservation-date state,True,
flight snapshot occurs no earlier than observation cutoff,True,
flight vintage lag arithmetic,True,
flight panel has no joint cohort identifiers,True,
