end,val,accn,fy,fp,form,filed,frame,unit,tag,entity
2020-12-31,1109826000,0001558370-21-001998,2020.0,FY,10-K,2021-02-26,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-12-31,1109826000,0001558370-21-006631,2021.0,Q1,10-Q,2021-05-10,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-12-31,1109826000,0001558370-21-010944,2021.0,Q2,10-Q,2021-08-09,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-12-31,1109826000,0001558370-21-015236,2021.0,Q3,10-Q,2021-11-09,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2020-12-31,1109826000,0001558370-22-002516,2021.0,FY,10-K,2022-03-01,CY2020Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-03-31,1120124000,0001558370-21-006631,2021.0,Q1,10-Q,2021-05-10,CY2021Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-06-30,1076826000,0001558370-21-010944,2021.0,Q2,10-Q,2021-08-09,CY2021Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-09-30,1440294000,0001558370-21-015236,2021.0,Q3,10-Q,2021-11-09,CY2021Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-12-31,1561336000,0001558370-22-002516,2021.0,FY,10-K,2022-03-01,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-12-31,1561336000,0001558370-22-008057,2022.0,Q1,10-Q,2022-05-10,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-12-31,1561336000,0001558370-22-012832,2022.0,Q2,10-Q,2022-08-09,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-12-31,1561336000,0001558370-22-016836,2022.0,Q3,10-Q,2022-11-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2021-12-31,1561336000,0001558370-23-002361,2022.0,FY,10-K,2023-02-28,CY2021Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-03-31,1977325000,0001558370-22-008057,2022.0,Q1,10-Q,2022-05-10,CY2022Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-06-30,2331203000,0001558370-22-012832,2022.0,Q2,10-Q,2022-08-09,CY2022Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-09-30,2291624000,0001558370-22-016836,2022.0,Q3,10-Q,2022-11-08,CY2022Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-12-31,2516521000,0001558370-23-002361,2022.0,FY,10-K,2023-02-28,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-12-31,2516521000,0001558370-23-008225,2023.0,Q1,10-Q,2023-05-05,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-12-31,2516521000,0001558370-23-013825,2023.0,Q2,10-Q,2023-08-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-12-31,2516521000,0001558370-23-018153,2023.0,Q3,10-Q,2023-11-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2022-12-31,2516521000,0001558370-24-001935,2023.0,FY,10-K,2024-02-28,CY2022Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-03-31,3177026000,0001558370-23-008225,2023.0,Q1,10-Q,2023-05-05,CY2023Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-06-30,3345767000,0001558370-23-013825,2023.0,Q2,10-Q,2023-08-08,CY2023Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-09-30,2965280000,0001558370-23-018153,2023.0,Q3,10-Q,2023-11-08,CY2023Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-12-31,3060666000,0001558370-24-001935,2023.0,FY,10-K,2024-02-28,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-12-31,3060666000,0001558370-24-007014,2024.0,Q1,10-Q,2024-05-07,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-12-31,3060666000,0001558370-24-011514,2024.0,Q2,10-Q,2024-08-08,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-12-31,3060666000,0001558370-24-014784,2024.0,Q3,10-Q,2024-11-07,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2023-12-31,3060666000,0001558370-25-001743,2024.0,FY,10-K,2025-02-27,CY2023Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-03-31,3629707000,0001558370-24-007014,2024.0,Q1,10-Q,2024-05-07,CY2024Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-06-30,3779119000,0001558370-24-011514,2024.0,Q2,10-Q,2024-08-08,CY2024Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-09-30,3144586000,0001558370-24-014784,2024.0,Q3,10-Q,2024-11-07,CY2024Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-12-31,3105964000,0001558370-25-001743,2024.0,FY,10-K,2025-02-27,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-12-31,3105964000,0001558370-25-006294,2025.0,Q1,10-Q,2025-05-05,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-12-31,3105964000,0001558370-25-010053,2025.0,Q2,10-Q,2025-08-04,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-12-31,3105964000,0001104659-25-106057,2025.0,Q3,10-Q,2025-11-04,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2024-12-31,3105964000,0001104659-26-022067,2025.0,FY,10-K,2026-03-02,CY2024Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2025-03-31,3762256000,0001558370-25-006294,2025.0,Q1,10-Q,2025-05-05,CY2025Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2025-06-30,3833775000,0001558370-25-010053,2025.0,Q2,10-Q,2025-08-04,CY2025Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2025-09-30,3146869000,0001104659-25-106057,2025.0,Q3,10-Q,2025-11-04,CY2025Q3I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2025-12-31,3200593000,0001104659-26-022067,2025.0,FY,10-K,2026-03-02,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2025-12-31,3200593000,0001104659-26-054833,2026.0,Q1,10-Q,2026-05-04,,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2025-12-31,3200593000,0001104659-26-089657,2026.0,Q2,10-Q,2026-08-03,CY2025Q4I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2026-03-31,3718873000,0001104659-26-054833,2026.0,Q1,10-Q,2026-05-04,CY2026Q1I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
2026-06-30,3651201000,0001104659-26-089657,2026.0,Q2,10-Q,2026-08-03,CY2026Q2I,USD,ContractWithCustomerLiabilityCurrent,Norwegian Cruise Line Holdings Ltd.
