registry: 4109 rows across 69 objects
scoreboard: 276 rows -> scoreboard.csv, scoreboard.md
                             object       target window prior_basis  n        rmse  rmse_ratio_to_naive  cov_empirical  survives_both_windows
                      guide_cushion revenue_musd     W2 full_sample 10   38.876141             0.358544       0.700000                   True
                   print_from_guide revenue_musd     W2 full_sample 10   39.313957             0.362582       1.000000                   True
      mix_revenue_musd_parsimonious revenue_musd     W2 full_sample 10   39.524765             0.364526       1.000000                   True
      revenue_level_next_q_ex_covid revenue_musd     W2 full_sample 10   40.678356             0.375165       0.900000                   True
                 gbm_surprise_guide revenue_musd     W2 full_sample 10   40.726748             0.375612       0.100000                   True
                        gbm_revenue revenue_musd     W2 full_sample 10   52.442313             0.483661       0.400000                   True
               revenue_level_next_q revenue_musd     W2 full_sample 10   57.124458             0.526843       0.900000                   True
                   revenue_level_h1 revenue_musd     W2 full_sample 10   76.258322             0.703310       0.900000                   True
          revenue_level_next_q_w038 revenue_musd     W2 full_sample 10   88.017417             0.811761       1.000000                   True
                             street revenue_musd     W2 full_sample 10   94.492857             0.871482       1.000000                  False
          revenue_level_next_q_w033 revenue_musd     W2 full_sample 10   96.190923             0.887143       1.000000                   True
                                ar1 revenue_musd     W2 full_sample 10   99.318068             0.915983       0.600000                   True
                              naive revenue_musd     W2 full_sample 10  108.427801             1.000000       0.600000                  False
                          trailing4 revenue_musd     W2 full_sample 10  119.361993             1.100843       0.700000                  False
                     naive_seasonal revenue_musd     W2 full_sample 10  337.801421             3.115450       0.000000                  False
            revenue_contemporaneous revenue_musd     W2 full_sample 10 1094.407187            10.093419       0.700000                  False
