ticker,exchange,q,date,call_date,transcript_chars
EME,NYSE: EME,2019-Q2,"Jul 30, 2019, 10:30 a.m. ET",2019-07-30,60771
EEFT,NASDAQ: EEFT,2020-Q4,"Feb 10, 2021, 9:00 a.m. ET",2021-02-10,54827
COUP,NASDAQ: COUP,2021-Q4,"Mar 16, 2021, 4:30 p.m. ET",2021-03-16,62585
ARAY,NASDAQ: ARAY,2022-Q1,"Nov 3, 2021, 4:30 p.m. ET",2021-11-03,29308
WBA,NASDAQ: WBA,2021-Q3,"Jul 1, 2021, 8:30 a.m. ET",2021-07-01,55722
ZBRA,NASDAQ: ZBRA,2021-Q1,"May 4, 2021, 8:30 a.m. ET",2021-05-04,56321
ROST,NASDAQ: ROST,2021-Q1,"May 20, 2021, 4:15 p.m. ET",2021-05-20,40990
FL,NYSE: FL,2021-Q1,"May 21, 2021, 9:00 a.m. ET",2021-05-21,53143
BC,NYSE: BC,2018-Q4,"['Brunswick (BC 0.66%) Q4 2018 ', 'Jan. 31, 2019 11:00 a.m. ET']",,52987
STZ,NYSE: STZ,2021-Q4,"Apr 08, 2021, 11:30 a.m. ET",2021-04-08,73932
NET,NYSE: NET,2022-Q1,"May 05, 2022, 5:00 p.m. ET",2022-05-05,59648
HZO,NYSE: HZO,2020-Q2,"Apr 23, 2020, 9:30 a.m. ET",2020-04-23,45583
LZB,NYSE: LZB,2021-Q3,"Feb 17, 2021, 8:30 a.m. ET",2021-02-17,46317
USPH,NYSE: USPH,2020-Q4,"Feb 25, 2021, 10:30 a.m. ET",2021-02-25,43502
MRNA,NASDAQ: MRNA,2020-Q1,"May 9, 2020, 8:30 p.m. ET",2020-05-09,66935
MELI,NASDAQ: MELI,2021-Q2,"Aug 04, 2021, 4:30 p.m. ET",2021-08-04,39578
CDNS,NASDAQ: CDNS,2021-Q1,"Apr 26, 2021, 5:00 p.m. ET",2021-04-26,45724
VIV,NYSE: VIV,2021-Q1,"May 12, 2021, 9:00 a.m. ET",2021-05-12,43795
NTCT,NASDAQ: NTCT,2021-Q3,"Jan 28, 2021, 8:30 a.m. ET",2021-01-28,38990
U,NYSE: U,2022-Q2,"Aug 09, 2022, 5:00 p.m. ET",2022-08-09,54947
RUSHA,NASDAQ: RUSHA,2020-Q4,"Feb 11, 2021, 10:00 a.m. ET",2021-02-11,57727
DTM,NYSE: DTM,2021-Q3,"Nov 5, 2021, 9:00 a.m. ET",2021-11-05,22274
VCEL,NASDAQ: VCEL,2020-Q4,"Feb 24, 2021, 8:30 a.m. ET",2021-02-24,40609
MSTR,NASDAQ: MSTR,2020-Q4,"Jan 28, 2021, 5:00 p.m. ET",2021-01-28,46091
MRNA,NASDAQ: MRNA,2021-Q1,"May 06, 2021, 8:00 a.m. ET",2021-05-06,84894
CSIQ,NASDAQ: CSIQ,2021-Q1,"May 20, 2021, 8:00 a.m. ET",2021-05-20,47134
AAPL,NASDAQ: AAPL,2020-Q2,"Apr 30, 2020, 5:00 p.m. ET",2020-04-30,48549
CENT,NASDAQ: CENT,2021-Q3,"Aug 4, 2021, 4:35 p.m. ET",2021-08-04,42659
BCOV,NASDAQ: BCOV,2021-Q3,"Oct 27, 2021, 5:00 p.m. ET",2021-10-27,44133
FLNT,NASDAQ: FLNT,2021-Q4,"Mar 08, 2022, 4:30 p.m. ET",2022-03-08,33912
ACLS,NASDAQ: ACLS,2020-Q4,"Feb 11, 2021, 8:30 a.m. ET",2021-02-11,34767
GEO,NYSE: GEO,2021-Q1,"May 10, 2021, 11:00 a.m. ET",2021-05-10,38747
DFIN,NYSE: DFIN,2021-Q1,"May 5, 2021, 9:00 a.m. ET",2021-05-05,35132
GOTU,NYSE: GOTU,2021-Q1,"May 26, 2021, 8:00 a.m. ET",2021-05-26,27218
MT,NYSE: MT,2020-Q4,"Feb 11, 2021, 9:30 a.m. ET",2021-02-11,54208
SHOP,NYSE: SHOP,2020-Q3,"Oct 29, 2020, 8:30 a.m. ET",2020-10-29,53767
EL,NYSE: EL,2020-Q4,"Aug 20, 2020, 9:30 a.m. ET",2020-08-20,69347
LGIH,NASDAQ: LGIH,2020-Q4,"Feb 23, 2021, 12:30 p.m. ET",2021-02-23,45935
EBS,NYSE: EBS,2020-Q4,"Feb 18, 2021, 5:00 p.m. ET",2021-02-18,54641
REGN,NASDAQ: REGN,2021-Q1,"May 6, 2021, 8:30 a.m. ET",2021-05-06,58430
EAF,NYSE: EAF,2021-Q1,"May 5, 2021, 10:00 a.m. ET",2021-05-05,30047
META,NASDAQ: META,2020-Q4,"Jan 27, 2021, 5:00 p.m. ET",2021-01-27,60715
HRB,NYSE: HRB,2020-Q2,"Dec 4, 2019, 4:30 p.m. ET",2019-12-04,36490
STRS,NASDAQ: STRS,2020-Q2,"Aug 10, 2020, 11:00 a.m. ET",2020-08-10,16581
TTE,NYSE: TTE,2021-Q1,"May 1, 2021, 12:00 p.m. ET",2021-05-01,62781
FCNCA,NASDAQ: FCNCA,2020-Q4,"Jan 27, 2021, 9:00 a.m. ET",2021-01-27,28118
OTIS,NYSE: OTIS,2022-Q4,"Feb 01, 2023, 8:30 a.m. ET",2023-02-01,50248
DHI,NYSE: DHI,2021-Q1,"Jan 26, 2021, 8:30 a.m. ET",2021-01-26,65771
AIMC,NASDAQ: AIMC,2020-Q4,"Feb 12, 2021, 10:00 a.m. ET",2021-02-12,49914
HLT,NYSE: HLT,2020-Q1,"May 07, 2020, 10:00 a.m. ET",2020-05-07,67836
TLRY,NASDAQ: TLRY,2022-Q1,"Oct 07, 2021, 8:30 a.m. ET",2021-10-07,66048
ALGN,NASDAQ: ALGN,2020-Q4,"Feb 3, 2021, 4:30 p.m. ET",2021-02-03,70412
SGEN,NASDAQ: SGEN,2021-Q1,"Apr 29, 2021, 4:30 p.m. ET",2021-04-29,57163
F,NYSE: F,2019-Q4,"Feb 4, 2020, 5:00 p.m. ET",2020-02-04,60764
ADNT,NYSE: ADNT,2020-Q3,"Aug 6, 2020, 8:30 a.m. ET",2020-08-06,56462
PPG,NYSE: PPG,2021-Q1,"Apr 16, 2021, 8:00 a.m. ET",2021-04-16,48519
AL,NYSE: AL,2021-Q1,"May 6, 2021, 4:30 p.m. ET",2021-05-06,61363
MKL,NYSE: MKL,2022-Q3,"Nov 02, 2022, 9:30 a.m. ET",2022-11-02,47646
INBK,NASDAQ: INBK,2020-Q4,"Jan 21, 2021, 12:00 p.m. ET",2021-01-21,37939
AAWW,NASDAQ: AAWW,2019-Q3,"Oct 30, 2019, 11:00 a.m. ET",2019-10-30,65718
CARA,NASDAQ: CARA,2020-Q4,"Feb 25, 2021, 4:30 p.m. ET",2021-02-25,35206
LILAK,NASDAQ: LILAK,2019-Q2,"Aug. 07, 2019, 9:00 a.m. ET",2019-08-07,28404
SXC,NYSE: SXC,2019-Q3,"Nov 5, 2019, 10:30 a.m. ET",2019-11-05,31849
CNI,NYSE: CNI,2021-Q2,"Jul 20, 2021, 4:30 p.m. ET",2021-07-20,67607
BX,NYSE: BX,2021-Q2,"Jul 22, 2021, 9:00 a.m. ET",2021-07-22,52218
CMC,NYSE: CMC,2023-Q1,"Jan 09, 2023, 11:00 a.m. ET",2023-01-09,52883
SIVB,NASDAQ: SIVB,2021-Q2,"Jul 22, 2021, 6:00 p.m. ET",2021-07-22,42051
GNRC,NYSE: GNRC,2020-Q4,"Feb 11, 2021, 10:00 a.m. ET",2021-02-11,78505
BABA,NYSE: BABA,2021-Q3,"Feb 02, 2021, 7:30 a.m. ET",2021-02-02,49197
CTIC,NASDAQ: CTIC,2020-Q4,"Mar 17, 2021, 4:30 p.m. ET",2021-03-17,20073
OPRX,NASDAQ: OPRX,2022-Q2,"Aug 09, 2022, 4:30 p.m. ET",2022-08-09,45721
XLNX,NASDAQ: XLNX,2020-Q1,"Jul 24, 2019, 5:00 p.m. ET",2019-07-24,53525
MOD,NYSE: MOD,2021-Q2,"Nov 6, 2020, 9:00 a.m. ET",2020-11-06,33536
LAMR,NASDAQ: LAMR,2020-Q2,"Aug 6, 2020, 9:00 a.m. ET",2020-08-06,20828
TRV,NYSE: TRV,2021-Q1,"Apr 20, 2021, 9:00 a.m. ET",2021-04-20,56716
LOPE,NASDAQ: LOPE,2020-Q4,"Feb 17, 2021, 4:30 p.m. ET",2021-02-17,49688
OCFT,NYSE: OCFT,2021-Q1,"May 12, 2021, 9:00 p.m. ET",2021-05-12,39025
AYX,NYSE: AYX,2020-Q4,"Feb 09, 2021, 5:00 p.m. ET",2021-02-09,55104
HUN,NYSE: HUN,2020-Q4,"Feb 12, 2021, 10:00 a.m. ET",2021-02-12,58964
TGT,NYSE: TGT,2020-Q4,"Mar 02, 2021, 9:00 a.m. ET",2021-03-02,121703
