symbol,report_date,time,name,fiscal_quarter_ending
BMRA,2023-01-13,time-not-supplied,"Biomerica, Inc.",2022-11-30
C,2023-01-13,time-not-supplied,Citigroup Inc.,2022-12-31
DAL,2023-01-13,time-not-supplied,"Delta Air Lines, Inc.",2022-12-31
JPM,2023-01-13,time-not-supplied,J P Morgan Chase & Co,2022-12-31
PLG,2023-01-13,time-not-supplied,Platinum Group Metals Ltd.,2022-11-30
TRX,2023-01-13,time-not-supplied,TRX Gold Corporation,2022-11-30
UNH,2023-01-13,time-not-supplied,UnitedHealth Group Incorporated,2022-12-31
UNTY,2023-01-13,time-not-supplied,"Unity Bancorp, Inc.",2022-12-31
VMAR,2023-01-13,time-not-supplied,Vision Marine Technologies Inc.,2022-11-30
WFC,2023-01-13,time-not-supplied,Wells Fargo & Company,2022-12-31
WIT,2023-01-13,time-not-supplied,Wipro Limited,2022-12-31
HDB,2023-01-14,time-not-supplied,HDFC Bank Limited,2022-12-31
GAME,2023-01-16,time-not-supplied,"GameSquare Holdings, Inc.",2022-11-30
UMC,2023-01-16,time-not-supplied,United Microelectronics Corporation,2022-12-31
BDL,2023-01-17,time-not-supplied,"Flanigan's Enterprises, Inc.",2022-09-30
BFC,2023-01-17,time-not-supplied,Bank First Corporation,2022-12-31
CFG,2023-01-17,time-not-supplied,"Citizens Financial Group, Inc.",2022-12-31
EDU,2023-01-17,time-not-supplied,"New Oriental Education & Technology Group, Inc.",2022-11-30
FBK,2023-01-17,time-not-supplied,FB Financial Corporation,2022-12-31
FNGR,2023-01-17,time-not-supplied,"FingerMotion, Inc.",2022-11-30
FULT,2023-01-17,time-not-supplied,Fulton Financial Corporation,2022-12-31
GNTY,2023-01-17,time-not-supplied,"Guaranty Bancshares, Inc.",2022-12-31
GS,2023-01-17,time-not-supplied,"Goldman Sachs Group, Inc. (The)",2022-12-31
HWC,2023-01-17,time-not-supplied,Hancock Whitney Corporation,2022-12-31
IBKR,2023-01-17,time-not-supplied,"Interactive Brokers Group, Inc.",2022-12-31
JCTC,2023-01-17,time-not-supplied,Jewett-Cameron Trading Company,2022-11-30
LEXX,2023-01-17,time-not-supplied,Lexaria Bioscience Corp.,2022-11-30
MBWM,2023-01-17,time-not-supplied,Mercantile Bank Corporation,2022-12-31
MS,2023-01-17,time-not-supplied,Morgan Stanley,2022-12-31
NIC,2023-01-17,time-not-supplied,Nicolet Bankshares Inc.,2022-12-31
PNFP,2023-01-17,time-not-supplied,"Pinnacle Financial Partners, Inc.",2022-12-31
PRGS,2023-01-17,time-not-supplied,Progress Software Corporation,2022-11-30
SOTK,2023-01-17,time-not-supplied,Sono-Tek Corporation,2022-11-30
UAL,2023-01-17,time-not-supplied,"United Airlines Holdings, Inc.",2022-12-31
AA,2023-01-18,time-not-supplied,Alcoa Corporation,2022-12-31
CTBI,2023-01-18,time-not-supplied,"Community Trust Bancorp, Inc.",2022-12-31
DIT,2023-01-18,time-not-supplied,AMCON Distributing Company,2022-12-31
EGBN,2023-01-18,time-not-supplied,"Eagle Bancorp, Inc.",2022-12-31
FCCO,2023-01-18,time-not-supplied,First Community Corporation,2022-12-31
FHN,2023-01-18,time-not-supplied,First Horizon Corporation,2022-12-31
FNLC,2023-01-18,time-not-supplied,"First Bancorp, Inc (ME)",2022-12-31
FUL,2023-01-18,time-not-supplied,H. B. Fuller Company,2022-11-30
JBHT,2023-01-18,time-not-supplied,"J.B. Hunt Transport Services, Inc.",2022-12-31
JMSB,2023-01-18,time-not-supplied,"John Marshall Bancorp, Inc.",2022-12-31
KMI,2023-01-18,time-not-supplied,"Kinder Morgan, Inc.",2022-12-31
PFBC,2023-01-18,time-not-supplied,Preferred Bank,2022-12-31
PKBK,2023-01-18,time-not-supplied,"Parke Bancorp, Inc.",2022-12-31
PLBC,2023-01-18,time-not-supplied,Plumas Bancorp,2022-12-31
PLD,2023-01-18,time-not-supplied,"Prologis, Inc.",2022-12-31
PNC,2023-01-18,time-not-supplied,"PNC Financial Services Group, Inc. (The)",2022-12-31
SCHW,2023-01-18,time-not-supplied,The Charles Schwab Corporation,2022-12-31
SNV,2023-01-18,time-not-supplied,Synovus Financial Corp.,2022-12-31
TCBI,2023-01-18,time-not-supplied,"Texas Capital Bancshares, Inc.",2022-12-31
UNB,2023-01-18,time-not-supplied,"Union Bankshares, Inc.",2022-12-31
WTFC,2023-01-18,time-not-supplied,Wintrust Financial Corporation,2022-12-31
AMTB,2023-01-19,time-not-supplied,Amerant Bancorp Inc.,2022-12-31
BANC,2023-01-19,time-not-supplied,"Banc of California, Inc.",2022-12-31
BANF,2023-01-19,time-not-supplied,BancFirst Corporation,2022-12-31
BANR,2023-01-19,time-not-supplied,Banner Corporation,2022-12-31
BHB,2023-01-19,time-not-supplied,"Bar Harbor Bankshares, Inc.",2022-12-31
BKU,2023-01-19,time-not-supplied,"BankUnited, Inc.",2022-12-31
CASS,2023-01-19,time-not-supplied,"Cass Information Systems, Inc",2022-12-31
CBSH,2023-01-19,time-not-supplied,"Commerce Bancshares, Inc.",2022-12-31
CCNE,2023-01-19,time-not-supplied,CNB Financial Corporation,2022-12-31
CMA,2023-01-19,time-not-supplied,Comerica Incorporated,2022-12-31
CNXC,2023-01-19,time-not-supplied,Concentrix Corporation,2022-11-30
FAST,2023-01-19,time-not-supplied,Fastenal Company,2022-12-31
FFIN,2023-01-19,time-not-supplied,"First Financial Bankshares, Inc.",2022-12-31
FITB,2023-01-19,time-not-supplied,Fifth Third Bancorp,2022-12-31
FPH,2023-01-19,time-not-supplied,"Five Point Holdings, LLC",2022-12-31
HIFS,2023-01-19,time-not-supplied,Hingham Institution for Savings,2022-12-31
HOMB,2023-01-19,time-not-supplied,"Home BancShares, Inc.",2022-12-31
IIIN,2023-01-19,time-not-supplied,"Insteel Industries, Inc.",2022-12-31
INDB,2023-01-19,time-not-supplied,Independent Bank Corp.,2022-12-31
KARO,2023-01-19,time-not-supplied,Karooooo Ltd.,2022-11-30
KEY,2023-01-19,time-not-supplied,KeyCorp,2022-12-31
MTB,2023-01-19,time-not-supplied,M&T Bank Corporation,2022-12-31
NFLX,2023-01-19,time-not-supplied,"Netflix, Inc.",2022-12-31
NTRS,2023-01-19,time-not-supplied,Northern Trust Corporation,2022-12-31
OCFC,2023-01-19,time-not-supplied,OceanFirst Financial Corp.,2022-12-31
OZK,2023-01-19,time-not-supplied,Bank OZK,2022-12-31
PG,2023-01-19,time-not-supplied,Procter & Gamble Company (The),2022-12-31
PPG,2023-01-19,time-not-supplied,"PPG Industries, Inc.",2022-12-31
SRCE,2023-01-19,time-not-supplied,1st Source Corporation,2022-12-31
TAL,2023-01-19,time-not-supplied,TAL Education Group,2022-11-30
TFC,2023-01-19,time-not-supplied,Truist Financial Corporation,2022-12-31
WABC,2023-01-19,time-not-supplied,Westamerica Bancorporation,2022-12-31
WNS,2023-01-19,time-not-supplied,WNS (Holdings) Limited,2022-12-31
ALLY,2023-01-20,time-not-supplied,Ally Financial Inc.,2022-12-31
ATLO,2023-01-20,time-not-supplied,Ames National Corporation,2022-12-31
ERIC,2023-01-20,time-not-supplied,Ericsson,2022-12-31
GCBC,2023-01-20,time-not-supplied,"Greene County Bancorp, Inc.",2022-12-31
HBAN,2023-01-20,time-not-supplied,Huntington Bancshares Incorporated,2022-12-31
MCB,2023-01-20,time-not-supplied,Metropolitan Bank Holding Corp.,2022-12-31
OVLY,2023-01-20,time-not-supplied,Oak Valley Bancorp (CA),2022-12-31
RF,2023-01-20,time-not-supplied,Regions Financial Corporation,2022-12-31
SLB,2023-01-20,time-not-supplied,Schlumberger N.V.,2022-12-31
STT,2023-01-20,time-not-supplied,State Street Corporation,2022-12-31
IBN,2023-01-21,time-not-supplied,ICICI Bank Limited,2022-12-31
BBCP,2023-01-23,time-not-supplied,"Concrete Pumping Holdings, Inc. ",2022-10-31
BKR,2023-01-23,time-not-supplied,Baker Hughes Company,2022-12-31
BMRC,2023-01-23,time-not-supplied,Bank of Marin Bancorp,2022-12-31
BOH,2023-01-23,time-not-supplied,Bank of Hawaii Corporation,2022-12-31
BRO,2023-01-23,time-not-supplied,"Brown & Brown, Inc.",2022-12-31
CXT,2023-01-23,time-not-supplied,"Crane NXT, Co.",2022-12-31
CZWI,2023-01-23,time-not-supplied,"Citizens Community Bancorp, Inc.",2022-12-31
EFSC,2023-01-23,time-not-supplied,Enterprise Financial Services Corporation,2022-12-31
FNB,2023-01-23,time-not-supplied,F.N.B. Corporation,2022-12-31
GSBC,2023-01-23,time-not-supplied,"Great Southern Bancorp, Inc.",2022-12-31
HOPE,2023-01-23,time-not-supplied,"Hope Bancorp, Inc.",2022-12-31
LOGI,2023-01-23,time-not-supplied,Logitech International S.A.,2022-12-31
MCBS,2023-01-23,time-not-supplied,"MetroCity Bankshares, Inc.",2022-12-31
MNSB,2023-01-23,time-not-supplied,"MainStreet Bancshares, Inc.",2022-12-31
NBTB,2023-01-23,time-not-supplied,NBT Bancorp Inc.,2022-12-31
NWBI,2023-01-23,time-not-supplied,"Northwest Bancshares, Inc.",2022-12-31
PEBK,2023-01-23,time-not-supplied,"Peoples Bancorp of North Carolina, Inc.",2022-12-31
PRK,2023-01-23,time-not-supplied,Park National Corporation,2022-12-31
RBB,2023-01-23,time-not-supplied,RBB Bancorp,2022-12-31
SFBS,2023-01-23,time-not-supplied,"ServisFirst Bancshares, Inc.",2022-12-31
SMBK,2023-01-23,time-not-supplied,"SmartFinancial, Inc.",2022-12-31
SYF,2023-01-23,time-not-supplied,Synchrony Financial,2022-12-31
TRST,2023-01-23,time-not-supplied,TrustCo Bank Corp NY,2022-12-31
TSBK,2023-01-23,time-not-supplied,"Timberland Bancorp, Inc.",2022-12-31
ZION,2023-01-23,time-not-supplied,Zions Bancorporation N.A.,2022-12-31
AGYS,2023-01-24,time-not-supplied,"Agilysys, Inc.",2022-12-31
ASRV,2023-01-24,time-not-supplied,AmeriServ Financial Inc.,2022-12-31
AUB,2023-01-24,time-not-supplied,Atlantic Union Bankshares Corporation,2022-12-31
BSET,2023-01-24,time-not-supplied,"Bassett Furniture Industries, Incorporated",2022-11-30
BUSE,2023-01-24,time-not-supplied,First Busey Corporation,2022-12-31
CBU,2023-01-24,time-not-supplied,"Community Financial System, Inc.",2022-12-31
CCBG,2023-01-24,time-not-supplied,Capital City Bank Group,2022-12-31
CFFI,2023-01-24,time-not-supplied,C&F Financial Corporation,2022-12-31
CFSB,2023-01-24,time-not-supplied,"CFSB Bancorp, Inc.",2022-12-31
CHCO,2023-01-24,time-not-supplied,City Holding Company,2022-12-31
CNI,2023-01-24,time-not-supplied,Canadian National Railway Company,2022-12-31
COF,2023-01-24,time-not-supplied,Capital One Financial Corporation,2022-12-31
COLB,2023-01-24,time-not-supplied,"Columbia Banking System, Inc.",2022-12-31
DHI,2023-01-24,time-not-supplied,"D.R. Horton, Inc.",2022-12-31
DHR,2023-01-24,time-not-supplied,Danaher Corporation,2022-12-31
FBNC,2023-01-24,time-not-supplied,First Bancorp,2022-12-31
FCBC,2023-01-24,time-not-supplied,"First Community Bankshares, Inc.",2022-12-31
FCF,2023-01-24,time-not-supplied,First Commonwealth Financial Corporation,2022-12-31
FFIV,2023-01-24,time-not-supplied,"F5, Inc.",2022-12-31
FOR,2023-01-24,time-not-supplied,Forestar Group Inc,2022-12-31
FRAF,2023-01-24,time-not-supplied,Franklin Financial Services Corporation,2022-12-31
GATX,2023-01-24,time-not-supplied,GATX Corporation,2022-12-31
GE,2023-01-24,time-not-supplied,GE Aerospace,2022-12-31
HAFC,2023-01-24,time-not-supplied,Hanmi Financial Corporation,2022-12-31
HAL,2023-01-24,time-not-supplied,Halliburton Company,2022-12-31
HBCP,2023-01-24,time-not-supplied,"Home Bancorp, Inc.",2022-12-31
HTB,2023-01-24,time-not-supplied,"HomeTrust Bancshares, Inc.",2022-12-31
ISRG,2023-01-24,time-not-supplied,"Intuitive Surgical, Inc.",2022-12-31
IVZ,2023-01-24,time-not-supplied,Invesco Plc,2022-12-31
JNJ,2023-01-24,time-not-supplied,Johnson & Johnson,2022-12-31
LMT,2023-01-24,time-not-supplied,Lockheed Martin Corporation,2022-12-31
LRN,2023-01-24,time-not-supplied,"Stride, Inc.",2022-12-31
MMM,2023-01-24,time-not-supplied,3M Company,2022-12-31
MRTN,2023-01-24,time-not-supplied,"Marten Transport, Ltd.",2022-12-31
MSFT,2023-01-24,time-not-supplied,Microsoft Corporation,2022-12-31
NAVI,2023-01-24,time-not-supplied,Navient Corporation,2022-12-31
NBHC,2023-01-24,time-not-supplied,National Bank Holdings Corporation,2022-12-31
ONB,2023-01-24,time-not-supplied,Old National Bancorp,2022-12-31
ORRF,2023-01-24,time-not-supplied,"Orrstown Financial Services, Inc.",2022-12-31
PCAR,2023-01-24,time-not-supplied,PACCAR Inc.,2022-12-31
PEBO,2023-01-24,time-not-supplied,Peoples Bancorp Inc.,2022-12-31
QCRH,2023-01-24,time-not-supplied,"QCR Holdings, Inc.",2022-12-31
RNST,2023-01-24,time-not-supplied,Renasant Corporation,2022-12-31
RTX,2023-01-24,time-not-supplied,RTX Corporation,2022-12-31
SFNC,2023-01-24,time-not-supplied,Simmons First National Corporation,2022-12-31
SFST,2023-01-24,time-not-supplied,"Southern First Bancshares, Inc.",2022-12-31
SLGN,2023-01-24,time-not-supplied,Silgan Holdings Inc.,2022-12-31
SSBI,2023-01-24,time-not-supplied,Summit State Bank,2022-12-31
TRMK,2023-01-24,time-not-supplied,Trustmark Corporation,2022-12-31
TRV,2023-01-24,time-not-supplied,"The Travelers Companies, Inc.",2022-12-31
TXN,2023-01-24,time-not-supplied,Texas Instruments Incorporated,2022-12-31
UMBF,2023-01-24,time-not-supplied,UMB Financial Corporation,2022-12-31
UNP,2023-01-24,time-not-supplied,Union Pacific Corporation,2022-12-31
VBTX,2023-01-24,time-not-supplied,"Veritex Holdings, Inc.",2022-12-31
VZ,2023-01-24,time-not-supplied,Verizon Communications Inc.,2022-12-31
WAL,2023-01-24,time-not-supplied,Western Alliance Bancorporation,2022-12-31
WNEB,2023-01-24,time-not-supplied,"Western New England Bancorp, Inc.",2022-12-31
WSBC,2023-01-24,time-not-supplied,"WesBanco, Inc.",2022-12-31
ABT,2023-01-25,time-not-supplied,Abbott Laboratories,2022-12-31
ADP,2023-01-25,time-not-supplied,"Automatic Data Processing, Inc.",2022-12-31
ALRS,2023-01-25,time-not-supplied,Alerus Financial Corporation,2022-12-31
AMP,2023-01-25,time-not-supplied,"AMERIPRISE FINANCIAL SERVICES, LLC",2022-12-31
APH,2023-01-25,time-not-supplied,Amphenol Corporation,2022-12-31
ASML,2023-01-25,time-not-supplied,ASML Holding N.V.,2022-12-31
AXS,2023-01-25,time-not-supplied,Axis Capital Holdings Limited,2022-12-31
AXTA,2023-01-25,time-not-supplied,Axalta Coating Systems Ltd.,2022-12-31
BA,2023-01-25,time-not-supplied,Boeing Company (The),2022-12-31
BFST,2023-01-25,time-not-supplied,"Business First Bancshares, Inc.",2022-12-31
BLFY,2023-01-25,time-not-supplied,Blue Foundry Bancorp,2022-12-31
BOKF,2023-01-25,time-not-supplied,BOK Financial Corporation,2022-12-31
BOOT,2023-01-25,time-not-supplied,"Boot Barn Holdings, Inc.",2022-12-31
BPOP,2023-01-25,time-not-supplied,"Popular, Inc.",2022-12-31
BWB,2023-01-25,time-not-supplied,"Bridgewater Bancshares, Inc.",2022-12-31
BWFG,2023-01-25,time-not-supplied,"Bankwell Financial Group, Inc.",2022-12-31
CACI,2023-01-25,time-not-supplied,"CACI International, Inc.",2022-12-31
CALX,2023-01-25,time-not-supplied,"Calix, Inc",2022-12-31
CASH,2023-01-25,time-not-supplied,"Pathward Financial, Inc.",2022-12-31
CATY,2023-01-25,time-not-supplied,Cathay General Bancorp,2022-12-31
CBNK,2023-01-25,time-not-supplied,"Capital Bancorp, Inc.",2022-12-31
CCI,2023-01-25,time-not-supplied,Crown Castle Inc.,2022-12-31
CFFN,2023-01-25,time-not-supplied,"Capitol Federal Financial, Inc.",2022-12-31
CLBK,2023-01-25,time-not-supplied,"Columbia Financial, Inc.",2022-12-31
CLS,2023-01-25,time-not-supplied,"Celestica, Inc.",2022-12-31
CMPR,2023-01-25,time-not-supplied,Cimpress PLC,2022-12-31
CNS,2023-01-25,time-not-supplied,Cohen & Steers Inc,2022-12-31
COFS,2023-01-25,time-not-supplied,"ChoiceOne Financial Services, Inc.",2022-12-31
CPF,2023-01-25,time-not-supplied,CPB Inc.,2022-12-31
CSX,2023-01-25,time-not-supplied,CSX Corporation,2022-12-31
CUBI,2023-01-25,time-not-supplied,"Customers Bancorp, Inc",2022-12-31
CVBF,2023-01-25,time-not-supplied,CVB Financial Corporation,2022-12-31
CVLG,2023-01-25,time-not-supplied,"Covenant Logistics Group, Inc.",2022-12-31
ELV,2023-01-25,time-not-supplied,"Elevance Health, Inc.",2022-12-31
EQBK,2023-01-25,time-not-supplied,"Equity Bancshares, Inc.",2022-12-31
ESQ,2023-01-25,time-not-supplied,"Esquire Financial Holdings, Inc.",2022-12-31
ETD,2023-01-25,time-not-supplied,Ethan Allen Interiors Inc.,2022-12-31
EXTR,2023-01-25,time-not-supplied,"Extreme Networks, Inc.",2022-12-31
FCX,2023-01-25,time-not-supplied,"Freeport-McMoran, Inc.",2022-12-31
FDBC,2023-01-25,time-not-supplied,"Fidelity D & D Bancorp, Inc.",2022-12-31
FINW,2023-01-25,time-not-supplied,FinWise Bancorp,2022-12-31
FLEX,2023-01-25,time-not-supplied,Flex Ltd.,2022-12-31
FMNB,2023-01-25,time-not-supplied,Farmers National Banc Corp.,2022-12-31
FNWD,2023-01-25,time-not-supplied,Finward Bancorp,2022-12-31
FRBA,2023-01-25,time-not-supplied,First Bank,2022-12-31
FSBW,2023-01-25,time-not-supplied,"FS Bancorp, Inc.",2022-12-31
FUSB,2023-01-25,time-not-supplied,"First US Bancshares, Inc.",2022-12-31
FVCB,2023-01-25,time-not-supplied,"FVCBankcorp, Inc.",2022-12-31
GD,2023-01-25,time-not-supplied,General Dynamics Corporation,2022-12-31
GPI,2023-01-25,time-not-supplied,"Group 1 Automotive, Inc.",2022-12-31
HBNC,2023-01-25,time-not-supplied,"Horizon Bancorp, Inc.",2022-12-31
HBT,2023-01-25,time-not-supplied,"HBT Financial, Inc.",2022-12-31
HESM,2023-01-25,time-not-supplied,Hess Midstream LP,2022-12-31
HNVR,2023-01-25,time-not-supplied,"Hanover Bancorp, Inc.",2022-12-31
HXL,2023-01-25,time-not-supplied,Hexcel Corporation,2022-12-31
IBM,2023-01-25,time-not-supplied,International Business Machines Corporation,2022-12-31
INBK,2023-01-25,time-not-supplied,First Internet Bancorp,2022-12-31
ISTR,2023-01-25,time-not-supplied,Investar Holding Corporation,2022-12-31
KMB,2023-01-25,time-not-supplied,Kimberly-Clark Corporation,2022-12-31
LBRT,2023-01-25,time-not-supplied,Liberty Energy Inc.,2022-12-31
LC,2023-01-25,time-not-supplied,LendingClub Corporation,2022-12-31
LEVI,2023-01-25,time-not-supplied,Levi Strauss & Co.,2022-11-30
LKFN,2023-01-25,time-not-supplied,Lakeland Financial Corporation,2022-12-31
LOB,2023-01-25,time-not-supplied,"Live Oak Bancshares, Inc.",2022-12-31
LRCX,2023-01-25,time-not-supplied,Lam Research Corporation,2022-12-31
LVS,2023-01-25,time-not-supplied,Las Vegas Sands Corp.,2022-12-31
MKTX,2023-01-25,time-not-supplied,"MarketAxess Holdings, Inc.",2022-12-31
MNRO,2023-01-25,time-not-supplied,"Monro, Inc. ",2022-12-31
MPB,2023-01-25,time-not-supplied,Mid Penn Bancorp,2022-12-31
MPX,2023-01-25,time-not-supplied,Marine Products Corporation,2022-12-31
NBN,2023-01-25,time-not-supplied,Northeast Bank,2022-12-31
NDAQ,2023-01-25,time-not-supplied,"Nasdaq, Inc.",2022-12-31
NEE,2023-01-25,time-not-supplied,"NextEra Energy, Inc.",2022-12-31
NFBK,2023-01-25,time-not-supplied,"Northfield Bancorp, Inc.",2022-12-31
NG,2023-01-25,time-not-supplied,Novagold Resources Inc.,2022-11-30
NOW,2023-01-25,time-not-supplied,"ServiceNow, Inc.",2022-12-31
NSC,2023-01-25,time-not-supplied,Norfolk Southern Corporation,2022-12-31
NVEC,2023-01-25,time-not-supplied,NVE Corporation,2022-12-31
OBK,2023-01-25,time-not-supplied,"Origin Bancorp, Inc.",2022-12-31
OBT,2023-01-25,time-not-supplied,"Orange County Bancorp, Inc.",2022-12-31
OSBC,2023-01-25,time-not-supplied,"Old Second Bancorp, Inc.",2022-12-31
PB,2023-01-25,time-not-supplied,"Prosperity Bancshares, Inc.",2022-12-31
PGR,2023-01-25,time-not-supplied,Progressive Corporation (The),2022-12-31
PKG,2023-01-25,time-not-supplied,Packaging Corporation of America,2022-12-31
PLXS,2023-01-25,time-not-supplied,Plexus Corp.,2022-12-31
RDY,2023-01-25,time-not-supplied,Dr. Reddy's Laboratories Ltd,2022-12-31
RES,2023-01-25,time-not-supplied,"RPC, Inc.",2022-12-31
RJF,2023-01-25,time-not-supplied,"Raymond James Financial, Inc.",2022-12-31
RLI,2023-01-25,time-not-supplied,RLI Corp.,2022-12-31
SEIC,2023-01-25,time-not-supplied,SEI Investments Company,2022-12-31
SF,2023-01-25,time-not-supplied,Stifel Financial Corporation,2022-12-31
SIFY,2023-01-25,time-not-supplied,Sify Technologies Limited,2022-12-31
SLG,2023-01-25,time-not-supplied,SL Green Realty Corp,2022-12-31
STLD,2023-01-25,time-not-supplied,"Steel Dynamics, Inc.",2022-12-31
STX,2023-01-25,time-not-supplied,Seagate Technology Holdings PLC,2022-12-31
SYBT,2023-01-25,time-not-supplied,"Stock Yards Bancorp, Inc.",2022-12-31
T,2023-01-25,time-not-supplied,AT&T Inc.,2022-12-31
TCBK,2023-01-25,time-not-supplied,TriCo Bancshares,2022-12-31
TDY,2023-01-25,time-not-supplied,Teledyne Technologies Incorporated,2022-12-31
TEL,2023-01-25,time-not-supplied,TE Connectivity plc,2022-12-31
TER,2023-01-25,time-not-supplied,"Teradyne, Inc.",2022-12-31
TFIN,2023-01-25,time-not-supplied,"Triumph Financial, Inc.",2022-12-31
TSLA,2023-01-25,time-not-supplied,"Tesla, Inc. ",2022-12-31
TXT,2023-01-25,time-not-supplied,Textron Inc.,2022-12-31
URI,2023-01-25,time-not-supplied,"United Rentals, Inc.",2022-12-31
USB,2023-01-25,time-not-supplied,U.S. Bancorp,2022-12-31
UVSP,2023-01-25,time-not-supplied,Univest Financial Corporation,2022-12-31
WASH,2023-01-25,time-not-supplied,"Washington Trust Bancorp, Inc.",2022-12-31
WOLF,2023-01-25,time-not-supplied,"Wolfspeed, Inc.",2022-12-31
XIFR,2023-01-25,time-not-supplied,"XPLR Infrastructure, LP",2022-12-31
AAL,2023-01-26,time-not-supplied,"American Airlines Group, Inc.",2022-12-31
ABCB,2023-01-26,time-not-supplied,Ameris Bancorp,2022-12-31
ACNB,2023-01-26,time-not-supplied,ACNB Corporation,2022-12-31
ADM,2023-01-26,time-not-supplied,Archer-Daniels-Midland Company,2022-12-31
AIT,2023-01-26,time-not-supplied,"Applied Industrial Technologies, Inc.",2022-12-31
AJG,2023-01-26,time-not-supplied,Arthur J. Gallagher & Co.,2022-12-31
ALK,2023-01-26,time-not-supplied,"Alaska Air Group, Inc.",2022-12-31
AMAL,2023-01-26,time-not-supplied,Amalgamated Financial Corp.,2022-12-31
APPF,2023-01-26,time-not-supplied,"AppFolio, Inc.",2022-12-31
ASB,2023-01-26,time-not-supplied,Associated Banc-Corp,2022-12-31
AX,2023-01-26,time-not-supplied,"Axos Financial, Inc.",2022-12-31
BAFN,2023-01-26,time-not-supplied,BayFirst Financial Corp.,2022-12-31
BCBP,2023-01-26,time-not-supplied,"BCB Bancorp, Inc. (NJ)",2022-12-31
BCML,2023-01-26,time-not-supplied,BayCom Corp,2022-12-31
