project,article,date,access,agent,views
en.wikipedia,Airbnb,2026-08-06,all-access,user,1544
en.wikipedia,Airbnb,2026-08-07,all-access,user,1718
en.wikipedia,Airbnb,2026-08-08,all-access,user,1349
en.wikipedia,Airbnb,2026-08-09,all-access,user,1462
en.wikipedia,Airbnb,2026-08-10,all-access,user,1952
en.wikipedia,Airbnb,2026-08-11,all-access,user,1919
en.wikipedia,Airbnb,2026-08-12,all-access,user,1355
en.wikipedia,Airbnb,2026-08-13,all-access,user,1423
en.wikipedia,Airbnb,2026-08-14,all-access,user,1248
en.wikipedia,Airbnb,2026-08-15,all-access,user,1138
en.wikipedia,Airbnb,2026-08-16,all-access,user,1219
en.wikipedia,Airbnb,2026-08-17,all-access,user,1412
en.wikipedia,Airbnb,2026-08-18,all-access,user,1428
en.wikipedia,Airbnb,2026-08-19,all-access,user,1727
en.wikipedia,Airbnb,2026-08-20,all-access,user,1376
en.wikipedia,Airbnb,2026-08-21,all-access,user,1864
en.wikipedia,Airbnb,2026-08-22,all-access,user,1350
en.wikipedia,Airbnb,2026-08-23,all-access,user,1238
en.wikipedia,Airbnb,2026-08-24,all-access,user,1449
en.wikipedia,Airbnb,2026-08-25,all-access,user,1366
en.wikipedia,Airbnb,2026-08-26,all-access,user,1356
en.wikipedia,Airbnb,2026-08-27,all-access,user,1216
en.wikipedia,Airbnb,2026-08-28,all-access,user,1114
en.wikipedia,Airbnb,2026-08-29,all-access,user,1148
en.wikipedia,Airbnb,2026-08-30,all-access,user,1304
en.wikipedia,Airbnb,2026-08-31,all-access,user,1336
en.wikipedia,Airbnb,2026-09-01,all-access,user,1428
en.wikipedia,Airbnb,2026-09-02,all-access,user,1658
en.wikipedia,Airbnb,2026-09-03,all-access,user,1527
en.wikipedia,Airbnb,2026-09-04,all-access,user,1351
en.wikipedia,Airbnb,2026-09-05,all-access,user,1150
en.wikipedia,Airbnb,2026-09-06,all-access,user,1192
en.wikipedia,Airbnb,2026-09-07,all-access,user,1434
en.wikipedia,Airbnb,2026-09-08,all-access,user,1479
en.wikipedia,Airbnb,2026-09-09,all-access,user,1488
en.wikipedia,Airbnb,2026-09-10,all-access,user,1529
en.wikipedia,Airbnb,2026-09-11,all-access,user,1435
en.wikipedia,Airbnb,2026-09-12,all-access,user,1155
en.wikipedia,Airbnb,2026-09-13,all-access,user,1351
en.wikipedia,Kyoto,2026-06-01,all-access,user,1820
en.wikipedia,Kyoto,2026-06-02,all-access,user,1566
en.wikipedia,Kyoto,2026-06-03,all-access,user,1691
en.wikipedia,Kyoto,2026-06-04,all-access,user,1817
en.wikipedia,Kyoto,2026-06-05,all-access,user,1749
en.wikipedia,Kyoto,2026-06-06,all-access,user,1993
en.wikipedia,Kyoto,2026-06-07,all-access,user,1930
en.wikipedia,Kyoto,2026-06-08,all-access,user,1700
en.wikipedia,Kyoto,2026-06-09,all-access,user,1583
en.wikipedia,Kyoto,2026-06-10,all-access,user,1568
en.wikipedia,Kyoto,2026-06-11,all-access,user,1317
en.wikipedia,Kyoto,2026-06-12,all-access,user,1466
en.wikipedia,Kyoto,2026-06-13,all-access,user,1332
en.wikipedia,Kyoto,2026-06-14,all-access,user,1454
en.wikipedia,Kyoto,2026-06-15,all-access,user,1404
en.wikipedia,Kyoto,2026-06-16,all-access,user,1442
en.wikipedia,Kyoto,2026-06-17,all-access,user,1369
en.wikipedia,Kyoto,2026-06-18,all-access,user,1327
en.wikipedia,Kyoto,2026-06-19,all-access,user,1220
en.wikipedia,Kyoto,2026-06-20,all-access,user,1366
en.wikipedia,Kyoto,2026-06-21,all-access,user,1439
en.wikipedia,Kyoto,2026-06-22,all-access,user,1460
en.wikipedia,Kyoto,2026-06-23,all-access,user,1331
en.wikipedia,Kyoto,2026-06-24,all-access,user,1373
en.wikipedia,Kyoto,2026-06-25,all-access,user,1430
en.wikipedia,Kyoto,2026-06-26,all-access,user,1503
en.wikipedia,Kyoto,2026-06-27,all-access,user,1358
en.wikipedia,Kyoto,2026-06-28,all-access,user,1428
en.wikipedia,Kyoto,2026-06-29,all-access,user,1358
en.wikipedia,Kyoto,2026-06-30,all-access,user,1269
en.wikipedia,Kyoto,2026-07-01,all-access,user,1375
en.wikipedia,Kyoto,2026-07-02,all-access,user,1289
en.wikipedia,Kyoto,2026-07-03,all-access,user,1234
en.wikipedia,Kyoto,2026-07-04,all-access,user,1259
en.wikipedia,Kyoto,2026-07-05,all-access,user,1386
en.wikipedia,Kyoto,2026-07-06,all-access,user,1514
en.wikipedia,Kyoto,2026-07-07,all-access,user,1441
en.wikipedia,Kyoto,2026-07-08,all-access,user,1572
en.wikipedia,Kyoto,2026-07-09,all-access,user,1503
en.wikipedia,Kyoto,2026-07-10,all-access,user,1375
en.wikipedia,Kyoto,2026-07-11,all-access,user,1336
en.wikipedia,Kyoto,2026-07-12,all-access,user,1346
en.wikipedia,Kyoto,2026-07-13,all-access,user,1414
en.wikipedia,Kyoto,2026-07-14,all-access,user,1408
en.wikipedia,Kyoto,2026-07-15,all-access,user,1327
en.wikipedia,Kyoto,2026-07-16,all-access,user,1379
en.wikipedia,Kyoto,2026-07-17,all-access,user,1416
en.wikipedia,Kyoto,2026-07-18,all-access,user,1350
en.wikipedia,Kyoto,2026-07-19,all-access,user,1407
en.wikipedia,Kyoto,2026-07-20,all-access,user,1295
en.wikipedia,Kyoto,2026-07-21,all-access,user,1350
en.wikipedia,Kyoto,2026-07-22,all-access,user,1347
en.wikipedia,Kyoto,2026-07-23,all-access,user,1411
en.wikipedia,Kyoto,2026-07-24,all-access,user,1196
en.wikipedia,Kyoto,2026-07-25,all-access,user,1360
en.wikipedia,Kyoto,2026-07-26,all-access,user,1425
en.wikipedia,Kyoto,2026-07-27,all-access,user,1333
en.wikipedia,Kyoto,2026-07-28,all-access,user,1739
en.wikipedia,Kyoto,2026-07-29,all-access,user,1420
en.wikipedia,Kyoto,2026-07-30,all-access,user,1238
en.wikipedia,Kyoto,2026-07-31,all-access,user,1240
en.wikipedia,Kyoto,2026-08-01,all-access,user,1293
en.wikipedia,Kyoto,2026-08-02,all-access,user,1385
en.wikipedia,Kyoto,2026-08-03,all-access,user,1511
en.wikipedia,Kyoto,2026-08-04,all-access,user,1447
en.wikipedia,Kyoto,2026-08-05,all-access,user,1354
en.wikipedia,Kyoto,2026-08-06,all-access,user,1375
en.wikipedia,Kyoto,2026-08-07,all-access,user,1357
en.wikipedia,Kyoto,2026-08-08,all-access,user,1341
en.wikipedia,Kyoto,2026-08-09,all-access,user,1386
en.wikipedia,Kyoto,2026-08-10,all-access,user,1417
en.wikipedia,Kyoto,2026-08-11,all-access,user,1562
en.wikipedia,Kyoto,2026-08-12,all-access,user,1340
en.wikipedia,Kyoto,2026-08-13,all-access,user,1416
en.wikipedia,Kyoto,2026-08-14,all-access,user,1412
en.wikipedia,Kyoto,2026-08-15,all-access,user,1309
en.wikipedia,Kyoto,2026-08-16,all-access,user,1335
en.wikipedia,Kyoto,2026-08-17,all-access,user,1367
en.wikipedia,Kyoto,2026-08-18,all-access,user,1347
en.wikipedia,Kyoto,2026-08-19,all-access,user,1242
en.wikipedia,Kyoto,2026-08-20,all-access,user,1576
en.wikipedia,Kyoto,2026-08-21,all-access,user,1333
en.wikipedia,Kyoto,2026-08-22,all-access,user,1307
en.wikipedia,Kyoto,2026-08-23,all-access,user,1438
en.wikipedia,Kyoto,2026-08-24,all-access,user,1448
en.wikipedia,Kyoto,2026-08-25,all-access,user,1440
en.wikipedia,Kyoto,2026-08-26,all-access,user,1373
en.wikipedia,Kyoto,2026-08-27,all-access,user,1386
en.wikipedia,Kyoto,2026-08-28,all-access,user,1278
en.wikipedia,Kyoto,2026-08-29,all-access,user,1263
en.wikipedia,Kyoto,2026-08-30,all-access,user,1401
en.wikipedia,Kyoto,2026-08-31,all-access,user,1455
en.wikipedia,Kyoto,2026-09-01,all-access,user,1364
en.wikipedia,Kyoto,2026-09-02,all-access,user,1445
en.wikipedia,Kyoto,2026-09-03,all-access,user,1306
en.wikipedia,Kyoto,2026-09-04,all-access,user,1376
en.wikipedia,Kyoto,2026-09-05,all-access,user,1429
en.wikipedia,Kyoto,2026-09-06,all-access,user,1584
en.wikipedia,Kyoto,2026-09-07,all-access,user,1524
en.wikipedia,Kyoto,2026-09-08,all-access,user,1506
en.wikipedia,Kyoto,2026-09-09,all-access,user,1766
en.wikipedia,Kyoto,2026-09-10,all-access,user,1595
en.wikipedia,Kyoto,2026-09-11,all-access,user,1436
en.wikipedia,Kyoto,2026-09-12,all-access,user,1358
en.wikipedia,Kyoto,2026-09-13,all-access,user,1441
en.wikipedia,Lisbon,2026-06-01,all-access,user,2086
en.wikipedia,Lisbon,2026-06-02,all-access,user,1998
en.wikipedia,Lisbon,2026-06-03,all-access,user,1931
en.wikipedia,Lisbon,2026-06-04,all-access,user,1896
en.wikipedia,Lisbon,2026-06-05,all-access,user,1791
en.wikipedia,Lisbon,2026-06-06,all-access,user,1769
en.wikipedia,Lisbon,2026-06-07,all-access,user,1808
en.wikipedia,Lisbon,2026-06-08,all-access,user,1964
en.wikipedia,Lisbon,2026-06-09,all-access,user,1845
en.wikipedia,Lisbon,2026-06-10,all-access,user,1908
en.wikipedia,Lisbon,2026-06-11,all-access,user,1808
en.wikipedia,Lisbon,2026-06-12,all-access,user,1818
en.wikipedia,Lisbon,2026-06-13,all-access,user,1919
en.wikipedia,Lisbon,2026-06-14,all-access,user,2015
en.wikipedia,Lisbon,2026-06-15,all-access,user,2296
en.wikipedia,Lisbon,2026-06-16,all-access,user,2331
en.wikipedia,Lisbon,2026-06-17,all-access,user,2843
en.wikipedia,Lisbon,2026-06-18,all-access,user,2220
en.wikipedia,Lisbon,2026-06-19,all-access,user,1948
en.wikipedia,Lisbon,2026-06-20,all-access,user,1845
en.wikipedia,Lisbon,2026-06-21,all-access,user,2007
en.wikipedia,Lisbon,2026-06-22,all-access,user,2163
en.wikipedia,Lisbon,2026-06-23,all-access,user,2897
en.wikipedia,Lisbon,2026-06-24,all-access,user,2284
en.wikipedia,Lisbon,2026-06-25,all-access,user,2261
en.wikipedia,Lisbon,2026-06-26,all-access,user,1944
en.wikipedia,Lisbon,2026-06-27,all-access,user,2086
en.wikipedia,Lisbon,2026-06-28,all-access,user,2522
en.wikipedia,Lisbon,2026-06-29,all-access,user,2236
en.wikipedia,Lisbon,2026-06-30,all-access,user,2077
en.wikipedia,Lisbon,2026-07-01,all-access,user,2058
en.wikipedia,Lisbon,2026-07-02,all-access,user,2291
en.wikipedia,Lisbon,2026-07-03,all-access,user,2966
en.wikipedia,Lisbon,2026-07-04,all-access,user,2306
en.wikipedia,Lisbon,2026-07-05,all-access,user,2263
en.wikipedia,Lisbon,2026-07-06,all-access,user,3563
en.wikipedia,Lisbon,2026-07-07,all-access,user,2876
en.wikipedia,Lisbon,2026-07-08,all-access,user,2403
en.wikipedia,Lisbon,2026-07-09,all-access,user,2449
en.wikipedia,Lisbon,2026-07-10,all-access,user,2173
en.wikipedia,Lisbon,2026-07-11,all-access,user,1892
en.wikipedia,Lisbon,2026-07-12,all-access,user,2141
en.wikipedia,Lisbon,2026-07-13,all-access,user,2086
en.wikipedia,Lisbon,2026-07-14,all-access,user,2129
en.wikipedia,Lisbon,2026-07-15,all-access,user,2079
en.wikipedia,Lisbon,2026-07-16,all-access,user,2091
en.wikipedia,Lisbon,2026-07-17,all-access,user,1971
en.wikipedia,Lisbon,2026-07-18,all-access,user,2092
en.wikipedia,Lisbon,2026-07-19,all-access,user,2211
en.wikipedia,Lisbon,2026-07-20,all-access,user,2503
en.wikipedia,Lisbon,2026-07-21,all-access,user,2307
en.wikipedia,Lisbon,2026-07-22,all-access,user,2119
en.wikipedia,Lisbon,2026-07-23,all-access,user,2101
en.wikipedia,Lisbon,2026-07-24,all-access,user,1992
en.wikipedia,Lisbon,2026-07-25,all-access,user,1864
en.wikipedia,Lisbon,2026-07-26,all-access,user,2346
en.wikipedia,Lisbon,2026-07-27,all-access,user,2275
en.wikipedia,Lisbon,2026-07-28,all-access,user,1981
en.wikipedia,Lisbon,2026-07-29,all-access,user,1899
en.wikipedia,Lisbon,2026-07-30,all-access,user,2186
en.wikipedia,Lisbon,2026-07-31,all-access,user,2130
en.wikipedia,Lisbon,2026-08-01,all-access,user,1892
en.wikipedia,Lisbon,2026-08-02,all-access,user,2048
en.wikipedia,Lisbon,2026-08-03,all-access,user,1950
en.wikipedia,Lisbon,2026-08-04,all-access,user,2029
en.wikipedia,Lisbon,2026-08-05,all-access,user,1931
en.wikipedia,Lisbon,2026-08-06,all-access,user,1826
en.wikipedia,Lisbon,2026-08-07,all-access,user,1694
en.wikipedia,Lisbon,2026-08-08,all-access,user,1696
en.wikipedia,Lisbon,2026-08-09,all-access,user,1935
en.wikipedia,Lisbon,2026-08-10,all-access,user,1970
en.wikipedia,Lisbon,2026-08-11,all-access,user,1811
en.wikipedia,Lisbon,2026-08-12,all-access,user,1878
en.wikipedia,Lisbon,2026-08-13,all-access,user,1773
en.wikipedia,Lisbon,2026-08-14,all-access,user,1815
en.wikipedia,Lisbon,2026-08-15,all-access,user,1787
en.wikipedia,Lisbon,2026-08-16,all-access,user,1797
en.wikipedia,Lisbon,2026-08-17,all-access,user,1954
en.wikipedia,Lisbon,2026-08-18,all-access,user,1916
en.wikipedia,Lisbon,2026-08-19,all-access,user,1851
en.wikipedia,Lisbon,2026-08-20,all-access,user,1876
en.wikipedia,Lisbon,2026-08-21,all-access,user,1828
en.wikipedia,Lisbon,2026-08-22,all-access,user,1756
en.wikipedia,Lisbon,2026-08-23,all-access,user,1993
en.wikipedia,Lisbon,2026-08-24,all-access,user,1909
en.wikipedia,Lisbon,2026-08-25,all-access,user,1812
en.wikipedia,Lisbon,2026-08-26,all-access,user,1773
en.wikipedia,Lisbon,2026-08-27,all-access,user,1692
en.wikipedia,Lisbon,2026-08-28,all-access,user,1988
en.wikipedia,Lisbon,2026-08-29,all-access,user,1779
en.wikipedia,Lisbon,2026-08-30,all-access,user,1794
en.wikipedia,Lisbon,2026-08-31,all-access,user,1937
en.wikipedia,Lisbon,2026-09-01,all-access,user,1828
en.wikipedia,Lisbon,2026-09-02,all-access,user,1838
en.wikipedia,Lisbon,2026-09-03,all-access,user,1984
en.wikipedia,Lisbon,2026-09-04,all-access,user,1909
en.wikipedia,Lisbon,2026-09-05,all-access,user,1593
en.wikipedia,Lisbon,2026-09-06,all-access,user,1873
en.wikipedia,Lisbon,2026-09-07,all-access,user,4015
en.wikipedia,Lisbon,2026-09-08,all-access,user,2934
en.wikipedia,Lisbon,2026-09-09,all-access,user,1996
en.wikipedia,Lisbon,2026-09-10,all-access,user,1931
en.wikipedia,Lisbon,2026-09-11,all-access,user,1811
en.wikipedia,Lisbon,2026-09-12,all-access,user,1736
en.wikipedia,Lisbon,2026-09-13,all-access,user,2200
en.wikipedia,Mexico_City,2026-06-01,all-access,user,3613
en.wikipedia,Mexico_City,2026-06-02,all-access,user,3844
en.wikipedia,Mexico_City,2026-06-03,all-access,user,3545
en.wikipedia,Mexico_City,2026-06-04,all-access,user,4187
en.wikipedia,Mexico_City,2026-06-05,all-access,user,3885
en.wikipedia,Mexico_City,2026-06-06,all-access,user,3880
en.wikipedia,Mexico_City,2026-06-07,all-access,user,4299
en.wikipedia,Mexico_City,2026-06-08,all-access,user,4733
en.wikipedia,Mexico_City,2026-06-09,all-access,user,4743
en.wikipedia,Mexico_City,2026-06-10,all-access,user,5459
en.wikipedia,Mexico_City,2026-06-11,all-access,user,33067
en.wikipedia,Mexico_City,2026-06-12,all-access,user,12836
en.wikipedia,Mexico_City,2026-06-13,all-access,user,5710
en.wikipedia,Mexico_City,2026-06-14,all-access,user,5261
en.wikipedia,Mexico_City,2026-06-15,all-access,user,5423
en.wikipedia,Mexico_City,2026-06-16,all-access,user,4709
en.wikipedia,Mexico_City,2026-06-17,all-access,user,4805
en.wikipedia,Mexico_City,2026-06-18,all-access,user,7444
en.wikipedia,Mexico_City,2026-06-19,all-access,user,7774
en.wikipedia,Mexico_City,2026-06-20,all-access,user,4568
en.wikipedia,Mexico_City,2026-06-21,all-access,user,5062
en.wikipedia,Mexico_City,2026-06-22,all-access,user,4646
en.wikipedia,Mexico_City,2026-06-23,all-access,user,4631
en.wikipedia,Mexico_City,2026-06-24,all-access,user,4811
en.wikipedia,Mexico_City,2026-06-25,all-access,user,9785
en.wikipedia,Mexico_City,2026-06-26,all-access,user,5078
en.wikipedia,Mexico_City,2026-06-27,all-access,user,5618
en.wikipedia,Mexico_City,2026-06-28,all-access,user,7193
en.wikipedia,Mexico_City,2026-06-29,all-access,user,5798
en.wikipedia,Mexico_City,2026-06-30,all-access,user,7209
en.wikipedia,Mexico_City,2026-07-01,all-access,user,25687
en.wikipedia,Mexico_City,2026-07-02,all-access,user,17048
en.wikipedia,Mexico_City,2026-07-03,all-access,user,14294
en.wikipedia,Mexico_City,2026-07-04,all-access,user,15379
en.wikipedia,Mexico_City,2026-07-05,all-access,user,25806
en.wikipedia,Mexico_City,2026-07-06,all-access,user,59448
en.wikipedia,Mexico_City,2026-07-07,all-access,user,7426
en.wikipedia,Mexico_City,2026-07-08,all-access,user,5184
en.wikipedia,Mexico_City,2026-07-09,all-access,user,4617
en.wikipedia,Mexico_City,2026-07-10,all-access,user,4557
en.wikipedia,Mexico_City,2026-07-11,all-access,user,4741
en.wikipedia,Mexico_City,2026-07-12,all-access,user,4436
en.wikipedia,Mexico_City,2026-07-13,all-access,user,4231
en.wikipedia,Mexico_City,2026-07-14,all-access,user,3899
en.wikipedia,Mexico_City,2026-07-15,all-access,user,3935
en.wikipedia,Mexico_City,2026-07-16,all-access,user,3725
en.wikipedia,Mexico_City,2026-07-17,all-access,user,3608
en.wikipedia,Mexico_City,2026-07-18,all-access,user,3637
en.wikipedia,Mexico_City,2026-07-19,all-access,user,3987
en.wikipedia,Mexico_City,2026-07-20,all-access,user,3757
en.wikipedia,Mexico_City,2026-07-21,all-access,user,3577
en.wikipedia,Mexico_City,2026-07-22,all-access,user,3207
en.wikipedia,Mexico_City,2026-07-23,all-access,user,3109
en.wikipedia,Mexico_City,2026-07-24,all-access,user,3042
en.wikipedia,Mexico_City,2026-07-25,all-access,user,2986
en.wikipedia,Mexico_City,2026-07-26,all-access,user,3208
en.wikipedia,Mexico_City,2026-07-27,all-access,user,3121
en.wikipedia,Mexico_City,2026-07-28,all-access,user,3062
en.wikipedia,Mexico_City,2026-07-29,all-access,user,3064
en.wikipedia,Mexico_City,2026-07-30,all-access,user,2832
en.wikipedia,Mexico_City,2026-07-31,all-access,user,2808
en.wikipedia,Mexico_City,2026-08-01,all-access,user,3047
en.wikipedia,Mexico_City,2026-08-02,all-access,user,3422
en.wikipedia,Mexico_City,2026-08-03,all-access,user,3322
en.wikipedia,Mexico_City,2026-08-04,all-access,user,2931
en.wikipedia,Mexico_City,2026-08-05,all-access,user,3005
en.wikipedia,Mexico_City,2026-08-06,all-access,user,3096
en.wikipedia,Mexico_City,2026-08-07,all-access,user,2780
en.wikipedia,Mexico_City,2026-08-08,all-access,user,2652
en.wikipedia,Mexico_City,2026-08-09,all-access,user,2759
en.wikipedia,Mexico_City,2026-08-10,all-access,user,2729
en.wikipedia,Mexico_City,2026-08-11,all-access,user,2760
en.wikipedia,Mexico_City,2026-08-12,all-access,user,2773
en.wikipedia,Mexico_City,2026-08-13,all-access,user,3035
en.wikipedia,Mexico_City,2026-08-14,all-access,user,2766
en.wikipedia,Mexico_City,2026-08-15,all-access,user,2512
en.wikipedia,Mexico_City,2026-08-16,all-access,user,2675
en.wikipedia,Mexico_City,2026-08-17,all-access,user,2874
en.wikipedia,Mexico_City,2026-08-18,all-access,user,2782
en.wikipedia,Mexico_City,2026-08-19,all-access,user,2861
en.wikipedia,Mexico_City,2026-08-20,all-access,user,2793
en.wikipedia,Mexico_City,2026-08-21,all-access,user,2667
en.wikipedia,Mexico_City,2026-08-22,all-access,user,2834
en.wikipedia,Mexico_City,2026-08-23,all-access,user,2858
en.wikipedia,Mexico_City,2026-08-24,all-access,user,2891
en.wikipedia,Mexico_City,2026-08-25,all-access,user,2976
en.wikipedia,Mexico_City,2026-08-26,all-access,user,2775
en.wikipedia,Mexico_City,2026-08-27,all-access,user,2741
en.wikipedia,Mexico_City,2026-08-28,all-access,user,2758
en.wikipedia,Mexico_City,2026-08-29,all-access,user,2664
en.wikipedia,Mexico_City,2026-08-30,all-access,user,2618
en.wikipedia,Mexico_City,2026-08-31,all-access,user,2944
en.wikipedia,Mexico_City,2026-09-01,all-access,user,2977
en.wikipedia,Mexico_City,2026-09-02,all-access,user,2823
en.wikipedia,Mexico_City,2026-09-03,all-access,user,3097
en.wikipedia,Mexico_City,2026-09-04,all-access,user,2978
en.wikipedia,Mexico_City,2026-09-05,all-access,user,2685
en.wikipedia,Mexico_City,2026-09-06,all-access,user,2749
en.wikipedia,Mexico_City,2026-09-07,all-access,user,2976
en.wikipedia,Mexico_City,2026-09-08,all-access,user,3135
en.wikipedia,Mexico_City,2026-09-09,all-access,user,3196
en.wikipedia,Mexico_City,2026-09-10,all-access,user,3145
en.wikipedia,Mexico_City,2026-09-11,all-access,user,3037
en.wikipedia,Mexico_City,2026-09-12,all-access,user,3219
en.wikipedia,Mexico_City,2026-09-13,all-access,user,3095
