quarter,variant,term,lo_pp,point_pp,hi_pp,in_point,source,label
3Q26,memo,memo_H_card_reported_midpoint,1.57,3.19,4.57,False,H card headline (mean of routes) at midpoint FX; comparison column,"descriptive, comparison"
3Q26,memo,memo_naive_last_disclosed_exfx,,4.0,,False,"last disclosed ex-FX ADR y/y (2Q26 letter, whole points): the naive the harness scores against","sourced, comparison"
3Q26,memo,memo_consensus_implied_adr_yoy_Zacks_team_baseline,,5.43,,False,"Zacks revenue $4,740mm at take 0.1788 and 146.8mm nights implies ADR $180.59 (+5.43% y/y); comparison only, never an input","descriptive, comparison"
3Q26,memo,memo_consensus_implied_adr_yoy_Zacks_guide_low_double_digit_11pct,,4.36,,False,"Zacks revenue $4,740mm at take 0.1788 and 148.3mm nights implies ADR $178.76 (+4.36% y/y); comparison only, never an input","descriptive, comparison"
4Q26,v3_without_K,like_for_like_pricing_residual,3.056,4.84932637648649,5.224,True,H residual history; last_q carried (no 3Q26 residual exists); band K4 scenario table: lap only (3.06) to the K rule chained (5.22),"assumed rule, anchored on measured residuals; the one unobserved line"
4Q26,v3_without_K,geographic_mix,-1.5709104332839452,-1.428426033774555,-0.9353181922914344,True,workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method); 4Q26 carries the 3Q26 term (J3 convention),measured (unvalidated mapping)
4Q26,v3_without_K,unit_size_party,0.5298648963065857,0.796671778749512,0.9984702536410068,True,"workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592); 4Q26 carries the 3Q26 term",measured (level term)
4Q26,v3_without_K,length_of_stay_mix,-0.0810737620689109,0.0562640964166838,0.2887059735483112,True,workstream I I_mix_terms_3q26.csv (28+ share of blocked runs); 4Q26 carries the 3Q26 term,"measured, unvalidated"
4Q26,v3_without_K,new_business_seats,-0.750306831909886,-0.4825701517057523,-0.2262429488181783,True,"H, 15_seats_dilution_quarterly (bull / base / bear), as J3",assumed
4Q26,v3_without_K,interaction,-0.15,-0.1,-0.05,True,"H, 07 interaction, as J3",descriptive
4Q26,v3_with_K,like_for_like_pricing_residual,3.056,4.84932637648649,4.84932637648649,True,"H residual history; last_q carried (no 3Q26 residual exists); band K4 scenario table: lap only (3.06) to last_q; the K rule's 5.22 is the K line below, not counted here","assumed rule, anchored on measured residuals; the one unobserved line"
4Q26,v3_with_K,geographic_mix,-1.5709104332839452,-1.428426033774555,-0.9353181922914344,True,workstream I I_mix_terms_3q26.csv (E_aug regional split x 07/H method); 4Q26 carries the 3Q26 term (J3 convention),measured (unvalidated mapping)
4Q26,v3_with_K,unit_size_party,0.5298648963065857,0.796671778749512,0.9984702536410068,True,"workstream I I_mix_terms_3q26.csv (booked capacity, 119 markets, x 0.592); 4Q26 carries the 3Q26 term",measured (level term)
4Q26,v3_with_K,length_of_stay_mix,-0.0810737620689109,0.0562640964166838,0.2887059735483112,True,workstream I I_mix_terms_3q26.csv (28+ share of blocked runs); 4Q26 carries the 3Q26 term,"measured, unvalidated"
4Q26,v3_with_K,new_business_seats,-0.750306831909886,-0.4825701517057523,-0.2262429488181783,True,"H, 15_seats_dilution_quarterly (bull / base / bear), as J3",assumed
4Q26,v3_with_K,interaction,-0.15,-0.1,-0.05,True,"H, 07 interaction, as J3",descriptive
4Q26,v3_with_K,fee_migration_mechanics_K,0.0,0.3745,2.033,True,K primary rule chained as K4: +0.17 (3Q26 share change +24.5 pp) + 0.20 (4Q26 share change +29.0 pp) over the flat last_q carry; band = coefficient 0.000 to 0.038,"assumed mechanics line (coefficient imposed, not estimated); K note: a nudge, not evidence"
4Q26,memo,memo_L_regional_lastq_carry_exfx,2.382537148989704,3.5136517368882902,4.644766324786877,False,"L4 regional last_q aggregate (NA 6.75, EMEA 5.0, LatAm 2.0, APAC -1.35 carried; geo -1.43): ex-FX ADR y/y, L FAILED its criterion (2 of 4 vs last_q for this variant; primary L_wf 0 of 4)","descriptive, memo only"
4Q26,memo,memo_L_primary_wf_exfx_failed,0.2578323791890157,1.0687706483899493,1.8797089175908828,False,"L4 primary walk-forward model (NA on BEA lag 1): the failed model's number, should not be used","descriptive, memo only (FAIL 0 of 4)"
4Q26,memo,memo_L_emea_hicp_read,,4.6,,False,"July euro-area HICP accommodation 4.6 implies EMEA ex-FX about 4.6 for 3Q26 (L note); regional read for the letter, nothing more","descriptive, memo only"
4Q26,memo,memo_M_new_listing_premium_term,0.0201069503812029,0.0539699190257613,0.0708728809950233,False,"M6: quote-basis premium x July 2026 share change, 120 markets; M FAILED its criterion (RMSE lower on 2 of 4 checks); 4Q26 carried","descriptive, memo only (FAIL 2 of 4)"
4Q26,memo,memo_H_fee_migration_increment,-0.5,0.26,1.42,False,"H card table 2.3 increment; superseded by the K line (same mechanics, dated cohort); not added","assumed, memo only"
4Q26,memo,memo_card_v2_exfx,2.13,3.46,4.78,False,J3 card v2 ex-FX (persistence residual 4.61 + same mix and fills); comparison column,"descriptive, comparison"
4Q26,memo,memo_card_v2_reported_midpoint,2.28,3.61,4.93,False,J3 card v2 reported y/y at midpoint FX; comparison column,"descriptive, comparison"
4Q26,memo,memo_H_card_reported_midpoint,2.15,3.91,6.16,False,H card headline (mean of routes) at midpoint FX; comparison column,"descriptive, comparison"
4Q26,memo,memo_naive_last_disclosed_exfx,,4.0,,False,"last disclosed ex-FX ADR y/y (2Q26 letter, whole points): the naive the harness scores against","sourced, comparison"
4Q26,memo,memo_consensus_implied_adr_yoy_Zacks_team_baseline,,5.7,,False,"Zacks revenue $3,200mm at take 0.1362 and 132.7mm nights implies ADR $177.05 (+5.70% y/y); comparison only, never an input","descriptive, comparison"
4Q26,memo,memo_consensus_implied_adr_yoy_Zacks_guide_low_double_digit_11pct,,3.66,,False,"Zacks revenue $3,200mm at take 0.1362 and 135.3mm nights implies ADR $173.64 (+3.66% y/y); comparison only, never an input","descriptive, comparison"
