model,target,window,fx_estimator,fx_estimator_source,n,rmse_pp,bias_pp,mae_pp,rmse_naive_pp,rmse_prior_year_pp,rmse_ar1_pp,ratio_vs_naive,ratio_vs_prior_year,ratio_vs_ar1,sign_accuracy_vs_naive,jackknife_ratio_min,jackknife_ratio_max,jackknife_below_1,jackknife_n,knowable_before_print,scoring,S_preregistered_pass,K_criterion_beats_last_q_all_4,fills_convention
ar1_expanding,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,2.6820387327036515,-0.22280403628590414,2.2622402758012052,1.19884558755992,4.0710384766601555,2.6820387327036515,2.2371844719073124,0.6588094777487764,1.0,0.4,1.8747270149312778,2.7369512454323237,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
ar1_expanding,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,2.8270416667211404,-0.25444208784271233,2.5067182589207424,1.0329163412900277,4.214249424169417,2.8270416667211404,2.7369512454323237,0.6708292229946309,1.0,0.3333333333333333,2.3148277722897843,3.0789141983958075,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
naive_last_q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.9485339053872491,-0.35629840015817804,0.8232277601401432,0.9485339053872491,4.0710384766601555,2.6820387327036515,1.0,0.23299556386541895,0.3536615239076252,0.0,1.0,1.0,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
naive_last_q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.8984669423654158,-0.2496596511484637,0.7684700511284249,0.8984669423654158,4.214249424169417,2.8270416667211404,1.0,0.21319738153431533,0.31781170859341307,0.0,1.0,1.0,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
prior_year_q,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,4.0710384766601555,-1.7619281509458413,3.154367843589396,0.9485339053872491,4.0710384766601555,2.6820387327036515,4.29192720844081,1.0,1.5178895170377764,0.2,2.890169453852483,4.968902507429839,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
prior_year_q,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,4.214249424169417,-1.6879367593301267,3.2350919733785206,0.8984669423654158,4.214249424169417,2.8270416667211404,4.69048912703951,1.0,1.490692363603253,0.2222222222222222,3.1161806090253803,5.727077844008722,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
ar1_expanding,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,2.6820387327036515,-0.22280403628590414,2.2622402758012052,0.9485339053872491,4.0710384766601555,2.6820387327036515,2.827562322728654,0.6588094777487764,1.0,0.3,2.347269358047869,3.209643870623496,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
ar1_expanding,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,2.8270416667211404,-0.25444208784271233,2.5067182589207424,0.8984669423654158,4.214249424169417,2.8270416667211404,3.146517176556679,0.6708292229946309,1.0,0.2222222222222222,2.6175115591916334,3.7716805834469698,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
naive_last_q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,1.043177372856859,-0.42504840015817774,0.876971203514741,1.043177372856859,4.0710384766601555,2.6820387327036515,1.0,0.25624355525931375,0.3889494063366025,0.0,1.0,1.0,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
naive_last_q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,0.932113805392135,-0.2778263178151301,0.7799627659890893,0.932113805392135,4.214249424169417,2.8270416667211404,1.0,0.22118145168302292,0.32971350099456415,0.0,1.0,1.0,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
prior_year_q,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,4.0710384766601555,-1.7619281509458413,3.154367843589396,1.043177372856859,4.0710384766601555,2.6820387327036515,3.902537174010166,1.0,1.5178895170377764,0.1,2.697247097191989,4.521174774786761,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
prior_year_q,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,4.214249424169417,-1.6879367593301267,3.2350919733785206,0.932113805392135,4.214249424169417,2.8270416667211404,4.521174774786761,1.0,1.490692363603253,0.1111111111111111,3.1508870222432828,5.199264233044869,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
ar1_expanding,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,2.6820387327036515,-0.22280403628590414,2.2622402758012052,1.043177372856859,4.0710384766601555,2.6820387327036515,2.5710284775048233,0.6588094777487764,1.0,0.4,2.1182753398701624,3.0329361611931285,0,10,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
ar1_expanding,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,2.8270416667211404,-0.25444208784271233,2.5067182589207424,0.932113805392135,4.214249424169417,2.8270416667211404,3.0329361611931285,0.6708292229946309,1.0,0.3333333333333333,2.49997168748952,3.497062951965518,0,9,yes,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,0.8944271909999159,-0.2,0.8,0.9082951062292475,1.746424919657298,1.2649110640673518,0.9847319278346619,0.5121475197315839,0.7071067811865475,0.2857142857142857,0.9211323729436766,1.0801234497346435,8,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,0.8819171036881969,-0.1111111111111111,0.7777777777777778,0.816496580927726,1.8104634152000358,1.1547005383792515,1.0801234497346435,0.48712230044745475,0.7637626158259734,0.16666666666666666,1.0,1.1832159566199232,0,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.0985575506035294,-0.39164073306062297,0.9468396338654579,1.19884558755992,4.0710384766601555,2.6820387327036515,0.9163461600083855,0.26984700756372526,0.4095979439849921,0.8,0.8711227851703462,0.9688631182720406,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,0.9351702750398454,-0.20751695599387182,0.8244046235547992,1.0329163412900277,4.214249424169417,2.8270416667211404,0.9053688451398634,0.22190672191268257,0.3307946557874666,0.7777777777777778,0.8256152996553161,0.9890838423327626,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.8312997662083166,-0.25414073306062324,0.6496037880455876,0.9485339053872491,4.0710384766601555,2.6820387327036515,0.8764049039121374,0.20419845476142678,0.30995069387768237,0.9,0.7856711026392679,0.9180234624270853,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.7829013907288721,-0.15118362266053872,0.590587017088277,0.8984669423654158,4.214249424169417,2.8270416667211404,0.8713747315707672,0.18577481110605445,0.2769330922656322,0.8888888888888888,0.7459454629941498,0.9236529428212884,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,0.9320350699641158,-0.32289073306062316,0.7653896338654577,1.043177372856859,4.0710384766601555,2.6820387327036515,0.8934579048734853,0.2289428300193196,0.3475099216872868,0.8,0.8249446414398767,0.9445747684183187,10,10,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_last_q_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,0.8218854265349521,-0.17935028932720531,0.6710157346659105,0.932113805392135,4.214249424169417,2.8270416667211404,0.8817436473748929,0.19502533993866225,0.2907227849556923,0.7777777777777778,0.768315026214756,0.9552389440855495,9,9,no: the residual is only knowable after the print; the rule uses prior residuals only,model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t1_exfx_integer_fair,1Q24-2Q26,none,none,10,0.8944271909999159,-0.2,0.8,0.9082951062292475,1.746424919657298,1.2649110640673518,0.9847319278346619,0.5121475197315839,0.7071067811865475,0.2857142857142857,0.9211323729436766,1.0801234497346435,8,10,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t1_exfx_integer_fair,2Q24-2Q26,none,none,9,0.8819171036881969,-0.1111111111111111,0.7777777777777778,0.816496580927726,1.8104634152000358,1.1547005383792515,1.0801234497346435,0.48712230044745475,0.7637626158259734,0.16666666666666666,1.0,1.1832159566199232,0,9,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX rounded half away from zero to whole points vs disclosed integer ex-FX; naive = last disclosed ex-FX,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,eur,est_from_eur,10,1.092851439424382,-0.37658608358034085,0.9327224841881414,1.19884558755992,4.0710384766601555,2.6820387327036515,0.9115864885057683,0.2684453722778243,0.4074704164778128,0.8,0.8652443504665869,0.965831101060765,10,10,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,eur,est_from_eur,9,0.9277120456323404,-0.19078956768244726,0.8087189016911144,1.0329163412900277,4.214249424169417,2.8270416667211404,0.8981482899899756,0.2201369573219275,0.32815648122665253,0.7777777777777778,0.8154292577730794,0.9841075927975478,9,9,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,baskets,est_from_regional_baskets,10,0.8285439882455607,-0.23908608358034092,0.6414183078858698,0.9485339053872491,4.0710384766601555,2.6820387327036515,0.8734996013740792,0.2035215321583723,0.30892320015466,0.9,0.7815455452747135,0.9162763568016818,10,10,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,baskets,est_from_regional_baskets,9,0.7796487585263706,-0.13445623434911394,0.5814920391330349,0.8984669423654158,4.214249424169417,2.8270416667211404,0.8677545291469159,0.1850029934286652,0.275782549547854,0.8888888888888888,0.7401843922672254,0.9214397064529756,9,9,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,1Q24-2Q26,midpoint,mean of eur and baskets,10,0.9274427634926597,-0.30783608358034087,0.7503349843851754,1.043177372856859,4.0710384766601555,2.6820387327036515,0.8890556751176006,0.22781478701560337,0.3457976770371781,0.8,0.8190830562864193,0.9418411323841014,10,10,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
v3_point_last_q_plus_K_line_measured_mix,t2_reported_usd_yoy,2Q24-2Q26,midpoint,mean of eur and baskets,9,0.816092857480333,-0.16262290101578056,0.6542883463544856,0.932113805392135,4.214249424169417,2.8270416667211404,0.8755292033648266,0.19365082019111296,0.2886737988643987,0.7777777777777778,0.7586709482841375,0.9511928224882986,9,9,"no: the residual rule uses the prior-quarter residual, known only at that print; the K share path is dated from disclosures before each print (tranche dates), its level calibration from the 1Q26 and 2Q26 calls",model ex-FX + FX estimator vs unrounded adr_usd y/y; naive = last disclosed ex-FX + same FX estimator,PASS,True,"walk-forward uses S's prior-calendar-year new-business and interaction fills (as J3, S, K); the card uses J3's H fills for 2026 (-0.48, -0.10)"
