spec,spec_label,window,n,first_q,last_q,term,coef,se_hac3,t_hac3,p_hac3,r2,r2_adj,loo_slope_min,loo_slope_max
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W2,10,1Q24,2Q26,c_pct_t1_incl,0.01129142445954745,0.38787672542046825,0.029110858475221112,0.9767761756582278,0.005825638398426425,-0.27822417920202325,-0.3429003755907871,0.675972342029689
c_incl,g_N(t) on c(t+1) and nl(t+1) - partial 3Q26 included as t+1 for 2Q26,W2,10,1Q24,2Q26,nl_pct_t1_incl,0.06548737145881622,0.2650216681365659,0.24710195177350752,0.8048293232674866,0.005825638398426425,-0.27822417920202325,-0.2615638712233257,0.3301288931085984
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W1,13,1Q23,1Q26,const,7.055393826515708,2.4431872847194303,2.8877826397684174,0.003879678697250482,0.7364434049769701,0.6837320859723641,,
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W1,13,1Q23,1Q26,c_pct_t1_drop,0.626964166456079,0.17680421029007948,3.5460929659278486,0.0003909882457192813,0.7364434049769701,0.6837320859723641,0.2527049769388887,0.8276020778983191
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W1,13,1Q23,1Q26,nl_pct_t1_drop,0.5379590507809778,0.09663420938989808,5.56696281966182,2.592176769877605e-08,0.7364434049769701,0.6837320859723641,0.47740475164572693,0.5965250336502227
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W2,9,1Q24,1Q26,const,5.419474410996562,3.257018785953786,1.6639371054194034,0.09612499888849735,0.09524196438304822,-0.20634404748926904,,
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W2,9,1Q24,1Q26,c_pct_t1_drop,-0.17508869316831233,0.45798247496413264,-0.38230435167202537,0.7022356272404683,0.09524196438304822,-0.20634404748926904,-0.4986488655065333,0.5676127706327873
c_drop,g_N(t) on c(t+1) and nl(t+1) - 2Q26 dropped,W2,9,1Q24,1Q26,nl_pct_t1_drop,0.15099120471231875,0.2743121731553631,0.5504356696077113,0.5820205889551375,0.09524196438304822,-0.20634404748926904,-0.16853066542572392,0.35399687678874514
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W1,14,1Q23,2Q26,const,1.5254101355247398,0.5089919783574788,2.9969237245098648,0.0027271894032088887,0.7427689151274088,0.7213329913880262,,
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W1,14,1Q23,2Q26,a_pct,0.32215317163586266,0.01468648119178467,21.9353545229111,1.1950310431148224e-106,0.7427689151274088,0.7213329913880262,0.26142143010780317,0.34107263389489967
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W2,10,1Q24,2Q26,const,3.8333712302099388,2.605488562502614,1.471267725131721,0.141218728038694,0.1737973942118296,0.07052206848830833,,
ref_single_index,g_N(t) on yoy_all(t) - the published single index,W2,10,1Q24,2Q26,a_pct,0.21968697661213907,0.10822158481424095,2.0299737523639583,0.04235920737096224,0.1737973942118296,0.07052206848830833,0.17422907835476828,0.36563445839353925
