value_status,missing_reason,guidance_event_id,issuer_id,reported_period,event_type,published_at_utc,published_at_precision,release_timing,research_cutoff_at_utc,initial_event_id,is_initial_guide,primary_document_id,event_notes
observed,,ABNB-2023Q2-INITIAL,ABNB,2023Q2,initial,2023-08-03T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2023Q2-INITIAL,True,ABNB-2023Q2-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2023Q3-INITIAL,ABNB,2023Q3,initial,2023-11-01T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2023Q3-INITIAL,True,ABNB-2023Q3-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2023Q4-INITIAL,ABNB,2023Q4,initial,2024-02-13T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2023Q4-INITIAL,True,ABNB-2023Q4-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2024Q1-INITIAL,ABNB,2024Q1,initial,2024-05-08T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2024Q1-INITIAL,True,ABNB-2024Q1-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2024Q2-INITIAL,ABNB,2024Q2,initial,2024-08-06T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2024Q2-INITIAL,True,ABNB-2024Q2-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2024Q3-INITIAL,ABNB,2024Q3,initial,2024-11-07T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2024Q3-INITIAL,True,ABNB-2024Q3-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2024Q4-INITIAL,ABNB,2024Q4,initial,2025-02-13T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2024Q4-INITIAL,True,ABNB-2024Q4-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2025Q1-INITIAL,ABNB,2025Q1,initial,2025-05-01T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2025Q1-INITIAL,True,ABNB-2025Q1-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2025Q2-INITIAL,ABNB,2025Q2,initial,2025-08-06T20:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2025Q2-INITIAL,True,ABNB-2025Q2-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2025Q3-INITIAL,ABNB,2025Q3,initial,2025-11-06T21:30:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2025Q3-INITIAL,True,ABNB-2025Q3-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2025Q4-INITIAL,ABNB,2025Q4,initial,2026-02-12T22:00:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2025Q4-INITIAL,True,ABNB-2025Q4-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2026Q1-INITIAL,ABNB,2026Q1,initial,2026-05-07T21:00:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2026Q1-INITIAL,True,ABNB-2026Q1-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
observed,,ABNB-2026Q2-INITIAL,ABNB,2026Q2,initial,2026-08-06T21:00:00Z,minute,after_close,2026-09-03T03:59:59Z,ABNB-2026Q2-INITIAL,True,ABNB-2026Q2-SHAREHOLDER-LETTER,"Timestamp is the disclosed earnings-webcast start, used as a conservative certainly-public-by proxy pending exact SEC acceptance time."
