name,value,unit,source,is_judgement,note
adr_residual_2027_rule_base,AR(1) iterated from the adopted 4Q26 value 4.85,rule,"judgement: the card's last_q rule is a one-quarter rule (scored n 10); at 3-6 quarter horizons the fitted AR(1) is the only residual rule in the repo with a horizon; bear = K4 mean reversion (2.40), bull = persistence (4.85)",True,
adr_residual_bear_pp,2.398,pp,K4 mean reversion: 2023-25 mean,False,
k_line_coefficient,0.007,pp of residual per pp of y/y migrated nights share,"K2 pre-stated central mechanics (imposed, not estimated); K4 chains it on the 2Q26 base share 21.5",False,
k_line_1Q27_to_4Q27_pp,"{""1Q27"": 0.345, ""2Q27"": 0.311, ""3Q27"": 0.138, ""4Q27"": -0.15}",pp,0.007 x (K4 central y/y migrated share(q) - 21.5); 4Q27 negative because the migration completes and the y/y share drops to zero,False,
adr_fx_eur_fit,fx_pts = -0.570 + 0.4513 x EUR/USD y/y %,rule,reconstructed exactly from the four h2_bridge_fx.csv rows (ADR v3 N memo EUR fit),False,
adr_fx_baskets_proxy_ratio,0.699,ADR-FX pp per pp of the global revenue-weighted basket y/y,"mean over 1Q26-4Q26 of (ADR v3 regional-baskets estimate / fx_lag_v2 global basket y/y): 1Q26 0.89, 2Q26 0.75, 3Q26 0.44, 4Q26 0.72; the regional-baskets estimator is not run forward past 4Q26, so 2027 uses this proxy",True,
fx_spot_held_eurusd,1.1617999999999995,USD per EUR,"h2_bridge_fx.csv 4Q26 eurusd_avg (FRED through 2026-09-04, held)",False,
fx_scenario_mapping,"bear = usd_strong_-1sd, base = spot_held, bull = usd_weak_+1sd",rule,fx_lag_v2 23_forecast_4q26_v2.csv paths,False,
gbv_convention,GBV_q = GBV_{q-4} x (1 + nights y/y) x (1 + reported ADR y/y),rule,"bridge v3 convention (analysis/src/h1_to_h2_bridge_v3.py, lines 423 and 508); adopting it is what makes 3Q26/4Q26 revenue reproduce $4,804.0M / $3,178.1M to the dollar",False,
int06_take_rate_asymmetry,"{""registered_take_rate_pct"": 18.14, ""registered_revenue_musd"": 4816.1, ""registered_gbv_musd"": 26549.8, ""flip_gbv_musd"": 26608.3, ""flip_revenue_musd"": 4805.5, ""support_threshold_pct"": 18.1, ""sd_pp"": 0.4628, ""prior_year_printed_pct"": 17.882}",pct / $M,"PREREG_ABNB-INT-v1.md INT-06/INT-07 and s.1.3: printed take rate = revenue / same-quarter GBV; revenue is near-fixed by guide x cushion (sd 1.0%) while GBV carries sd 3.2%, so the printed take rate moves INVERSELY with the GBV print; P(>=18.10) = Phi((tau-18.10)/(0.4628 x 26549.8/GBV))",False,
fy28_continuation_rule,nights y/y = 4Q27 base rate held; ADR ex-FX = AR(1) residual + 2027 mix; K 0; FX 0,rule,judgement; no FY28 revenue growth rate exists in B3 or the reverse DCF (which solves FY28 FCF growth 4.6% reported / 16% SBC-adjusted); WS07 FY2028 base lever nights +8.0 / ADR ex-FX +2.5 shown as comparison (07_margin_levers_fy26_fy28.csv),True,
