company_name,form_type,cik,date_filed,file_name
"1248 Management, LLC",13F-HR,2011147,2026-08-13,edgar/data/2011147/0001580642-26-005252.txt
1290 Funds,485APOS,1605941,2026-08-19,edgar/data/1605941/0001193125-26-356419.txt
1290 Funds,497,1605941,2026-07-01,edgar/data/1605941/0001193125-26-292112.txt
1290 Funds,497,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307024.txt
1290 Funds,497,1605941,2026-09-11,edgar/data/1605941/0001193125-26-389087.txt
1290 Funds,497K,1605941,2026-07-01,edgar/data/1605941/0001193125-26-292129.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307025.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307026.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307027.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307028.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307029.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307030.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307031.txt
1290 Funds,497K,1605941,2026-07-17,edgar/data/1605941/0001193125-26-307032.txt
1290 Funds,497K,1605941,2026-09-11,edgar/data/1605941/0001193125-26-389098.txt
1290 Funds,497K,1605941,2026-09-11,edgar/data/1605941/0001193125-26-389099.txt
1290 Funds,DEF 14A,1605941,2026-08-17,edgar/data/1605941/0001193125-26-353812.txt
1290 Funds,DEFA14A,1605941,2026-07-31,edgar/data/1605941/0001193125-26-328234.txt
1290 Funds,N-CSRS,1605941,2026-07-01,edgar/data/1605941/0001193125-26-291115.txt
1290 Funds,N-PX,1605941,2026-08-28,edgar/data/1605941/0001193125-26-372322.txt
1290 Funds,PRE 14A,1605941,2026-07-31,edgar/data/1605941/0001193125-26-328182.txt
"12th Street Asset Management Company, LLC",13F-HR,1633703,2026-08-13,edgar/data/1633703/0001633703-26-000010.txt
"12th Street Asset Management Company, LLC",N-PX,1633703,2026-08-13,edgar/data/1633703/0001633703-26-000012.txt
1345 USRA Net Lease Fund V LLC,D/A,2037308,2026-08-10,edgar/data/2037308/0002081111-26-000151.txt
"137 Holdings CAI, LLC",D,2152824,2026-09-10,edgar/data/2152824/0002152824-26-000001.txt
"137 Holdings HAI, LLC",D,2140035,2026-07-07,edgar/data/2140035/0002140035-26-000001.txt
"137 Holdings ISII, LLC",D,2146062,2026-08-21,edgar/data/2146062/0001470831-26-000849.txt
1370 USRA Net Lease Fund V LLC,D/A,2037318,2026-08-10,edgar/data/2037318/0002081111-26-000152.txt
1375792 Canada Inc,D/A,2137528,2026-08-31,edgar/data/2137528/0002137528-26-000005.txt
13D Management LLC,13F-HR,1600133,2026-08-14,edgar/data/1600133/0001172661-26-003515.txt
13D Management LLC,N-PX,1600133,2026-08-31,edgar/data/1600133/0001172661-26-004225.txt
140 Summer Partners LP,13F-HR,1820788,2026-08-14,edgar/data/1820788/0000919574-26-005164.txt
140 Summer Partners LP,N-PX,1820788,2026-08-27,edgar/data/1820788/0000919574-26-005773.txt
140 Summer Partners Master Fund LP,13F-NT,1844084,2026-08-14,edgar/data/1844084/0000919574-26-005166.txt
140 Summer Partners Master Fund LP,N-PX,1844084,2026-08-27,edgar/data/1844084/0000919574-26-005774.txt
140 Summer Partners Offshore Ltd.,D/A,1813446,2026-07-02,edgar/data/1813446/0000919574-26-004227.txt
14701 S Ravinia LLC,D,2148393,2026-08-03,edgar/data/2148393/0002148393-26-000001.txt
1492 Capital Management LLC,13F-HR,1584087,2026-08-11,edgar/data/1584087/0001584087-26-000007.txt
1492 Capital Management LLC,N-PX,1584087,2026-08-17,edgar/data/1584087/0001193125-26-353725.txt
15 Angels II LLC,144,1713257,2026-07-01,edgar/data/1713257/0001628280-26-046642.txt
15 Angels II LLC,144,1713257,2026-07-09,edgar/data/1713257/0001628280-26-047786.txt
15 Angels II LLC,144,1713257,2026-07-16,edgar/data/1713257/0001628280-26-048533.txt
"1511 Monroe St, LLC",D,2147937,2026-08-03,edgar/data/2147937/0002147937-26-000001.txt
"1517 Fund - SPV U, L.P.",D,2138316,2026-07-09,edgar/data/2138316/0002138316-26-000001.txt
"1517 Fund IV, L.P.",D/A,2068201,2026-09-03,edgar/data/2068201/0002068201-26-000002.txt
154 Congruence Co-Invest II LP,D,2144548,2026-07-24,edgar/data/2144548/0000929638-26-002723.txt
154 Congruence Co-Invest III LP,D,2144707,2026-07-24,edgar/data/2144707/0000929638-26-002725.txt
154 Congruence Co-Invest LP,D,2137819,2026-07-24,edgar/data/2137819/0000929638-26-002727.txt
1541 Productions Ltd Liability Co,D,2147322,2026-07-28,edgar/data/2147322/0002147322-26-000001.txt
1543 Oceania Credit Opportunities Fund (Offshore) LP,D/A,2013201,2026-07-01,edgar/data/2013201/0001012975-26-000596.txt
1543 Oceania Credit Opportunities Fund LP,D/A,2013200,2026-07-01,edgar/data/2013200/0001012975-26-000595.txt
1543 Structured Finance Securities Fund (Offshore) LP,D/A,2019404,2026-07-01,edgar/data/2019404/0001012975-26-000598.txt
1543 Structured Finance Securities Fund LP,D/A,2019400,2026-07-01,edgar/data/2019400/0001012975-26-000597.txt
"1547 Data Center Fund III, L.P.",D/A,2028057,2026-07-30,edgar/data/2028057/0001123292-26-001020.txt
1548 Semiola Blvd LLC,D,2146390,2026-07-23,edgar/data/2146390/0002146390-26-000001.txt
1559749 B.C. Ltd.,D,2137898,2026-07-06,edgar/data/2137898/0002137898-26-000001.txt
1597257 Ontario Inc.,4,1517831,2026-07-14,edgar/data/1517831/0001193125-26-303534.txt
1606 CORP.,10-Q,1877461,2026-08-14,edgar/data/1877461/0001477932-26-005063.txt
1606 CORP.,8-K,1877461,2026-07-24,edgar/data/1877461/0001477932-26-004503.txt
1606 CORP.,8-K,1877461,2026-08-11,edgar/data/1877461/0001477932-26-004844.txt
1606 CORP.,8-K,1877461,2026-08-25,edgar/data/1877461/0001477932-26-005256.txt
1606 CORP.,8-K,1877461,2026-09-08,edgar/data/1877461/0001477932-26-005436.txt
"1607 Capital Partners, LLC",13F-HR,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003752.txt
"1607 Capital Partners, LLC",13F-HR/A,1436866,2026-09-02,edgar/data/1436866/0001172661-26-004331.txt
"1607 Capital Partners, LLC",13F-HR/A,1436866,2026-09-02,edgar/data/1436866/0001172661-26-004334.txt
"1607 Capital Partners, LLC",N-PX,1436866,2026-08-19,edgar/data/1436866/0001172661-26-003853.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003695.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003696.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003697.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003698.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003699.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003700.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003701.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003702.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003703.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003704.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003705.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003706.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003707.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003708.txt
"1607 Capital Partners, LLC",SCHEDULE 13G/A,1436866,2026-08-14,edgar/data/1436866/0001172661-26-003709.txt
"1616 Ventures Fund I, L.P.",D,2128635,2026-08-07,edgar/data/2128635/0002128635-26-000001.txt
"1620 INVESTMENT ADVISORS, INC.",13F-HR,1907281,2026-07-14,edgar/data/1907281/0001907281-26-000003.txt
"1620 INVESTMENT ADVISORS, INC.",N-PX,1907281,2026-08-25,edgar/data/1907281/0001907281-26-000004.txt
"17 CAPITAL PARTNERS, LLC",13F-HR,1727407,2026-08-06,edgar/data/1727407/0001727407-26-000005.txt
"17 CAPITAL PARTNERS, LLC",N-PX,1727407,2026-08-20,edgar/data/1727407/0001727407-26-000006.txt
17 Education & Technology Group Inc.,4,1821468,2026-07-06,edgar/data/1821468/0001193125-26-295467.txt
17 Education & Technology Group Inc.,4,1821468,2026-07-20,edgar/data/1821468/0001193125-26-308294.txt
17 Education & Technology Group Inc.,4,1821468,2026-07-22,edgar/data/1821468/0001193125-26-311236.txt
17 Education & Technology Group Inc.,4,1821468,2026-07-31,edgar/data/1821468/0001193125-26-326663.txt
17 Education & Technology Group Inc.,4,1821468,2026-08-03,edgar/data/1821468/0001193125-26-329402.txt
17 Education & Technology Group Inc.,4,1821468,2026-08-10,edgar/data/1821468/0001193125-26-341197.txt
17 Education & Technology Group Inc.,4,1821468,2026-08-11,edgar/data/1821468/0001193125-26-343316.txt
17 Education & Technology Group Inc.,4,1821468,2026-08-14,edgar/data/1821468/0001193125-26-350208.txt
17 Education & Technology Group Inc.,4,1821468,2026-08-24,edgar/data/1821468/0001193125-26-361706.txt
17 Education & Technology Group Inc.,4,1821468,2026-08-28,edgar/data/1821468/0001193125-26-371997.txt
17 Education & Technology Group Inc.,4,1821468,2026-09-01,edgar/data/1821468/0001193125-26-377431.txt
17 Education & Technology Group Inc.,4,1821468,2026-09-03,edgar/data/1821468/0001193125-26-380960.txt
17 Education & Technology Group Inc.,4,1821468,2026-09-04,edgar/data/1821468/0001193125-26-382783.txt
17 Education & Technology Group Inc.,6-K,1821468,2026-09-03,edgar/data/1821468/0001193125-26-380968.txt
17 Education & Technology Group Inc.,6-K,1821468,2026-09-09,edgar/data/1821468/0001193125-26-385892.txt
17 Education & Technology Group Inc.,SCHEDULE 13D/A,1821468,2026-09-08,edgar/data/1821468/0001193125-26-384376.txt
1701 Wa Kee Na Dr LLC,D,2149648,2026-08-11,edgar/data/2149648/0002149648-26-000001.txt
1729 Capital,D,2043613,2026-09-08,edgar/data/2043613/0002043613-26-000001.txt
1776 Acquisition Corp,S-1,2115818,2026-08-03,edgar/data/2115818/0001213900-26-084648.txt
1776 Wealth LLC,13F-HR,1803140,2026-08-10,edgar/data/1803140/0001803140-26-000004.txt
1776 Wealth LLC,N-PX,1803140,2026-07-31,edgar/data/1803140/0001803140-26-000003.txt
1789 CAPITAL DAWN LP,D,2146946,2026-08-17,edgar/data/2146946/0002146946-26-000001.txt
1789 Capital Artemis LP,D,2152643,2026-08-31,edgar/data/2152643/0002152643-26-000001.txt
"1789 Capital Fund II-A, LP",D,2153397,2026-09-08,edgar/data/2153397/0002153397-26-000001.txt
"1789 Capital Fund II-B, LP",D,2153398,2026-09-08,edgar/data/2153398/0002153398-26-000001.txt
1789 Capital Inception III LP,D,2153109,2026-09-02,edgar/data/2153109/0002153109-26-000001.txt
1789 Capital Inception IV LP,D,2153110,2026-09-02,edgar/data/2153110/0002153110-26-000001.txt
1789 Capital Lakehouse III LP,D,2123727,2026-07-14,edgar/data/2123727/0002123727-26-000001.txt
"1789 US Feeder II-A, LP",D,2153396,2026-09-08,edgar/data/2153396/0002153396-26-000001.txt
18.32 Investment Trust,N-1A,2147821,2026-09-01,edgar/data/2147821/0001829126-26-009613.txt
18.32 Investment Trust,N-8A,2147821,2026-09-01,edgar/data/2147821/0001829126-26-009609.txt
180 GPS Investments IC Ltd,13F-HR,2077902,2026-08-06,edgar/data/2077902/0002077902-26-000004.txt
"180 WEALTH ADVISORS, LLC",13F-HR,1730817,2026-07-07,edgar/data/1730817/0001730817-26-000004.txt
"180 WEALTH ADVISORS, LLC",N-PX,1730817,2026-07-06,edgar/data/1730817/0001730817-26-000003.txt
"1812 Brewing Company, Inc.",1-Z,884380,2026-09-09,edgar/data/884380/0001903596-26-000349.txt
1832 Asset Management L.P.,13F-HR,944388,2026-08-13,edgar/data/944388/0001062993-26-004300.txt
1832 Asset Management L.P.,N-PX,944388,2026-08-26,edgar/data/944388/0001438934-26-001865.txt
1832 Asset Management L.P.,SCHEDULE 13G/A,944388,2026-08-12,edgar/data/944388/0000944388-26-000008.txt
1832 Asset Management L.P.,SCHEDULE 13G/A,944388,2026-08-12,edgar/data/944388/0000944388-26-000009.txt
1832 Asset Management L.P.,SCHEDULE 13G/A,944388,2026-08-12,edgar/data/944388/0000944388-26-000010.txt
1832 Asset Management L.P.,SCHEDULE 13G/A,944388,2026-09-08,edgar/data/944388/0000944388-26-000011.txt
1832 Asset Management L.P.,SCHEDULE 13G/A,944388,2026-09-08,edgar/data/944388/0000944388-26-000012.txt
1834 INVESTMENT ADVISORS CO,13F-HR,1138486,2026-07-30,edgar/data/1138486/0001172661-26-002947.txt
1834 INVESTMENT ADVISORS CO,N-PX,1138486,2026-07-22,edgar/data/1138486/0001438934-26-000175.txt
1840 Investors Series LLC,D/A,1816301,2026-08-18,edgar/data/1816301/0001816301-26-000003.txt
1847 Holdings LLC,10-Q,1599407,2026-08-14,edgar/data/1599407/0001213900-26-089464.txt
1847 Holdings LLC,4,1599407,2026-08-19,edgar/data/1599407/0001213900-26-091685.txt
1847 Holdings LLC,4,1599407,2026-08-19,edgar/data/1599407/0001213900-26-091759.txt
1847 Holdings LLC,4,1599407,2026-08-19,edgar/data/1599407/0001213900-26-091773.txt
1847 Holdings LLC,4,1599407,2026-08-20,edgar/data/1599407/0001213900-26-092189.txt
1847 Holdings LLC,8-K,1599407,2026-08-14,edgar/data/1599407/0001213900-26-090095.txt
1847 Holdings LLC,8-K,1599407,2026-09-04,edgar/data/1599407/0001213900-26-097743.txt
1864 FUND BQ A SERIES OF WESTERN FRONTIER MASTER LLC,D,2145356,2026-07-27,edgar/data/2145356/0002145356-26-000001.txt
"1888 Investments, LLC",13F-HR,1885092,2026-08-12,edgar/data/1885092/0001885092-26-000003.txt
"1888 Investments, LLC",N-PX,1885092,2026-08-28,edgar/data/1885092/0001193125-26-374272.txt
"1891-NU-0722 Fund I, a series of Platform Funds 2026, LP",D,2147980,2026-09-01,edgar/data/2147980/0002147980-26-000001.txt
"1898 S1, LLC",D,2146806,2026-07-23,edgar/data/2146806/0002146806-26-000001.txt
1900 Biscayne GP QOF LLC,D,2135266,2026-07-14,edgar/data/2135266/0002135266-26-000001.txt
1900 WEALTH MANAGEMENT LLC,13F-HR,1791996,2026-08-04,edgar/data/1791996/0001791996-26-000005.txt
1911 Capital Ventures LLC,D,2149376,2026-08-11,edgar/data/2149376/0002149376-26-000001.txt
"1919 Investment Counsel, LLC",13F-NT,1324943,2026-08-12,edgar/data/1324943/0001324943-26-000003.txt
"1919 Investment Counsel, LLC",N-PX,1324943,2026-08-27,edgar/data/1324943/0001324943-26-000005.txt
1922 Investment Co LLC,13F-HR,1584289,2026-08-14,edgar/data/1584289/0001104659-26-096402.txt
1922 Investment Co LLC,N-PX,1584289,2026-08-31,edgar/data/1584289/0001104659-26-103446.txt
1922 Investments GP LLC,13F-NT,1584304,2026-08-14,edgar/data/1584304/0001104659-26-096407.txt
1922 Investments GP LLC,N-PX,1584304,2026-08-31,edgar/data/1584304/0001104659-26-103455.txt
1922 Investments Holdings Partners LP,13F-NT,1584306,2026-08-14,edgar/data/1584306/0001104659-26-096408.txt
1922 Investments Holdings Partners LP,N-PX,1584306,2026-08-31,edgar/data/1584306/0001104659-26-103462.txt
1922 Trust,13F-NT,1570769,2026-08-14,edgar/data/1570769/0001104659-26-096409.txt
1922 Trust,N-PX,1570769,2026-08-31,edgar/data/1570769/0001104659-26-103470.txt
"1952 Parent, LLC",D,2142117,2026-07-09,edgar/data/2142117/0002142117-26-000001.txt
1990 Sovereign Holdings LLC,4,2058649,2026-08-05,edgar/data/2058649/0001193125-26-335505.txt
1997 Fund Ltd in respect of its segregated account designate,D/A,1976653,2026-08-18,edgar/data/1976653/0001976653-26-000001.txt
1999 Janie Jones Family Trust,3,2150091,2026-08-20,edgar/data/2150091/0001104659-26-098912.txt
1AU Diepenbrock a Series of CGF2021 LLC,D,2145052,2026-07-24,edgar/data/2145052/0002145052-26-000001.txt
1RT Acquisition Corp.,10-Q,2054272,2026-08-13,edgar/data/2054272/0001213900-26-088733.txt
1RT Acquisition Corp.,SCHEDULE 13G/A,2054272,2026-08-14,edgar/data/2054272/0001905106-26-000140.txt
1ST SOURCE BANK,13F-HR,356264,2026-08-06,edgar/data/356264/0000356264-26-000010.txt
1ST SOURCE BANK,N-PX,356264,2026-08-06,edgar/data/356264/0000356264-26-000008.txt
1ST SOURCE CORP,10-Q,34782,2026-07-23,edgar/data/34782/0000034782-26-000045.txt
1ST SOURCE CORP,4,34782,2026-08-06,edgar/data/34782/0001217074-26-000006.txt
1ST SOURCE CORP,4,34782,2026-08-06,edgar/data/34782/0001297755-26-000007.txt
1ST SOURCE CORP,4,34782,2026-08-06,edgar/data/34782/0001544055-26-000009.txt
1ST SOURCE CORP,4,34782,2026-08-06,edgar/data/34782/0001819846-26-000005.txt
1ST SOURCE CORP,4,34782,2026-08-06,edgar/data/34782/0001856339-26-000006.txt
1ST SOURCE CORP,4,34782,2026-08-06,edgar/data/34782/0001924666-26-000006.txt
1ST SOURCE CORP,4,34782,2026-08-10,edgar/data/34782/0001875625-26-000006.txt
1ST SOURCE CORP,8-K,34782,2026-07-23,edgar/data/34782/0000034782-26-000044.txt
1ST SOURCE CORP,8-K,34782,2026-08-05,edgar/data/34782/0000034782-26-000048.txt
1ST SOURCE CORP,SCHEDULE 13G/A,34782,2026-07-06,edgar/data/34782/0000908834-26-000338.txt
1Sharpe Opportunity Fund Ltd.,D/A,1721464,2026-07-20,edgar/data/1721464/0001721464-26-000001.txt
1WS Credit Income Fund,N-CSRS,1748680,2026-07-09,edgar/data/1748680/0001398344-26-012019.txt
1WS Credit Income Fund,N-PX,1748680,2026-08-28,edgar/data/1748680/0001398344-26-016054.txt
1st FRANKLIN FINANCIAL CORP,10-Q,38723,2026-08-12,edgar/data/38723/0000038723-26-000037.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-01,edgar/data/38723/0001628280-26-046614.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-01,edgar/data/38723/0001628280-26-046618.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-08,edgar/data/38723/0001628280-26-047671.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-08,edgar/data/38723/0001628280-26-047675.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-16,edgar/data/38723/0001628280-26-048379.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-16,edgar/data/38723/0001628280-26-048382.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-22,edgar/data/38723/0001628280-26-049189.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-22,edgar/data/38723/0001628280-26-049203.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-30,edgar/data/38723/0001628280-26-050816.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-07-30,edgar/data/38723/0001628280-26-050821.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-06,edgar/data/38723/0001628280-26-053873.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-06,edgar/data/38723/0001628280-26-053890.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-13,edgar/data/38723/0001628280-26-056484.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-13,edgar/data/38723/0001628280-26-056486.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-20,edgar/data/38723/0001628280-26-058133.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-20,edgar/data/38723/0001628280-26-058135.txt
1st FRANKLIN FINANCIAL CORP,424B3,38723,2026-08-27,edgar/data/38723/0001628280-26-059181.txt
