form_type,company_name,cik,date_filed,file_name
1-A-W,SIERRA INTERNATIONAL NETWORK INC,2011617,2026-07-23,edgar/data/2011617/0002011617-26-000013.txt
1-A-W,"Stellar Spirits & Wines, Inc.",2064965,2026-08-25,edgar/data/2064965/0001683168-26-006709.txt
1-A-W,aShareX Series LLC,1964674,2026-07-15,edgar/data/1964674/0001477932-26-004318.txt
1-A-W/A,Energea Portfolio 4 USA LP,1853011,2026-07-08,edgar/data/1853011/0001853011-26-000014.txt
1-A/A,"3DX Industries, Inc.",1453122,2026-07-07,edgar/data/1453122/0001683168-26-005313.txt
1-A/A,"3DX Industries, Inc.",1453122,2026-07-14,edgar/data/1453122/0001683168-26-005491.txt
1-A/A,"Accrew, Inc. / DE",1917637,2026-09-11,edgar/data/1917637/0001917637-26-000001.txt
1-A/A,Agentiq Sports 1 Series LLC,2105654,2026-09-04,edgar/data/2105654/0001213900-26-097702.txt
1-A/A,Blue Star Foods Corp.,1730773,2026-08-12,edgar/data/1730773/0001493152-26-037452.txt
1-A/A,CC Biotech Inc.,2097387,2026-07-01,edgar/data/2097387/0002097387-26-000008.txt
1-A/A,"Casa Shares Assets, LLC",1988874,2026-08-19,edgar/data/1988874/0001493152-26-039081.txt
1-A/A,DAKOTA REAL ESTATE INVESTMENT TRUST,1074922,2026-08-20,edgar/data/1074922/0001493152-26-039387.txt
1-A/A,ECOPLUS INC,1356914,2026-07-14,edgar/data/1356914/0001356914-26-000014.txt
1-A/A,"ENTERTAINMENT ARTS RESEARCH, INC.",1083468,2026-09-02,edgar/data/1083468/0001683168-26-006879.txt
1-A/A,"GLOBAL AESTHETIC MEDICAL GROUP, INC.",2112617,2026-08-10,edgar/data/2112617/0002112617-26-000005.txt
1-A/A,GSGG Inc.,2112614,2026-07-02,edgar/data/2112614/0002112614-26-000006.txt
1-A/A,"Global Interchange, Inc.",2083128,2026-09-08,edgar/data/2083128/0001096906-26-001342.txt
1-A/A,"Global Interchange, Inc.",2083128,2026-09-10,edgar/data/2083128/0001096906-26-001344.txt
1-A/A,"Gratus Reserve V, LLC",2100527,2026-09-08,edgar/data/2100527/0001829126-26-009890.txt
1-A/A,Greenfield Robotics Corp,1760404,2026-08-11,edgar/data/1760404/0001104659-26-093504.txt
1-A/A,Greenfield Robotics Corp,1760404,2026-08-25,edgar/data/1760404/0001104659-26-100882.txt
1-A/A,Greenfield Robotics Corp,1760404,2026-09-03,edgar/data/1760404/0001104659-26-104951.txt
1-A/A,"Greenlite Holdings, Inc.",2124579,2026-07-08,edgar/data/2124579/0001096906-26-001067.txt
1-A/A,"GroEstate I, LLC",2082126,2026-08-24,edgar/data/2082126/0001683168-26-006671.txt
1-A/A,Interglobe Solutions Inc.,2112619,2026-07-30,edgar/data/2112619/0002112619-26-000007.txt
1-A/A,KANG MEIDA INTERNATIONAL INC.,2124074,2026-07-28,edgar/data/2124074/0002124074-26-000003.txt
1-A/A,"Modern Screen Media, Inc.",2096421,2026-07-20,edgar/data/2096421/0001493152-26-033868.txt
1-A/A,"Modern Screen Media, Inc.",2096421,2026-09-11,edgar/data/2096421/0001493152-26-042374.txt
1-A/A,"Newport Gold, Inc.",1289223,2026-07-08,edgar/data/1289223/0001289223-26-000010.txt
1-A/A,"OAK COMPANIES, INC.",2147706,2026-09-02,edgar/data/2147706/0001213900-26-096721.txt
1-A/A,OBSIDIAN PRIME INC,2011021,2026-08-04,edgar/data/2011021/0002011021-26-000010.txt
1-A/A,P/E Capital DAO LLC,1954925,2026-07-06,edgar/data/1954925/0001954925-26-000009.txt
1-A/A,P/E Capital DAO LLC,1954925,2026-07-28,edgar/data/1954925/0001954925-26-000010.txt
1-A/A,P/E Capital DAO LLC,1954925,2026-08-18,edgar/data/1954925/0001954925-26-000011.txt
1-A/A,"POWERLINK DIGITAL PARTNERS I, INC.",2037971,2026-08-31,edgar/data/2037971/0001493152-26-040777.txt
1-A/A,"Recreatives Industries, Inc.",2126221,2026-07-13,edgar/data/2126221/0001199835-26-000252.txt
1-A/A,"Recreatives Industries, Inc.",2126221,2026-08-07,edgar/data/2126221/0001199835-26-000271.txt
1-A/A,"Recreatives Industries, Inc.",2126221,2026-08-17,edgar/data/2126221/0001199835-26-000292.txt
1-A/A,Star Gold Corp.,1401835,2026-08-21,edgar/data/1401835/0001437749-26-028724.txt
1-A/A,Star Gold Corp.,1401835,2026-09-04,edgar/data/1401835/0001437749-26-029651.txt
1-A/A,StartEngine Inc.,1661779,2026-07-15,edgar/data/1661779/0001104659-26-083932.txt
1-A/A,Tejascore Techsystems Inc,2097361,2026-08-27,edgar/data/2097361/0002097361-26-000007.txt
1-A/A,TriMark Power Corp,2086866,2026-07-01,edgar/data/2086866/0001829126-26-007151.txt
1-A/A,TriMark Power Corp,2086866,2026-07-07,edgar/data/2086866/0001829126-26-007343.txt
1-A/A,UC Asset LP,1723517,2026-07-16,edgar/data/1723517/0001213900-26-078422.txt
1-A/A,UC Asset LP,1723517,2026-07-30,edgar/data/1723517/0001213900-26-083118.txt
1-A/A,UC Asset LP,1723517,2026-08-17,edgar/data/1723517/0001213900-26-090562.txt
1-A/A,"Upstream Life Securities Fund I, LLC",2126686,2026-07-08,edgar/data/2126686/0002126686-26-000004.txt
1-A/A,"Upstream Life Securities Fund I, LLC",2126686,2026-09-03,edgar/data/2126686/0002126686-26-000005.txt
1-A/A,"WUND Healing Biopharmaceuticals, Inc.",2078607,2026-09-03,edgar/data/2078607/0001477932-26-005384.txt
1-K,Andrew Arroyo Real Estate Inc.,1861089,2026-08-28,edgar/data/1861089/0001477932-26-005303.txt
1-K,COMPOUND REAL ESTATE BONDS II INC.,2078250,2026-09-03,edgar/data/2078250/0001829126-26-009702.txt
1-K,"Central RoRo, LLC",1991899,2026-07-31,edgar/data/1991899/0001213900-26-084118.txt
1-K,Financial Agency Group,2014151,2026-07-09,edgar/data/2014151/0001376474-26-000473.txt
1-K,Indicia Corp,2083196,2026-08-28,edgar/data/2083196/0001213900-26-095032.txt
1-K,Innovega Inc.,1474232,2026-07-08,edgar/data/1474232/0001493152-26-032545.txt
1-K,Mak Don Don Inc,2087277,2026-07-10,edgar/data/2087277/0001683168-26-005449.txt
1-K,Old Glory Holding Co,2016561,2026-09-09,edgar/data/2016561/0001493152-26-041968.txt
1-K,"Worthy Property Bonds 2, Inc.",1971864,2026-07-15,edgar/data/1971864/0001493152-26-033334.txt
1-K,"Worthy Property Bonds, Inc.",1869222,2026-07-15,edgar/data/1869222/0001493152-26-033338.txt
1-K,aShareX Series LLC,1964674,2026-07-17,edgar/data/1964674/0001477932-26-004366.txt
1-K/A,"Arrived STR 2, LLC",1968039,2026-08-12,edgar/data/1968039/0001213900-26-088286.txt
1-K/A,My Racehorse CA LLC,1744448,2026-08-31,edgar/data/1744448/0001683168-26-006806.txt
1-K/A,My Racehorse CA LLC,1744448,2026-09-02,edgar/data/1744448/0001683168-26-006867.txt
1-SA,1st stREIT Office Inc.,1700461,2026-09-04,edgar/data/1700461/0001104659-26-105172.txt
1-SA,6d bytes inc.,1830909,2026-07-14,edgar/data/1830909/0001477932-26-004296.txt
1-SA,Andrew Arroyo Real Estate Inc.,1861089,2026-08-31,edgar/data/1861089/0001477932-26-005319.txt
1-SA,"BIO-PATH HOLDINGS, INC.",1133818,2026-08-20,edgar/data/1133818/0001663577-26-000256.txt
1-SA,CW Petroleum Corp,1741220,2026-08-31,edgar/data/1741220/0001493152-26-040813.txt
1-SA,"CancerVAX, Inc.",1905495,2026-08-20,edgar/data/1905495/0001493152-26-039412.txt
1-SA,"Casa Shares Assets, LLC",1988874,2026-08-18,edgar/data/1988874/0001493152-26-038933.txt
1-SA,"Elektros, Inc.",1852616,2026-08-17,edgar/data/1852616/0001852616-26-000011.txt
1-SA,Frontieras North America,2035321,2026-07-16,edgar/data/2035321/0001062993-26-003686.txt
1-SA,"Hartley Income Fund, LLC",2102705,2026-07-30,edgar/data/2102705/0001096906-26-001143.txt
1-SA,Hartley Opportunity Fund LLC,2056463,2026-07-29,edgar/data/2056463/0001096906-26-001138.txt
1-SA,IdentifySensors Biologics Corp.,1817371,2026-07-28,edgar/data/1817371/0001683168-26-005787.txt
1-SA,REI Capital Growth LLC,1905895,2026-08-14,edgar/data/1905895/0001683168-26-006450.txt
1-SA,Scholar Hospitality Holdings I LLC,2130316,2026-08-24,edgar/data/2130316/0001213900-26-092901.txt
1-SA,"Worthy Community Bonds, Inc.",1817214,2026-09-10,edgar/data/1817214/0001493152-26-042180.txt
1-U,6d bytes inc.,1830909,2026-08-25,edgar/data/1830909/0001477932-26-005259.txt
1-U,Amber Farmland Investments PBC,1706350,2026-09-09,edgar/data/1706350/0001683168-26-007031.txt
1-U,"Arrived Debt Fund, LLC",2007995,2026-07-22,edgar/data/2007995/0002007995-26-000021.txt
1-U,"Arrived Debt Fund, LLC",2007995,2026-07-28,edgar/data/2007995/0002007995-26-000023.txt
1-U,"Arrived Debt Fund, LLC",2007995,2026-08-20,edgar/data/2007995/0002007995-26-000027.txt
1-U,"Arrived Homes 3, LLC",1962723,2026-07-22,edgar/data/1962723/0001962723-26-000017.txt
1-U,"Arrived Homes 3, LLC",1962723,2026-07-28,edgar/data/1962723/0001962723-26-000019.txt
1-U,"Arrived Homes 3, LLC",1962723,2026-08-20,edgar/data/1962723/0001962723-26-000023.txt
1-U,"Arrived Homes 4, LLC",2015697,2026-07-22,edgar/data/2015697/0002015697-26-000032.txt
1-U,"Arrived Homes 4, LLC",2015697,2026-07-28,edgar/data/2015697/0002015697-26-000034.txt
1-U,"Arrived Homes 4, LLC",2015697,2026-08-20,edgar/data/2015697/0002015697-26-000038.txt
1-U,"Arrived Homes 5, LLC",2032732,2026-07-22,edgar/data/2032732/0002032732-26-000021.txt
1-U,"Arrived Homes 5, LLC",2032732,2026-07-28,edgar/data/2032732/0002032732-26-000023.txt
1-U,"Arrived Homes 5, LLC",2032732,2026-08-20,edgar/data/2032732/0002032732-26-000027.txt
1-U,"Arrived Homes, LLC",1821720,2026-07-22,edgar/data/1821720/0001821720-26-000021.txt
1-U,"Arrived Homes, LLC",1821720,2026-07-28,edgar/data/1821720/0001821720-26-000023.txt
1-U,"Arrived Homes, LLC",1821720,2026-08-20,edgar/data/1821720/0001821720-26-000027.txt
1-U,"Arrived SFR Genesis Fund, LLC",1982615,2026-07-22,edgar/data/1982615/0001982615-26-000022.txt
1-U,"Arrived SFR Genesis Fund, LLC",1982615,2026-07-28,edgar/data/1982615/0001982615-26-000024.txt
1-U,"Arrived SFR Genesis Fund, LLC",1982615,2026-08-20,edgar/data/1982615/0001982615-26-000028.txt
1-U,"Arrived STR 2, LLC",1968039,2026-07-22,edgar/data/1968039/0001968039-26-000017.txt
1-U,"Arrived STR 2, LLC",1968039,2026-07-28,edgar/data/1968039/0001968039-26-000019.txt
1-U,"Arrived STR 2, LLC",1968039,2026-08-20,edgar/data/1968039/0001968039-26-000023.txt
1-U,"Arrived STR, LLC",1942208,2026-07-22,edgar/data/1942208/0001942208-26-000017.txt
1-U,"Arrived STR, LLC",1942208,2026-07-28,edgar/data/1942208/0001942208-26-000019.txt
1-U,"Arrived STR, LLC",1942208,2026-08-20,edgar/data/1942208/0001942208-26-000023.txt
1-U,"Arrived Seattle Fund, LLC",2065598,2026-07-22,edgar/data/2065598/0002065598-26-000021.txt
1-U,"Arrived Seattle Fund, LLC",2065598,2026-07-28,edgar/data/2065598/0002065598-26-000023.txt
1-U,"Arrived Seattle Fund, LLC",2065598,2026-08-20,edgar/data/2065598/0002065598-26-000027.txt
1-U,"C3 Bullion, Inc.",1981779,2026-08-11,edgar/data/1981779/0001062993-26-004190.txt
1-U,CW Petroleum Corp,1741220,2026-07-06,edgar/data/1741220/0001493152-26-032149.txt
1-U,CW Petroleum Corp,1741220,2026-07-28,edgar/data/1741220/0001493152-26-034969.txt
1-U,CW Petroleum Corp,1741220,2026-08-10,edgar/data/1741220/0001493152-26-036796.txt
1-U,"Doroni Aerospace, Inc.",1890225,2026-08-25,edgar/data/1890225/0001683168-26-006712.txt
1-U,EPILOG IMAGING SYSTEMS INC.,1783128,2026-08-27,edgar/data/1783128/0001477932-26-005281.txt
1-U,Energea Portfolio 2 LP,1811470,2026-07-17,edgar/data/1811470/0001811470-26-000012.txt
1-U,"FUNDRISE BALANCED EREIT II, LLC",1803986,2026-07-01,edgar/data/1803986/0001104659-26-079891.txt
1-U,"FUNDRISE BALANCED EREIT II, LLC",1803986,2026-08-03,edgar/data/1803986/0001104659-26-089716.txt
1-U,"FUNDRISE BALANCED EREIT II, LLC",1803986,2026-09-01,edgar/data/1803986/0001104659-26-104315.txt
1-U,"FUNDRISE GROWTH EREIT VII, LLC",1804011,2026-07-01,edgar/data/1804011/0001104659-26-079892.txt
1-U,"FUNDRISE GROWTH EREIT VII, LLC",1804011,2026-08-03,edgar/data/1804011/0001104659-26-089710.txt
1-U,"FUNDRISE GROWTH EREIT VII, LLC",1804011,2026-09-01,edgar/data/1804011/0001104659-26-104298.txt
1-U,"Forge Group, Inc.",1846702,2026-08-28,edgar/data/1846702/0001437749-26-029203.txt
1-U,Gratus Capital Properties Fund III LLC,1867706,2026-08-10,edgar/data/1867706/0001477932-26-004813.txt
1-U,"Green Coffee Co Holdings, LLC",1819425,2026-09-02,edgar/data/1819425/0001104659-26-104775.txt
1-U,"Greenlite Holdings, Inc.",2124579,2026-09-04,edgar/data/2124579/0001096906-26-001339.txt
1-U,Immersed Inc.,1817417,2026-08-06,edgar/data/1817417/0001104659-26-091350.txt
1-U,"Iron Bridge Mortgage Fund, LLC",1462371,2026-07-07,edgar/data/1462371/0001477932-26-004217.txt
1-U,"Jamestown Invest 1, LLC",1751158,2026-07-10,edgar/data/1751158/0001751158-26-000027.txt
1-U,Landa App 2 LLC,1875877,2026-07-10,edgar/data/1875877/0001875877-26-000003.txt
1-U,Landa App 3 LLC,1886606,2026-07-10,edgar/data/1886606/0001886606-26-000004.txt
1-U,Landa App LLC,1815103,2026-07-10,edgar/data/1815103/0001815103-26-000007.txt
1-U,Landa App LLC,1815103,2026-07-23,edgar/data/1815103/0001815103-26-000008.txt
1-U,Landa Financing LLC,1965132,2026-07-22,edgar/data/1965132/0001965132-26-000003.txt
1-U,Landa Financing LLC,1965132,2026-07-22,edgar/data/1965132/0001965132-26-000004.txt
1-U,"MED-X, INC.",1620704,2026-09-01,edgar/data/1620704/0001477932-26-005338.txt
1-U,"MODE MOBILE, INC.",1748441,2026-08-26,edgar/data/1748441/0001493152-26-040222.txt
1-U,Mak Don Don Inc,2087277,2026-08-07,edgar/data/2087277/0001683168-26-006091.txt
1-U,"Masterworks Vault 1, LLC",1956601,2026-07-08,edgar/data/1956601/0001493152-26-032429.txt
1-U,"Masterworks Vault 1, LLC",1956601,2026-07-17,edgar/data/1956601/0001493152-26-033667.txt
1-U,"Masterworks Vault 1, LLC",1956601,2026-09-02,edgar/data/1956601/0001493152-26-041095.txt
1-U,"Masterworks Vault 10, LLC",1989528,2026-07-08,edgar/data/1989528/0001493152-26-032439.txt
1-U,"Masterworks Vault 10, LLC",1989528,2026-07-17,edgar/data/1989528/0001493152-26-033681.txt
1-U,"Masterworks Vault 10, LLC",1989528,2026-09-02,edgar/data/1989528/0001493152-26-041100.txt
1-U,"Masterworks Vault 11, LLC",2046168,2026-07-08,edgar/data/2046168/0001493152-26-032442.txt
1-U,"Masterworks Vault 11, LLC",2046168,2026-07-17,edgar/data/2046168/0001493152-26-033683.txt
1-U,"Masterworks Vault 11, LLC",2046168,2026-09-02,edgar/data/2046168/0001493152-26-041101.txt
1-U,"Masterworks Vault 12, LLC",2046167,2026-07-08,edgar/data/2046167/0001493152-26-032443.txt
1-U,"Masterworks Vault 12, LLC",2046167,2026-07-17,edgar/data/2046167/0001493152-26-033685.txt
1-U,"Masterworks Vault 12, LLC",2046167,2026-09-02,edgar/data/2046167/0001493152-26-041102.txt
1-U,"Masterworks Vault 13, LLC",2046166,2026-07-08,edgar/data/2046166/0001493152-26-032446.txt
1-U,"Masterworks Vault 13, LLC",2046166,2026-07-17,edgar/data/2046166/0001493152-26-033687.txt
1-U,"Masterworks Vault 13, LLC",2046166,2026-07-23,edgar/data/2046166/0001493152-26-034392.txt
1-U,"Masterworks Vault 13, LLC",2046166,2026-09-02,edgar/data/2046166/0001493152-26-041103.txt
1-U,"Masterworks Vault 14, LLC",2046165,2026-07-08,edgar/data/2046165/0001493152-26-032447.txt
1-U,"Masterworks Vault 14, LLC",2046165,2026-07-17,edgar/data/2046165/0001493152-26-033691.txt
1-U,"Masterworks Vault 14, LLC",2046165,2026-09-02,edgar/data/2046165/0001493152-26-041104.txt
1-U,"Masterworks Vault 15, LLC",2046164,2026-07-08,edgar/data/2046164/0001493152-26-032450.txt
1-U,"Masterworks Vault 15, LLC",2046164,2026-07-17,edgar/data/2046164/0001493152-26-033693.txt
1-U,"Masterworks Vault 15, LLC",2046164,2026-09-02,edgar/data/2046164/0001493152-26-041105.txt
1-U,"Masterworks Vault 16, LLC",2046162,2026-07-08,edgar/data/2046162/0001493152-26-032451.txt
1-U,"Masterworks Vault 16, LLC",2046162,2026-07-17,edgar/data/2046162/0001493152-26-033695.txt
1-U,"Masterworks Vault 16, LLC",2046162,2026-09-02,edgar/data/2046162/0001493152-26-041106.txt
1-U,"Masterworks Vault 17, LLC",2046460,2026-07-08,edgar/data/2046460/0001493152-26-032454.txt
1-U,"Masterworks Vault 17, LLC",2046460,2026-07-17,edgar/data/2046460/0001493152-26-033697.txt
1-U,"Masterworks Vault 17, LLC",2046460,2026-09-02,edgar/data/2046460/0001493152-26-041107.txt
1-U,"Masterworks Vault 18, LLC",2046463,2026-07-08,edgar/data/2046463/0001493152-26-032456.txt
1-U,"Masterworks Vault 18, LLC",2046463,2026-07-16,edgar/data/2046463/0001493152-26-033491.txt
1-U,"Masterworks Vault 18, LLC",2046463,2026-07-17,edgar/data/2046463/0001493152-26-033699.txt
1-U,"Masterworks Vault 18, LLC",2046463,2026-09-02,edgar/data/2046463/0001493152-26-041108.txt
1-U,"Masterworks Vault 19, LLC",2046464,2026-07-08,edgar/data/2046464/0001493152-26-032458.txt
1-U,"Masterworks Vault 19, LLC",2046464,2026-07-17,edgar/data/2046464/0001493152-26-033701.txt
