variant,p5,p10,p25,p50,p75,p90,p95,mean,sd,rms,p_le_m8,p_le_m5,p_lt_0,p_ge_5,p_ge_10,p_abs_ge_7,p_abs_ge_10,p_abs_ge_15,p_lt_m25,p_ge_17,below_m40,above_p40,n,base_case_prob,base_case_p50,base_case_p_le_m8,base_case_p_lt_0
C02 return effect -2.0 on c/d,-17.0,-13.76,-8.55,-2.81,2.99,8.33,11.69,-2.75,9.09,9.5,0.271,0.398,0.629,0.183,0.071,0.44,0.271,0.1008,0.0083,0.0149,0.0014,0.0012,600000,0.358,-5.87,0.393,0.773
C02 independent of C01 within state (OR 1),-16.11,-12.91,-7.73,-2.07,3.65,8.92,12.23,-2.02,9.0,9.22,0.24,0.363,0.597,0.203,0.08,0.423,0.253,0.0907,0.0069,0.0167,0.0013,0.0012,600000,0.344,-4.66,0.335,0.723
C02 odds ratio 4 within state,-16.11,-12.91,-7.73,-2.07,3.65,8.92,12.23,-2.02,9.0,9.22,0.24,0.363,0.597,0.203,0.08,0.423,0.253,0.0907,0.0069,0.0167,0.0013,0.0012,600000,0.374,-4.67,0.336,0.724
C01 P(below) 0.62 (Astra / C01 low),-15.89,-12.68,-7.51,-1.85,3.87,9.14,12.45,-1.8,9.0,9.18,0.232,0.354,0.587,0.21,0.084,0.42,0.25,0.089,0.0066,0.0175,0.0013,0.0012,600000,0.318,-4.55,0.331,0.719
C01 P(below) 0.82 (C01 high),-16.38,-13.17,-8.0,-2.33,3.39,8.65,11.96,-2.29,9.0,9.29,0.25,0.376,0.609,0.194,0.076,0.427,0.257,0.0928,0.0073,0.0158,0.0013,0.0012,600000,0.396,-4.83,0.343,0.731
C01 gap sd 2.8 (rev 1),-16.06,-12.85,-7.69,-2.02,3.69,8.95,12.26,-1.98,8.99,9.21,0.238,0.361,0.595,0.204,0.081,0.422,0.252,0.0901,0.0069,0.0168,0.0013,0.0012,600000,0.36,-4.59,0.332,0.72
residual core sd 6.5,-15.44,-12.36,-7.46,-2.08,3.37,8.39,11.56,-2.02,8.64,8.88,0.229,0.357,0.602,0.191,0.071,0.401,0.231,0.0774,0.0061,0.014,0.0013,0.0012,600000,0.358,-4.67,0.326,0.736
residual core sd 7.5,-16.8,-13.45,-8.02,-2.06,3.94,9.45,12.9,-2.02,9.37,9.58,0.251,0.37,0.592,0.214,0.09,0.444,0.275,0.1047,0.0081,0.02,0.0013,0.0012,600000,0.358,-4.67,0.344,0.713
wide component 0 (pure normal core 7.4),-15.95,-12.9,-7.78,-2.06,3.7,8.89,12.05,-2.02,8.75,8.98,0.242,0.364,0.596,0.204,0.079,0.425,0.253,0.0865,0.0039,0.0136,0.001,0.001,600000,0.358,-4.67,0.338,0.721
wide component 0.12,-16.67,-13.24,-7.87,-2.07,3.79,9.26,12.79,-2.03,9.39,9.61,0.245,0.367,0.595,0.208,0.087,0.434,0.266,0.1024,0.0097,0.021,0.0015,0.0013,600000,0.358,-4.67,0.339,0.719
QQQ sd 2.0 (macro day),-16.3,-13.06,-7.83,-2.06,3.73,9.08,12.43,-2.02,9.11,9.33,0.244,0.365,0.595,0.206,0.083,0.429,0.26,0.0946,0.0073,0.0178,0.0013,0.0012,600000,0.358,-4.67,0.338,0.72
m0 = -0.9 (n16 mean) instead of 0,-16.47,-13.27,-8.09,-2.43,3.29,8.56,11.87,-2.38,9.0,9.31,0.254,0.38,0.613,0.191,0.075,0.428,0.259,0.0936,0.0075,0.0154,0.0013,0.0012,600000,0.358,-5.03,0.352,0.739
m0 = +1.2 (23-print mean) instead of 0,-15.63,-12.43,-7.25,-1.59,4.13,9.4,12.71,-1.54,9.0,9.13,0.223,0.343,0.575,0.219,0.088,0.417,0.247,0.0873,0.0063,0.0186,0.0013,0.0012,600000,0.358,-4.19,0.314,0.703
