window,target,n_shapes,group_a,group_b,covariance_musd2,basis
W1,2026Q3,219,same_quarter,same_quarter,341683.18555236235,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,same_quarter,two_earlier,-88693.77597498086,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,same_quarter,older_finite_tail,-438.1905802054237,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,one_earlier,same_quarter,-54528.44921586697,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,one_earlier,one_earlier,127865.09766221502,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,one_earlier,two_earlier,-56335.64970340881,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,one_earlier,older_finite_tail,-17256.457177423417,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,two_earlier,same_quarter,-88693.77597498086,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,two_earlier,one_earlier,-56335.64970340881,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,two_earlier,two_earlier,157496.3880146545,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,two_earlier,older_finite_tail,-16013.527379518517,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,older_finite_tail,same_quarter,-438.1905802054237,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,older_finite_tail,one_earlier,-17256.457177423417,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,older_finite_tail,two_earlier,-16013.527379518517,unweighted nearfit-grid sensitivity; not probability distribution
W1,2026Q4,219,older_finite_tail,older_finite_tail,34025.89286833475,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,same_quarter,same_quarter,166914.22215172308,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,same_quarter,one_earlier,-49594.58550087237,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,same_quarter,two_earlier,-111631.14982636987,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,same_quarter,older_finite_tail,-4485.115084944958,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,one_earlier,same_quarter,-49594.58550087237,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,one_earlier,one_earlier,85464.32865687036,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,one_earlier,two_earlier,-21972.09690038088,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,one_earlier,older_finite_tail,-12817.015109027318,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,two_earlier,same_quarter,-111631.14982636987,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,two_earlier,one_earlier,-21972.09690038088,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,two_earlier,two_earlier,146996.00530776283,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,two_earlier,older_finite_tail,-15036.018261997262,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,older_finite_tail,same_quarter,-4485.115084944958,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,older_finite_tail,one_earlier,-12817.015109027318,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,older_finite_tail,two_earlier,-15036.018261997262,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q1,219,older_finite_tail,older_finite_tail,31738.05030508865,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,same_quarter,same_quarter,306406.24613536155,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,same_quarter,one_earlier,-154584.70123028575,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,same_quarter,two_earlier,-151577.6105466632,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,same_quarter,older_finite_tail,-3388.9320244855962,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,one_earlier,same_quarter,-154584.70123028575,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,one_earlier,one_earlier,282836.72343275335,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,one_earlier,two_earlier,-91230.98896852686,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,one_earlier,older_finite_tail,-35596.34429482819,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,two_earlier,same_quarter,-151577.6105466632,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,two_earlier,one_earlier,-91230.98896852686,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,two_earlier,two_earlier,265699.01296175824,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,two_earlier,older_finite_tail,-19703.534247832744,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,older_finite_tail,same_quarter,-3388.9320244855962,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,older_finite_tail,one_earlier,-35596.34429482819,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,older_finite_tail,two_earlier,-19703.534247832744,unweighted nearfit-grid sensitivity; not probability distribution
W1,2027Q2,219,older_finite_tail,older_finite_tail,57296.68228764076,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,same_quarter,same_quarter,339316.89811673295,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,same_quarter,one_earlier,-44107.99854335879,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,same_quarter,two_earlier,-301649.28674027283,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,same_quarter,older_finite_tail,5864.871210490756,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,one_earlier,same_quarter,-44107.99854335879,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,one_earlier,one_earlier,74582.63110392868,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,one_earlier,two_earlier,-13472.171648922833,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,one_earlier,older_finite_tail,-17602.656052815284,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,two_earlier,same_quarter,-301649.28674027283,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,two_earlier,one_earlier,-13472.171648922833,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,two_earlier,two_earlier,345757.8095730432,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,two_earlier,older_finite_tail,-28878.945498640394,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,older_finite_tail,same_quarter,5864.871210490756,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,older_finite_tail,one_earlier,-17602.656052815284,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,older_finite_tail,two_earlier,-28878.945498640394,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q3,103,older_finite_tail,older_finite_tail,40056.899117606576,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,same_quarter,same_quarter,149347.17307787164,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,same_quarter,one_earlier,-19917.313885630796,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,same_quarter,two_earlier,-128722.54004169472,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,same_quarter,older_finite_tail,1831.1950918743155,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,one_earlier,same_quarter,-19917.313885630796,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,one_earlier,one_earlier,36996.858430114815,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,one_earlier,two_earlier,-6829.230661471499,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,one_earlier,older_finite_tail,-10330.670308619401,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,two_earlier,same_quarter,-128722.54004169472,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,two_earlier,one_earlier,-6829.230661471499,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,two_earlier,two_earlier,150925.07119697222,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,two_earlier,older_finite_tail,-18046.330953615852,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,older_finite_tail,same_quarter,1831.1950918743155,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,older_finite_tail,one_earlier,-10330.670308619401,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,older_finite_tail,two_earlier,-18046.330953615852,unweighted nearfit-grid sensitivity; not probability distribution
W2,2026Q4,103,older_finite_tail,older_finite_tail,26809.76764818734,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,same_quarter,same_quarter,152276.13977694156,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,same_quarter,one_earlier,-15589.990553120886,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,same_quarter,two_earlier,-132540.92075545716,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,same_quarter,older_finite_tail,-1596.5822266017483,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,one_earlier,same_quarter,-15589.990553120886,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,one_earlier,one_earlier,22110.293468814918,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,one_earlier,two_earlier,933.5442196600758,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,one_earlier,older_finite_tail,-7322.449182234333,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,two_earlier,same_quarter,-132540.92075545716,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,two_earlier,one_earlier,933.5442196600758,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,two_earlier,two_earlier,144099.35353745281,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,two_earlier,older_finite_tail,-14815.822576111299,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,older_finite_tail,same_quarter,-1596.5822266017483,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,older_finite_tail,one_earlier,-7322.449182234333,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,older_finite_tail,two_earlier,-14815.822576111299,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q1,103,older_finite_tail,older_finite_tail,23429.70042874429,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,same_quarter,same_quarter,273798.28769840795,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,same_quarter,one_earlier,-54059.13040256468,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,same_quarter,two_earlier,-220400.92299765826,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,same_quarter,older_finite_tail,-1097.201372203651,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,one_earlier,same_quarter,-54059.13040256468,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,one_earlier,one_earlier,85387.70829345245,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,one_earlier,two_earlier,-9848.013182672266,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,one_earlier,older_finite_tail,-20515.888130176667,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,two_earlier,same_quarter,-220400.92299765826,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,two_earlier,one_earlier,-9848.013182672266,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,two_earlier,two_earlier,255966.6090266718,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,two_earlier,older_finite_tail,-23807.926765240314,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,older_finite_tail,same_quarter,-1097.201372203651,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,older_finite_tail,one_earlier,-20515.888130176667,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,older_finite_tail,two_earlier,-23807.926765240314,unweighted nearfit-grid sensitivity; not probability distribution
W2,2027Q2,103,older_finite_tail,older_finite_tail,44343.57364553671,unweighted nearfit-grid sensitivity; not probability distribution
