arm,origin_date,release_origin_date,last_reported_quarter,target,horizon_quarters,guide_announcements_ahead,vendor,street_available,street_revenue_musd,street_snapshot_date,snapshot_age_days,street_count,street_high_musd,street_low_musd,actual_guide_mid_musd,guide_event_date,new_company_releases_between,new_guides_between,model_point_reuse_allowed,source_status,selected_commit_datetime_raw,selected_commit,row_specific_asof_proof,earliest_target_snapshot,first_appearance_diagnostic_only,days_origin_to_first_target_snapshot
calendar_minus16,2023-03-16,2023-02-14,2022Q4,2023Q2,2,1,DoltHub post-no-preference/earnings,True,2430.0,2023-03-12,4.0,10.0,2490.0,2400.0,2400.0,2023-05-09,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2023-02-19,True,-25
release_day,2023-02-14,2023-02-14,2022Q4,2023Q3,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3350.0,2023-08-03,0,0,True,UNAVAILABLE,,,False,2023-05-14,True,89
calendar_minus16,2023-03-16,2023-02-14,2022Q4,2023Q3,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3350.0,2023-08-03,0,0,True,UNAVAILABLE,,,False,2023-05-14,True,59
release_day,2023-02-14,2023-02-14,2022Q4,2023Q4,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2150.0,2023-11-01,0,0,True,UNAVAILABLE,,,False,2023-08-06,True,173
calendar_minus16,2023-03-16,2023-02-14,2022Q4,2023Q4,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2150.0,2023-11-01,0,0,True,UNAVAILABLE,,,False,2023-08-06,True,143
release_day,2023-05-09,2023-05-09,2023Q1,2023Q3,2,1,DoltHub post-no-preference/earnings,False,,,,,,,3350.0,2023-08-03,0,0,True,UNAVAILABLE,,,False,2023-05-14,True,5
calendar_minus16,2023-06-15,2023-05-09,2023Q1,2023Q3,2,1,DoltHub post-no-preference/earnings,True,3170.0,2023-06-11,4.0,11.0,3330.0,3040.0,3350.0,2023-08-03,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2023-05-14,True,-32
release_day,2023-05-09,2023-05-09,2023Q1,2023Q4,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2150.0,2023-11-01,0,0,True,UNAVAILABLE,,,False,2023-08-06,True,89
calendar_minus16,2023-06-15,2023-05-09,2023Q1,2023Q4,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2150.0,2023-11-01,0,0,True,UNAVAILABLE,,,False,2023-08-06,True,52
release_day,2023-05-09,2023-05-09,2023Q1,2024Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2050.0,2024-02-13,0,0,True,UNAVAILABLE,,,False,2023-11-05,True,180
calendar_minus16,2023-06-15,2023-05-09,2023Q1,2024Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2050.0,2024-02-13,0,0,True,UNAVAILABLE,,,False,2023-11-05,True,143
release_day,2023-08-03,2023-08-03,2023Q2,2023Q4,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2150.0,2023-11-01,0,0,True,UNAVAILABLE,,,False,2023-08-06,True,3
calendar_minus16,2023-09-15,2023-08-03,2023Q2,2023Q4,2,1,DoltHub post-no-preference/earnings,True,2160.0,2023-09-10,5.0,10.0,2250.0,2020.0,2150.0,2023-11-01,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2023-08-06,True,-40
release_day,2023-08-03,2023-08-03,2023Q2,2024Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2050.0,2024-02-13,0,0,True,UNAVAILABLE,,,False,2023-11-05,True,94
calendar_minus16,2023-09-15,2023-08-03,2023Q2,2024Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2050.0,2024-02-13,0,0,True,UNAVAILABLE,,,False,2023-11-05,True,51
release_day,2023-08-03,2023-08-03,2023Q2,2024Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2710.0,2024-05-08,0,0,True,UNAVAILABLE,,,False,2024-02-18,True,199
calendar_minus16,2023-09-15,2023-08-03,2023Q2,2024Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2710.0,2024-05-08,0,0,True,UNAVAILABLE,,,False,2024-02-18,True,156
release_day,2023-11-01,2023-11-01,2023Q3,2024Q1,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2050.0,2024-02-13,0,0,True,UNAVAILABLE,,,False,2023-11-05,True,4
calendar_minus16,2023-12-16,2023-11-01,2023Q3,2024Q1,2,1,DoltHub post-no-preference/earnings,True,2060.0,2023-12-10,6.0,9.0,2210.0,1970.0,2050.0,2024-02-13,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2023-11-05,True,-41
release_day,2023-11-01,2023-11-01,2023Q3,2024Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2710.0,2024-05-08,0,0,True,UNAVAILABLE,,,False,2024-02-18,True,109
calendar_minus16,2023-12-16,2023-11-01,2023Q3,2024Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2710.0,2024-05-08,0,0,True,UNAVAILABLE,,,False,2024-02-18,True,64
release_day,2023-11-01,2023-11-01,2023Q3,2024Q3,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3700.0,2024-08-06,0,0,True,UNAVAILABLE,,,False,2024-05-12,True,193
calendar_minus16,2023-12-16,2023-11-01,2023Q3,2024Q3,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3700.0,2024-08-06,0,0,True,UNAVAILABLE,,,False,2024-05-12,True,148
release_day,2024-02-13,2024-02-13,2023Q4,2024Q2,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2710.0,2024-05-08,0,0,True,UNAVAILABLE,,,False,2024-02-18,True,5
calendar_minus16,2024-03-16,2024-02-13,2023Q4,2024Q2,2,1,DoltHub post-no-preference/earnings,True,2760.0,2024-03-10,6.0,10.0,2890.0,2700.0,2710.0,2024-05-08,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2024-02-18,True,-27
release_day,2024-02-13,2024-02-13,2023Q4,2024Q3,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3700.0,2024-08-06,0,0,True,UNAVAILABLE,,,False,2024-05-12,True,89
calendar_minus16,2024-03-16,2024-02-13,2023Q4,2024Q3,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3700.0,2024-08-06,0,0,True,UNAVAILABLE,,,False,2024-05-12,True,57
release_day,2024-02-13,2024-02-13,2023Q4,2024Q4,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2415.0,2024-11-07,0,0,True,UNAVAILABLE,,,False,2024-08-11,True,180
calendar_minus16,2024-03-16,2024-02-13,2023Q4,2024Q4,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2415.0,2024-11-07,0,0,True,UNAVAILABLE,,,False,2024-08-11,True,148
release_day,2024-05-08,2024-05-08,2024Q1,2024Q3,2,1,DoltHub post-no-preference/earnings,False,,,,,,,3700.0,2024-08-06,0,0,True,UNAVAILABLE,,,False,2024-05-12,True,4
calendar_minus16,2024-06-15,2024-05-08,2024Q1,2024Q3,2,1,DoltHub post-no-preference/earnings,True,3850.0,2024-06-09,6.0,11.0,4030.0,3770.0,3700.0,2024-08-06,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2024-05-12,True,-34
release_day,2024-05-08,2024-05-08,2024Q1,2024Q4,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2415.0,2024-11-07,0,0,True,UNAVAILABLE,,,False,2024-08-11,True,95
calendar_minus16,2024-06-15,2024-05-08,2024Q1,2024Q4,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2415.0,2024-11-07,0,0,True,UNAVAILABLE,,,False,2024-08-11,True,57
release_day,2024-05-08,2024-05-08,2024Q1,2025Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2250.0,2025-02-13,0,0,True,UNAVAILABLE,,,False,2024-11-10,True,186
calendar_minus16,2024-06-15,2024-05-08,2024Q1,2025Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2250.0,2025-02-13,0,0,True,UNAVAILABLE,,,False,2024-11-10,True,148
release_day,2024-08-06,2024-08-06,2024Q2,2024Q4,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2415.0,2024-11-07,0,0,True,UNAVAILABLE,,,False,2024-08-11,True,5
calendar_minus16,2024-09-15,2024-08-06,2024Q2,2024Q4,2,1,DoltHub post-no-preference/earnings,True,2420.0,2024-09-08,7.0,11.0,2470.0,2310.0,2415.0,2024-11-07,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2024-08-11,True,-35
release_day,2024-08-06,2024-08-06,2024Q2,2025Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2250.0,2025-02-13,0,0,True,UNAVAILABLE,,,False,2024-11-10,True,96
calendar_minus16,2024-09-15,2024-08-06,2024Q2,2025Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2250.0,2025-02-13,0,0,True,UNAVAILABLE,,,False,2024-11-10,True,56
release_day,2024-08-06,2024-08-06,2024Q2,2025Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3020.0,2025-05-01,0,0,True,UNAVAILABLE,,,False,2025-02-16,True,194
calendar_minus16,2024-09-15,2024-08-06,2024Q2,2025Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3020.0,2025-05-01,0,0,True,UNAVAILABLE,,,False,2025-02-16,True,154
release_day,2024-11-07,2024-11-07,2024Q3,2025Q1,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2250.0,2025-02-13,0,0,True,UNAVAILABLE,,,False,2024-11-10,True,3
calendar_minus16,2024-12-16,2024-11-07,2024Q3,2025Q1,2,1,DoltHub post-no-preference/earnings,True,2310.0,2024-12-15,1.0,10.0,2400.0,2240.0,2250.0,2025-02-13,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2024-11-10,True,-36
release_day,2024-11-07,2024-11-07,2024Q3,2025Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3020.0,2025-05-01,0,0,True,UNAVAILABLE,,,False,2025-02-16,True,101
calendar_minus16,2024-12-16,2024-11-07,2024Q3,2025Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3020.0,2025-05-01,0,0,True,UNAVAILABLE,,,False,2025-02-16,True,62
release_day,2024-11-07,2024-11-07,2024Q3,2025Q3,4,3,DoltHub post-no-preference/earnings,False,,,,,,,4060.0,2025-08-06,0,0,True,UNAVAILABLE,,,False,2025-05-04,True,178
calendar_minus16,2024-12-16,2024-11-07,2024Q3,2025Q3,4,3,DoltHub post-no-preference/earnings,False,,,,,,,4060.0,2025-08-06,0,0,True,UNAVAILABLE,,,False,2025-05-04,True,139
release_day,2025-02-13,2025-02-13,2024Q4,2025Q2,2,1,DoltHub post-no-preference/earnings,False,,,,,,,3020.0,2025-05-01,0,0,True,UNAVAILABLE,,,False,2025-02-16,True,3
calendar_minus16,2025-03-16,2025-02-13,2024Q4,2025Q2,2,1,DoltHub post-no-preference/earnings,True,3060.0,2025-03-09,7.0,12.0,3130.0,3000.0,3020.0,2025-05-01,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2025-02-16,True,-28
release_day,2025-02-13,2025-02-13,2024Q4,2025Q3,3,2,DoltHub post-no-preference/earnings,False,,,,,,,4060.0,2025-08-06,0,0,True,UNAVAILABLE,,,False,2025-05-04,True,80
calendar_minus16,2025-03-16,2025-02-13,2024Q4,2025Q3,3,2,DoltHub post-no-preference/earnings,False,,,,,,,4060.0,2025-08-06,0,0,True,UNAVAILABLE,,,False,2025-05-04,True,49
release_day,2025-02-13,2025-02-13,2024Q4,2025Q4,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2690.0,2025-11-06,0,0,True,UNAVAILABLE,,,False,2025-08-10,True,178
calendar_minus16,2025-03-16,2025-02-13,2024Q4,2025Q4,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2690.0,2025-11-06,0,0,True,UNAVAILABLE,,,False,2025-08-10,True,147
release_day,2025-05-01,2025-05-01,2025Q1,2025Q3,2,1,DoltHub post-no-preference/earnings,False,,,,,,,4060.0,2025-08-06,0,0,True,UNAVAILABLE,,,False,2025-05-04,True,3
calendar_minus16,2025-06-15,2025-05-01,2025Q1,2025Q3,2,1,DoltHub post-no-preference/earnings,True,4030.0,2025-06-08,7.0,12.0,4110.0,3950.0,4060.0,2025-08-06,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2025-05-04,True,-42
release_day,2025-05-01,2025-05-01,2025Q1,2025Q4,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2690.0,2025-11-06,0,0,True,UNAVAILABLE,,,False,2025-08-10,True,101
calendar_minus16,2025-06-15,2025-05-01,2025Q1,2025Q4,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2690.0,2025-11-06,0,0,True,UNAVAILABLE,,,False,2025-08-10,True,56
release_day,2025-05-01,2025-05-01,2025Q1,2026Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2610.0,2026-02-12,0,0,True,UNAVAILABLE,,,False,2025-11-09,True,192
calendar_minus16,2025-06-15,2025-05-01,2025Q1,2026Q1,4,3,DoltHub post-no-preference/earnings,False,,,,,,,2610.0,2026-02-12,0,0,True,UNAVAILABLE,,,False,2025-11-09,True,147
release_day,2025-08-06,2025-08-06,2025Q2,2025Q4,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2690.0,2025-11-06,0,0,True,UNAVAILABLE,,,False,2025-08-10,True,4
calendar_minus16,2025-09-15,2025-08-06,2025Q2,2025Q4,2,1,DoltHub post-no-preference/earnings,True,2680.0,2025-09-14,1.0,12.0,2740.0,2600.0,2690.0,2025-11-06,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2025-08-10,True,-36
release_day,2025-08-06,2025-08-06,2025Q2,2026Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2610.0,2026-02-12,0,0,True,UNAVAILABLE,,,False,2025-11-09,True,95
calendar_minus16,2025-09-15,2025-08-06,2025Q2,2026Q1,3,2,DoltHub post-no-preference/earnings,False,,,,,,,2610.0,2026-02-12,0,0,True,UNAVAILABLE,,,False,2025-11-09,True,55
release_day,2025-08-06,2025-08-06,2025Q2,2026Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3570.0,2026-05-07,0,0,True,UNAVAILABLE,,,False,2026-02-15,True,193
calendar_minus16,2025-09-15,2025-08-06,2025Q2,2026Q2,4,3,DoltHub post-no-preference/earnings,False,,,,,,,3570.0,2026-05-07,0,0,True,UNAVAILABLE,,,False,2026-02-15,True,153
release_day,2025-11-06,2025-11-06,2025Q3,2026Q1,2,1,DoltHub post-no-preference/earnings,False,,,,,,,2610.0,2026-02-12,0,0,True,UNAVAILABLE,,,False,2025-11-09,True,3
calendar_minus16,2025-12-16,2025-11-06,2025Q3,2026Q1,2,1,DoltHub post-no-preference/earnings,True,2510.0,2025-12-14,2.0,8.0,2580.0,2470.0,2610.0,2026-02-12,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2025-11-09,True,-37
release_day,2025-11-06,2025-11-06,2025Q3,2026Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3570.0,2026-05-07,0,0,True,UNAVAILABLE,,,False,2026-02-15,True,101
calendar_minus16,2025-12-16,2025-11-06,2025Q3,2026Q2,3,2,DoltHub post-no-preference/earnings,False,,,,,,,3570.0,2026-05-07,0,0,True,UNAVAILABLE,,,False,2026-02-15,True,61
release_day,2026-02-12,2026-02-12,2025Q4,2026Q2,2,1,DoltHub post-no-preference/earnings,False,,,,,,,3570.0,2026-05-07,0,0,True,UNAVAILABLE,,,False,2026-02-15,True,3
calendar_minus16,2026-03-16,2026-02-12,2025Q4,2026Q2,2,1,DoltHub post-no-preference/earnings,True,3480.0,2026-03-15,1.0,10.0,3600.0,3390.0,3570.0,2026-05-07,0,0,True,inherited publisher-date snapshot; all-row original-vintage availability unverified,,,False,2026-02-15,True,-29
