workstream,rank,candidate,source,original_verdict,original_reason,audit_result,new_verdict,evidence
V,11,italy_istat_sdmx,ISTAT monthly tourism flows,duplicate,duplicate of eurostat_tour_occ_nim geo=IT,upheld,duplicate of eurostat_tour_occ_nim IT,"Same source data. Eurostat IT reaches 2026-06 in the cache; ISTAT's own monthly release is not evidenced to be faster than that (SDMX timed out for V; not retried by R, low value against a June series either way)."
V,12,croatia_evisitor_htz,Croatia eVisitor via HTZ / DZS,duplicate,duplicate of eurostat_tour_occ_nim geo=HR,reclassified,no access (HTZ and DZS 404 today); timing gain over Eurostat HR unverified,"Duplicate is the wrong first criterion: Eurostat HR I552 ends 2026-06 while eVisitor publishes within days of month-end, so a working eVisitor route would add two months of coverage. R retried podaci.dzs.hr (two paths, 404) and HTZ (404). Recorded as no access; the content claim is right, the timing claim was not checked by V."
V,13,france_insee_bdm,"INSEE tourist accommodation occupancy (hotels, other collective accommodation)",duplicate,duplicate of eurostat_tour_occ_nim geo=FR,upheld,duplicate of eurostat_tour_occ_nim FR,"Same source data; INSEE's monthly hotel occupancy lands about six weeks after month-end, a small gain over Eurostat FR (2026-06). Not retried; France is not an STR-class series in either route."
V,14,portugal_ine_alojamento_local,Portugal INE alojamento local nights,duplicate,duplicate of eurostat_tour_occ_nim geo=PT I552,overturned,"survivor by the letter on the EMEA bucket, pre-print coverage via the INE flash; corroboration in substance","The INE catalogue (326 indicators, xml_indic.jsp opc=3) lists 0012088, monthly nights by establishment type incl. local accommodation, keyless JSON, one period per call; R assembled the national series 2022-01 to 2026-06 (54 months, raw/ine_pt_nights_by_type_monthly.csv). Local accommodation is a content duplicate of Eurostat PT I552 (quarterly y/y r 0.992, n 14; level ratio 0.81, sd 0.03), so the Eurostat fits carry over. Tested directly: local accommodation on the EMEA bucket 0.734 (jk max 0.90, r 0.90) scored from 1Q24 but 1.69 on the reviewer window; all-establishment total nights on the EMEA bucket 0.785 / 0.785 / 0.623 with jk max 0.92 on all three windows (bucket has 2 distinct values on the reviewer window); on total nights 0.815 then 2.95. What INE adds over Eurostat is timing: the flash press release lands about 30 days after month-end (July on 29 Aug per P; August about 30 Sep; September about 31 Oct), before 5 November, where Eurostat PT September lands after the print. Not a duplicate for the score sheet."
V,15,japan_immigration_moj,Japan Immigration Services Agency entries,duplicate,duplicate of jnto_arrivals (compiled from the same counts),upheld,duplicate of jnto_arrivals,JNTO compiles arrivals from the same immigration counts.
V,16,census_qss,US Census Quarterly Services Survey NAICS 721 and 7211 revenue,no coverage,2 coverage: about 70 days (2Q26 out 9 Sep; 3Q26 advance 19 Nov),reclassified,no coverage for the print; FY27 list,"Replicated 0.755 / 0.767 and 0.590 on the reviewer window (jk max 1.07 / 0.97 / 1.07, r 0.95 / 0.87 / 0.30), 0.96 vs the expanding mean on the reviewer window: the most robust fit in either survey. 3Q26 advance 19 Nov is after the print, so useless for 5 Nov; the 2Q26 read (+4.2% NAICS 721 revenue) is already the deceleration sentence. Carry for the February FY27 view."
V,17,eurostat_tour_occ_nim,"Eurostat tour_occ_nim nights by NACE (I552 holiday and short-stay, I551 hotels), 16 geos",no coverage,2 coverage: about 10 weeks (Jun 2026 today; Jul and Aug due about 27 Oct; Sep after 5 Nov),reclassified,corroboration pre-print (July by about 20 Oct); FY27 list,"Cache ends 2026-06 for all 16 geos, dataset updated 11 Sep: a 72-day lag (descriptive), so July lands about 20 Oct (before 5 Nov) and August about 20 Nov (after), not both on 27 Oct as V assumed. EU27 I551 on the EMEA bucket 0.767 / 0.786 / 0.561 with jk max 0.90 / 0.92 / 0.86 is the best regional fit in the survey; PT I552 on the EMEA bucket 0.893 / 0.719 / 0.658. The bucket has 2 distinct values on the reviewer window. Re-score on the July release."
V,18,eurostat_avia_paoc,Eurostat avia_paoc air passengers carried,no coverage,"2 coverage: EU27 aggregate ends 2025-12; country coverage ragged (AT and HR to Jul 2026, ES to Mar 2026)",upheld,no coverage,"Cache confirms EU27 ends 2025-12, ES 2026-03, IT 2026-04, only AT and HR to 2026-07. Airport authorities (Heathrow monthly xlsx, August 2026 posted) are the faster route to the same arrivals class, which V showed is a normalisation fit."
V,19,ntto_country,"NTTO I-94 arrivals to the US, Canada and Mexico rows",no coverage,2 coverage: Canada and Mexico rows end Jun 2026 (the July preliminary covers overseas only),reclassified,corroboration pre-print (August by late Oct),"Canada and Mexico rows end 2026-06; July lands late Sep and August late Oct, both before 5 Nov, September after. Replicated 0.788 / 0.788 and 0.721 on the reviewer window (jk max 0.93 / 0.94 / 1.36). Content duplicate of StatCan Canadians returning from the US (r 0.98 to 0.99), so it is a cross-check of the StatCan read, not a new source."
V,20,colombia_migracion,Migracion Colombia foreign entries (datos.gov.co 96sh-4v8d),no coverage,2 coverage: about 7 weeks (Jun 2026 out 20 Aug; Sep due about 20 Nov),reclassified,corroboration pre-print (August by about 20 Oct),"June out 20 Aug (about 7 weeks): July about 20 Sep, August about 20 Oct, September about 20 Nov. Replicated 0.807 / 0.865 (m1 on the LatAm bucket) but 1.22 on the reviewer window with jk max 1.40, perm p 0.05 to 0.26. Not a forecaster; a LatAm destination read only."
V,21,eurostat_tour_occ_ninat,Eurostat tour_occ_ninat nights by residence,no coverage,2 coverage: annual,upheld,no coverage (annual),Cache confirms the table is annual only.
V,22,fred_AIRRPMTSID11,BTS revenue passenger miles via FRED (domestic and international),no coverage,2 coverage: about 3 months,upheld,no coverage (reason corrected: no access today either),V's first failing criterion says coverage but the pull failed (fredgraph timed out four times). R retried fredgraph.csv and data/{id}.txt six times: connection reset and read timeouts; data.bts.gov Socrata MTS has no airline-traffic column. Coverage would fail anyway: September RPMs land mid-December. TSA already covers US air volume and fails.
V,23,uk_ons_ott,UK ONS overseas travel and tourism,no coverage,"2 coverage: latest 2023 annual, released 17 May 2024",upheld,no coverage,"Confirmed by V's manifest (annual 2019 to 2023 workbook only). The UK series to use is the ONS short-term lets platform dataset, which V did not list (see P ons_stl_pilot)."
V,24,wales_stl,Wales short-term let statistics,no coverage,2 coverage: none,upheld,no coverage,No series exists.
V,25,texas_hot,Texas Comptroller local hotel occupancy tax reporting,no coverage,2 coverage: annual,upheld,no coverage (annual),"Socrata catalogue (R): Local Hotel Occupancy Tax Reporting 2022, 2023, 2024, 2025 (annual by municipality) and a Hotel Tax Permits registry; no monthly or quarterly receipts series."
V,26,statcan_24100045,StatCan travel by Canadian residents by destination (24-10-0045),no coverage,2 coverage: cube ends 2025Q4 (released 29 May 2026),upheld,no coverage,Cube ends 2025Q4.
V,27,mexico_datatur,"Mexico SECTUR DATATUR (hotel occupancy, arrivals)",no access,4 access: ConnectionError on https and http,overturned,"corroboration (hotel class, Mexico; history 2024-01, too short to test)","Reachable on 12 Sep with a browser UA (200, three pages). hoteleria.aspx lists 30 monthly hotel-monitoring zips 2024-MES_01 to 2026-MES_06, each an xlsx with rooms available and occupied for 70 destinations against the two prior years; June 2026 total rooms occupied -2.0% y/y, rooms available +3.7% (sourced, raw/datatur_hotel_monitoring_latest_month.csv). Six y/y quarters only, so no walk-forward; July zip due about late Sep, August late Oct. The site also mirrors INEGI international-traveller PDFs to June 2026."
V,28,mexico_banxico_sie,Banxico SIE international visitors,no access,4 access: HTTP 400 without a token; free registration required,upheld,no access (token is a key),"SieInternet front end returns HTML without series and 400 on a CSV guess; the SIE API token is a per-user key even though registration is free, so out of scope. The DATATUR mirror carries the INEGI visitor PDFs instead."
V,29,mexico_upm_boletin,Mexico UPM migration bulletin entries,no access,4 access: ConnectionError,overturned,"corroboration (arrivals class, PDF only, monthly to July 2026)","politicamigratoria.gob.mx still unreachable (SSL and connection errors, no Wayback snapshot) but DATATUR mirrors the UPM bulletin as monthly PDFs by residence and nationality, 2024-01 to 2026-07 (31 files each). Not parsed within the time box; arrivals class for Mexico."
V,30,korea_kto_datalab,Korea Tourism Organization monthly arrivals,no access,4 access: 302 to the KNTO index; xlsx behind the datalab login and JS,upheld,no access,datalab.visitkorea.or.kr answers 200 but is a JS portal with no file endpoint; e-nara index page carries no 2026 rows; the KTO English statistics URL redirects to knto.or.kr.
V,31,greece_bank_of_greece,Bank of Greece border survey,no access,4 access: HTTP 403,upheld,no access,"403 on the page and on a direct xlsx guess with a browser UA. Eurostat's monthly BoP (bop_c6_m) carries services only, no travel line (item list checked); travel is quarterly (bop_c6_q), 3Q26 in January."
V,32,greece_hcaa,Greece HCAA airport statistics,no access,4 access: HTTP 403,upheld,no access,403 with a browser UA; Athens airport statistics page 404. Eurostat avia EL ends 2026-03.
V,33,japan_mlit_minpaku,Japan MLIT private lodging (minpaku) results,no access,4 access: PDF only,upheld,no access,The host index page (200) links no PDF; the two report-page guesses are 404; the business system is behind a login (minpaku.mlit.go.jp/jigyo/login). The bimonthly results are not on a machine path R could find.
V,34,bts_t100,BTS T-100 segment and market (enplanements),no access,4 access: form-gated download; PREZIP 404; FRED mirror timed out,upheld,no access,See fred_AIRRPMTSID11: FRED reset on every attempt; BTS Socrata MTS has no airline column; the T-100 download is form-gated.
V,35,india_mot_fta,India Ministry of Tourism foreign tourist arrivals,no access,"4 access: PIB press releases, PDF; not probed",upheld,no access,tourism.gov.in statistics pages (three) carry no xlsx or pdf links; the monthly FTA figure is a PIB press release.
V,36,scotland_stl_licensing,Scotland short-term let licensing statistics,wrong asset class,"1 asset class: licence counts, not stays",reclassified,"corroboration (supply signal), FY27 list","Right first criterion for a nights proxy, but the series has a use V did not state: licence applications and grants are a supply count, and the ADR v3 M note leaves a supply-growth lead (fewer entrants correlating with firmer incumbent pricing, wedge-corrected r -0.68). Quarterly, about a three-month lag. V did not find the publication link; not pulled by R."
V,37,nyc_ose_registry,NYC OSE short-term rental registry,wrong asset class,"1 asset class: registry counts, not stays",reclassified,"corroboration (supply signal), already in the regulatory package",Registered-host counts are the NYC supply series; the LL18 supply collapse is already carried by the regulatory package (PR #19). Registration-data page 404 today; nothing to pull.
V,38,florida_dbpr_vacation_rental,Florida DBPR vacation rental licences,wrong asset class,"1 asset class: licence counts, not stays",reclassified,"corroboration (supply signal), low value","Licence counts by county are a supply series, not a nights series; usable only for the supply-growth lead, and Florida is one state. Not probed by V or R."
P,1,hicp_cp112_countries,"Eurostat HICP CP112 accommodation services, by country (EA aggregate already held)",survivor,none (beats naive on both windows),reclassified,short-window survivor,"P scores both windows from 1Q24 (the long window only lengthens the fit); scored from 1Q23 as V does, Portugal HICP level is 1.042 vs naive on 2022Q1+ (jk max 1.23, 1 of 14 below 1). Short window 0.790 replicated (jk max 0.90). Reviewer window 0.942, jk max 1.30, 1.05 vs the expanding mean. The euro-area series J2 already holds is 0.953 / 0.914 / 1.178 on the same construction. Portugal adds a flat-slope level model, not a stronger one."
P,2,ine_rtapi,INE Spain rural tourism accommodation price index,survivor,none (beats naive on both windows),upheld,rejected (wrong sign),"Replicated 0.911 (long, scored 1Q23) / 0.808 with r -0.75 / -0.83, slope negative on every refit; reviewer window 1.39 (jk max 1.66); 2.6 / 5.1 on EMEA ex-FX. A negative fit to the USD-reported series that fails out of the normalisation."
P,3,nz_cpi_accommodation,Stats NZ CPI accommodation services and domestic accommodation services,short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 0.762 short (jk max 0.86), 2.06 long; reviewer window 1.108 (jk max 1.35). APAC target modelled before 4Q24."
P,4,hicp_cp11202,"Eurostat HICP CP11202 holiday centres, camping sites, hostels, by country",short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor (wrong sign),"Swiss level on the residual replicated 0.806 with r -0.85; reviewer window 1.262 (jk max 1.50). Multiple-comparison accident, as P said."
P,5,abs_cpi_holiday,"ABS CPI holiday travel and accommodation (domestic, international, total), quarterly and monthly",short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 0.848 short, 2.21 long; reviewer window 0.999, r -0.19."
P,6,hicp_cp11201,"Eurostat HICP CP11201 hotels, motels, inns, by country",short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor (wrong sign),"Greek hotels level on reported ADR replicated 0.761 with r -0.84; it also holds on the reviewer window (0.698, jk max 0.83, r -0.88) and the slope is negative on every refit, so it is a stable negative correlation rather than an accident, most plausibly EUR-USD moving Greek euro inflation against USD-reported ADR. Rejected as a price proxy stands; noted as an FX artefact worth one line in the FX estimator work, not here."
P,7,japan_cpi_hotel,"Japan CPI hotel charges (宿泊料), 2025 base",short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Replicated 0.906 short (jk max 1.02), 2.07 long; reviewer window 0.818 with r 0.45 (p 0.24). Weak."
P,8,ine_hotel_adr,"INE Spain hotel ADR and RevPAR (IRSH), national",short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor,"RevPAR level on EMEA ex-FX replicated 0.911 short (jk max 1.17), 1.85 long; reviewer window 0.954. IPH already held."
P,9,ons_cpi_112,UK ONS CPI 11.2 accommodation services and 11.2.0.1 hotels,short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Hotels level on EMEA ex-FX replicated 0.936 short (jk max 1.17), 1.45 long; reviewer window 0.725 (jk max 0.79, r 0.73) is the best EMEA feature on 2025Q1 to 2026Q2, on a target with 3 distinct values there."
P,10,bea_travel_xm_price,"BEA NIPA price indexes, exports and imports of travel (via FRED)",short-window survivor,test: beats naive on 2023Q1+ only,upheld,short-window survivor,"Export travel price diff on the residual replicated 0.824 (jk max 0.96, r 0.70); reviewer window 1.134 (jk max 1.36): the 0.82 rests on the 2024 scored quarters. Keep the 29 Oct check as a corroboration line only, as P proposed."
P,11,hawaii_vr_adr,"Hawaii DBEDT vacation rental performance report (Transparent, then Lighthouse data): unit ADR",corroboration,"history: two comparison-basis breaks inside the held window (the Aug 2025 vintage restates the 2024 base about 45 percent higher when the data provider changed; the May 2026 vintage reverts the 2025 base about 25 percent lower), so the within-vintage y/y flips sign on basis, not price; the 2023-06 to 2026-07 series cannot be tested as one history (best ratio 1.08 on 8 to 9 scored quarters is reported for the record)",upheld,corroboration,Replicated 1.217 with r -0.56; basis breaks as P described; V's volume re-test from the same cache fails too.
P,12,ine_hdpi,"INE Spain holiday dwellings price index (IPAP/HDPI), tourist apartments",corroboration,test: best walk-forward ratio vs naive 1.10 (does not beat naive),upheld,corroboration,Replicated 1.10 on reported ADR with r -0.72 (negative on every refit); on EMEA ex-FX 1.77 / 2.05 / 0.83.
P,13,bea_pce_accom_travel,"BEA PCE price indexes: accommodations, foreign travel by US residents, inbound foreign travel (held, untested)",corroboration,test: best walk-forward ratio vs naive 1.03 (does not beat naive),upheld,corroboration,Does not beat naive; held series.
P,14,ine_tcpi,INE Spain tourist campsite price index,corroboration,test: best walk-forward ratio vs naive 1.16 (does not beat naive),upheld,corroboration,"1.16, negative r."
P,15,ons_cpi_11203,UK ONS CPI 11.2.0.3 accommodation services of other establishments,corroboration,test: best walk-forward ratio vs naive 1.33 (does not beat naive),upheld,corroboration,1.33 replicated; step series.
P,16,portugal_ine_adr,"INE Portugal monthly ADR and RevPAR, tourist accommodation (incl local accommodation)",corroboration,"access: json_indicador API needs a varcd the public catalogue does not list, so no history to test; the July 2026 flash (published late Aug) gives national ADR EUR 154.9, +3.2% y/y, RevPAR +1.8%, nights +2.1% (sourced via press coverage of the INE release)",upheld,corroboration (reason corrected),"The catalogue (326 indicators) carries no ADR or RevPAR indicator at all, only nights, guests, capacity and occupancy, so the varcd is not undiscoverable, it does not exist in the JSON API; the flash PDF is the only monthly route. The nights indicator 0012088 does exist (see V portugal_ine_alojamento_local)."
P,17,bls_cpi_sehb02,"BLS CPI other lodging away from home incl hotels and motels (SEHB02, NSA and SA)",corroboration,test: best walk-forward ratio vs naive 1.01 (does not beat naive),upheld,corroboration,"Replicated 1.007 short (jk max 1.16), 2.86 long, 1.30 reviewer window."
P,18,statcan_cpi_trav_acc,"StatCan CPI traveller accommodation, Canada",corroboration,test: best walk-forward ratio vs naive 1.10 (does not beat naive),upheld,corroboration,"1.10, does not beat naive."
P,19,bls_ppi_hotels,BLS PPI hotels and motels (721110) and traveler accommodation (7211),corroboration,test: best walk-forward ratio vs naive 1.21 (does not beat naive),upheld,corroboration,"1.21, does not beat naive."
P,20,ibge_ipca_hosped,"IBGE IPCA hospedagem (hotel), Brazil",corroboration,test: best walk-forward ratio vs naive 1.29 (does not beat naive),upheld,corroboration,"1.29, negative r, LatAm target disclosed only from 4Q24."
P,21,eurostat_sppi_i55,"Eurostat services producer price index, NACE I55 accommodation, by country",no coverage,"coverage: 3Q26 value publishes in December 2026, after the 5 Nov print (2Q26 is the last today); recorded because Portugal I55 beats naive on both windows against EMEA ex-FX (0.68 and 0.78, 9 scored quarters), a backtest-only finding",upheld,no coverage for the print; FY27 list,"3Q26 in December, confirmed. Portugal I55 level short window 0.683 replicated (jk max 0.77); long window scored from 1Q23 is 1.023, so 'both windows' again rests on P's 1Q24 scoring; reviewer window 0.813 (jk max 1.18)."
P,22,hicp_cp11209,"Eurostat HICP CP11209 other accommodation services (ECOICOP v2 5-digit), by country",no coverage,coverage: last period 2024-12,overturned,corroboration (published to 2026-07 under code CP11203; does not beat naive),"In the coicop18 (ECOICOP v2) code list the sub-class for accommodation services of other establishments is CP11203, not CP11209. R pulled prc_hicp_minr CP11203 RCH_A: 14 geos to 2026-07, EA and EU27 from 2017-12, ES, DE, FR, IT, PT from 2015 to 2018. Tested on the four targets (224 pairs, 672 tests): 3 beat naive on the short window (CZ 0.898, DE 0.932 on EMEA ex-FX; HU 0.98 on the residual, wrong sign), none on all three windows. Readings: EA July 2.5 (2Q26 2.7, 1Q26 3.0), EU27 4.7 (4.9), ES 2.6 (2.6), FR 3.1 (3.3), IT 1.9 (2.4), PT 2.7 (2.7), DE 2.1 (2.9): the private-lets price item is decelerating gently where the hotel item is not."
P,23,statcan_taspi,StatCan traveller accommodation services price index (TASPI),no coverage,"coverage: cube end date 2019-10-01, no longer updated",upheld,no coverage,Terminated 2019Q4.
P,24,mexico_inpc_hotel,INEGI INPC hoteles (Mexico CPI hotel component),no access,"access: token required, not held; registration is free so this is recoverable",upheld,no access (token is a key),"INEGI and Banxico tokens are per-user keys; datos.gob.mx CKAN search 404 on 12 Sep. Low value, as P said."
P,25,lvcva_adr,LVCVA Las Vegas monthly hotel ADR,no access,access: lvcva.com 403 (Cloudflare); hotel class anyway,upheld,no access (no machine-readable file),"lvcva.com answers 200 with a browser UA (P recorded 403) but the visitor-statistics page exposes no xlsx or pdf link (dashboard); no Wayback snapshot returned. Hotel class, one city."
P,26,singapore_stb_arr,Singapore STB monthly hotel average room rate,no access,access: no machine-readable endpoint found,upheld,no access,data.gov.sg v2 search returns unrelated datasets for 'hotel'; the old CKAN endpoint is 404; data.gov.hk search and the C&SD API guess return nothing for hotels.
P,27,hongkong_hktb_arr,Hong Kong Tourism Board hotel achieved room rate,no access,access: login wall,upheld,no access,PartnerNet login; no open-data route found.
P,28,nz_mbie_adp,NZ MBIE Accommodation Data Programme,wrong asset class,"asset class: no price or rate measure published (guest nights, occupancy, capacity only)",upheld,wrong asset class for P,"Volume series; V tested it (short-window survivor, normalisation artefact)."
P,29,croatia_evisitor,Croatia eVisitor arrivals and nights,wrong asset class,"asset class: arrivals and nights, no price (volume workstream V)",upheld,wrong asset class for P,Volume series; see V croatia_evisitor_htz (no access).
P,30,japan_mlit_minpaku,Japan MLIT minpaku notification-system reports,wrong asset class,"asset class: nights and guests only, no price",upheld,wrong asset class for P,Volume series; see V japan_mlit_minpaku (no access).
P,31,ons_stl_pilot,UK ONS short-term lets (platform data) pilot,wrong asset class,"asset class: nights and guests, no price (volume workstream V)",reclassified,no coverage for the print (right asset class); FY27 list,"P's 404 was a moved page. The ONS 'Short-term lets through online collaborative economy platforms, UK' family is live: bulletin July 2023 to December 2025 released 24 June 2026, monthly dataset of guest nights, nights and stays from Airbnb, Booking and Expedia data (R pulled it: UK nights 2023-07 to 2025-12, y/y +9 to +12% in 2H25, sourced). Semi-annual with a six-month lag, so 1H26 lands about December 2026: no 3Q26 read, and 30 months is too short to walk-forward. It is Airbnb's own asset class for the UK and V never listed it; carry for the FY27 view next to Eurostat tour_ce_omr."
P,32,lodging_tax_us,"US state and city lodging-tax collections (Florida DOR TDT, Texas HOT, NYC hotel tax, Colorado, Vermont M&R incl STR line)",wrong asset class,"asset class: dollars without nights, so no price can be formed; a GBV-type proxy at best",upheld,wrong asset class,"Dollars without nights (Florida TDT, Texas HOT, NYC, Colorado, Vermont); no receipts-and-nights pair found that would form an ADR. The Vermont meals-and-rooms STR line is a quarterly GBV-type series at best."
P,33,tourist_tax_eu,Italy imposta di soggiorno and France taxe de sejour collections,wrong asset class,asset class: dollars without nights; annual as well,upheld,wrong asset class,"Annual, dollars only."
P,34,us_census_qss_721,US Census QSS NAICS 721 accommodation revenue,wrong asset class,"asset class: revenue, not price; and 3Q26 publishes after the print",upheld,wrong asset class for P,Revenue; V's row carries it (FY27 list).
P,35,bls_ipp_air_fares,BLS import and export air passenger fare indexes,wrong asset class,"asset class: airfares, not accommodation",upheld,wrong asset class,Airfares; CPI airfares already tested in G.
R,,bcb_sgs_travel,bcb_sgs_travel,not in V or P,,new,"survivor by the letter (LatAm bucket), same step-function caveat as ANAC; knowable before the print","Banco Central do Brasil SGS API, keyless, monthly USD millions to 2026-07 (published about the 25th of the following month, so August about 25 Sep and September about 25 Oct). Personal-tourism receipts on the LatAm bucket 0.796 / 0.788 / 0.717 with jk max 0.85 / 0.84 / 0.86 (the only LatAm feature below 1 on all three windows), r 0.88 / 0.67 / 0.34; travel expenses (Brazilians abroad) 0.731 / 0.746 / 0.853 (jk max 0.87 / 0.87 / 1.01), 1.12 vs the expanding mean on the reviewer window. Readings: expenses July +3.7% y/y against 2Q26 +23.1% and 1Q26 +21.9%; card-based outbound July +26.4% (2Q26 +32.2%); receipts July -2.9% (2Q26 +11.7%). Nominal USD, so BRL moves are inside it."
R,,eurostat_bop_c6_m,eurostat_bop_c6_m,not in V or P,,new,not worth a pull,"Eurostat monthly BoP carries goods and services aggregates only (63 items, no travel line); travel is quarterly (bop_c6_q), 3Q26 in January. National central banks publish monthly travel receipts (Spain, Portugal, Italy) but they are nominal receipts, about a two-month lag, arrivals-class information."
R,,us_monthly_travel_trade,us_monthly_travel_trade,not in V or P,,new,reading only (history in the file starts 2024),"Census FT-900 exhibit 3, travel exports SA (inbound visitor spend), monthly to 2026-07: y/y April -5.0, May -0.1, June +2.3, July -0.6 (sourced). BEA's time-series workbook was 404 today and FRED is unreachable, so no walk-forward. September lands 4 or 5 Nov with the trade release."
R,,airport_authority_traffic,airport_authority_traffic,not in V or P,,new,list only,"Heathrow posts monthly traffic xlsx (August 2026 already up); Aena's statistics page 404 on the guessed path. Fast arrivals-class series, September by mid-October; V's arrivals results say the class is a normalisation fit, so not pulled."
R,,visa_issuance,visa_issuance,not in V or P,,new,list only,"US State Department monthly nonimmigrant visa issuances by nationality (xlsx, one to two month lag) would lead inbound arrivals from visa countries (Brazil, India) that management names as origin growth; not an accommodation series; not probed."
R,,central_bank_card_spend,central_bank_card_spend,not in V or P,,new,list only,"Official card-spend series with an accommodation or travel split exist for small markets only (Central Bank of Ireland monthly card statistics, Stats NZ electronic card transactions); the large-market series are private (BofA, Mastercard, CaixaBank). Not probed."
R,,port_cruise_wttc_unwto,port_cruise_wttc_unwto,not in V or P,,new,not worth a pull,Cruise passengers do not use short-term rentals; WTTC and UNWTO barometers are annual or paid.
