cik,Company Name,SIC,State location,State of Inc,Fiscal Year End
1286225,"RealPage, Inc.",7372,TX,DE,1231
1288847,"Five9, Inc.",7374,CA,DE,1231
1295810,"Sunstone Hotel Investors, Inc.",7011,CA,MD,1231
1300514,LAS VEGAS SANDS CORP,7011,NV,NV,1231
1309442,InsPro Technologies Corp,7372,PA,DE,1231
1313275,BRIGHTCOVE INC,7374,MA,DE,1231
1313536,SOTHERLY HOTELS LP,7011,VA,DE,
1324424,"Expedia Group, Inc.",4700,WA,DE,1231
1326801,Facebook Inc,7370,CA,DE,1231
1327318,"TrueCar, Inc.",7370,CA,DE,1231
1327811,"Workday, Inc.",7374,CA,DE,0131
1340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD,7372,A0,A0,1231
1348036,"AVALARA, INC.",7372,WA,WA,1231
1351285,ROSETTA STONE INC,7372,VA,,1231
1351636,"SHOTSPOTTER, INC",7372,CA,,1231
1352010,"EPAM Systems, Inc.",7371,PA,DE,1231
1353283,SPLUNK INC,7372,CA,,0131
1355001,REALOGY GROUP LLC,6531,NJ,DE,1231
1355754,INSTRUCTURE INC,7372,UT,DE,1231
1360565,"Where Food Comes From, Inc.",7372,CO,,1231
1361113,VARONIS SYSTEMS INC,7372,NY,DE,1231
1361658,Travel & Leisure Co.,7011,FL,DE,1231
1362190,AUDIOEYE INC,7372,AZ,DE,1231
1362468,Allegiant Travel CO,4512,NV,NV,1231
1365038,LEAF GROUP LTD.,7374,CA,DE,1231
1366246,GLU MOBILE INC,7371,CA,DE,1231
1366561,SMARTSHEET INC,7372,WA,WA,0131
1372612,BOX INC,7372,CA,DE,0131
1373715,"ServiceNow, Inc.",7372,CA,,1231
1382821,Redfin Corp,6531,wa,,1231
1384905,"RingCentral, Inc.",7374,CA,,1231
1385867,Coupa Software Inc,7372,CA,DE,0131
1389002,MARIN SOFTWARE INC,7374,CA,DE,1231
1389067,TAUTACHROME INC.,7372,AZ,DE,1231
1392545,"Lightning Gaming, Inc.",7372,PA,NV,1231
1392972,"PROS Holdings, Inc.",7371,TX,DE,1231
1393052,VEEVA SYSTEMS INC,7372,CA,,0131
1396536,"DUOS TECHNOLOGIES GROUP, INC.",7372,FL,FL,1231
1398987,REALOGY HOLDINGS CORP.,6531,NJ,DE,1231
1401680,Cornerstone OnDemand Inc,7372,CA,DE,1231
1402436,SS&C Technologies Holdings Inc,7372,CT,DE,1231
1404655,HUBSPOT INC,7372,MA,DE,1231
1408057,iCoreConnect Inc.,7372,FL,NV,1231
1408278,"Synacor, Inc.",7370,NY,NY,1231
1410384,"Q2 Holdings, Inc.",7372,TX,,1231
1418091,"TWITTER, INC.",7370,CA,DE,1231
1420302,"LogMeIn, Inc.",7372,MA,DE,1231
1423774,ZUORA INC,7372,CA,DE,0131
1433195,APPFOLIO INC,7372,CA,,1231
1433714,"CASTLIGHT HEALTH, INC.",7374,CA,,1231
1436229,BTCS Inc.,7372,MD,NV,1231
1437352,"EVERBRIDGE, INC.",7372,MA,DE,1231
1439404,ZYNGA INC,7374,CA,,1231
1441683,APPIAN CORP,7372,VA,,1231
1441816,"MongoDB, Inc.",7372,NY,DE,0131
1442145,"Verisk Analytics, Inc.",7374,NJ,DE,1231
1445305,WORKIVA INC,7372,IA,DE,1231
1447380,MOBIVITY HOLDINGS CORP.,7372,AZ,NV,1231
1447669,TWILIO INC,7372,CA,DE,1231
1454742,"GOOD GAMING, INC.",7372,PA,NV,1231
1459200,"Alarm.com Holdings, Inc.",7372,VA,DE,1231
1459417,"2U, Inc.",7372,MD,DE,1231
1463172,"Zendesk, Inc.",7374,CA,,1231
1467623,"DROPBOX, INC.",7372,CA,DE,1231
1468174,Hyatt Hotels Corp,7011,IL,DE,1231
1468666,SecureWorks Corp,7372,GA,DE,0131
1470099,"MOBILEIRON, INC.",7372,CA,DE,1231
1475115,"Eventbrite, Inc.",7370,CA,DE,1231
1477333,"Cloudflare, Inc.",7372,CA,DE,1231
1485074,"Freeze Tag, Inc.",7372,CA,DE,1231
1490054,"VERDE BIO HOLDINGS, INC.",7371,TX,NV,0430
1494259,"CarGurus, Inc.",7374,MA,DE,1231
1495932,"EXP World Holdings, Inc.",6531,WA,DE,1231
1498710,"Spirit Airlines, Inc.",4512,FL,DE,1231
1499961,"Net Element, Inc.",7374,FL,DE,1231
1505155,"Upland Software, Inc.",7372,TX,TX,1231
1506293,"PINTEREST, INC.",7370,CA,DE,1231
1506439,"SharpSpring, Inc.",7372,FL,DE,1231
1507563,"ESH Hospitality, Inc.",7011,NC,DE,1231
1507605,"MARATHON DIGITAL HOLDINGS, INC.",7374,NV,NV,1231
1512499,"LINDBLAD EXPEDITIONS HOLDINGS, INC.",4700,NY,DE,1231
1512673,"Square, Inc.",7372,CA,DE,1231
1514416,Bandwidth Inc.,7372,NC,DE,1231
1516805,"Moxian, Inc.",7370,NY,NV,0930
1517375,"Sprout Social, Inc.",7372,IL,DE,1231
1517413,"Fastly, Inc.",7372,CA,DE,1231
1524358,MARRIOTT VACATIONS WORLDWIDE Corp,6531,FL,X1,1231
1525221,Bristow Group Inc.,4522,TX,,0331
1526520,"TripAdvisor, Inc.",7370,MA,DE,1231
1529113,INPIXON,7371,CA,NV,1231
1534154,Ipsidy Inc.,7372,NY,DE,1231
1535079,MCX Technologies Corp,7372,OH,CA,1231
1535379,"Cloudera, Inc.",7372,CA,DE,0131
1535527,"CrowdStrike Holdings, Inc.",7372,CA,DE,0131
1539778,RAYONT INC.,7371,CA,NV,0930
1540184,"Medallia, Inc.",7370,CA,DE,0131
1540755,"Anaplan, Inc.",7372,CA,DE,0131
1546853,"Skkynet Cloud Systems, Inc.",7372,A6,NV,1031
1549346,"Shutterstock, Inc.",7374,NY,DE,1231
1551887,DUESENBERG TECHNOLOGIES INC.,7372,N8,A1,1031
1559865,"EVERTEC, Inc.",7374,PR,PR,1231
1560327,"Rapid7, Inc.",7372,MA,DE,1231
1561550,"Datadog, Inc.",7372,NY,DE,1231
1564408,Snap Inc,7370,CA,DE,1231
1566469,"NantHealth, Inc.",7374,CA,DE,1231
1568100,"PagerDuty, Inc.",7372,CA,DE,0131
1575189,"Match Group Holdings II, LLC",7370,TX,,1231
1576169,"Benefitfocus, Inc.",7372,SC,DE,1231
1578732,"Marcus & Millichap, Inc.",6531,CA,,1231
1581091,"RE/MAX Holdings, Inc.",6531,CO,CO,1231
1581164,"Extended Stay America, Inc.",7011,NC,DE,1231
1582982,"CareCloud, Inc.",7372,NJ,DE,1231
1584423,"APX Group Holdings, Inc.",7374,UT,DE,1231
1585521,"Zoom Video Communications, Inc.",7370,CA,DE,0131
1585689,Hilton Worldwide Holdings Inc.,7011,VA,DE,1231
1586495,Leet Technology Inc.,7372,N8,NV,1231
1590584,Civeo Corp,7000,TX,A1,1231
1590895,"Caesars Entertainment, Inc.",7011,NV,DE,1231
1590955,"Paycom Software, Inc.",7372,OK,DE,1231
1593204,"Huaizhong Health Group, Inc.",7372,F4,NV,1031
1595974,"MAGNITE, INC.",7370,CA,DE,1231
1597033,Sabre Corp,7370,TX,DE,1231
1597846,Greenpro Capital Corp.,7374,N8,NV,1231
1598014,IHS Markit Ltd.,7370,X0,D0,1130
1606745,"Liberty TripAdvisor Holdings, Inc.",7374,CO,CO,1231
1614178,"Yext, Inc.",7374,NY,DE,0131
1615063,"Inspired Entertainment, Inc.",7372,NY,DE,1231
1615165,"Veritone, Inc.",7374,CA,DE,1231
1616000,"Xenia Hotels & Resorts, Inc.",7011,FL,FL,1231
1617406,Park Hotels & Resorts Inc.,7011,VA,DE,1231
1619954,"Inovalon Holdings, Inc.",7374,MD,DE,1231
1622231,BOATIM INC.,7374,FL,,0831
1624985,XINDA INTERNATIONAL CORP.,6531,CA,NV,1231
1627014,"Black Knight, Inc.",7372,FL,DE,1231
1627475,"UPWORK, INC",7374,CA,DE,1231
1627857,"Sailpoint Technologies Holdings, Inc.",7372,TX,,1231
1636422,"Health Catalyst, Inc.",7370,UT,DE,1231
1637242,STRONG SOLUTIONS INC.,6531,NV,NV,1231
1639225,"Livongo Health, Inc.",7370,CA,DE,1231
1640428,"EverQuote, Inc.",7370,MA,DE,1231
1642453,"Daseke, Inc.",4700,TX,DE,1231
1645155,Webstar Technology Group Inc.,7372,FL,WY,1231
1652044,Alphabet Inc.,7370,CA,DE,1231
1653653,"Red Rock Resorts, Inc.",7011,NV,DE,1231
1657803,Inbit Corp,7371,N8,NV,1231
1659183,nDivision Inc.,7374,TX,NV,1231
1660134,"Okta, Inc.",7372,CA,DE,0131
1660280,"Tenable Holdings, Inc.",7372,MD,DE,1231
1665300,"Phunware, Inc.",7374,X1,DE,1231
1666071,"Cardlytics, Inc.",7370,GA,DE,1231
1666134,"BLACKLINE, INC.",7372,CA,DE,1231
1668105,Talend S.A.,7372,I0,I0,1231
1671933,"Trade Desk, Inc.",7370,CA,DE,1231
1673481,Trident Acquisitions Corp.,7372,NY,DE,1231
1674168,Hilton Grand Vacations Inc.,7000,FL,DE,1231
1679826,Ping Identity Holding Corp.,7372,CO,DE,1231
1682325,GTY Technology Holdings Inc.,7374,NV,MA,1231
1682745,VERRA MOBILITY Corp,4700,AZ,,1231
1683606,Cars.com Inc.,7374,IL,DE,1231
1689923,"Alteryx, Inc.",7372,CA,DE,1231
1690680,"NEWMARK GROUP, INC.",6531,NY,DE,1231
1691077,"EVmo, Inc.",7374,CA,DE,1231
1692412,Playa Hotels & Resorts N.V.,7011,P7,P7,1231
1701732,Altair Engineering Inc.,7372,MI,DE,1231
1706946,"Virgin Galactic Holdings, Inc",4700,NM,,1231
1710583,"Switch, Inc.",7370,NV,NV,1231
1712189,Target Hospitality Corp.,7000,TX,DE,1231
1713809,"Chengda Technology Co., Ltd.",7374,F4,DE,1231
1713952,"Vivint Smart Home, Inc.",7374,UT,UT,1231
1720116,"Red Violet, Inc.",7372,FL,DE,1231
1722684,"WYNDHAM HOTELS & RESORTS, INC.",7011,NJ,DE,1231
1723177,"Syndicated Resorts Association,Inc.",7000,NV,NV,1231
1725057,Ceridian HCM Holding Inc.,7372,MN,DE,1231
1725579,"Pluralsight, Inc.",7370,UT,DE,1231
1730732,3FORCES INC.,7370,AZ,CA,1231
1735858,Far Point Acquisition Corp,7374,NY,DE,1231
1737372,"Sysorex, Inc.",7371,VA,NV,1231
1738758,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd,7374,F4,E9,1231
1739936,MOMENTIVE GLOBAL INC.,7370,CA,DE,1231
1739942,SolarWinds Corp,7372,TX,DE,1231
1743725,"GRID DYNAMICS HOLDINGS, INC.",7372,CA,DE,1231
1746278,LOVARRA,7370,X0,NV,1231
1747079,Bally's Corp,7011,RI,DE,1231
1752474,KLDiscovery Inc.,7370,VA,DE,1231
1753373,INKY INC.,7374,G4,NV,1130
1753673,Scienjoy Holding Corp,7374,F4,D8,1231
1758009,Quantum Computing Inc.,7372,VA,DE,1231
1760717,SciPlay Corp,7374,NV,NV,1231
1761940,Diamond S Shipping Inc.,4700,CT,1T,1231
1764046,CLARIVATE Plc,7374,PA,Y9,1231
1764925,"Slack Technologies, Inc.",7372,CA,DE,0131
1765048,"Charmt, Inc.",7370,FL,NV,1231
1766352,"Carrier EQ, LLC",7372,MA,DE,0930
1768012,"Golden Nugget Online Gaming, Inc.",7372,TX,DE,1231
1774155,BTRS Holdings Inc.,7371,NJ,DE,1231
1774675,Skillsoft Corp.,7372,NY,DE,0131
1776903,Netfin Acquisition Corp.,7374,NY,E9,1231
1777921,"AvePoint, Inc.",7372,NJ,DE,1231
1777946,"IronNet, Inc.",7372,VA,DE,1231
1779474,"WM TECHNOLOGY, INC.",7372,CA,E9,1231
1784535,"Porch Group, Inc.",7372,WA,DE,1231
1784970,WeTrade Group Inc.,7374,F4,WY,1231
1785592,Merida Merger Corp. I,7372,NY,DE,1231
1961,WORLDS INC,7372,MA,DE,1231
23111,COMPUTER TASK GROUP INC,7371,NY,NY,1231
27904,"DELTA AIR LINES, INC.",4512,GA,DE,1231
319687,"UNITED AIRLINES, INC.",4512,IL,DE,1231
320340,INTELLIGENT SYSTEMS CORP,7372,GA,GA,1231
36047,"CORELOGIC, INC.",7374,CA,DE,1231
40211,GATX CORP,4700,IL,NY,1231
4515,"AMERICAN AIRLINES, INC.",4512,TX,DE,1231
6201,American Airlines Group Inc.,4512,TX,DE,1231
718877,"Activision Blizzard, Inc.",7372,CA,DE,1231
727634,iSign Solutions Inc.,7372,CA,DE,1231
766421,"ALASKA AIR GROUP, INC.",4512,WA,DE,1231
769397,"Autodesk, Inc.",7372,CA,DE,0131
778946,BLUEGREEN VACATIONS CORP,6531,FL,FL,1231
789570,MGM Resorts International,7011,NV,DE,1231
793733,SKYWEST INC,4512,UT,UT,1231
796343,ADOBE INC.,7372,CA,DE,1129
797542,Viewbix Inc.,7372,L3,DE,1231
798354,FISERV INC,7374,WI,WI,1231
803578,INFORMATION ANALYSIS INC,7372,VA,VA,1231
813672,CADENCE DESIGN SYSTEMS INC,7372,CA,DE,0101
816761,TERADATA CORP /DE/,7372,CA,,1231
855612,ZIX CORP,7374,TX,TX,1231
858339,"CAESARS HOLDINGS, INC.",7011,NV,DE,1231
860731,TYLER TECHNOLOGIES INC,7372,TX,DE,1231
876167,PROGRESS SOFTWARE CORP /MA,7372,MA,DE,1130
877890,CITRIX SYSTEMS INC,7372,FL,DE,1231
884650,INFINITE GROUP INC,7370,NY,DE,1231
891482,FULL HOUSE RESORTS INC,7011,NV,DE,1231
892482,Qumu Corp,7372,MN,MN,1231
894081,"Air Transport Services Group, Inc.",4513,OH,DE,1231
896841,"AVID TECHNOLOGY, INC.",7372,MA,DE,1231
903651,INNODATA INC,7374,NJ,DE,1231
906553,BOYD GAMING CORP,7011,NV,NV,1231
907242,MONARCH CASINO & RESORT INC,7011,NV,NV,1231
909494,TUCOWS INC /PA/,7374,A6,PA,1231
910638,3D SYSTEMS CORP,7372,SC,DE,1231
911147,CENTURY CASINOS INC /CO/,7011,CO,DE,1231
921738,PENN NATIONAL GAMING INC,7011,PA,PA,1231
922521,FALCONSTOR SOFTWARE INC,7372,NY,DE,1231
92380,SOUTHWEST AIRLINES CO,4512,TX,TX,1231
935036,"ACI WORLDWIDE, INC.",7372,FL,DE,1231
935494,NATIONAL INSTRUMENTS CORP,7372,TX,DE,1231
945384,CICERO INC,7371,NC,DE,1231
948708,"SMITH MICRO SOFTWARE, INC.",7372,PA,DE,1231
1021435,hopTo Inc.,7372,CA,DE,1231
1023731,8X8 INC /DE/,7374,CA,DE,0331
1036188,QAD INC,7372,CA,DE,0131
1056386,Internap Corp,7370,VA,DE,1231
1068689,"Data443 Risk Mitigation, Inc.",7372,NC,NV,1231
1070235,BLACKBERRY Ltd,7372,A6,,0228
1169561,COMMVAULT SYSTEMS INC,7372,NJ,DE,0331
1207074,VIRTUSA CORP,7371,MA,,0331
1285543,StrikeForce Technologies Inc.,7372,NJ,WY,1231
1290658,"IIOT-OXYS, Inc.",7372,MA,NV,1231
1327688,OOMA INC,7374,CA,DE,0131
1341439,ORACLE CORP,7372,CA,,0531
1353499,Max Sound Corp,7374,CA,DE,1231
1372183,NextPlay Technologies Inc.,4700,FL,NV,0228
1376231,"VPR Brands, LP.",7372,,,1231
1376321,ZW Data Action Technologies Inc.,7370,F4,NV,1231
1386049,"Beyond Commerce, Inc.",7374,NV,NV,1231
1410187,Cannonau Corp.,4700,NY,,1231
1414043,"Friendable, Inc.",7372,CA,NV,1231
1419951,Data Storage Corp,7374,NY,NV,1231
1426506,SMG Industries Inc.,4700,TX,DE,1231
1437283,"REGO PAYMENT ARCHITECTURES, INC.",7372,PA,DE,1231
1437517,"CYBERLOQ TECHNOLOGIES, INC.",7372,FL,,1231
1448056,"NEW RELIC, INC.",7372,CA,DE,0331
1462223,"Recruiter.com Group, Inc.",7371,NY,NV,1231
1463208,"Transportation & Logistics Systems, Inc.",4700,FL,NV,1231
1487931,FISION Corp,7374,MN,,1231
1498067,"CITRINE GLOBAL, CORP.",7372,L3,DE,1231
1505952,"DOMO, INC.",7372,UT,DE,0131
1510247,"LGBTQ Loyalty Holdings, Inc.",7374,CA,DE,1231
1514056,"TRAQIQ, INC.",7371,WA,CA,1231
1517389,"Jubilant Flame International, Ltd",7371,CA,NV,0228
1519177,SOLLENSYS CORP.,7374,FL,NV,1231
1522767,MARIMED INC.,7374,MA,DE,1231
1546296,"Professional Diversity Network, Inc.",7370,IL,DE,1231
1567900,BLACKBOXSTOCKS INC.,7371,TX,NV,1231
1568385,"Bright Mountain Media, Inc.",7371,FL,FL,1231
1591956,Sphere 3D Corp,7374,A6,,1231
1596961,"RumbleOn, Inc.",7371,TX,NV,1231
1619227,"Cloudweb, Inc.",7370,CA,FL,1231
1627611,12 Retech Corp,7371,NV,NV,1231
1630176,HEALTHY EXTRACTS INC.,7374,NV,NV,1231
1635136,DUO WORLD INC,7372,NV,NV,0331
1635748,"Zoompass Holdings, Inc.",7374,A6,NV,1231
1644675,Mimecast Ltd,7372,X0,X0,0331
1653979,JACC STUDIOS INC.,7371,NV,NV,1231
1658520,"OS Support, Inc.",7371,NV,NV,0630
1662574,"Grom Social Enterprises, Inc.",7370,FL,FL,1231
1667489,Liberated Syndication Inc.,7374,PA,NV,1231
1681400,"Celebiddy, Inc.",7370,CA,DE,1231
1688568,DXC Technology Co,7374,VA,NV,0331
1700357,Crank Media Inc,7372,A1,NV,1231
1707753,Elastic N.V.,7372,P7,P7,0430
1710495,MINARO CORP,7372,G4,,0131
1715942,"DATA VISION, INC.",7372,NV,NV,1231
1719489,"Kaleyra, Inc.",7374,L6,DE,1231
1722731,"FDCTECH, INC.",7372,CA,DE,1231
1724670,Perspecta Inc.,7374,VA,NV,0402
1730869,"Everything Blockchain, Inc.",7372,FL,DE,0131
1735092,"Gofba, Inc.",7374,CA,CA,1231
1737193,Luduson G Inc.,7372,K3,DE,1231
1742491,"Kenloc, Inc.",6531,CA,NV,0331
1756497,Change Healthcare Inc.,7374,TN,DE,0331
1773383,"Dynatrace, Inc.",7372,MA,,0331
353184,AIR T INC,4513,NC,DE,0331
712515,ELECTRONIC ARTS INC.,7372,CA,DE,0331
733269,"LiveRamp Holdings, Inc.",7374,CA,DE,0331
746210,"Oblong, Inc.",7370,CO,DE,1231
823546,"ROCKETFUEL BLOCKCHAIN, INC.",7372,NV,NV,0331
842013,Coro Global Inc.,7372,FL,NV,1231
849399,NortonLifeLock Inc.,7372,AZ,DE,0401
866439,"DarkPulse, Inc.",7372,NY,,1231
897078,"Resonate Blends, Inc.",7372,CA,NV,1231
941685,IMAGEWARE SYSTEMS INC,7372,CA,DE,1231
943535,"WORLD HEALTH ENERGY HOLDINGS, INC.",7372,FL,DE,1231
944480,GSE SYSTEMS INC,7372,MD,DE,1231
946581,TAKE TWO INTERACTIVE SOFTWARE INC,7372,NY,DE,0331
1039280,NETSOL TECHNOLOGIES INC,7372,CA,NV,0630
1048911,FEDEX CORP,4513,TN,DE,0531
1066194,EGAIN Corp,7372,CA,DE,0630
1073349,BOTTOMLINE TECHNOLOGIES INC,7372,NH,DE,0630
1080319,"Elys Game Technology, Corp.",7372,CA,DE,1231
1082506,"Forest Investments, Inc.",7372,MA,DE,0630
1236997,COUNTERPATH CORP,7372,A1,NV,0430
1368275,W&E Source Corp.,4700,A8,DE,0630
1528396,"Guidewire Software, Inc.",7372,CA,DE,0731
1538138,Xgains4keeps Inc,7374,X0,NV,0630
1576914,MiX Telematics Ltd,7372,T3,T3,0331
1584480,"Startech Labs, Inc.",7372,NY,NV,0531
1589149,"MassRoots, Inc.",7370,CO,DE,1231
1591698,Paylocity Holding Corp,7372,IL,DE,0630
1602409,"FingerMotion, Inc.",7372,NY,DE,0228
1616156,"WEWARDS, INC.",7370,NV,NV,0531
1618732,"Nutanix, Inc.",7372,CA,DE,0731
1626853,Majesco,7372,NJ,CA,0331
1627452,ME Renewable Power Corp,7372,1R,NV,1231
1631282,DATASEA INC.,7372,F4,NV,0630
1643721,"LEAFBUYER TECHNOLOGIES, INC.",4700,CO,NV,0630
1644488,SHARING SERVICES GLOBAL Corp,7374,TX,NV,0331
1647822,SavMobi Technology Inc.,7372,CA,NV,0531
1677897,UPAY,7372,TX,NV,0228
1686515,Ecco Auto World Corp,7371,K3,NV,0331
1687999,"EMR Technology Solutions, Inc.",7372,NJ,NV,1231
1697935,"MAPTELLIGENT, INC.",4700,NV,NV,1231
1707258,Amesite Inc.,7372,MI,DE,0630
1713683,"Zscaler, Inc.",7371,CA,DE,0731
1721056,HOOPS SCOUTING USA,7374,CA,WY,0630
1740797,TREND INNOVATIONS HOLDING INC.,7374,1Q,NV,0331
1751707,United Express Inc.,4700,NV,NV,0630
1755101,APPlife Digital Solutions Inc,7374,CA,NV,0630
1755953,Akerna Corp.,7374,CO,DE,1231
1760683,East Stone Acquisition Corp,7370,MA,D8,1231
1786352,"Bill.com Holdings, Inc.",7372,CA,DE,0630
50471,PARK CITY GROUP INC,7374,UT,NV,0630
713425,AMERICAN SOFTWARE INC,7372,GA,GA,0430
748268,"Red Cat Holdings, Inc.",7372,PR,NV,0430
789019,MICROSOFT CORP,7372,WA,WA,0630
8670,AUTOMATIC DATA PROCESSING INC,7374,NJ,DE,0630
896878,INTUIT INC,7372,CA,DE,0731
899394,"HARBOR DIVERSIFIED, INC.",4512,WI,DE,1231
98338,TSR INC,7371,NY,DE,0531
1002517,"Nuance Communications, Inc.",7372,MA,DE,0930
1005276,MOHEGAN TRIBAL GAMING AUTHORITY,7011,CT,,0930
1013237,FACTSET RESEARCH SYSTEMS INC,7370,CT,DE,0831
1014052,"Digerati Technologies, Inc.",7374,TX,NV,0731
1023198,"StemGen, Inc.",7372,TX,DE,0630
1082733,"VISIUM TECHNOLOGIES, INC.",7371,FL,FL,0630
1099369,DESTINY MEDIA TECHNOLOGIES INC,7372,A1,NV,0831
1118417,"MODEL N, INC.",7370,CA,DE,0930
1160951,"DUCK CREEK TECHNOLOGIES, INC.",7372,MA,,0831
1378590,"Bridgeline Digital, Inc.",7372,MA,DE,0930
1448558,"GROW CAPITAL, INC.",7371,NV,UT,0630
1482554,Hartford Great Health Corp.,7374,CA,NV,0731
1511820,Globe Net Wireless Corp.,7370,F4,NV,0831
1589361,Fortium Holdings Corp.,4700,AR,NV,1231
1603494,"PeerLogix, Inc.",7374,NY,NV,1231
1627041,VISIBER57 CORP.,7372,F5,DE,0831
1628228,"OPTILEAF, INC.",7372,KS,FL,1231
1651992,"Appsoft Technologies, Inc.",7372,NY,NV,1231
1657249,"Road Marshall, Inc.",7371,U0,DE,0930
1667313,"Zedge, Inc.",7372,NY,DE,0731
1685237,TEMIR CORP.,4700,K3,NV,0831
1699126,Ciclet Holdings Inc.,7372,R6,NV,0131
1715433,Leader Capital Holdings Corp.,7371,K3,NV,0831
1741257,"BANGFU TECHNOLOGY GROUP CO., LTD.",7372,F4,NV,0630
1753391,BIGEON CORP.,7370,2N,NV,0731
1753931,"Shengda Network Technology, Inc.",7371,F4,NV,0630
1768267,Cerence Inc.,7372,MA,DE,0930
1784440,Nowtransit Inc,7374,UT,NV,0831
1787123,Azar International Corp.,4700,G8,NV,0831
216877,PISMO COAST VILLAGE INC,7000,CA,CA,0930
810332,MESA AIR GROUP INC,4512,AZ,NV,0930
836690,INNOVATIVE SOLUTIONS & SUPPORT INC,7371,PA,PA,0930
857005,PTC INC.,7372,MA,MA,0930
883241,SYNOPSYS INC,7372,CA,DE,1031
929940,ASPEN TECHNOLOGY INC /DE/,7371,MA,DE,0630
1016125,ULTIMATE SOFTWARE GROUP INC,7372,FL,DE,1231
1115836,Belmond Ltd.,7011,D0,D0,1231
1122388,ELLIE MAE INC,7372,CA,DE,1231
1162556,DOVER DOWNS GAMING & ENTERTAINMENT INC,7011,DE,DE,1231
1303652,Tableau Software Inc,7372,WA,,1231
1314223,"Amber Road, Inc.",7372,NJ,DE,1231
1340127,Carbonite Inc,7374,MA,DE,1231
1366527,"Carbon Black, Inc.",7372,MA,DE,1231
1378125,Toga Ltd,7371,CA,,0731
1385292,Monotype Imaging Holdings Inc.,7371,MA,DE,1231
1424755,Travelport Worldwide LTD,4700,X0,D0,1231
1453814,"Medidata Solutions, Inc.",7372,NY,DE,1231
