cik,Company Name,SIC,State location,State of Inc,Fiscal Year End
1007587,KVH INDUSTRIES INC \DE\,3663,RI,DE,1231
100790,UNION CARBIDE CORP /NEW/,2860,TX,NY,1231
100826,UNION ELECTRIC CO,4911,MO,MO,1231
1008654,TUPPERWARE BRANDS CORP,3089,FL,DE,1226
1008848,ACORDA THERAPEUTICS INC,2836,NY,,1231
100885,UNION PACIFIC CORP,4011,NE,UT,1231
1009891,AIR INDUSTRIES GROUP,3728,NY,NV,1231
1010086,SIGA TECHNOLOGIES INC,2834,NY,DE,1231
1010612,SYKES ENTERPRISES INC,7373,FL,FL,1231
1011432,"CYNERGISTEK, INC",7389,TX,DE,1231
1011452,"Medical Information Technology, Inc.",7372,MA,MA,1231
1011509,Golden Minerals Co,1040,CO,DE,1231
1011570,KNOLL INC,2590,PA,DE,1231
1011659,MUFG Americas Holdings Corp,6021,NY,DE,1231
101199,UNITED FIRE GROUP INC,6331,IA,,1231
1012019,RUSH ENTERPRISES INC \TX\,5500,TX,TX,1231
1012100,SEALED AIR CORP/DE,2820,NC,DE,1231
1012477,AVADEL PHARMACEUTICALS PLC,2834,L2,,1231
1012771,FBL FINANCIAL GROUP INC,6311,IA,IA,1231
101295,UNITED GUARDIAN INC,2844,NY,DE,1231
1013272,NORWOOD FINANCIAL CORP,6022,PA,PA,1231
1013462,ANSYS INC,7372,PA,DE,1231
1013488,BJs RESTAURANTS INC,5812,CA,CA,1231
1013606,ENDOLOGIX INC /DE/,3841,CA,DE,1231
1013706,"Wilhelmina International, Inc.",8742,TX,DE,1231
101382,UMB FINANCIAL CORP,6021,MO,MO,1231
1013857,PEGASYSTEMS INC,7374,MA,MA,1231
1013871,"NRG ENERGY, INC.",4911,TX,DE,1231
1013880,"TTEC Holdings, Inc.",7363,CO,DE,1231
1013934,"Strategic Education, Inc.",8200,VA,MD,1231
1014473,VERISIGN INC/CA,7371,VA,DE,1231
1014739,"Option Care Health, Inc.",8082,IL,DE,1231
1014763,"Ainos, Inc.",2834,CA,TX,1231
1015328,WINTRUST FINANCIAL CORP,6022,IL,IL,1231
1015739,AWARE INC /MA/,7372,MA,MA,1231
1015780,E TRADE FINANCIAL CORP,6035,VA,DE,1231
101594,US ENERGY CORP,1311,TX,WY,1231
1016169,"ANTARES PHARMA, INC.",3841,NJ,DE,1231
1016281,CARRIAGE SERVICES INC,7200,TX,DE,1231
1017110,GENETHERA INC,2836,CO,NV,1231
1017303,TRANSACT TECHNOLOGIES INC,3577,CT,DE,1231
1017491,"SEELOS THERAPEUTICS, INC.",2834,NY,NV,1231
1017655,PAID INC,7389,MA,DE,1231
1017673,DOVER MOTORSPORTS INC,7900,DE,DE,1231
101778,MARATHON OIL CORP,1311,TX,DE,1231
1018164,WILLIS LEASE FINANCE CORP,5080,FL,DE,1231
1018254,UNITED DOMINION REALTY L P,6798,CO,DE,1231
101829,RAYTHEON TECHNOLOGIES CORP,3724,MA,DE,1231
1018399,ENTERPRISE BANCORP INC /MA/,6022,MA,MA,1231
1018724,AMAZON COM INC,5961,WA,DE,1231
1018840,ABERCROMBIE & FITCH CO /DE/,5651,OH,DE,0201
1018963,ALLEGHENY TECHNOLOGIES INC,3317,PA,DE,1231
1018979,AMERISAFE INC,6331,LA,TX,1231
1019849,"PENSKE AUTOMOTIVE GROUP, INC.",5500,MI,DE,1231
101984,UNIVERSAL ELECTRONICS INC,3651,AZ,DE,1231
1020214,CERUS CORP,3841,CA,DE,1231
1020569,IRON MOUNTAIN INC,6798,MA,DE,1231
1020710,DXP ENTERPRISES INC,5084,TX,TX,1231
1021270,"BBQ HOLDINGS, INC.",5812,MN,MN,0102
1021561,"NU SKIN ENTERPRISES, INC.",5122,UT,DE,1231
1021604,ON TRACK INNOVATIONS LTD,3674,L3,L3,1231
1021635,OGE ENERGY CORP.,4911,OK,OK,1231
1021860,NOV Inc.,3533,TX,DE,1231
1022079,QUEST DIAGNOSTICS INC,8071,NJ,DE,1231
102212,UNIVEST FINANCIAL Corp,6022,PA,PA,1231
1022321,GENESIS ENERGY LP,4610,TX,DE,1231
1022344,SIMON PROPERTY GROUP L P /DE/,6798,IN,DE,1231
1022505,CIPHERLOC Corp,7374,TX,TX,0930
1022652,INSEEGO CORP.,3669,CA,,1231
1022671,STEEL DYNAMICS INC,3312,IN,IN,1231
1023024,ANI PHARMACEUTICALS INC,2834,MN,DE,1231
1023128,LITHIA MOTORS INC,5500,OR,OR,1231
1023313,"FORRESTER RESEARCH, INC.",8700,MA,DE,1231
1023364,"AutoWeb, Inc.",7370,FL,DE,1231
1023458,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,6500,MN,MN,1231
1023994,"SG BLOCKS, INC.",5030,NY,DE,1231
1024095,"Carnegie Development, Inc",3510,NV,NV,1231
1024725,TENNECO INC,3714,IL,DE,1231
1024795,"HELIOS TECHNOLOGIES, INC.",3490,FL,FL,0101
1025378,W. P. Carey Inc.,6798,NY,MD,1231
10254,EARTHSTONE ENERGY INC,1311,TX,DE,1231
1025771,CHASE PACKAGING CORP,0700,NJ,DE,1231
1025835,ENTERPRISE FINANCIAL SERVICES CORP,6022,MO,DE,1231
1025953,"NOVATION COMPANIES, INC.",6531,MO,MD,1231
1025996,KILROY REALTY CORP,6798,CA,MD,1231
1026214,FEDERAL HOME LOAN MORTGAGE CORP,6111,VA,,1231
1026655,CORE MOLDING TECHNOLOGIES INC,3089,OH,DE,1231
102729,VALMONT INDUSTRIES INC,3440,NE,DE,1225
102752,VSE CORP,8711,VA,DE,1231
1027838,TACTILE SYSTEMS TECHNOLOGY INC,3841,MN,DE,1231
1028918,PACIFIC PREMIER BANCORP INC,6022,CA,DE,1231
1028954,SB ONE BANCORP,6022,NJ,NJ,1231
1029125,"Panbela Therapeutics, Inc.",2834,MN,DE,1231
1029142,DYNAVAX TECHNOLOGIES CORP,2834,CA,DE,1231
1029199,"EURONET WORLDWIDE, INC.",6099,KS,DE,1231
1029730,LADENBURG THALMANN FINANCIAL SERVICES INC.,6211,FL,FL,1231
1029800,URSTADT BIDDLE PROPERTIES INC,6798,CT,MD,1031
1029831,HILLMAN COMPANIES INC,5080,OH,DE,1225
1030192,NEW JERSEY MINING CO,1040,ID,ID,1231
1030469,OFG BANCORP,6022,PR,PR,1231
1031029,"Startek, Inc.",7363,CO,DE,1231
1031093,"SILVER BULL RESOURCES, INC.",1000,A1,NV,1031
1031203,GROUP 1 AUTOMOTIVE INC,5500,TX,DE,1231
1031235,"Global Self Storage, Inc.",6798,NY,MD,1231
1031296,FIRSTENERGY CORP,4911,OH,OH,1231
1031316,FRANKLIN STREET PROPERTIES CORP /MA/,6798,MA,MA,1231
103145,VEECO INSTRUMENTS INC,3559,NY,DE,1231
1031623,GULF ISLAND FABRICATION INC,3440,TX,LA,1231
1032033,SLM Corp,6141,DE,DE,1231
1032208,SEMPRA ENERGY,4932,CA,CA,1231
10329,BASSETT FURNITURE INDUSTRIES INC,2511,VA,VA,1127
1033012,FLAGSTAR BANCORP INC,6035,MI,MI,1231
1033128,FIRST INDUSTRIAL LP,6798,IL,DE,1231
1033905,LUMINEX CORP,3841,TX,DE,1231
1034054,SBA COMMUNICATIONS CORP,6798,FL,FL,1231
1034563,ICAHN ENTERPRISES HOLDINGS L.P.,3714,FL,DE,1231
1034594,BAY BANKS OF VIRGINIA INC,6022,VA,VA,1231
1034670,AUTOLIV INC,3714,UT,DE,1231
1034760,WIDEPOINT CORP,7373,VA,DE,1231
1034842,RIGEL PHARMACEUTICALS INC,2834,CA,DE,1231
1035002,VALERO ENERGY CORP/TX,2911,TX,DE,1231
1035092,SHORE BANCSHARES INC,6021,MD,MD,1231
1035201,CALIFORNIA WATER SERVICE GROUP,4941,CA,DE,1231
1035216,SOUTH JERSEY GAS Co,4923,NJ,NJ,1231
1035267,INTUITIVE SURGICAL INC,3842,CA,DE,1231
1035354,"Eloxx Pharmaceuticals, Inc.",8731,MA,DE,1231
1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",6798,CA,MD,1231
1035976,"FNCB Bancorp, Inc.",6021,PA,PA,1231
1035983,COMFORT SYSTEMS USA INC,1731,TX,,1231
1036044,"Identiv, Inc.",3577,CA,DE,1231
1036262,INTEST CORP,3825,NJ,DE,1231
103682,VIRGINIA ELECTRIC & POWER CO,4911,VA,VA,1231
1036848,AEROCENTURY CORP,7359,CA,DE,1231
103730,VISHAY INTERTECHNOLOGY INC,3670,PA,DE,1231
1037390,"INDUS REALTY TRUST, INC.",6500,NY,MD,1231
1037540,BOSTON PROPERTIES INC,6798,MA,DE,1231
1037646,METTLER TOLEDO INTERNATIONAL INC/,3826,OH,DE,1231
1037676,"ARCH RESOURCES, INC.",1221,MO,DE,1231
1037868,AMETEK INC/,3823,PA,DE,1231
1037976,JONES LANG LASALLE INC,6531,IL,MD,1231
1038074,SILICON LABORATORIES INC.,3674,TX,DE,0101
1038133,HESKA CORP,2835,CO,DE,1231
1038277,INTERNATIONAL ISOTOPES INC,3823,ID,TX,1231
1038357,PIONEER NATURAL RESOURCES CO,1311,TX,DE,1231
1038509,PRUCO LIFE INSURANCE OF NEW JERSEY,6311,NJ,NJ,1231
103872,"VOLT INFORMATION SCIENCES, INC.",7363,CA,NY,1031
1038773,SMARTFINANCIAL INC.,6021,TN,TN,1231
1039399,FORMFACTOR INC,3674,CA,DE,1225
1039684,ONEOK INC /NEW/,4923,OK,OK,1231
1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,6311,IA,IA,1231
1040161,"PIXELWORKS, INC",3674,CA,OR,1231
1040765,VORNADO REALTY LP,6798,NJ,DE,1231
1040829,"Ryman Hospitality Properties, Inc.",6798,TN,DE,1231
1040896,"Intellicheck, Inc.",7372,NY,DE,1231
1040971,SL GREEN REALTY CORP,6798,NY,MD,1231
1041024,"ROCKWELL MEDICAL, INC.",2834,MI,DE,1231
1041061,YUM BRANDS INC,5812,KY,NC,1231
1041588,"Access-Power & Co., Inc.",4813,A6,FL,1231
104169,Walmart Inc.,5331,AR,DE,0131
1041859,"Childrens Place, Inc.",5651,NJ,,0201
1042046,AMERICAN FINANCIAL GROUP INC,6331,OH,OH,1231
1042074,"CymaBay Therapeutics, Inc.",2834,CA,DE,1231
1042418,"Inhibitor Therapeutics, Inc.",8731,FL,DE,1231
1042642,DISH DBS CORP,4899,CO,CO,1231
1042729,MERCANTILE BANK CORP,6022,MI,MI,1231
1042773,CENTERPOINT ENERGY RESOURCES CORP,4911,TX,TX,1231
1042776,"Piedmont Office Realty Trust, Inc.",6512,GA,MD,1231
1042893,DRIL-QUIP INC,3533,TX,DE,1231
1043000,CAPITAL SENIOR LIVING CORP,8050,TX,DE,1231
1043121,BOSTON PROPERTIES LTD PARTNERSHIP,6798,MA,DE,1231
1043186,"Stabilis Solutions, Inc.",4924,TX,FL,1231
1043219,ANNALY CAPITAL MANAGEMENT INC,6798,NY,MD,1231
1043277,"C. H. ROBINSON WORLDWIDE, INC.",4731,MN,DE,1231
1043337,STONERIDGE INC,3714,MI,OH,1231
1043509,SONIC AUTOMOTIVE INC,5500,NC,DE,1231
1043565,POTOMAC FUTURES FUND LP,6221,NY,NY,1231
1043604,JUNIPER NETWORKS INC,3576,CA,DE,1231
1043951,CAMPBELL FUND TRUST,6221,MD,DE,1231
1043961,"Precipio, Inc.",3826,NE,DE,1231
1044378,BIOCEPT INC,8071,CA,DE,1231
1044777,OneSpan Inc.,7373,IL,DE,1231
1045309,W R GRACE & CO,2800,MD,DE,1231
1045450,EPR PROPERTIES,6798,MO,MD,1231
1045609,"Prologis, Inc.",6798,CA,MD,1231
1045610,"Prologis, L.P.",6500,CA,DE,1231
10456,BAXTER INTERNATIONAL INC,3841,IL,DE,1231
1045742,LIVE VENTURES Inc,5900,NV,NV,0930
1045810,NVIDIA CORP,3674,CA,DE,0130
1045942,"Track Group, Inc.",3669,IL,DE,0930
1046025,HERITAGE FINANCIAL CORP /WA/,6036,WA,WA,1231
1046102,RITCHIE BROS AUCTIONEERS INC,7389,A1,A6,1231
1046203,GUARANTY FEDERAL BANCSHARES INC,6022,MO,DE,1231
1046257,Ingredion Inc,2040,IL,DE,1231
1046311,CHOICE HOTELS INTERNATIONAL INC /DE,7011,MD,DE,1231
1046327,REALNETWORKS INC,7371,WA,WA,1231
1046568,PERDOCEO EDUCATION Corp,8200,IL,DE,1231
1046995,EMAGIN CORP,3674,NY,,1231
1047122,RAYTHEON CO/,3812,MA,DE,1231
1047127,"AMKOR TECHNOLOGY, INC.",3674,AZ,DE,1231
1047166,UNITED RENTALS NORTH AMERICA INC,7359,CT,DE,1231
1047335,NATIONAL HEALTHCARE CORP,8051,TN,DE,1231
1047340,FRESH DEL MONTE PRODUCE INC,0100,FL,E9,1231
1047862,CONSOLIDATED EDISON INC,4931,NY,NY,1231
1047884,ANWORTH MORTGAGE ASSET CORP,6798,CA,MD,1231
104819,WASHINGTON GAS LIGHT CO,4924,DC,DC,1231
1048286,MARRIOTT INTERNATIONAL INC /MD/,7011,MD,DE,1231
1048477,BIOMARIN PHARMACEUTICAL INC,2834,CA,DE,1231
1048789,FelCor Lodging LP,6798,TX,DE,1231
104889,Graham Holdings Co,8200,VA,DE,1231
104894,WASHINGTON REAL ESTATE INVESTMENT TRUST,6798,DC,MD,1231
104918,AVISTA CORP,4931,WA,WA,1231
1049502,MKS INSTRUMENTS INC,3823,MA,MA,1231
1049606,COMPX INTERNATIONAL INC,3420,TX,DE,1231
1049782,BROOKLINE BANCORP INC,6035,MA,DE,1231
105016,WATSCO INC,5070,FL,FL,1231
1050377,PC CONNECTION INC,5961,NH,DE,1231
1050441,EAGLE BANCORP INC,6022,MD,MD,1231
1050446,MICROSTRATEGY Inc,7372,VA,DE,1231
1050606,"SALEM MEDIA GROUP, INC. /DE/",4832,CA,DE,1231
1050743,PEAPACK GLADSTONE FINANCIAL CORP,6029,NJ,NJ,1231
1050797,COLUMBIA SPORTSWEAR CO,2300,OR,OR,1231
1050915,"QUANTA SERVICES, INC.",1731,TX,DE,1231
1051343,COMMUNITY WEST BANCSHARES /,6022,CA,CA,1231
1051470,CROWN CASTLE INTERNATIONAL CORP,6798,TX,DE,1231
1051512,TELEPHONE & DATA SYSTEMS INC /DE/,4813,IL,DE,1231
1051514,"STRATA Skin Sciences, Inc.",3841,PA,DE,1231
1051627,AXT INC,3674,CA,DE,1231
1052054,EVOLVING SYSTEMS INC,7371,CO,DE,1231
1052100,WADDELL & REED FINANCIAL INC,6211,KS,DE,1231
1052354,MAN AHL DIVERSIFIED I LP,6221,IL,DE,1231
1052595,Red Lion Hotels CORP,7011,CO,WA,1231
1052752,GETTY REALTY CORP /MD/,6500,NY,MD,1231
1053059,ESSEX PORTFOLIO LP,6798,CA,,1231
105319,"WW INTERNATIONAL, INC.",7200,NY,VA,0101
1053352,HERITAGE COMMERCE CORP,6022,CA,CA,1231
1053507,AMERICAN TOWER CORP /MA/,6798,MA,DE,1231
1053584,MACATAWA BANK CORP,6022,MI,MI,1231
1053691,Diffusion Pharmaceuticals Inc.,2834,VA,DE,1231
1053706,"CRA INTERNATIONAL, INC.",8111,MA,MA,0101
105418,WEIS MARKETS INC,5411,PA,PA,1225
1054721,BSQUARE CORP /WA,7389,WA,WA,1231
1054905,INNOSPEC INC.,2800,CO,DE,1231
1055160,"MFA FINANCIAL, INC.",6798,NY,MD,1231
1055726,"INOVIO PHARMACEUTICALS, INC.",3841,CA,DE,1231
1056087,MCCLATCHY CO,2711,CA,DE,0904
1056288,"FEDERATED HERMES, INC.",6282,PA,PA,1231
105634,"EMCOR Group, Inc.",1731,CT,DE,1231
1056358,MANNATECH INC,2833,TX,TX,1231
1056696,MANHATTAN ASSOCIATES INC,7372,GA,GA,1231
1056903,AMERICAN STATES WATER CO,4941,CA,CA,1231
1056943,PEOPLES FINANCIAL SERVICES CORP.,6021,PA,PA,1231
1057083,PC TEL INC,3663,IL,DE,1231
1057352,"COSTAR GROUP, INC.",7389,DC,DE,1231
1057379,"HACKETT GROUP, INC.",8742,FL,FL,1231
105744,"New Concept Energy, Inc.",1311,TX,NV,1231
1057706,FIRST BANCORP /PR/,6022,PR,PR,1231
105770,WEST PHARMACEUTICAL SERVICES INC,3060,PA,PA,1231
1057877,IDACORP INC,4911,ID,ID,1231
1058057,MARVELL TECHNOLOGY GROUP LTD,3674,D0,D0,0130
1058090,CHIPOTLE MEXICAN GRILL INC,5812,CA,,1231
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,7371,NJ,,1231
1058307,ORBSAT CORP,4813,FL,NV,1231
1058623,CUMULUS MEDIA INC,4832,GA,DE,1231
1058811,IMMERSION CORP,3577,CA,DE,1231
1058867,GUARANTY BANCSHARES INC /TX/,6021,TX,TX,1231
1059142,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",6199,NE,DE,1231
1059262,SP Plus Corp,7510,IL,DE,1231
1059556,MOODYS CORP /DE/,7320,NY,DE,1231
1060219,"SALISBURY BANCORP, INC.",6035,CT,CT,1231
1060224,LIFE STORAGE LP,6500,NY,DE,1231
1060349,"GAMCO INVESTORS, INC. ET AL",6211,NY,DE,1231
1060386,"BRANDYWINE OPERATING PARTNERSHIP, L.P.",6798,PA,DE,1231
1060391,"REPUBLIC SERVICES, INC.",4953,AZ,DE,1231
1060736,Seagen Inc.,2836,WA,WA,1231
1060822,CARTERS INC,2300,GA,DE,1228
1061027,"Viracta Therapeutics, Inc.",2834,CA,DE,1231
1061069,AVALON HOLDINGS CORP,4953,OH,OH,1231
1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,4922,TX,DE,1231
1061630,"BLACKSTONE MORTGAGE TRUST, INC.",6798,NY,MD,1231
1061937,HOST HOTELS & RESORTS L.P.,7011,MD,DE,0102
1061983,CYTOKINETICS INC,2834,CA,,1231
1062128,"Artemis Therapeutics, Inc.",2890,NY,DE,1231
1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,3714,MI,DE,1231
1062506,ATLANTICA INC,6770,FL,UT,1231
1062822,"LEXICON PHARMACEUTICALS, INC.",2834,TX,DE,1231
1063197,"CurAegis Technologies, Inc.",3714,NY,NY,1231
1063344,HERSHA HOSPITALITY TRUST,6798,PA,MD,1231
1063537,RiceBran Technologies,2040,TX,CA,1231
1063761,SIMON PROPERTY GROUP INC /DE/,6798,IN,DE,1231
1064728,PEABODY ENERGY CORP,1221,MO,DE,1231
1065059,CENTRUS ENERGY CORP,1400,MD,DE,1231
1065078,NETWORK 1 TECHNOLOGIES INC,6794,NY,DE,1231
1065088,EBAY INC,7389,CA,DE,1231
1065201,AMERINST INSURANCE GROUP LTD,6399,D0,D0,1231
1065280,NETFLIX INC,7841,CA,DE,1231
106532,WEYCO GROUP INC,5130,WI,WI,1231
1065332,NIC INC,7389,KS,DE,1231
106535,WEYERHAEUSER CO,6798,WA,WA,1231
1065696,LKQ CORP,5010,IL,DE,1231
1065837,SKECHERS USA INC,3140,CA,DE,1231
1066247,REGENCY CENTERS LP,6500,FL,DE,1231
106640,WHIRLPOOL CORP /DE/,3630,MI,DE,1231
1066605,HEIDRICK & STRUGGLES INTERNATIONAL INC,7361,IL,DE,1231
1066656,Ceres Classic L.P.,6221,NY,DE,1231
1066684,THEGLOBE COM INC,7310,FL,DE,1231
1066764,"Spine Injury Solutions, Inc",8060,TX,DE,1231
1067063,MACK CALI REALTY L P,6798,NJ,DE,1231
1067701,"UNITED RENTALS, INC.",7359,CT,DE,1231
1067837,"AUDACY, INC.",4832,PA,PA,1231
1067873,AS-IP TECH INC,3728,NY,DE,0630
1067983,BERKSHIRE HATHAWAY INC,6331,NE,DE,1231
1068148,PARK OHIO INDUSTRIES INC/OH,3460,OH,,1231
1068851,PROSPERITY BANCSHARES INC,6022,TX,TX,1231
1068875,"BLUCORA, INC.",6199,TX,DE,1231
1069157,EAST WEST BANCORP INC,6022,CA,,1231
1069183,"AXON ENTERPRISE, INC.",3480,AZ,DE,1231
1069202,LENNOX INTERNATIONAL INC,3585,TX,DE,1231
1069258,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",3760,CA,DE,1226
1069308,Acer Therapeutics Inc.,2834,MA,DE,1231
1069394,FLEXIBLE SOLUTIONS INTERNATIONAL INC,2890,A1,NV,1231
1069530,CASSAVA SCIENCES INC,2834,TX,DE,1231
1069878,TREX CO INC,2400,VA,DE,1231
1069996,FedNat Holding Co,6331,FL,FL,1231
1070050,AppTech Corp.,7372,CA,CA,1231
1070081,"PTC THERAPEUTICS, INC.",2834,NJ,DE,1231
1070154,STERLING BANCORP,6021,NY,DE,1231
1070296,FIRST CAPITAL INC,6035,IN,IN,1231
1070412,CNX Resources Corp,1311,PA,DE,1231
1070423,PLAINS ALL AMERICAN PIPELINE LP,4610,TX,DE,1231
1070494,ACADIA PHARMACEUTICALS INC,2834,CA,DE,1231
1070680,CF BANKSHARES INC.,6021,OH,DE,1231
1070750,"HOST HOTELS & RESORTS, INC.",6798,MD,MD,1231
1070985,"CoreCivic, Inc.",6798,TN,MD,1231
1071236,RED RIVER BANCSHARES INC,6022,LA,,1231
1071255,"GOLDEN ENTERTAINMENT, INC.",7990,NV,MN,1231
1071739,CENTENE CORP,6324,MO,DE,1231
1071993,CONTANGO OIL & GAS CO,1311,TX,TX,1231
1072379,NORTHWEST BIOTHERAPEUTICS INC,2834,MD,DE,1231
1072627,KINGSWAY FINANCIAL SERVICES INC,6331,A6,A6,1231
107263,"WILLIAMS COMPANIES, INC.",4922,OK,DE,1231
1073429,"U.S. CONCRETE, INC.",3272,TX,DE,1231
1073748,YUMMIES INC,6770,UT,NV,0930
1074902,LCNB CORP,6021,OH,OH,1231
1075415,DIVERSIFIED HEALTHCARE TRUST,6798,MA,MD,1231
1075531,Booking Holdings Inc.,4700,CT,DE,1231
1075607,TC PIPELINES LP,4922,TX,DE,1231
1075706,CITIZENS HOLDING CO /MS/,6022,MS,MS,1231
1075736,"Crexendo, Inc.",4813,AZ,DE,1231
1076682,"POLARITYTE, INC.",2836,UT,DE,1231
1076930,NOVANTA INC,3690,MA,A3,1231
1077183,NEOGENOMICS INC,8734,FL,NV,1231
1077428,TEXAS CAPITAL BANCSHARES INC/TX,6022,TX,,1231
1077561,"China Elite Information Co., Ltd.",7389,NY,DE,1130
1077771,UMPQUA HOLDINGS CORP,6035,OR,OR,1231
1078099,"Meet Group, Inc.",7310,PA,DE,1231
107815,WISCONSIN ELECTRIC POWER CO,4911,WI,WI,1231
1078207,"NAUTILUS, INC.",3949,WA,WA,0331
107832,WISCONSIN POWER & LIGHT CO,4931,WI,WI,1231
107833,WISCONSIN PUBLIC SERVICE CORP,4931,WI,WI,1231
1080014,"Innoviva, Inc.",2834,CA,DE,1231
1080340,"MANHATTAN BRIDGE CAPITAL, INC",6798,NY,NY,1231
1080448,PATRIOT GOLD CORP,1040,NV,NV,1231
1080657,"Presidio Property Trust, Inc.",6798,CA,MD,1231
1080709,ARENA PHARMACEUTICALS INC,2834,CA,DE,1231
1081316,BERKSHIRE HATHAWAY ENERGY CO,4900,IA,IA,1231
1081745,"INTELLINETICS, INC.",7372,OH,NV,1231
1082038,DURECT CORP,2834,CA,DE,1231
1082324,VirnetX Holding Corp,6794,NV,DE,1231
1082554,UNITED THERAPEUTICS Corp,2834,MD,DE,1231
1082923,STAMPS.COM INC,7389,CA,DE,1231
1083301,IKONICS CORP,7374,MN,,1231
1083446,"Apollo Medical Holdings, Inc.",8742,CA,DE,1231
1083522,JONES SODA CO,2080,WA,WA,1231
1083643,"FAUQUIER BANKSHARES, INC.",6022,VA,VA,1231
1083848,CAN CAL RESOURCES LTD,1000,A0,NV,1231
1084048,"J2 GLOBAL, INC.",4822,CA,,1231
1084267,"Mobiquity Technologies, Inc.",7310,NY,NY,1231
1084554,LIGHTBRIDGE Corp,8742,VA,NV,1231
1084577,CYREN Ltd.,7372,L3,L3,1231
1084580,Jefferies Group LLC,6211,NY,DE,1130
1084961,ENCORE CAPITAL GROUP INC,6153,CA,DE,1231
1084991,NATURAL GAS SERVICES GROUP INC,1389,TX,,1231
1085243,"VirTra, Inc",3990,AZ,NV,1231
1085392,PUGET ENERGY INC /WA,4911,WA,WA,1231
1085869,PERFICIENT INC,7371,MO,DE,1231
1085913,FARMERS & MERCHANTS BANCORP,6021,CA,DE,1231
1086222,AKAMAI TECHNOLOGIES INC,7389,MA,DE,1231
1086303,Heyu Biological Technology Corp,2833,F4,NV,1231
1086600,ALLIANCE RESOURCE PARTNERS LP,1221,OK,DE,1231
1086745,"AYRO, Inc.",4899,TX,DE,1231
1087022,ALR TECHNOLOGIES INC.,3669,VA,NV,1231
