quarter,d,sessions_after_print,Firm,ToGrade,Action,priceTargetAction,priorPriceTarget,currentPriceTarget,chg_pct
2021Q3,2021-11-17,8,Morgan Stanley,Equal-Weight,main,Raises,140.0,190.0,35.71428571428572
2021Q4,2022-02-16,0,Keybanc,Overweight,main,Raises,194.0,210.0,8.247422680412363
2021Q4,2022-02-16,0,Piper Sandler,Neutral,main,Raises,169.0,194.0,14.792899408284033
2021Q4,2022-02-16,0,Needham,Buy,main,Raises,210.0,220.0,4.761904761904767
2021Q4,2022-02-16,0,Mizuho,Neutral,main,Raises,190.0,205.0,7.8947368421052655
2021Q4,2022-02-16,0,Morgan Stanley,Equal-Weight,main,Raises,160.0,175.0,9.375
2021Q4,2022-02-16,0,Credit Suisse,Neutral,main,Raises,179.0,185.0,3.3519553072625774
2021Q4,2022-02-16,0,Wolfe Research,Peer Perform,main,Raises,150.0,170.0,13.33333333333333
2021Q4,2022-02-16,0,Baird,Outperform,main,Raises,200.0,210.0,5.000000000000004
2021Q4,2022-02-16,0,DA Davidson,Buy,main,Raises,230.0,235.0,2.1739130434782705
2021Q4,2022-02-16,0,Truist Securities,Hold,main,Raises,180.0,190.0,5.555555555555558
2021Q4,2022-02-17,1,Citigroup,Neutral,main,Raises,205.0,214.0,4.390243902439028
2021Q4,2022-03-02,9,Tigress Financial,Buy,main,Raises,206.0,214.0,3.8834951456310662
2022Q1,2022-05-03,-1,Keybanc,Overweight,main,Lowers,210.0,195.0,-7.14285714285714
2022Q1,2022-05-04,0,Piper Sandler,Neutral,main,Lowers,194.0,174.0,-10.309278350515461
2022Q1,2022-05-04,0,Barclays,Equal-Weight,main,Lowers,185.0,170.0,-8.108108108108103
2022Q1,2022-05-04,0,UBS,Neutral,main,Raises,178.0,185.0,3.93258426966292
2022Q1,2022-05-04,0,Stifel,Hold,main,Lowers,205.0,180.0,-12.195121951219512
2022Q1,2022-05-04,0,Credit Suisse,Neutral,main,Raises,185.0,190.0,2.7027027027026973
2022Q1,2022-05-04,0,Mizuho,Neutral,main,Lowers,205.0,175.0,-14.634146341463417
2022Q1,2022-05-05,1,DA Davidson,Buy,main,Lowers,235.0,210.0,-10.63829787234043
2022Q1,2022-05-05,1,Susquehanna,Positive,main,Lowers,235.0,190.0,-19.14893617021277
2022Q1,2022-05-05,1,Morgan Stanley,Equal-Weight,main,Lowers,175.0,145.0,-17.14285714285714
2022Q1,2022-06-03,21,Truist Securities,Hold,main,Lowers,190.0,160.0,-15.789473684210531
2022Q2,2022-08-01,-2,Keybanc,Overweight,main,Lowers,195.0,145.0,-25.64102564102564
2022Q2,2022-08-01,-2,Deutsche Bank,Hold,main,Lowers,155.0,120.0,-22.580645161290324
2022Q2,2022-08-01,-2,UBS,Neutral,main,Lowers,185.0,120.0,-35.13513513513513
2022Q2,2022-08-03,0,Needham,Buy,main,Lowers,220.0,150.0,-31.818181818181824
2022Q2,2022-08-03,0,Piper Sandler,Neutral,main,Lowers,174.0,121.0,-30.45977011494253
2022Q2,2022-08-03,0,Citigroup,Buy,main,Lowers,160.0,140.0,-12.5
2022Q2,2022-08-03,0,Credit Suisse,Neutral,main,Lowers,190.0,165.0,-13.157894736842103
2022Q2,2022-08-03,0,Baird,Outperform,main,Lowers,155.0,140.0,-9.677419354838712
2022Q2,2022-08-03,0,Mizuho,Neutral,main,Lowers,175.0,135.0,-22.857142857142854
2022Q2,2022-08-03,0,Deutsche Bank,Hold,main,Lowers,120.0,110.0,-8.333333333333337
2022Q2,2022-08-03,0,Canaccord Genuity,Buy,main,Lowers,200.0,175.0,-12.5
2022Q2,2022-08-03,0,DA Davidson,Buy,main,Lowers,210.0,140.0,-33.333333333333336
2022Q2,2022-08-03,0,RBC Capital,Sector Perform,main,Lowers,175.0,115.0,-34.285714285714285
2022Q2,2022-08-03,0,Susquehanna,Positive,main,Lowers,190.0,150.0,-21.052631578947366
2022Q2,2022-08-23,14,Morgan Stanley,Equal-Weight,main,Raises,100.0,125.0,25.0
2022Q3,2022-11-02,0,Keybanc,Overweight,main,Lowers,145.0,142.0,-2.0689655172413834
2022Q3,2022-11-02,0,Piper Sandler,Neutral,main,Lowers,121.0,110.0,-9.090909090909093
2022Q3,2022-11-02,0,Goldman Sachs,Sell,main,Lowers,100.0,98.0,-2.0000000000000018
2022Q3,2022-11-02,0,Credit Suisse,Neutral,main,Lowers,165.0,154.0,-6.666666666666665
2022Q3,2022-11-02,0,UBS,Neutral,main,Lowers,120.0,112.0,-6.666666666666665
2022Q3,2022-11-02,0,Baird,Outperform,main,Lowers,140.0,120.0,-14.28571428571429
2022Q3,2022-11-02,0,Mizuho,Neutral,main,Lowers,135.0,125.0,-7.4074074074074066
2022Q3,2022-11-02,0,Morgan Stanley,Equal-Weight,main,Raises,105.0,110.0,4.761904761904767
2022Q3,2022-11-02,0,Wells Fargo,Overweight,main,Lowers,185.0,165.0,-10.81081081081081
2022Q3,2022-11-02,0,Susquehanna,Positive,main,Lowers,150.0,135.0,-9.999999999999998
2022Q3,2022-11-22,14,Barclays,Equal-Weight,main,Raises,101.0,103.0,1.980198019801982
2022Q3,2022-11-22,14,Baird,Neutral,down,Lowers,120.0,100.0,-16.666666666666664
2022Q3,2022-12-07,24,Morgan Stanley,Underweight,down,Lowers,110.0,80.0,-27.27272727272727
2022Q4,2023-02-15,0,Keybanc,Overweight,main,Raises,142.0,144.0,1.4084507042253502
2022Q4,2023-02-15,0,Needham,Buy,main,Raises,150.0,155.0,3.3333333333333437
2022Q4,2023-02-15,0,Credit Suisse,Neutral,main,Raises,154.0,160.0,3.8961038961038863
2022Q4,2023-02-15,0,Piper Sandler,Neutral,main,Raises,110.0,131.0,19.090909090909093
2022Q4,2023-02-15,0,Barclays,Equal-Weight,main,Raises,105.0,128.0,21.904761904761916
2022Q4,2023-02-15,0,UBS,Neutral,main,Raises,114.0,130.0,14.035087719298245
2022Q4,2023-02-15,0,Baird,Neutral,main,Raises,100.0,125.0,25.0
2022Q4,2023-02-15,0,Mizuho,Neutral,main,Raises,110.0,125.0,13.636363636363647
2022Q4,2023-02-15,0,Wells Fargo,Overweight,main,Raises,130.0,165.0,26.923076923076916
2022Q4,2023-02-15,0,Cowen & Co.,Outperform,main,Raises,135.0,145.0,7.407407407407418
2022Q4,2023-02-15,0,Goldman Sachs,Sell,main,Raises,87.0,98.0,12.643678160919535
2022Q4,2023-02-15,0,B of A Securities,Neutral,main,Raises,130.0,145.0,11.538461538461542
2022Q4,2023-02-15,0,Susquehanna,Positive,main,Raises,135.0,155.0,14.814814814814813
2022Q4,2023-02-15,0,RBC Capital,Sector Perform,main,Raises,110.0,135.0,22.72727272727273
2022Q4,2023-02-15,0,Canaccord Genuity,Buy,main,Raises,145.0,165.0,13.793103448275868
2022Q4,2023-02-15,0,DA Davidson,Buy,main,Raises,132.0,145.0,9.84848484848484
2022Q4,2023-02-16,1,Citigroup,Buy,main,Raises,140.0,148.0,5.714285714285716
2022Q4,2023-02-16,1,Goldman Sachs,Sell,main,Raises,87.0,98.0,12.643678160919535
2022Q4,2023-02-16,1,Loop Capital,Buy,main,Raises,135.0,145.0,7.407407407407418
2022Q4,2023-02-16,1,Morgan Stanley,Underweight,main,Raises,80.0,100.0,25.0
2023Q1,2023-05-10,0,Piper Sandler,Neutral,main,Lowers,131.0,117.0,-10.687022900763354
2023Q1,2023-05-10,0,Barclays,Equal-Weight,main,Lowers,128.0,112.0,-12.5
2023Q1,2023-05-10,0,Morgan Stanley,Underweight,main,Lowers,100.0,95.0,-5.000000000000004
2023Q1,2023-05-10,0,DA Davidson,Buy,main,Lowers,145.0,140.0,-3.4482758620689613
2023Q1,2023-05-10,0,Credit Suisse,Neutral,main,Lowers,160.0,150.0,-6.25
2023Q1,2023-05-10,0,B of A Securities,Neutral,main,Lowers,145.0,135.0,-6.896551724137934
2023Q1,2023-05-10,0,Canaccord Genuity,Buy,main,Lowers,165.0,145.0,-12.121212121212121
2023Q1,2023-05-10,0,RBC Capital,Sector Perform,main,Lowers,135.0,105.0,-22.22222222222222
2023Q1,2023-05-10,0,Evercore ISI Group,Outperform,main,Lowers,160.0,145.0,-9.375
2023Q1,2023-05-10,0,Needham,Buy,main,Lowers,155.0,150.0,-3.2258064516129004
2023Q1,2023-05-11,1,Citigroup,Buy,main,Lowers,148.0,135.0,-8.783783783783782
2023Q1,2023-05-15,3,Keybanc,Overweight,main,Lowers,144.0,135.0,-6.25
2023Q1,2023-05-17,5,Argus Research,Buy,main,Lowers,144.0,124.0,-13.888888888888884
2023Q1,2023-06-01,15,Truist Securities,Hold,main,Lowers,130.0,116.0,-10.769230769230765
2023Q2,2023-08-04,0,Barclays,Equal-Weight,main,Raises,136.0,141.0,3.6764705882353033
2023Q2,2023-08-04,0,Mizuho,Neutral,main,Raises,145.0,150.0,3.4482758620689724
2023Q2,2023-08-04,0,Goldman Sachs,Sell,main,Raises,97.0,117.0,20.618556701030922
2023Q2,2023-08-04,0,Credit Suisse,Neutral,main,Raises,150.0,165.0,10.000000000000009
2023Q2,2023-08-04,0,Baird,Neutral,main,Raises,120.0,140.0,16.666666666666675
2023Q2,2023-08-04,0,Wells Fargo,Underweight,main,Raises,99.0,114.0,15.15151515151516
2023Q2,2023-08-04,0,TD Cowen,Outperform,main,Lowers,158.0,145.0,-8.227848101265822
2023Q2,2023-08-04,0,DA Davidson,Buy,reit,Raises,140.0,162.0,15.714285714285726
2023Q2,2023-08-08,2,Deutsche Bank,Hold,main,Raises,102.0,105.0,2.941176470588225
2023Q2,2023-08-14,6,Citigroup,Buy,main,Raises,135.0,160.0,18.518518518518512
2023Q2,2023-08-18,10,Morgan Stanley,Underweight,main,Raises,100.0,110.0,10.000000000000009
2023Q3,2023-10-31,-2,Mizuho,Neutral,main,Lowers,150.0,130.0,-13.33333333333333
2023Q3,2023-11-02,0,Needham,Buy,main,Lowers,160.0,150.0,-6.25
2023Q3,2023-11-02,0,Wedbush,Neutral,main,Lowers,145.0,135.0,-6.896551724137934
2023Q3,2023-11-02,0,Morgan Stanley,Underweight,main,Lowers,110.0,105.0,-4.545454545454541
2023Q3,2023-11-02,0,Piper Sandler,Neutral,main,Lowers,142.0,123.0,-13.38028169014085
2023Q3,2023-11-02,0,JP Morgan,Neutral,main,Lowers,130.0,118.0,-9.230769230769232
2023Q3,2023-11-03,1,Susquehanna,Positive,main,Lowers,165.0,160.0,-3.0303030303030276
2023Q3,2023-11-29,18,Jefferies,Hold,down,Lowers,155.0,140.0,-9.677419354838712
2023Q4,2024-02-14,0,Needham,Buy,main,Raises,150.0,160.0,6.666666666666665
2023Q4,2024-02-14,0,Susquehanna,Positive,main,Raises,160.0,180.0,12.5
2023Q4,2024-02-14,0,RBC Capital,Sector Perform,main,Raises,140.0,150.0,7.14285714285714
2023Q4,2024-02-14,0,BMO Capital,Market Perform,main,Raises,134.0,135.0,0.746268656716409
2023Q4,2024-02-14,0,Piper Sandler,Neutral,main,Raises,136.0,145.0,6.617647058823528
2023Q4,2024-02-14,0,JP Morgan,Neutral,main,Raises,118.0,140.0,18.644067796610166
2023Q4,2024-02-14,0,UBS,Neutral,main,Lowers,148.0,143.0,-3.378378378378377
2023Q4,2024-03-14,20,Truist Securities,Hold,main,Raises,118.0,131.0,11.016949152542367
2023Q4,2024-03-14,20,B of A Securities,Neutral,main,Raises,155.0,168.0,8.387096774193559
2024Q1,2024-05-09,0,Piper Sandler,Neutral,reit,Raises,145.0,155.0,6.896551724137923
2024Q1,2024-05-09,0,BMO Capital,Market Perform,main,Raises,135.0,151.0,11.851851851851848
2024Q1,2024-05-09,0,TD Cowen,Buy,main,Lowers,180.0,170.0,-5.555555555555558
2024Q1,2024-05-09,0,Citigroup,Buy,main,Lowers,170.0,167.0,-1.764705882352946
2024Q1,2024-05-09,0,JP Morgan,Neutral,main,Raises,140.0,145.0,3.571428571428581
2024Q1,2024-05-28,12,Wedbush,Outperform,up,Raises,160.0,165.0,3.125
2024Q1,2024-05-30,14,Truist Securities,Hold,main,Raises,131.0,134.0,2.2900763358778553
2024Q2,2024-08-07,0,Piper Sandler,Neutral,main,Lowers,155.0,125.0,-19.354838709677423
2024Q2,2024-08-07,0,Susquehanna,Positive,main,Lowers,180.0,130.0,-27.77777777777778
2024Q2,2024-08-07,0,Wells Fargo,Underweight,main,Lowers,129.0,100.0,-22.480620155038757
2024Q2,2024-08-07,0,BMO Capital,Market Perform,main,Lowers,151.0,130.0,-13.907284768211925
2024Q2,2024-08-07,0,Wedbush,Outperform,main,Lowers,165.0,135.0,-18.181818181818176
2024Q2,2024-08-07,0,RBC Capital,Sector Perform,main,Lowers,150.0,120.0,-19.999999999999996
2024Q2,2024-08-07,0,Baird,Neutral,main,Lowers,140.0,120.0,-14.28571428571429
2024Q2,2024-08-07,0,UBS,Neutral,main,Lowers,160.0,134.0,-16.249999999999996
2024Q2,2024-08-07,0,Barclays,Underweight,main,Lowers,110.0,100.0,-9.090909090909093
2024Q2,2024-08-07,0,B. Riley Securities,Neutral,main,Lowers,150.0,140.0,-6.666666666666665
2024Q2,2024-08-07,0,B of A Securities,Neutral,main,Lowers,160.0,132.0,-17.500000000000004
2024Q2,2024-08-07,0,Deutsche Bank,Hold,main,Lowers,143.0,90.0,-37.06293706293706
2024Q2,2024-08-07,0,JP Morgan,Neutral,main,Lowers,145.0,121.0,-16.551724137931036
2024Q2,2024-08-07,0,Benchmark,Buy,main,Lowers,190.0,155.0,-18.42105263157895
2024Q2,2024-08-07,0,TD Cowen,Buy,main,Lowers,170.0,125.0,-26.470588235294112
2024Q2,2024-08-08,1,Goldman Sachs,Sell,main,Lowers,130.0,111.0,-14.615384615384619
2024Q2,2024-08-08,1,DA Davidson,Neutral,main,Lowers,145.0,125.0,-13.793103448275868
2024Q2,2024-09-04,19,Truist Securities,Hold,main,Lowers,134.0,124.0,-7.462686567164178
2024Q2,2024-09-04,19,Jefferies,Hold,main,Lowers,125.0,120.0,-4.0000000000000036
2024Q3,2024-11-08,0,Baird,Neutral,main,Raises,120.0,140.0,16.666666666666675
2024Q3,2024-11-08,0,Piper Sandler,Neutral,main,Raises,125.0,145.0,15.999999999999993
2024Q3,2024-11-08,0,Wedbush,Outperform,main,Raises,135.0,155.0,14.814814814814813
2024Q3,2024-11-08,0,JP Morgan,Neutral,main,Raises,121.0,142.0,17.355371900826455
2024Q3,2024-11-08,0,TD Cowen,Buy,main,Raises,150.0,155.0,3.3333333333333437
2024Q3,2024-11-08,0,Barclays,Underweight,main,Raises,100.0,110.0,10.000000000000009
2024Q3,2024-11-11,1,Citigroup,Buy,main,Raises,135.0,158.0,17.037037037037027
2024Q3,2024-11-11,1,Susquehanna,Positive,main,Raises,130.0,160.0,23.076923076923084
2024Q3,2024-11-18,6,DA Davidson,Neutral,main,Raises,125.0,131.0,4.800000000000004
2024Q3,2024-12-04,17,Truist Securities,Hold,main,Lowers,124.0,123.0,-0.8064516129032251
2024Q4,2025-02-14,0,Wedbush,Outperform,main,Raises,155.0,175.0,12.903225806451623
2024Q4,2025-02-14,0,JP Morgan,Neutral,main,Raises,142.0,160.0,12.676056338028175
2024Q4,2025-02-14,0,Baird,Outperform,up,Raises,140.0,175.0,25.0
2024Q4,2025-02-14,0,Goldman Sachs,Neutral,up,Raises,110.0,153.0,39.090909090909086
2024Q4,2025-02-14,0,Barclays,Underweight,main,Raises,110.0,120.0,9.090909090909083
2024Q4,2025-02-14,0,B of A Securities,Neutral,main,Raises,151.0,170.0,12.58278145695364
2024Q4,2025-02-14,0,DA Davidson,Neutral,main,Raises,131.0,170.0,29.77099236641221
2024Q4,2025-02-14,0,Canaccord Genuity,Buy,main,Raises,165.0,190.0,15.15151515151516
2024Q4,2025-02-14,0,Benchmark,Buy,main,Raises,150.0,178.0,18.666666666666675
2024Q4,2025-02-14,0,B. Riley Securities,Neutral,main,Raises,131.0,145.0,10.687022900763354
2024Q4,2025-02-14,0,UBS,Neutral,main,Raises,143.0,160.0,11.888111888111897
2024Q4,2025-02-18,1,Susquehanna,Positive,main,Raises,160.0,200.0,25.0
2024Q4,2025-03-10,15,Jefferies,Buy,up,Raises,165.0,185.0,12.12121212121211
2024Q4,2025-03-14,19,Tigress Financial,Buy,main,Raises,195.0,200.0,2.564102564102555
2024Q4,2025-03-21,24,Truist Securities,Hold,main,Lowers,123.0,112.0,-8.943089430894313
2025Q1,2025-04-28,-4,Canaccord Genuity,Buy,main,Lowers,190.0,180.0,-5.263157894736848
2025Q1,2025-04-28,-4,Piper Sandler,Neutral,main,Lowers,145.0,132.0,-8.965517241379306
2025Q1,2025-04-28,-4,UBS,Neutral,main,Lowers,160.0,138.0,-13.749999999999996
2025Q1,2025-04-30,-2,DA Davidson,Buy,up,Lowers,170.0,155.0,-8.823529411764708
2025Q1,2025-05-02,0,Evercore ISI Group,In-Line,main,Lowers,165.0,145.0,-12.121212121212121
2025Q1,2025-05-02,0,Cantor Fitzgerald,Underweight,main,Lowers,101.0,100.0,-0.990099009900991
2025Q1,2025-05-02,0,Barclays,Underweight,main,Lowers,120.0,103.0,-14.166666666666671
2025Q1,2025-05-02,0,Benchmark,Buy,main,Lowers,178.0,155.0,-12.921348314606739
2025Q1,2025-05-02,0,Wedbush,Neutral,down,Lowers,150.0,135.0,-9.999999999999998
2025Q1,2025-05-02,0,B. Riley Securities,Neutral,main,Lowers,145.0,140.0,-3.4482758620689613
2025Q1,2025-05-02,0,Deutsche Bank,Hold,main,Lowers,122.0,112.0,-8.196721311475407
2025Q1,2025-05-02,0,Wells Fargo,Underweight,main,Raises,100.0,104.0,4.0000000000000036
2025Q1,2025-05-02,0,RBC Capital,Sector Perform,main,Lowers,160.0,140.0,-12.5
2025Q1,2025-05-02,0,B of A Securities,Neutral,main,Lowers,170.0,146.0,-14.117647058823534
2025Q1,2025-05-02,0,TD Cowen,Buy,main,Lowers,175.0,130.0,-25.71428571428571
2025Q1,2025-05-02,0,UBS,Neutral,main,Lowers,138.0,137.0,-0.7246376811594235
2025Q1,2025-05-05,1,Susquehanna,Positive,main,Lowers,200.0,150.0,-25.0
2025Q1,2025-05-05,1,Jefferies,Buy,main,Lowers,170.0,155.0,-8.823529411764708
2025Q1,2025-05-05,1,JMP Securities,Market Perform,main,Raises,180.0,190.0,5.555555555555558
2025Q1,2025-05-05,1,Citigroup,Buy,main,Lowers,170.0,155.0,-8.823529411764708
2025Q1,2025-05-13,7,Morgan Stanley,Underweight,main,Lowers,130.0,125.0,-3.8461538461538436
2025Q1,2025-05-30,19,Truist Securities,Sell,down,Lowers,112.0,106.0,-5.35714285714286
2025Q2,2025-08-04,-3,TD Cowen,Buy,main,Raises,130.0,145.0,11.538461538461542
2025Q2,2025-08-07,0,BMO Capital,Market Perform,main,Raises,121.0,124.0,2.4793388429751984
2025Q2,2025-08-07,0,Wedbush,Neutral,main,Lowers,135.0,130.0,-3.703703703703709
2025Q2,2025-08-07,0,Barclays,Underweight,main,Raises,104.0,105.0,0.9615384615384581
2025Q2,2025-08-07,0,RBC Capital,Sector Perform,main,Raises,140.0,145.0,3.571428571428581
2025Q2,2025-08-07,0,Wells Fargo,Underweight,main,Lowers,111.0,110.0,-0.9009009009009028
2025Q2,2025-08-07,0,Morgan Stanley,Underweight,main,Lowers,130.0,120.0,-7.692307692307687
2025Q2,2025-08-07,0,UBS,Neutral,main,Lowers,156.0,148.0,-5.128205128205132
2025Q2,2025-08-07,0,TD Cowen,Buy,main,Raises,145.0,150.0,3.4482758620689724
2025Q2,2025-08-07,0,JP Morgan,Neutral,main,Raises,120.0,130.0,8.333333333333325
2025Q2,2025-08-07,0,Deutsche Bank,Hold,main,Raises,125.0,135.0,8.000000000000007
2025Q2,2025-08-11,2,Jefferies,Buy,main,Lowers,165.0,160.0,-3.0303030303030276
2025Q2,2025-08-11,2,JMP Securities,Market Perform,main,Raises,180.0,190.0,5.555555555555558
2025Q2,2025-09-03,18,Truist Securities,Sell,main,Lowers,106.0,104.0,-1.8867924528301883
2025Q3,2025-11-07,0,Barclays,Underweight,main,Raises,105.0,107.0,1.904761904761898
2025Q3,2025-11-07,0,UBS,Neutral,main,Raises,145.0,147.0,1.379310344827589
2025Q3,2025-11-07,0,Wells Fargo,Underweight,main,Raises,110.0,111.0,0.9090909090909038
2025Q3,2025-12-01,15,Wells Fargo,Underweight,main,Raises,111.0,118.0,6.3063063063063085
2025Q3,2025-12-04,18,Truist Securities,Sell,main,Raises,104.0,107.0,2.8846153846153744
2025Q3,2025-12-05,19,Jefferies,Buy,main,Raises,160.0,165.0,3.125
2025Q4,2026-02-06,-5,Wedbush,Neutral,main,Lowers,135.0,130.0,-3.703703703703709
2025Q4,2026-02-13,0,BMO Capital,Market Perform,main,Raises,130.0,140.0,7.692307692307687
2025Q4,2026-02-13,0,Benchmark,Buy,main,Lowers,155.0,145.0,-6.451612903225811
2025Q4,2026-02-13,0,Wells Fargo,Equal-Weight,main,Raises,128.0,133.0,3.90625
2025Q4,2026-02-13,0,Barclays,Equal-Weight,main,Raises,120.0,122.0,1.6666666666666607
2025Q4,2026-02-13,0,TD Cowen,Buy,main,Raises,150.0,160.0,6.666666666666665
2025Q4,2026-02-17,1,DA Davidson,Buy,main,Lowers,155.0,150.0,-3.2258064516129004
2025Q4,2026-03-03,11,Mizuho,Outperform,main,Raises,156.0,175.0,12.17948717948718
2026Q1,2026-05-08,0,Susquehanna,Positive,main,Raises,150.0,170.0,13.33333333333333
2026Q1,2026-05-08,0,Evercore ISI Group,Outperform,main,Raises,145.0,155.0,6.896551724137923
2026Q1,2026-05-08,0,Citizens,Market Outperform,main,Raises,160.0,170.0,6.25
2026Q1,2026-05-08,0,Wells Fargo,Overweight,main,Raises,178.0,181.0,1.6853932584269593
2026Q1,2026-05-08,0,RBC Capital,Outperform,main,Raises,170.0,173.0,1.764705882352935
2026Q1,2026-05-08,0,JP Morgan,Neutral,main,Raises,130.0,140.0,7.692307692307687
2026Q1,2026-05-08,0,Citigroup,Buy,main,Raises,155.0,175.0,12.903225806451623
2026Q1,2026-05-08,0,Benchmark,Buy,main,Raises,145.0,160.0,10.344827586206895
2026Q1,2026-05-08,0,UBS,Neutral,main,Raises,153.0,157.0,2.614379084967311
2026Q1,2026-05-11,1,Barclays,Equal-Weight,main,Raises,122.0,125.0,2.4590163934426146
2026Q1,2026-05-11,1,DA Davidson,Buy,main,Raises,150.0,162.0,8.000000000000007
2026Q1,2026-06-12,24,Truist Securities,Hold,main,Raises,129.0,134.0,3.875968992248069
2026Q1,2026-06-12,24,Truist Securities,Hold,main,Raises,129.0,134.0,3.875968992248069
2026Q2,2026-08-07,0,Cantor Fitzgerald,Neutral,main,Raises,140.0,160.0,14.28571428571428
2026Q2,2026-08-07,0,Susquehanna,Positive,main,Raises,170.0,200.0,17.647058823529417
2026Q2,2026-08-07,0,Oppenheimer,Outperform,main,Raises,180.0,190.0,5.555555555555558
2026Q2,2026-08-07,0,Wedbush,Outperform,up,Raises,152.0,200.0,31.578947368421062
2026Q2,2026-08-07,0,Citizens,Market Outperform,main,Raises,170.0,190.0,11.764705882352944
2026Q2,2026-08-07,0,Wells Fargo,Overweight,main,Raises,181.0,186.0,2.7624309392265234
2026Q2,2026-08-07,0,JP Morgan,Neutral,main,Raises,140.0,170.0,21.42857142857142
2026Q2,2026-08-07,0,Canaccord Genuity,Buy,main,Raises,180.0,200.0,11.111111111111116
2026Q2,2026-08-07,0,B. Riley Securities,Buy,main,Raises,180.0,210.0,16.666666666666675
2026Q2,2026-08-07,0,B of A Securities,Neutral,main,Raises,160.0,175.0,9.375
2026Q2,2026-08-07,0,Piper Sandler,Neutral,main,Raises,145.0,170.0,17.24137931034482
2026Q2,2026-08-07,0,Benchmark,Buy,main,Raises,160.0,180.0,12.5
2026Q2,2026-08-07,0,RBC Capital,Outperform,main,Raises,173.0,195.0,12.71676300578035
2026Q2,2026-08-07,0,Citigroup,Buy,main,Raises,175.0,193.0,10.285714285714276
2026Q2,2026-08-07,0,Barclays,Equal-Weight,main,Raises,125.0,150.0,19.999999999999996
2026Q2,2026-08-07,0,Baird,Outperform,main,Raises,160.0,175.0,9.375
2026Q2,2026-08-07,0,UBS,Neutral,main,Raises,163.0,172.0,5.521472392638027
2026Q2,2026-08-08,1,DA Davidson,Buy,main,Raises,162.0,175.0,8.024691358024683
2026Q2,2026-08-10,1,BMO Capital,Market Perform,main,Raises,146.0,165.0,13.013698630136993
2026Q2,2026-08-24,11,Evercore ISI Group,Outperform,main,Raises,190.0,200.0,5.263157894736836
