grade_datetime,Firm,ToGrade,priorPriceTarget,prev_feed_target,currentPriceTarget,chain_break
2023-07-21 13:06:55,Morgan Stanley,Underweight,95.0,95.0,100.0,False
2023-07-24 08:22:06,Keybanc,Overweight,135.0,135.0,160.0,False
2023-07-25 16:18:33,Jefferies,Buy,140.0,138.0,174.0,True
2023-08-04 10:50:08,Barclays,Equal-Weight,136.0,136.0,141.0,False
2023-08-04 10:52:58,Needham,Buy,0.0,160.0,160.0,False
2023-08-04 12:26:22,Mizuho,Neutral,145.0,125.0,150.0,True
2023-08-04 13:11:48,Goldman Sachs,Sell,97.0,98.0,117.0,True
2023-08-04 13:50:23,Credit Suisse,Neutral,150.0,150.0,165.0,False
2023-08-04 15:06:11,Baird,Neutral,120.0,125.0,140.0,True
2023-08-04 15:07:48,Wells Fargo,Underweight,99.0,99.0,114.0,False
2023-08-04 15:48:26,TD Cowen,Outperform,158.0,,145.0,False
2023-08-04 17:01:02,DA Davidson,Buy,140.0,140.0,162.0,False
2023-08-08 17:08:35,Deutsche Bank,Hold,102.0,110.0,105.0,True
2023-08-14 11:33:40,Citigroup,Buy,135.0,135.0,160.0,False
2023-08-18 12:50:43,Morgan Stanley,Underweight,100.0,100.0,110.0,False
2023-08-22 15:35:03,Tigress Financial,Buy,0.0,185.0,185.0,False
2023-09-15 13:27:41,Truist Securities,Hold,116.0,116.0,126.0,False
2023-10-31 16:03:11,Mizuho,Neutral,150.0,150.0,130.0,False
2023-11-02 11:08:52,Needham,Buy,160.0,160.0,150.0,False
2023-11-02 13:25:29,Wedbush,Neutral,145.0,130.0,135.0,True
2023-11-02 16:00:27,Morgan Stanley,Underweight,110.0,110.0,105.0,False
2023-11-02 20:14:41,Piper Sandler,Neutral,142.0,117.0,123.0,True
2023-11-02 21:24:46,JP Morgan,Neutral,130.0,110.0,118.0,True
2023-11-03 14:00:57,Susquehanna,Positive,165.0,155.0,160.0,True
2023-11-17 09:57:01,Evercore ISI Group,In-Line,0.0,145.0,136.0,False
2023-11-29 10:09:49,Jefferies,Hold,155.0,174.0,140.0,True
2023-12-12 10:53:04,Barclays,Underweight,135.0,141.0,100.0,True
2023-12-20 19:29:51,Citigroup,Buy,147.0,160.0,170.0,True
2024-01-08 19:47:42,Jefferies,Hold,140.0,140.0,145.0,False
2024-01-09 10:59:32,BMO Capital,Market Perform,0.0,,134.0,False
2024-01-17 17:01:00,Mizuho,Neutral,130.0,130.0,150.0,False
2024-01-22 11:17:30,Needham,Buy,0.0,150.0,150.0,False
2024-01-29 11:07:55,Barclays,Underweight,100.0,100.0,110.0,False
2024-01-30 17:12:33,Wedbush,Neutral,135.0,135.0,150.0,False
2024-02-05 16:59:54,UBS,Neutral,125.0,130.0,148.0,True
2024-02-14 12:04:59,Needham,Buy,150.0,150.0,160.0,False
2024-02-14 13:31:26,DA Davidson,Neutral,0.0,162.0,145.0,False
2024-02-14 13:38:16,Susquehanna,Positive,160.0,160.0,180.0,False
2024-02-14 14:51:06,RBC Capital,Sector Perform,140.0,105.0,150.0,True
2024-02-14 16:24:34,BMO Capital,Market Perform,134.0,134.0,135.0,False
2024-02-14 17:07:03,Piper Sandler,Neutral,136.0,123.0,145.0,True
2024-02-14 17:37:51,JP Morgan,Neutral,118.0,118.0,140.0,False
2024-02-14 20:01:09,UBS,Neutral,148.0,148.0,143.0,False
2024-03-14 13:16:46,Truist Securities,Hold,118.0,126.0,131.0,True
2024-03-14 15:40:40,B of A Securities,Neutral,155.0,146.0,168.0,True
2024-03-15 08:33:19,DA Davidson,Neutral,145.0,145.0,145.0,False
2024-04-01 16:09:57,Wells Fargo,Underweight,107.0,114.0,127.0,True
2024-04-03 09:55:17,B. Riley Securities,Neutral,0.0,,150.0,False
2024-04-05 18:06:41,Tigress Financial,Buy,185.0,185.0,195.0,False
2024-04-11 09:17:21,Benchmark,Buy,0.0,,190.0,False
2024-04-18 17:06:02,Wedbush,Neutral,160.0,150.0,160.0,True
2024-04-24 09:18:09,Mizuho,Buy,150.0,150.0,200.0,False
2024-04-24 18:48:57,Jefferies,Hold,145.0,145.0,150.0,False
2024-04-29 19:06:08,UBS,Neutral,143.0,143.0,157.0,False
2024-05-09 12:24:15,Piper Sandler,Neutral,145.0,145.0,155.0,False
2024-05-09 13:11:06,Wedbush,Neutral,160.0,160.0,160.0,False
2024-05-09 14:22:59,DA Davidson,Neutral,145.0,145.0,145.0,False
2024-05-09 14:49:40,BMO Capital,Market Perform,135.0,135.0,151.0,False
2024-05-09 15:37:23,HSBC,Hold,0.0,,156.0,False
2024-05-09 16:03:11,TD Cowen,Buy,180.0,145.0,170.0,True
2024-05-09 18:20:22,Citigroup,Buy,170.0,170.0,167.0,False
2024-05-09 19:53:43,JP Morgan,Neutral,140.0,140.0,145.0,False
2024-05-28 11:26:48,Wedbush,Outperform,160.0,160.0,165.0,False
2024-05-30 13:03:53,Truist Securities,Hold,131.0,131.0,134.0,False
2024-07-09 12:49:58,Wells Fargo,Underweight,127.0,127.0,129.0,False
2024-07-18 13:15:24,Benchmark,Buy,190.0,190.0,190.0,False
2024-07-23 17:15:16,Morgan Stanley,Underweight,120.0,105.0,130.0,True
2024-07-31 16:40:12,Wedbush,Outperform,165.0,165.0,165.0,False
2024-08-07 11:11:26,Piper Sandler,Neutral,155.0,155.0,125.0,False
2024-08-07 12:12:59,Susquehanna,Positive,180.0,180.0,130.0,False
2024-08-07 14:21:40,Wells Fargo,Underweight,129.0,129.0,100.0,False
2024-08-07 15:07:09,BMO Capital,Market Perform,151.0,151.0,130.0,False
2024-08-07 15:09:45,Wedbush,Outperform,165.0,165.0,135.0,False
2024-08-07 15:26:02,RBC Capital,Sector Perform,150.0,150.0,120.0,False
2024-08-07 15:57:27,Baird,Neutral,140.0,140.0,120.0,False
2024-08-07 15:59:23,UBS,Neutral,160.0,157.0,134.0,True
2024-08-07 16:30:31,Barclays,Underweight,110.0,110.0,100.0,False
2024-08-07 16:37:36,B. Riley Securities,Neutral,150.0,150.0,140.0,False
2024-08-07 17:14:25,B of A Securities,Neutral,160.0,168.0,132.0,True
2024-08-07 17:31:39,Deutsche Bank,Hold,143.0,105.0,90.0,True
2024-08-07 17:55:50,JP Morgan,Neutral,145.0,145.0,121.0,False
2024-08-07 19:03:36,Benchmark,Buy,190.0,190.0,155.0,False
2024-08-07 21:19:03,TD Cowen,Buy,170.0,170.0,125.0,False
2024-08-08 15:14:35,Goldman Sachs,Sell,130.0,117.0,111.0,True
2024-08-08 21:13:59,DA Davidson,Neutral,145.0,145.0,125.0,False
2024-08-26 13:45:40,Benchmark,Buy,155.0,155.0,155.0,False
2024-09-04 15:29:03,Truist Securities,Hold,134.0,134.0,124.0,False
2024-09-04 19:52:34,Jefferies,Hold,125.0,150.0,120.0,True
2024-09-05 13:23:17,Cantor Fitzgerald,Underweight,0.0,,94.0,False
2024-09-13 11:48:13,Mizuho,Outperform,175.0,200.0,170.0,True
2024-09-17 11:47:07,Bernstein,Outperform,174.0,143.0,155.0,True
2024-09-23 13:56:02,Cantor Fitzgerald,Underweight,94.0,94.0,94.0,False
2024-09-30 15:44:37,Cantor Fitzgerald,Underweight,94.0,94.0,94.0,False
2024-10-08 12:57:15,Wells Fargo,Underweight,100.0,100.0,102.0,False
2024-10-11 17:33:47,B of A Securities,Neutral,132.0,132.0,142.0,False
2024-10-22 13:24:09,Jefferies,Hold,120.0,120.0,135.0,False
2024-10-23 15:10:39,UBS,Neutral,134.0,134.0,144.0,False
2024-11-08 12:44:27,Baird,Neutral,120.0,120.0,140.0,False
2024-11-08 13:35:17,Piper Sandler,Neutral,125.0,125.0,145.0,False
2024-11-08 14:15:04,Benchmark,Buy,155.0,155.0,155.0,False
2024-11-08 15:48:06,Wedbush,Outperform,135.0,135.0,155.0,False
2024-11-08 16:36:32,JP Morgan,Neutral,121.0,121.0,142.0,False
2024-11-08 17:07:25,TD Cowen,Buy,150.0,125.0,155.0,True
2024-11-08 18:16:19,Barclays,Underweight,100.0,100.0,110.0,False
2024-11-11 16:20:50,Citigroup,Buy,135.0,167.0,158.0,True
2024-11-11 16:34:27,Susquehanna,Positive,130.0,130.0,160.0,False
2024-11-12 10:28:53,Phillip Securities,Reduce,0.0,,120.0,False
2024-11-18 15:31:31,DA Davidson,Neutral,125.0,125.0,131.0,False
2024-12-04 13:21:48,Truist Securities,Hold,124.0,124.0,123.0,False
2024-12-18 12:20:32,B of A Securities,Neutral,154.0,142.0,159.0,True
2025-01-13 16:16:02,Morgan Stanley,Underweight,115.0,130.0,125.0,True
2025-01-16 15:03:25,Wells Fargo,Underweight,100.0,102.0,96.0,True
2025-02-04 11:58:56,UBS,Neutral,142.0,144.0,143.0,True
2025-02-14 10:37:21,Wedbush,Outperform,155.0,155.0,175.0,False
2025-02-14 10:45:39,JP Morgan,Neutral,142.0,142.0,160.0,False
2025-02-14 10:59:20,Baird,Outperform,140.0,140.0,175.0,False
2025-02-14 11:43:29,Goldman Sachs,Neutral,110.0,111.0,153.0,True
2025-02-14 11:49:09,Barclays,Underweight,110.0,110.0,120.0,False
2025-02-14 13:12:51,B of A Securities,Neutral,151.0,159.0,170.0,True
2025-02-14 13:38:01,DA Davidson,Neutral,131.0,131.0,170.0,False
2025-02-14 14:12:02,Canaccord Genuity,Buy,165.0,145.0,190.0,True
2025-02-14 17:19:59,Benchmark,Buy,150.0,155.0,178.0,True
2025-02-14 17:36:10,B. Riley Securities,Neutral,131.0,140.0,145.0,True
2025-02-14 22:08:23,UBS,Neutral,143.0,143.0,160.0,False
2025-02-18 15:22:25,Susquehanna,Positive,160.0,160.0,200.0,False
2025-03-10 10:31:20,Jefferies,Buy,165.0,135.0,185.0,True
2025-03-14 12:16:07,Tigress Financial,Buy,195.0,195.0,200.0,False
2025-03-21 12:06:02,Truist Securities,Hold,123.0,123.0,112.0,False
2025-03-25 11:42:01,Baird,Outperform,175.0,175.0,160.0,False
2025-04-07 19:36:24,Wells Fargo,Underweight,134.0,96.0,100.0,True
2025-04-08 16:09:10,JP Morgan,Neutral,160.0,160.0,115.0,False
2025-04-11 17:36:34,Jefferies,Buy,185.0,185.0,170.0,False
2025-04-15 09:38:35,Wedbush,Outperform,175.0,175.0,150.0,False
2025-04-16 16:32:08,Cantor Fitzgerald,Underweight,130.0,94.0,101.0,True
2025-04-17 15:36:14,Morgan Stanley,Underweight,125.0,125.0,130.0,False
2025-04-28 11:49:56,Canaccord Genuity,Buy,190.0,190.0,180.0,False
2025-04-28 16:31:08,Piper Sandler,Neutral,145.0,145.0,132.0,False
2025-04-28 21:35:29,UBS,Neutral,160.0,160.0,138.0,False
2025-04-30 11:00:53,DA Davidson,Buy,170.0,170.0,155.0,False
2025-05-02 13:01:10,Evercore ISI Group,In-Line,165.0,136.0,145.0,True
2025-05-02 13:08:59,DA Davidson,Buy,155.0,155.0,155.0,False
2025-05-02 13:21:15,Cantor Fitzgerald,Underweight,101.0,101.0,100.0,False
2025-05-02 13:30:46,Barclays,Underweight,120.0,120.0,103.0,False
2025-05-02 14:40:18,Benchmark,Buy,178.0,178.0,155.0,False
2025-05-02 15:35:48,Wedbush,Neutral,150.0,150.0,135.0,False
2025-05-02 15:57:14,B. Riley Securities,Neutral,145.0,145.0,140.0,False
2025-05-02 16:12:33,Deutsche Bank,Hold,122.0,90.0,112.0,True
2025-05-02 18:19:25,Wells Fargo,Underweight,100.0,100.0,104.0,False
2025-05-02 18:25:22,RBC Capital,Sector Perform,160.0,120.0,140.0,True
2025-05-02 18:29:17,B of A Securities,Neutral,170.0,170.0,146.0,False
2025-05-02 18:57:40,TD Cowen,Buy,175.0,155.0,130.0,True
2025-05-02 22:20:46,UBS,Neutral,138.0,138.0,137.0,False
2025-05-05 12:38:26,Susquehanna,Positive,200.0,200.0,150.0,False
2025-05-05 17:37:53,Jefferies,Buy,170.0,170.0,155.0,False
2025-05-05 17:48:03,JMP Securities,Market Perform,180.0,205.0,190.0,True
2025-05-05 21:44:53,Citigroup,Buy,170.0,158.0,155.0,True
2025-05-13 18:13:23,Morgan Stanley,Underweight,130.0,130.0,125.0,False
2025-05-14 14:01:58,Cantor Fitzgerald,Underweight,100.0,100.0,100.0,False
2025-05-30 11:48:05,Truist Securities,Sell,112.0,112.0,106.0,False
2025-07-02 16:04:47,Jefferies,Buy,155.0,155.0,165.0,False
2025-07-07 15:11:43,Wells Fargo,Underweight,104.0,104.0,111.0,False
2025-07-16 12:57:08,Barclays,Underweight,103.0,103.0,104.0,False
2025-07-21 15:19:25,Morgan Stanley,Underweight,125.0,125.0,130.0,False
2025-07-23 19:03:59,Cantor Fitzgerald,Underweight,100.0,100.0,130.0,False
2025-07-28 22:05:22,UBS,Neutral,137.0,137.0,156.0,False
2025-07-29 16:08:02,Deutsche Bank,Hold,112.0,112.0,125.0,False
2025-08-04 18:50:22,TD Cowen,Buy,130.0,130.0,145.0,False
2025-08-07 12:17:33,BMO Capital,Market Perform,121.0,130.0,124.0,True
2025-08-07 12:48:47,Wedbush,Neutral,135.0,135.0,130.0,False
2025-08-07 13:03:03,Barclays,Underweight,104.0,104.0,105.0,False
2025-08-07 14:32:24,RBC Capital,Sector Perform,140.0,140.0,145.0,False
2025-08-07 15:06:58,Wells Fargo,Underweight,111.0,111.0,110.0,False
2025-08-07 15:41:53,Morgan Stanley,Underweight,130.0,130.0,120.0,False
2025-08-07 17:12:05,UBS,Neutral,156.0,156.0,148.0,False
2025-08-07 18:37:00,TD Cowen,Buy,145.0,145.0,150.0,False
2025-08-07 19:02:04,JP Morgan,Neutral,120.0,115.0,130.0,True
2025-08-07 19:29:02,Deutsche Bank,Hold,125.0,125.0,135.0,False
2025-08-11 09:45:44,Jefferies,Buy,165.0,165.0,160.0,False
2025-08-11 17:48:03,JMP Securities,Market Perform,180.0,190.0,190.0,True
2025-09-03 12:30:44,Truist Securities,Sell,106.0,106.0,104.0,False
2025-09-30 15:56:21,Mizuho,Outperform,0.0,170.0,151.0,False
2025-10-24 15:06:22,UBS,Neutral,148.0,148.0,145.0,False
2025-11-07 15:02:27,Barclays,Underweight,105.0,105.0,107.0,False
2025-11-07 15:11:09,Wedbush,Neutral,130.0,130.0,130.0,False
