scope,horizon_quarters,window,candidate_sample,scoring,candidate,reference,deleted_unit,deleted_value,n,rmse_ratio
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q1,10,1.104598538021104
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q2,10,1.0980665695908591
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q3,10,1.1993665524897388
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q4,10,1.1095732475032822
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q1,10,1.1295432801246414
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q2,10,1.09737133582774
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q3,10,0.8373173826151724
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q4,10,1.111922461076202
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2026Q1,10,1.245508092262525
common4,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2026Q2,10,0.9840523378750003
common4,2,W1,joint,integer_interval,joint,guide_growth,year,2023,10,1.0436070208866517
common4,2,W1,joint,integer_interval,joint,guide_growth,year,2024,7,1.2798992074034972
common4,2,W1,joint,integer_interval,joint,guide_growth,year,2025,7,0.8939022904476833
common4,2,W1,joint,integer_interval,joint,guide_growth,year,2026,9,1.1465592693308029
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2023Q4,10,1.0436070208866517
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q1,10,1.1070695139009625
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q2,10,1.1007026644989883
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q3,10,1.2027485163485192
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q4,10,1.1120746020260286
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q1,10,1.1320926653352776
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q2,10,1.1000010259800252
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q3,10,0.8376349452431813
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q4,10,1.1142751851628079
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2026Q1,10,1.2502266521111634
common4,2,W1,joint,integer_interval,joint,guide_growth,quarter,2026Q2,10,0.9859530737885399
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2023,10,0.5137336522849331
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2024,7,0.6555788337558366
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2025,7,0.44212714101332856
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2026,9,0.5606691088974718
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2023Q4,10,0.5137336522849331
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q1,10,0.5418214538897327
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q2,10,0.5544216768474888
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q3,10,0.6290214958434879
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q4,10,0.5413159608929207
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q1,10,0.5450656861299206
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q2,10,0.5317468356697095
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q3,10,0.4509336110770153
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q4,10,0.5450860374292809
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2026Q1,10,0.5818302678491882
common4,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2026Q2,10,0.5135040324689332
common4,2,W1,joint,integer_interval,joint,revenue_growth,year,2023,10,0.5126427266959316
common4,2,W1,joint,integer_interval,joint,revenue_growth,year,2024,7,0.6545134424959554
common4,2,W1,joint,integer_interval,joint,revenue_growth,year,2025,7,0.4404359293206168
common4,2,W1,joint,integer_interval,joint,revenue_growth,year,2026,9,0.559487167453757
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2023Q4,10,0.5126427266959316
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q1,10,0.5406301263759808
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q2,10,0.5532590122629216
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q3,10,0.6278519456338496
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q4,10,0.5401338420528015
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q1,10,0.5438154606401195
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q2,10,0.5306537489208656
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q3,10,0.4491469191375435
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q4,10,0.5438014346446971
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2026Q1,10,0.5807160129334814
common4,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2026Q2,10,0.5121802779447853
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2023,10,1.2562159544614573
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2024,7,1.2000411985773494
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2025,7,1.0559996579079542
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2026,9,1.5423298145960538
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2023Q4,10,1.2562159544614573
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q1,10,1.2481611659893916
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q2,10,1.0747377164327365
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q3,10,1.3900740409939136
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q4,10,1.2904157405636725
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q1,10,1.2882617953675959
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q2,10,1.1584082731415057
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q3,10,1.1566868045289345
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q4,10,1.2877484784607698
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2026Q1,10,1.4845754443372359
common4,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2026Q2,10,1.2783451058938626
common4,2,W1,fixed,integer_interval,fixed,guide_growth,year,2023,10,1.2594255396650653
common4,2,W1,fixed,integer_interval,fixed,guide_growth,year,2024,7,1.2022792082414435
common4,2,W1,fixed,integer_interval,fixed,guide_growth,year,2025,7,1.0575859663127274
common4,2,W1,fixed,integer_interval,fixed,guide_growth,year,2026,9,1.5490587975563326
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2023Q4,10,1.2594255396650653
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q1,10,1.2513396211454402
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q2,10,1.0764349774994506
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q3,10,1.394358297953003
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q4,10,1.2935133971314672
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q1,10,1.2916620685544515
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q2,10,1.1609160774769518
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q3,10,1.1591573303194187
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q4,10,1.2909263951233971
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2026Q1,10,1.490374401121952
common4,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2026Q2,10,1.2818602556309027
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2023,10,0.6198205061840709
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2024,7,0.6162900146462662
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2025,7,0.5224061608993503
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2026,9,0.7570146150359125
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2023Q4,10,0.6198205061840709
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q1,10,0.6122409856314288
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q2,10,0.5426427717746621
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q3,10,0.7290402177583439
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q4,10,0.629541707252191
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q1,10,0.6216559487030171
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q2,10,0.5613231488245304
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q3,10,0.6229286152191185
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q4,10,0.6312793741484299
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2026Q1,10,0.6935088850783622
common4,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2026Q2,10,0.6670736316535307
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2023,10,0.6186575308547277
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2024,7,0.6148202130883426
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2025,7,0.5210847571227362
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2026,9,0.7558950871941912
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2023Q4,10,0.6186575308547277
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q1,10,0.6110834857472658
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q2,10,0.5410610618333374
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q3,10,0.7278749949642986
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q4,10,0.6282585355933145
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q1,10,0.6204667023386112
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q2,10,0.5600399037326328
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q3,10,0.6215499325395474
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q4,10,0.6300127966919047
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2026Q1,10,0.6922619019008969
common4,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2026Q2,10,0.6658973529973699
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,year,2023,10,1.0412053230010947
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,year,2024,7,1.2765444688793992
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,year,2025,7,0.8937224416690017
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,year,2026,9,1.1422985310984382
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2023Q4,10,1.0412053230010947
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q1,10,1.104598538021104
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q2,10,1.0980665695908591
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q3,10,1.1993665524897388
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2024Q4,10,1.1095732475032822
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q1,10,1.1295432801246414
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q2,10,1.09737133582774
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q3,10,0.8373173826151724
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2025Q4,10,1.111922461076202
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2026Q1,10,1.245508092262525
candidate_specific,2,W1,joint,raw_midpoint,joint,guide_growth,quarter,2026Q2,10,0.9840523378750003
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,year,2023,10,1.0436070208866517
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,year,2024,7,1.2798992074034972
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,year,2025,7,0.8939022904476833
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,year,2026,9,1.1465592693308029
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2023Q4,10,1.0436070208866517
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q1,10,1.1070695139009625
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q2,10,1.1007026644989883
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q3,10,1.2027485163485192
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2024Q4,10,1.1120746020260286
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q1,10,1.1320926653352776
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q2,10,1.1000010259800252
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q3,10,0.8376349452431813
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2025Q4,10,1.1142751851628079
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2026Q1,10,1.2502266521111634
candidate_specific,2,W1,joint,integer_interval,joint,guide_growth,quarter,2026Q2,10,0.9859530737885399
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2023,10,0.5137336522849331
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2024,7,0.6555788337558366
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2025,7,0.44212714101332856
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,year,2026,9,0.5606691088974718
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2023Q4,10,0.5137336522849331
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q1,10,0.5418214538897327
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q2,10,0.5544216768474888
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q3,10,0.6290214958434879
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2024Q4,10,0.5413159608929207
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q1,10,0.5450656861299206
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q2,10,0.5317468356697095
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q3,10,0.4509336110770153
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2025Q4,10,0.5450860374292809
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2026Q1,10,0.5818302678491882
candidate_specific,2,W1,joint,raw_midpoint,joint,revenue_growth,quarter,2026Q2,10,0.5135040324689332
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,year,2023,10,0.5126427266959316
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,year,2024,7,0.6545134424959554
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,year,2025,7,0.4404359293206168
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,year,2026,9,0.559487167453757
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2023Q4,10,0.5126427266959316
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q1,10,0.5406301263759808
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q2,10,0.5532590122629216
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q3,10,0.6278519456338496
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2024Q4,10,0.5401338420528015
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q1,10,0.5438154606401195
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q2,10,0.5306537489208656
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q3,10,0.4491469191375435
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2025Q4,10,0.5438014346446971
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2026Q1,10,0.5807160129334814
candidate_specific,2,W1,joint,integer_interval,joint,revenue_growth,quarter,2026Q2,10,0.5121802779447853
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2023,10,1.2562159544614573
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2024,10,1.0730172944260008
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2025,10,1.0123003303526428
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,year,2026,12,1.2156053510747686
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2023Q1,13,1.0368290634150923
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2023Q2,13,1.3030015436710167
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2023Q3,13,1.1607925129696892
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2023Q4,13,1.1220016010292135
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q1,13,1.116795267419933
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q2,13,1.0263582362571897
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q3,13,1.1777965549186542
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2024Q4,13,1.1387981569026602
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q1,13,1.135217527287342
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q2,13,1.0685721491132267
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q3,13,1.0653088054834412
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2025Q4,13,1.1374180883041447
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2026Q1,13,1.210736008459795
candidate_specific,2,W1,fixed,raw_midpoint,fixed,guide_growth,quarter,2026Q2,13,1.1263644505837427
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,year,2023,10,1.2594255396650653
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,year,2024,10,1.0735144943463832
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,year,2025,10,1.0127437960388919
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,year,2026,12,1.2171285126720015
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2023Q1,13,1.0374009026621707
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2023Q2,13,1.306321263909767
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2023Q3,13,1.1620976821660687
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2023Q4,13,1.1231296201911638
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q1,13,1.117905969875224
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q2,13,1.0269217506576451
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q3,13,1.1790347904576781
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2024Q4,13,1.139802408805305
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q1,13,1.1363475420058977
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q2,13,1.0694278452389248
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q3,13,1.066096650627673
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2025Q4,13,1.1384697377088835
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2026Q1,13,1.212243956448163
candidate_specific,2,W1,fixed,integer_interval,fixed,guide_growth,quarter,2026Q2,13,1.127496785904339
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2023,10,0.6198205061840709
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2024,10,0.7865820939133028
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2025,10,0.7119610501695144
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,year,2026,12,0.884185192793777
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2023Q1,13,0.6843663286402334
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2023Q2,13,0.720530400546505
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2023Q3,13,0.734738115534935
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2023Q4,13,0.7417985241161988
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q1,13,0.7364656652381671
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q2,13,0.6970245763272519
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q3,13,0.8482301089511414
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2024Q4,13,0.7488462945609544
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q1,13,0.7440741272921839
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q2,13,0.7002442455949061
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q3,13,0.7715091501242258
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2025Q4,13,0.750953765804651
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2026Q1,13,0.8138059108970452
candidate_specific,2,W1,fixed,raw_midpoint,fixed,revenue_growth,quarter,2026Q2,13,0.7965748331835901
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2023,10,0.6186575308547277
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2024,10,0.7855416242178027
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2025,10,0.7109786790786731
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,year,2026,12,0.8834218264346548
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2023Q1,13,0.683133545730541
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2023Q2,13,0.7194158963628408
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2023Q3,13,0.7338092792119525
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2023Q4,13,0.7408461760812063
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q1,13,0.7355168566811748
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q2,13,0.6958161007357221
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q3,13,0.847396815415684
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2024Q4,13,0.7478053654662312
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q1,13,0.7430968819697541
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q2,13,0.6992204545372155
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q3,13,0.770528865838214
candidate_specific,2,W1,fixed,integer_interval,fixed,revenue_growth,quarter,2025Q4,13,0.7499194915650336
