scope,horizon_quarters,window,candidate_sample,scoring,model,n,n_year_clusters,rmse_musd,mae_musd,signed_distance_bias_musd,within_rounding_interval,targets
common4,2,W2,fixed,raw_midpoint,fixed,10,3,77.01234700842336,61.07131187195186,17.217214495547204,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,raw_midpoint,guide_growth,10,3,61.305022225608276,57.7264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,raw_midpoint,revenue_growth,10,3,124.24943389264482,101.0653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,integer_interval,joint,10,3,63.487250120666566,43.55438862246333,-22.98380418077081,1,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,integer_interval,fixed,10,3,76.61644914686312,60.57131187195186,17.117214495547206,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,integer_interval,guide_growth,10,3,60.83444136541704,57.2264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,2,W2,fixed,integer_interval,revenue_growth,10,3,123.8430720159682,100.5653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,joint,raw_midpoint,joint,10,3,63.83111546800376,44.01431526886972,-23.043730827177207,1,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,joint,raw_midpoint,guide_growth,10,3,61.305022225608276,57.7264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,joint,raw_midpoint,revenue_growth,10,3,124.24943389264482,101.0653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,joint,integer_interval,joint,10,3,63.487250120666566,43.55438862246333,-22.98380418077081,1,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,joint,integer_interval,guide_growth,10,3,60.83444136541704,57.2264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,joint,integer_interval,revenue_growth,10,3,123.8430720159682,100.5653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,fixed,raw_midpoint,fixed,10,3,77.01234700842336,61.07131187195186,17.217214495547204,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,fixed,raw_midpoint,guide_growth,10,3,61.305022225608276,57.7264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,fixed,raw_midpoint,revenue_growth,10,3,124.24943389264482,101.0653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,fixed,integer_interval,fixed,10,3,76.61644914686312,60.57131187195186,17.117214495547206,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,fixed,integer_interval,guide_growth,10,3,60.83444136541704,57.2264938399609,-1.5932536257835181,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,2,W2,fixed,integer_interval,revenue_growth,10,3,123.8430720159682,100.5653362904247,-14.620054902488118,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,raw_midpoint,joint,10,3,94.60757388763395,83.83939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,raw_midpoint,fixed,10,3,99.31987530441542,83.66344984849938,16.589407420684257,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,integer_interval,joint,10,3,94.16476858038725,83.33939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,integer_interval,fixed,10,3,98.89906056498278,83.16344984849938,16.489407420684255,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,joint,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,raw_midpoint,joint,10,3,94.60757388763395,83.83939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,raw_midpoint,fixed,10,3,99.31987530441542,83.66344984849938,16.589407420684257,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,integer_interval,joint,10,3,94.16476858038725,83.33939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,integer_interval,fixed,10,3,98.89906056498278,83.16344984849938,16.489407420684255,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W1,fixed,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,joint,raw_midpoint,joint,10,3,94.60757388763395,83.83939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,joint,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,joint,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,joint,integer_interval,joint,10,3,94.16476858038725,83.33939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,joint,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,joint,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,fixed,raw_midpoint,fixed,13,4,137.15259379344033,104.10803055955327,52.51261330738778,0,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,fixed,raw_midpoint,guide_growth,13,4,121.28158760866683,88.06508017228019,30.509415793873288,0,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,fixed,raw_midpoint,revenue_growth,13,4,129.8708565097885,112.54868153392451,29.13482518165798,0,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,fixed,integer_interval,fixed,13,4,136.77344754633074,103.60803055955327,52.32030561508009,0,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,fixed,integer_interval,guide_growth,13,4,120.91901592680304,87.56508017228019,30.24018502464252,0,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W1,fixed,integer_interval,revenue_growth,13,4,129.43778694435466,112.04868153392451,28.942517489350287,0,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,raw_midpoint,joint,10,3,94.60757388763395,83.83939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,raw_midpoint,fixed,10,3,99.31987530441542,83.66344984849938,16.589407420684257,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,integer_interval,joint,10,3,94.16476858038725,83.33939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,integer_interval,fixed,10,3,98.89906056498278,83.16344984849938,16.489407420684255,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,joint,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,raw_midpoint,joint,10,3,94.60757388763395,83.83939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,raw_midpoint,fixed,10,3,99.31987530441542,83.66344984849938,16.589407420684257,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,integer_interval,joint,10,3,94.16476858038725,83.33939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,integer_interval,fixed,10,3,98.89906056498278,83.16344984849938,16.489407420684255,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,3,W2,fixed,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,joint,raw_midpoint,joint,10,3,94.60757388763395,83.83939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,joint,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,joint,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,joint,integer_interval,joint,10,3,94.16476858038725,83.33939510623198,-25.314517940857534,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,joint,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,joint,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,fixed,raw_midpoint,fixed,10,3,99.31987530441542,83.66344984849938,16.589407420684257,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,fixed,raw_midpoint,guide_growth,10,3,98.94641179386434,70.50022848492567,1.062480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,fixed,raw_midpoint,revenue_growth,10,3,124.32976416150036,106.58125013017543,-1.8567631277710461,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,fixed,integer_interval,fixed,10,3,98.89906056498278,83.16344984849938,16.489407420684255,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,fixed,integer_interval,guide_growth,10,3,98.59078140676262,70.00022848492567,0.762480177612133,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
candidate_specific,3,W2,fixed,integer_interval,revenue_growth,10,3,123.90140841138218,106.08125013017543,-1.9567631277710462,0,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,4,W1,joint,raw_midpoint,joint,9,3,131.44142172152175,102.70080735995664,-32.07474305520049,0,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,4,W1,joint,raw_midpoint,fixed,9,3,117.74017065320808,97.9100507596076,8.570505810883787,0,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,4,W1,joint,raw_midpoint,guide_growth,9,3,132.45920533628393,109.49504783073174,15.042158073919634,0,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
common4,4,W1,joint,raw_midpoint,revenue_growth,9,3,149.8363250468446,130.54355272966373,12.914828409559757,0,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1|2026Q2
