method,object,spec_id,target,window,horizon_q,weighting,n,first_quarter,last_quarter,mae,rmse,bias,crps,pinball_mean,cov80,cov90,pit_mean,ratio_seasonal_naive,n_match_seasonal_naive,ratio_seasonal_naive_drift,n_match_seasonal_naive_drift,ratio_trailing4,n_match_trailing4,ratio_pct_rev_last4,n_match_pct_rev_last4,ratio_guide_implied,n_match_guide_implied,ratio_q_guide_implied,n_match_q_guide_implied,ratio_street,n_match_street,beats_seasonal_naive,survives_both_windows,mae_full_sample,hindsight_gap_mae,hindsight_share,n_params,n_obs,param_obs_ratio,conformal_cov_empirical,replays_present,survives_both_windows_eq_and_rw
street-bias,dispersion_conditioned,ew,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.7864711902665442,2.2239157779884047,1.3181429021659092,2.577468075562984,1.2220883423535427,1.0,1.0,0.4272754448088006,0.7985773405619097,14,0.7491557032343238,14,0.1885064273173115,14,,0,0.4078873562104472,14,0.7985773405619097,14,1.1221002949569698,14,True,True,1.7864711902665442,0.0,0.0,5,14,0.3571428571428571,0.875,2,True
street-bias,dispersion_conditioned,ew_usd,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.7864711902665442,2.2239157779884047,1.3181429021659092,2.577468075562984,1.2220883423535427,1.0,1.0,0.4272754448088006,0.7985773405619097,14,0.7491557032343238,14,0.1885064273173115,14,,0,0.4078873562104472,14,0.7985773405619097,14,1.1221002949569698,14,True,True,1.7864711902665442,0.0,0.0,5,14,0.3571428571428571,0.875,2,True
street-bias,street_plus_flowthrough,rw_hl4_from21,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.85810816396419,2.7426958761673244,1.1267001230626787,2.5999730637657934,1.2286808278138903,1.0,1.0,0.4470672012044668,0.8306000590099099,14,0.7791966284395219,14,0.1960654800740215,14,,0,0.4242435202323761,14,0.8306000590099099,14,1.167096189519344,14,True,True,1.85810816396419,0.0,0.0,6,14,0.4285714285714285,0.875,2,True
street-bias,street_plus_flowthrough,ew,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.85897820538736,2.5004594969291603,1.2044704743237264,2.672783129313738,1.2608780309375955,1.0,1.0,0.4210468762811267,0.8309889795643969,14,0.7795614798279847,14,0.1961572858647856,14,,0,0.4244421682138402,14,0.8309889795643969,14,1.167642671177085,14,True,True,1.85897820538736,0.0,0.0,6,14,0.4285714285714285,0.875,2,True
street-bias,street_plus_flowthrough,ew_usd,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.85897820538736,2.5004594969291603,1.2044704743237264,2.672783129313738,1.2608780309375955,1.0,1.0,0.4210468762811267,0.8309889795643969,14,0.7795614798279847,14,0.1961572858647856,14,,0,0.4244421682138402,14,0.8309889795643969,14,1.167642671177085,14,True,True,1.85897820538736,0.0,0.0,6,14,0.4285714285714285,0.875,2,True
guide-policy-margin,actual_given_guide,nov_sentence_pin,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,1.8827388817005588,2.3298375940859675,-1.424079583313518,1.6813753615159526,0.7526080624024918,1.0,1.0,0.5872613812903104,0.8416103306410496,14,0.7895255062672143,14,0.1986644856600289,14,,0,0.4298672092086054,14,0.8416103306410496,14,1.18256698792212,14,True,True,1.879602120171266,0.003136761529292764,0.0016660629680412859,1,14,0.0714285714285714,1.0,2,True
margin-ts,sarima_margin,lines_aicc,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.038262763694964,2.6946196641040774,-0.2932311742506156,1.5186954824721035,0.654153154557042,0.9285714285714286,0.9285714285714286,0.4990623392473026,0.9111316577991028,14,0.8547443599604928,14,0.2150751904712889,14,,0,0.4653764440621598,14,0.9111316577991028,14,1.2802530826151657,14,True,True,2.140006987423968,-0.10174422372900382,-0.04991712822372412,15,14,1.0714285714285714,1.0,2,True
margin-ts,q_sentence_direction,k_fit_median,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.04807543306022,2.448965142559741,-1.6801282767615258,1.789129813378934,0.7936956909771737,0.9285714285714286,1.0,0.5915493363439365,0.9155180567783942,14,0.8588592974187549,14,0.2161106122875312,14,,0,0.4676168741270656,14,0.9155180567783942,14,1.2864165176870883,14,True,True,1.4837651006426775,0.5643103324175425,0.27553200595466054,2,14,0.1428571428571428,1.0,2,True
margin-ts,q_sentence_direction,k_fit_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.0672249488955194,2.64976697498484,-1.823555447357317,1.860414001741205,0.828783908442536,0.9285714285714286,0.9285714285714286,0.6037326527410828,0.9240781553190937,14,0.8668896362679646,14,0.2181312476241862,14,,0,0.4719890943057775,14,0.9240781553190937,14,1.2984445187453466,14,True,True,1.4891382187139988,0.5780867301815207,0.27964384354512645,2,14,0.1428571428571428,1.0,2,True
alt-augmented,margin_aug,ridge_all_eq,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.182563578687451,2.655429041467629,-0.3283704040915738,1.5853502609950572,0.6757288690282941,0.9285714285714286,1.0,0.5149795246746014,0.9756361187193052,14,0.9152568267284864,14,0.2303016498966723,14,,0,0.498323226661837,14,0.9756361187193052,14,1.3708898574749058,14,True,True,2.1720368222767785,0.010526756410672355,0.004823115584565436,37,14,2.642857142857143,1.0,2,True
guide-policy-margin,actual_given_guide,rw_hl4_pin,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.1831543756728604,3.431844185860876,0.8513138104826901,2.2164934078081897,0.9907161323137824,0.9285714285714286,1.0,0.4563777449531682,0.975900213146347,14,0.9155045771167852,14,0.2303639901289672,14,,0,0.498458117513561,14,0.975900213146347,14,1.371260942928284,14,True,True,1.288386671726808,0.8947677039460524,0.40985086254849934,2,14,0.1428571428571428,0.875,2,True
cycle-flex,flex_margin,l0_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.20058721586878,2.580529956732563,0.1851548523070556,1.4959460179437865,0.626847452190044,0.9285714285714286,1.0,0.4746850958692935,0.9836929339234572,14,0.9228150289883308,14,0.2322034837862012,14,,0,0.5024383860661663,14,0.9836929339234572,14,1.382210682970194,14,True,True,2.088180085128326,0.11240713074045372,0.05108051611400278,12,14,0.8571428571428571,1.0,2,True
guide-policy-margin,actual_given_guide,last_pin,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.2093564915494035,3.531518395712839,0.4049047825775644,2.2301339009929344,0.996229379014446,0.9285714285714286,1.0,0.4820792320753987,0.987612921488799,14,0.9264924198833906,14,0.2331288078763524,14,,0,0.504440588336619,14,0.987612921488799,14,1.3877187521074958,14,True,True,1.727918390985881,0.48143810056352243,0.21790874510518393,1,14,0.0714285714285714,0.875,2,True
alt-augmented,margin_aug,none_eq,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.214424705499332,2.689419241386508,-0.2756159907359949,1.6071507282744857,0.6835258844404718,0.9285714285714286,1.0,0.5073116946475149,0.9898784832507712,14,0.9286177725935196,14,0.2336636001023823,14,,0,0.5055977636664024,14,0.9898784832507712,14,1.3909021476187726,14,True,True,2.20179156385443,0.012633141644902146,0.0057049316752693525,10,14,0.7142857142857143,1.0,2,True
driver-lines,margin_v2,b_elastic_eq,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.214424705499332,2.689419241386508,-0.2756159907359949,1.6071507282744857,0.6835258844404718,0.9285714285714286,1.0,0.5073116946475149,0.9898784832507712,14,0.9286177725935196,14,0.2336636001023823,14,,0,0.5055977636664024,14,0.9898784832507712,14,1.3909021476187726,14,True,True,2.20179156385443,0.012633141644902146,0.0057049316752693525,10,14,0.7142857142857143,1.0,2,True
guide-policy-margin,actual_given_guide,nocushion_pin,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.2308267177464747,2.677084092772138,-2.01182490735426,1.7695393530741863,0.7761759045681602,1.0,1.0,0.6497310457920223,0.9972104096717246,14,0.9354959473362277,14,0.2353943219558158,14,,0,0.5093426734351518,14,0.9972104096717246,14,1.4012044143895348,14,True,False,2.222804421217441,0.008022296529033746,0.00359610922050354,1,14,0.0714285714285714,1.0,2,False
baselines-margin,q_guide_implied,q_guide_implied|adj_ebitda_margin_pct|h0|PIT,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.237067218823808,2.8465513645977527,-0.4732602177636393,1.5927671083024326,0.6647572066239028,0.8571428571428572,0.9285714285714286,0.518816391926988,1.0,14,0.938112898003328,14,0.2360528125988036,14,,0,0.5107675055285716,14,1.0,14,1.4051241350867991,14,False,False,,,,1,14,0.0714285714285714,0.875,1,False
baselines-margin,seasonal_naive,seasonal_naive|adj_ebitda_margin_pct|h0|PIT,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.237067218823808,2.8465513645977527,-0.4732602177636393,2.1737079130606567,0.9860668848227896,1.0,1.0,0.5036062135259974,1.0,14,0.938112898003328,14,0.2360528125988036,14,,0,0.5107675055285716,14,1.0,14,1.4051241350867991,14,False,False,,,,1,14,0.0714285714285714,0.875,1,False
margin-ts,pct_rev_seasonal,nodrift,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.23706721882381,2.846551364597756,-0.4732602177636393,2.1737079130606576,0.98606688482279,1.0,1.0,0.5036062135259972,1.0000000000000009,14,0.9381128980033288,14,0.2360528125988038,14,,0,0.5107675055285721,14,1.0000000000000009,14,1.4051241350868005,14,False,False,2.23706721882381,0.0,0.0,2,14,0.1428571428571428,0.875,2,False
driver-lines,margin_v2,c_mix_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.23877194477516,2.6224226617137703,-0.1046247346831856,1.5275820181188535,0.6419309597891113,0.9285714285714286,1.0,0.5048085006241078,1.000762036087699,14,0.9388277738859424,14,0.2362326933606068,14,,0,0.5111567288002085,14,1.000762036087699,14,1.4061948903854324,14,False,False,2.2510321424123427,-0.012260197637182557,-0.005476304840158183,12,14,0.8571428571428571,1.0,2,False
cycle-flex,flex_margin,l0_eq,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.2439281085302105,2.634902919815058,0.1657152485764393,1.574502665224793,0.6652253630486238,1.0,1.0,0.4693439152962992,1.0030669126294782,14,0.9409900082980908,14,0.2367767659509868,14,,0,0.5123339848420043,14,1.0030669126294782,14,1.4094335280426815,14,False,False,2.1343779000872893,0.10955020844292118,0.04882073005212158,12,14,0.8571428571428571,1.0,2,False
alt-augmented,margin_aug,surv_emp_computer_systems_design_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.245140386231271,2.591345820285589,0.1172587382137146,1.5073325279580845,0.6309935653470349,0.9285714285714286,1.0,0.486019909434655,1.0036088175355358,14,0.9414983762799548,14,0.2369046841282227,14,,0,0.512610772259105,14,1.0036088175355358,14,1.4101949717051052,14,False,False,2.1565686479037,0.08857173832757104,0.03945042317654309,11,14,0.7857142857142857,1.0,2,False
alt-augmented,margin_aug,ridge_all_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.248344381140204,2.619504792710161,-0.1521984283571823,1.5261932097879414,0.6409985747768647,0.9285714285714286,1.0,0.51092727551015,1.0050410475919116,14,0.942841969768749,14,0.2372427660613188,14,,0,0.5133423088323431,14,1.0050410475919116,14,1.4122074327243157,14,False,False,2.210026445883169,0.038317935257035085,0.017042734012839657,37,14,2.642857142857143,1.0,2,False
street-bias,dispersion_conditioned,rw_hl4_from21,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.255205633677617,3.2615824041937653,1.9060830806266384,2.703232311108541,1.253998133966837,1.0,1.0,0.4244115703437696,1.0081081224118715,14,0.9457192322164948,14,0.2379667576990213,14,,0,0.5149088709874037,14,1.0081081224118715,14,1.4165170535779583,14,False,False,2.255205633677617,0.0,0.0,5,14,0.3571428571428571,1.0,2,False
alt-augmented,margin_aug,none_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.2590052259941182,2.651173828086596,-0.0812518714189834,1.534477701919626,0.6445933867021543,0.9285714285714286,1.0,0.5023211998146841,1.0098065927504158,14,0.9473125891479592,14,0.2383676863995504,14,,0,0.5157763944454362,14,1.0098065927504158,14,1.418903615243376,14,False,False,2.2144772420108545,0.04452798398326374,0.019711324024789874,10,14,0.7142857142857143,1.0,2,False
driver-lines,margin_v2,b_elastic_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.2590052259941182,2.651173828086596,-0.0812518714189834,1.534477701919626,0.6445933867021543,0.9285714285714286,1.0,0.5023211998146841,1.0098065927504158,14,0.9473125891479592,14,0.2383676863995504,14,,0,0.5157763944454362,14,1.0098065927504158,14,1.418903615243376,14,False,False,2.2144772420108545,0.04452798398326374,0.019711324024789874,10,14,0.7142857142857143,1.0,2,False
margin-ts,per_night_seasonal,oracle_g_k4_rw_nightsknown,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.268579621039502,3.1118014435990133,1.016122330401123,1.7433367574997112,0.7355997320308545,0.9285714285714286,0.9285714285714286,0.4331176780165547,1.0140864798118416,14,0.9513276064022804,14,0.2393779657780051,14,,0,0.5179624216837446,14,1.0140864798118416,14,1.424917387848831,14,False,False,2.123301090562617,0.14527853047688488,0.06403942322743593,7,14,0.5,1.0,2,False
driver-lines,margin_v2,a_unit_eq,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.282771114894818,2.7435226661656644,-0.2963418755613873,1.6650571289725942,0.7090684465744852,0.9285714285714286,1.0,0.5130879999005511,1.020430273925805,14,0.9572788014828671,14,0.240875436221154,14,,0,0.5212026255789207,14,1.020430273925805,14,1.4338312060663831,14,False,False,2.252840465422088,0.029930649472730053,0.013111542054057028,7,14,0.5,1.0,2,False
driver-lines,margin_v2,a_unit_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.3015184310564814,2.683042577778151,-0.0576832416687394,1.5823594861165386,0.6678392831846406,0.9285714285714286,1.0,0.5011035078367194,1.028810583647353,14,0.9651404781219134,14,0.2428536319013743,14,,0,0.5254830154709522,14,1.028810583647353,14,1.4456065815156316,14,False,False,2.252172927449394,0.04934550360708734,0.021440412095433858,7,14,0.5,1.0,2,False
baselines-margin,seasonal_naive_drift,seasonal_naive_drift|adj_ebitda_margin_pct|h0|PIT,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.3846460522876978,3.060067948600376,0.2579990477629065,2.062808510279305,0.9139331920422352,1.0,1.0,0.504293000951656,1.06596978053323,14,1.0,14,0.2516251648401984,14,,0,0.5444627257717969,14,1.06596978053323,14,1.49781986590042,14,False,False,,,,1,14,0.0714285714285714,0.875,1,False
guide-policy-margin,actual_given_guide,nocushion,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.3919445565370965,2.9886351371638864,-2.1496020132905715,2.802111565125433,1.3022029240764776,1.0,1.0,0.5888671210057964,1.0692323129184824,14,1.0030606237107589,14,0.2523952947859319,14,,0,0.5461291212999184,14,1.0692323129184824,14,1.5024041288964405,14,False,False,2.382512159629952,0.00943239690714437,0.003943401146722225,1,14,0.0714285714285714,1.0,2,False
margin-ts,per_night_seasonal,g_k4_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.416456812204779,3.127180754498141,0.4840180347060439,1.839860150135029,0.7803827337241012,0.9285714285714286,1.0,0.4729451434774925,1.080189630365819,14,1.0133398245356222,14,0.2549818003879136,14,,0,0.5517257629997792,14,1.080189630365819,14,1.5178005200975009,14,False,False,2.7589353920797035,-0.34247857987492436,-0.1417275815339097,7,14,0.5,0.875,2,False
alt-augmented,margin_aug,best1_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.4309311660114687,2.732403842349572,-0.4622625732111721,1.6196531973397994,0.6777369011186908,1.0,1.0,0.5421507150474109,1.086659866791839,14,1.0194096367800027,14,0.2565091178944549,14,,0,0.5550305495192777,14,1.086659866791839,14,1.5268920054594195,14,False,False,2.035571861915709,0.3953593040957597,0.16263698027469958,15,14,1.0714285714285714,1.0,2,False
alt-augmented,margin_aug,best1_eq,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.444502228664252,2.8222579545318283,-0.8505440311099972,1.7215266350193277,0.7294901324772137,1.0,1.0,0.5652186257748854,1.0927263195736727,14,1.025100654379769,14,0.2579411211361046,14,,0,0.5581290964740617,14,1.0927263195736727,14,1.5354161246775386,14,False,False,2.1456093603734527,0.2988928682907992,0.12227146483483595,15,14,1.0714285714285714,1.0,2,False
street-bias,street_plus_bias,ew,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.4935528176159187,3.1171694158083767,2.4907789629596544,2.9150469804046786,1.3416397291820883,1.0,1.0,0.3409357987650654,1.1146526115236557,14,1.0456699916634349,14,0.2631168840207606,14,,0,0.5693283339188457,14,1.1146526115236557,14,1.566225286689419,14,False,False,2.4935528176159187,0.0,0.0,3,14,0.2142857142857142,1.0,2,False
street-bias,street_plus_bias,ew_usd,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.4935528176159187,3.1171694158083767,2.4907789629596544,2.9150469804046786,1.3416397291820883,1.0,1.0,0.3409357987650654,1.1146526115236557,14,1.0456699916634349,14,0.2631168840207606,14,,0,0.5693283339188457,14,1.1146526115236557,14,1.566225286689419,14,False,False,2.4935528176159187,0.0,0.0,3,14,0.2142857142857142,1.0,2,False
margin-ts,q_sentence_direction,k_fit_ew,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.5291903808307423,3.06453122688415,-2.1049624379795566,2.105494438648876,0.9239613843788697,0.9285714285714286,0.9285714285714286,0.6158829726834878,1.1305830953799076,14,1.0606145840404184,14,0.2668773195410887,14,,0,0.5774651074199667,14,1.1305830953799076,14,1.5886095940394491,14,False,False,1.824721359352857,0.7044690214778853,0.27853538698280755,2,14,0.1428571428571428,0.875,2,False
margin-ts,per_night_seasonal,g_k4_ew,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.538860260929526,3.262203511157477,0.589145210472706,1.92564742005596,0.8205755401126521,1.0,1.0,0.4684725736453158,1.1349056655813825,14,1.0646696428989466,14,0.2678976743948026,14,,0,0.5796729358192461,14,1.1349056655813825,14,1.5946833417551485,14,False,False,2.801956846015936,-0.26309658508641,-0.10362783219509891,7,14,0.5,1.0,2,False
driver-lines,margin_v2,d_steps_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.559871562897136,2.9599355772078275,0.3533884657164345,1.691198989510074,0.6976914136120768,0.9285714285714286,1.0,0.4724313431137006,1.1442980082838328,14,1.0734807207305828,14,0.2701147633066079,14,,0,0.5844702392724461,14,1.1442980082838328,14,1.6078807491713678,14,False,False,2.1232511722985925,0.4366203905985433,0.17056339736998288,14,14,1.0,1.0,2,False
margin-ts,incremental_margin,k8_median,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.58910116604712,3.2433969122774613,1.284363145135001,1.812489672436815,0.7546179901433687,0.9285714285714286,0.9285714285714286,0.4002521683965616,1.1573640453273468,14,1.0857381386068925,14,0.2731990381002495,14,,0,0.5911439464203057,14,1.1573640453273468,14,1.6262401531711477,14,False,False,2.3292915720754794,0.2598095939716405,0.10034740912356924,3,14,0.2142857142857142,0.875,2,False
margin-ts,incremental_margin,k8_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.637579815902624,3.3288472100647177,0.9341909243937192,1.871123244151066,0.7836281050768464,0.8571428571428572,0.9285714285714286,0.4299576608738685,1.1790346725877083,14,1.1060676335476602,14,0.2783144506158381,14,,0,0.60221259864932,14,1.1790346725877083,14,1.6566900745571511,14,False,False,2.277672745254925,0.359907070647699,0.13645352776728495,3,14,0.2142857142857142,1.0,2,False
margin-ts,incremental_margin,k8_ew,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.6415949737657014,3.3354878167391515,1.2953912997845318,1.8707900681118024,0.7812714153909184,0.9285714285714286,0.9285714285714286,0.3964971923035086,1.1808295037082457,14,1.107751387771574,14,0.2787381255499808,14,,0,0.6031293400636019,14,1.1808295037082457,14,1.659212035083023,14,False,False,2.323463320366766,0.31813165339893557,0.1204316545717173,3,14,0.2142857142857142,1.0,2,False
margin-ts,per_night_seasonal,g_k8_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.6538511604083728,3.6123987029871967,1.539045392957051,1.9438443530792375,0.8193206014833223,0.9285714285714286,0.9285714285714286,0.4063285367530315,1.1863081887202742,14,1.1128910128454557,14,0.2800313845564131,14,,0,0.6059276743407725,14,1.1863081887202742,14,1.6669102676219631,14,False,False,2.636539609308919,0.017311551099453926,0.006523180861729275,7,14,0.5,0.875,2,False
margin-ts,per_night_seasonal,nogrowth,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.714047297980664,3.071844234654737,1.2712773316244002,1.9153784909520368,0.7889523204805433,0.9285714285714286,1.0,0.3727809697477378,1.213216695119085,14,1.1381342297641852,14,0.2863832131746853,14,,0,0.6196716650315928,14,1.213216695119085,14,1.7047200594020695,14,False,False,2.771314874095883,-0.05726757611521904,-0.021100434085223167,2,14,0.1428571428571428,1.0,2,False
cycle-flex,flex_margin,dl_rw,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.71584479982453,3.344033653374588,0.6784874788155192,2.365300870576012,1.0553637553354782,1.0,1.0,0.459916035672483,1.214020203314432,14,1.1388880111658914,14,0.2865728835441432,14,,0,0.6200820709082019,14,1.214020203314432,14,1.7058490881600916,14,False,False,2.081960084375252,0.6338847154492777,0.23340240778494886,22,14,1.5714285714285714,1.0,2,False
margin-ts,incremental_margin,oracle_k4_rw_revknown,adj_ebitda_margin_pct,W1,0,equal,14,2023Q1,2026Q2,2.769528176049901,3.439521254475322,0.5944775475483951,1.9564279678339969,0.8083625404565112,0.8571428571428572,0.8571428571428572,0.4542136017425355,1.2380174152773329,14,1.1614001052244085,14,0.2922374929225155,14,,0,0.6323390670021332,14,1.2380174152773329,14,1.7395681498639572,14,False,False,2.210595181644265,0.558932994405636,0.20181524031390294,3,14,0.2142857142857142,1.0,2,False
