method,lines_object,margin_object,spec_id,window,weighting,n_lines,mean_line_mae_ratio_naive,best_line_mae_ratio_naive,worst_line_mae_ratio_naive,margin_mae,margin_mae_ratio_naive,margin_mae_ratio_street,margin_survives_both,n_params,line_win_margin_loss
alt-augmented,lines_aug,margin_aug,none_eq,W1,recency,5,0.6125758247272337,0.2781248035853689,1.1767059226012668,1.6272922126171798,0.8507856925952761,1.301752936805174,True,10,False
driver-lines,lines_v2,margin_v2,b_elastic_eq,W1,recency,5,0.6125758247272337,0.2781248035853689,1.1767059226012668,1.6272922126171798,0.8507856925952761,1.301752936805174,True,10,False
cycle-flex,flex_lines,flex_margin,l0_eq,W1,recency,5,0.6193278763378917,0.266875571826487,1.1562200385410468,1.65971315105709,0.8677361028235814,1.3276880770958386,True,12,False
margin-ts,sarima_margin,sarima_margin,lines_aicc,W1,recency,5,0.6286619482268759,0.2889525021219339,1.1550119324452404,1.5871455940050685,0.8297961195754863,1.269637636138269,True,15,False
margin-ts,per_night_seasonal,per_night_seasonal,nogrowth,W1,recency,5,0.6824597077853236,0.3804578596936348,1.0477057663914642,3.1412043135060066,1.6422936622742752,2.512807416213868,False,2,True
cycle-flex,flex_lines,flex_margin,dl_rw,W1,recency,5,0.6967675133223233,0.3772910463598586,1.4098403954818794,2.1278763566199084,1.1125025645592947,1.7021953862443104,False,22,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_rw,W1,recency,5,0.7150706732084907,0.2857672750277608,1.242614486423106,2.7486654110381847,1.4370653207279491,2.198795793018092,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_ew,W1,recency,5,0.7328097584832305,0.2884269687722496,1.2618671483043942,2.833712068881499,1.4815296640924185,2.266828894728168,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,nodrift,W1,recency,5,0.7957598922772381,0.277973093141208,1.4289370242984163,1.9126934394644224,1.0,1.5300597414070825,True,2,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k8_rw,W1,recency,5,0.8308462391038318,0.3101471085674395,1.5415048281314605,3.470438146583485,1.814424661567956,2.7761781284813005,False,7,True
alt-augmented,lines_aug,margin_aug,best1_rw,W2,equal,5,0.5488106721584718,0.2638519935158114,0.9554145865751348,2.15654731155454,1.1009215289037533,1.6447404011802331,False,15,True
alt-augmented,lines_aug,margin_aug,surv_emp_computer_systems_design_rw,W2,equal,5,0.5736044333617993,0.2919556001292508,1.0204047243534853,1.9079994200381911,0.974037354711101,1.4551796358704194,False,11,False
cycle-flex,flex_lines,flex_margin,l0_rw,W2,equal,5,0.5878709868254479,0.3050872343950446,1.065995245605646,1.773200612961359,0.9052223057732444,1.3523722256910673,True,12,False
alt-augmented,lines_aug,margin_aug,ridge_all_rw,W2,equal,5,0.5897590075915542,0.294914501925808,1.0317209913893062,1.9038919206360048,0.9719404684069624,1.4520469569913603,False,37,False
alt-augmented,lines_aug,margin_aug,best1_eq,W2,equal,5,0.5913444845640204,0.2709425759239729,1.175747705453927,2.125149007265444,1.0848926344863992,1.6207937623487387,False,15,True
driver-lines,lines_v2,margin_v2,a_unit_rw,W2,equal,5,0.5920174002655523,0.2900161648041534,1.02234354362145,1.9280735842760064,0.9842852539645748,1.4704896588710563,False,7,False
alt-augmented,lines_aug,margin_aug,none_rw,W2,equal,5,0.5926794296349754,0.2919556001292508,1.0204047243534853,1.910475708182948,0.975301504547149,1.457068233971107,False,10,False
driver-lines,lines_v2,margin_v2,b_elastic_rw,W2,equal,5,0.5926794296349754,0.2919556001292508,1.0204047243534853,1.910475708182948,0.975301504547149,1.457068233971107,False,10,False
driver-lines,lines_v2,margin_v2,a_unit_eq,W2,equal,5,0.5964775171213645,0.277327691647353,1.024405682595765,1.9012120870175653,0.9705724082171338,1.4500031202542425,False,7,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_rw,W2,equal,5,0.5978586280882572,0.3366689309226503,0.9873169984303888,2.0545377798493214,1.048845467782372,1.5669404859165583,False,7,True
driver-lines,lines_v2,margin_v2,c_mix_rw,W2,equal,5,0.6011280635304753,0.2919556001292508,1.0626058494023924,1.882149114476405,0.9608407242596247,1.43546430585539,False,12,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k8_rw,W2,equal,5,0.6034621712025182,0.3542923853839005,0.9194481046748904,1.9317777852700573,0.986176255659686,1.473314752944516,False,7,False
driver-lines,lines_v2,margin_v2,d_steps_rw,W2,equal,5,0.6057612693992744,0.2831450432086929,1.0958064147215658,1.9075946760114093,0.9738307321109888,1.4548709485305142,False,14,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_ew,W2,equal,5,0.61411364372349,0.342788830543922,1.0194085300337723,2.200732405938626,1.1234781041309485,1.6784391795349187,False,7,True
alt-augmented,lines_aug,margin_aug,ridge_all_eq,W2,equal,5,0.6346189612623018,0.3050565965336406,1.1647431697980817,1.8028902563367164,0.9203789255247696,1.3750157149826998,True,37,False
cycle-flex,flex_lines,flex_margin,l0_eq,W2,equal,5,0.6382167735701371,0.3317981144645548,1.1957617249398704,1.8050986237216289,0.9215063013002754,1.3766999771545303,False,12,False
alt-augmented,lines_aug,margin_aug,none_eq,W2,equal,5,0.6451529801662892,0.3178313700376942,1.158856321764527,1.842325612675284,0.9405107503915396,1.4050919963874542,True,10,False
driver-lines,lines_v2,margin_v2,b_elastic_eq,W2,equal,5,0.6451529801662892,0.3178313700376942,1.158856321764527,1.842325612675284,0.9405107503915396,1.4050919963874542,True,10,False
margin-ts,sarima_margin,sarima_margin,lines_aicc,W2,equal,5,0.666452652574751,0.3118161885307802,1.2969301300820797,1.4870532006156552,0.7591435042539774,1.1341353211462282,True,14,False
margin-ts,per_night_seasonal,per_night_seasonal,nogrowth,W2,equal,5,0.693321571767612,0.399389982639429,1.1170353022836312,3.03544103582654,1.5495984568270078,2.315048911876388,False,2,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k8_rw,W2,equal,5,0.7156865742924607,0.3323518748379124,1.1268884913896662,2.7665163775143133,1.4123119041959882,2.109947336766092,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_rw,W2,equal,5,0.7200422666672576,0.3006043551725421,1.3447626143237312,2.7532576245131684,1.4055432854194982,2.099835243878813,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_ew,W2,equal,5,0.730934066671701,0.3098736868140915,1.3684563427229934,2.870118744572398,1.4652011108127525,2.188962064541995,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,nodrift,W2,equal,5,0.7567555886942047,0.3403048159888598,1.5228942542853652,1.9588565169598684,1.0,1.4939669703961458,False,2,True
cycle-flex,flex_lines,flex_margin,dl_rw,W2,equal,5,0.7813295406262019,0.4235989831210129,1.2521529532195257,2.6052801986833782,1.3300005263921806,1.9869768570394049,False,22,True
alt-augmented,lines_aug,margin_aug,best1_rw,W2,recency,5,0.5260559259442189,0.2150960777837848,1.0632777371120892,1.913119452744093,1.090111248031722,1.7137443301615702,False,15,True
alt-augmented,lines_aug,margin_aug,surv_emp_computer_systems_design_rw,W2,recency,5,0.5543501247967362,0.2425176243754712,1.0632777371120892,1.5068174131803986,0.8585969937642655,1.3497849257257286,True,11,False
alt-augmented,lines_aug,margin_aug,best1_eq,W2,recency,5,0.5715496460954526,0.2168000019417665,1.0661877365422483,1.909921209845109,1.088288862841336,1.7108793911078422,False,15,True
alt-augmented,lines_aug,margin_aug,ridge_all_rw,W2,recency,5,0.5715555347507972,0.244888572329887,1.1752223559840216,1.5211772577626128,0.8667793516806026,1.3626482637674138,True,37,False
alt-augmented,lines_aug,margin_aug,none_rw,W2,recency,5,0.576947803142502,0.2425176243754712,1.1762661288409182,1.4827067396500275,0.8448585330657562,1.3281869382086484,True,10,False
driver-lines,lines_v2,margin_v2,b_elastic_rw,W2,recency,5,0.576947803142502,0.2425176243754712,1.1762661288409182,1.4827067396500275,0.8448585330657562,1.3281869382086484,True,10,False
driver-lines,lines_v2,margin_v2,a_unit_rw,W2,recency,5,0.5797552919851635,0.2425176243754712,1.1762661288409182,1.5160547063984506,0.863860479650587,1.3580595574303878,True,7,False
driver-lines,lines_v2,margin_v2,a_unit_eq,W2,recency,5,0.5818330031637239,0.2452974841901981,1.2617747095469032,1.4878100313853837,0.8477664308003799,1.3327583920528308,True,7,False
cycle-flex,flex_lines,flex_margin,l0_rw,W2,recency,5,0.5870106148013519,0.2529503178972228,1.161179301534398,1.34900175349746,0.7686723288463714,1.2084159737742892,True,12,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_rw,W2,recency,5,0.5879523776193206,0.2780493966565937,1.176218079211461,1.6346562869316492,0.9314406387400436,1.464301112757962,True,7,False
driver-lines,lines_v2,margin_v2,c_mix_rw,W2,recency,5,0.5881262755633456,0.2425176243754712,1.1762661288409182,1.492022903580692,0.8501669601348334,1.3365322211402144,True,12,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k8_rw,W2,recency,5,0.5886454963793835,0.3036465217707655,1.15180645426244,1.6134838991369045,0.9193764374955078,1.4453351984826242,True,7,False
driver-lines,lines_v2,margin_v2,d_steps_rw,W2,recency,5,0.5984166756105294,0.2464328705724576,1.1762661288409182,1.474356639553983,0.8401005771399868,1.3207070410828563,True,14,False
margin-ts,per_night_seasonal,per_night_seasonal,g_k4_ew,W2,recency,5,0.6025809058762792,0.2782520393601365,1.201993579821405,1.7540668285986136,0.9994817505577124,1.5712673235974142,True,7,False
alt-augmented,lines_aug,margin_aug,ridge_all_eq,W2,recency,5,0.6223224174790867,0.2522967892803834,1.2514987171562373,1.3837801623589048,0.7884893531488147,1.2395699620487026,True,37,False
alt-augmented,lines_aug,margin_aug,none_eq,W2,recency,5,0.6338112854199753,0.2603300173793176,1.2617747095469032,1.4323986517551264,0.816192569525143,1.2831216913588015,True,10,False
driver-lines,lines_v2,margin_v2,b_elastic_eq,W2,recency,5,0.6338112854199753,0.2603300173793176,1.2617747095469032,1.4323986517551264,0.816192569525143,1.2831216913588015,True,10,False
cycle-flex,flex_lines,flex_margin,l0_eq,W2,recency,5,0.6413270401361981,0.2677599727330899,1.2346951922019278,1.457669058830952,0.8305918559660314,1.3057585511664591,True,12,False
margin-ts,sarima_margin,sarima_margin,lines_aicc,W2,recency,5,0.645259511748866,0.264800141239042,1.2376107984340088,1.3476740982820927,0.7679158199510674,1.2072266797161049,True,14,False
cycle-flex,flex_lines,flex_margin,dl_rw,W2,recency,5,0.7037903713673943,0.3514361433720138,1.413060471656959,2.004124183111574,1.1419664942137568,1.7952650321028172,False,22,True
margin-ts,per_night_seasonal,per_night_seasonal,nogrowth,W2,recency,5,0.7179947715053535,0.3437935347836661,1.133545539205448,3.25021020313175,1.8519965890364751,2.911490602147671,False,2,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k8_rw,W2,recency,5,0.7204248372429426,0.278122921621886,1.3630366225522,2.563565678828397,1.4607408740476209,2.296404513992796,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_rw,W2,recency,5,0.7243486700324181,0.2474135277521423,1.2997670768097498,2.428320623854668,1.3836771259078684,2.175253978509415,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,drift_k4_ew,W2,recency,5,0.7379133501723838,0.2490014000861801,1.3089277910930168,2.4797142124176528,1.41296161668489,2.2212916009276813,False,7,True
margin-ts,pct_rev_seasonal,pct_rev_seasonal,nodrift,W2,recency,5,0.8290028190420327,0.2677695894401997,1.588275408825193,1.7549763441101756,0.9999999999999994,1.5720820542452565,True,2,False
