match_no,round,group,date,time_local,datetime_utc,team1,team2,ground,city,ft1,ft2,et,pens
21,Matchday 9,Group D,2026-06-19,12:00 UTC-7,2026-06-19T19:00:00Z,USA,Australia,Seattle,Seattle,2,0,,
22,Matchday 9,Group D,2026-06-19,20:00 UTC-7,2026-06-20T03:00:00Z,Turkey,Paraguay,San Francisco Bay Area (Santa Clara),San Francisco Bay Area,0,1,,
23,Matchday 15,Group D,2026-06-25,19:00 UTC-7,2026-06-26T02:00:00Z,Turkey,USA,Los Angeles (Inglewood),Los Angeles,3,2,,
24,Matchday 15,Group D,2026-06-25,19:00 UTC-7,2026-06-26T02:00:00Z,Paraguay,Australia,San Francisco Bay Area (Santa Clara),San Francisco Bay Area,0,0,,
25,Matchday 4,Group E,2026-06-14,12:00 UTC-5,2026-06-14T17:00:00Z,Germany,Curaçao,Houston,Houston,7,1,,
26,Matchday 4,Group E,2026-06-14,19:00 UTC-4,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,Philadelphia,Philadelphia,1,0,,
27,Matchday 10,Group E,2026-06-20,16:00 UTC-4,2026-06-20T20:00:00Z,Germany,Ivory Coast,Toronto,Toronto,2,1,,
28,Matchday 10,Group E,2026-06-20,19:00 UTC-5,2026-06-21T00:00:00Z,Ecuador,Curaçao,Kansas City,Kansas City,0,0,,
29,Matchday 15,Group E,2026-06-25,16:00 UTC-4,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,Philadelphia,Philadelphia,0,2,,
30,Matchday 15,Group E,2026-06-25,16:00 UTC-4,2026-06-25T20:00:00Z,Ecuador,Germany,New York/New Jersey (East Rutherford),New York/New Jersey,2,1,,
31,Matchday 4,Group F,2026-06-14,15:00 UTC-5,2026-06-14T20:00:00Z,Netherlands,Japan,Dallas (Arlington),Dallas,2,2,,
32,Matchday 4,Group F,2026-06-14,20:00 UTC-6,2026-06-15T02:00:00Z,Sweden,Tunisia,Monterrey (Guadalupe),Monterrey,5,1,,
33,Matchday 10,Group F,2026-06-20,12:00 UTC-5,2026-06-20T17:00:00Z,Netherlands,Sweden,Houston,Houston,5,1,,
34,Matchday 10,Group F,2026-06-20,22:00 UTC-6,2026-06-21T04:00:00Z,Tunisia,Japan,Monterrey (Guadalupe),Monterrey,0,4,,
35,Matchday 15,Group F,2026-06-25,18:00 UTC-5,2026-06-25T23:00:00Z,Japan,Sweden,Dallas (Arlington),Dallas,1,1,,
36,Matchday 15,Group F,2026-06-25,18:00 UTC-5,2026-06-25T23:00:00Z,Tunisia,Netherlands,Kansas City,Kansas City,1,3,,
37,Matchday 5,Group G,2026-06-15,12:00 UTC-7,2026-06-15T19:00:00Z,Belgium,Egypt,Seattle,Seattle,1,1,,
38,Matchday 5,Group G,2026-06-15,18:00 UTC-7,2026-06-16T01:00:00Z,Iran,New Zealand,Los Angeles (Inglewood),Los Angeles,2,2,,
39,Matchday 11,Group G,2026-06-21,12:00 UTC-7,2026-06-21T19:00:00Z,Belgium,Iran,Los Angeles (Inglewood),Los Angeles,0,0,,
40,Matchday 11,Group G,2026-06-21,18:00 UTC-7,2026-06-22T01:00:00Z,New Zealand,Egypt,Vancouver,Vancouver,1,3,,
41,Matchday 16,Group G,2026-06-26,20:00 UTC-7,2026-06-27T03:00:00Z,Egypt,Iran,Seattle,Seattle,1,1,,
42,Matchday 16,Group G,2026-06-26,20:00 UTC-7,2026-06-27T03:00:00Z,New Zealand,Belgium,Vancouver,Vancouver,1,5,,
43,Matchday 5,Group H,2026-06-15,12:00 UTC-4,2026-06-15T16:00:00Z,Spain,Cape Verde,Atlanta,Atlanta,0,0,,
44,Matchday 5,Group H,2026-06-15,18:00 UTC-4,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,Miami (Miami Gardens),Miami,1,1,,
45,Matchday 11,Group H,2026-06-21,12:00 UTC-4,2026-06-21T16:00:00Z,Spain,Saudi Arabia,Atlanta,Atlanta,4,0,,
46,Matchday 11,Group H,2026-06-21,18:00 UTC-4,2026-06-21T22:00:00Z,Uruguay,Cape Verde,Miami (Miami Gardens),Miami,2,2,,
47,Matchday 16,Group H,2026-06-26,19:00 UTC-5,2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,Houston,Houston,0,0,,
48,Matchday 16,Group H,2026-06-26,18:00 UTC-6,2026-06-27T00:00:00Z,Uruguay,Spain,Guadalajara (Zapopan),Guadalajara,0,1,,
49,Matchday 6,Group I,2026-06-16,15:00 UTC-4,2026-06-16T19:00:00Z,France,Senegal,New York/New Jersey (East Rutherford),New York/New Jersey,3,1,,
50,Matchday 6,Group I,2026-06-16,18:00 UTC-4,2026-06-16T22:00:00Z,Iraq,Norway,Boston (Foxborough),Boston,1,4,,
51,Matchday 12,Group I,2026-06-22,17:00 UTC-4,2026-06-22T21:00:00Z,France,Iraq,Philadelphia,Philadelphia,3,0,,
52,Matchday 12,Group I,2026-06-22,20:00 UTC-4,2026-06-23T00:00:00Z,Norway,Senegal,New York/New Jersey (East Rutherford),New York/New Jersey,3,2,,
53,Matchday 16,Group I,2026-06-26,15:00 UTC-4,2026-06-26T19:00:00Z,Norway,France,Boston (Foxborough),Boston,1,4,,
54,Matchday 16,Group I,2026-06-26,15:00 UTC-4,2026-06-26T19:00:00Z,Senegal,Iraq,Toronto,Toronto,5,0,,
55,Matchday 6,Group J,2026-06-16,20:00 UTC-5,2026-06-17T01:00:00Z,Argentina,Algeria,Kansas City,Kansas City,3,0,,
56,Matchday 6,Group J,2026-06-16,21:00 UTC-7,2026-06-17T04:00:00Z,Austria,Jordan,San Francisco Bay Area (Santa Clara),San Francisco Bay Area,3,1,,
57,Matchday 12,Group J,2026-06-22,12:00 UTC-5,2026-06-22T17:00:00Z,Argentina,Austria,Dallas (Arlington),Dallas,2,0,,
58,Matchday 12,Group J,2026-06-22,20:00 UTC-7,2026-06-23T03:00:00Z,Jordan,Algeria,San Francisco Bay Area (Santa Clara),San Francisco Bay Area,1,2,,
59,Matchday 17,Group J,2026-06-27,21:00 UTC-5,2026-06-28T02:00:00Z,Algeria,Austria,Kansas City,Kansas City,3,3,,
60,Matchday 17,Group J,2026-06-27,21:00 UTC-5,2026-06-28T02:00:00Z,Jordan,Argentina,Dallas (Arlington),Dallas,1,3,,
61,Matchday 7,Group K,2026-06-17,12:00 UTC-5,2026-06-17T17:00:00Z,Portugal,DR Congo,Houston,Houston,1,1,,
62,Matchday 7,Group K,2026-06-17,20:00 UTC-6,2026-06-18T02:00:00Z,Uzbekistan,Colombia,Mexico City,Mexico City,1,3,,
63,Matchday 13,Group K,2026-06-23,12:00 UTC-5,2026-06-23T17:00:00Z,Portugal,Uzbekistan,Houston,Houston,5,0,,
64,Matchday 13,Group K,2026-06-23,20:00 UTC-6,2026-06-24T02:00:00Z,Colombia,DR Congo,Guadalajara (Zapopan),Guadalajara,1,0,,
65,Matchday 17,Group K,2026-06-27,19:30 UTC-4,2026-06-27T23:30:00Z,Colombia,Portugal,Miami (Miami Gardens),Miami,0,0,,
66,Matchday 17,Group K,2026-06-27,19:30 UTC-4,2026-06-27T23:30:00Z,DR Congo,Uzbekistan,Atlanta,Atlanta,3,1,,
67,Matchday 7,Group L,2026-06-17,15:00 UTC-5,2026-06-17T20:00:00Z,England,Croatia,Dallas (Arlington),Dallas,4,2,,
68,Matchday 7,Group L,2026-06-17,19:00 UTC-4,2026-06-17T23:00:00Z,Ghana,Panama,Toronto,Toronto,1,0,,
69,Matchday 13,Group L,2026-06-23,16:00 UTC-4,2026-06-23T20:00:00Z,England,Ghana,Boston (Foxborough),Boston,0,0,,
70,Matchday 13,Group L,2026-06-23,19:00 UTC-4,2026-06-23T23:00:00Z,Panama,Croatia,Toronto,Toronto,0,1,,
71,Matchday 17,Group L,2026-06-27,17:00 UTC-4,2026-06-27T21:00:00Z,Panama,England,New York/New Jersey (East Rutherford),New York/New Jersey,0,2,,
72,Matchday 17,Group L,2026-06-27,17:00 UTC-4,2026-06-27T21:00:00Z,Croatia,Ghana,Philadelphia,Philadelphia,2,1,,
73,Round of 32,,2026-06-28,12:00 UTC-7,2026-06-28T19:00:00Z,South Africa,Canada,Los Angeles (Inglewood),Los Angeles,0,1,,
74,Round of 32,,2026-06-29,16:30 UTC-4,2026-06-29T20:30:00Z,Germany,Paraguay,Boston (Foxborough),Boston,1,1,"[1, 1]","[3, 4]"
75,Round of 32,,2026-06-29,19:00 UTC-6,2026-06-30T01:00:00Z,Netherlands,Morocco,Monterrey (Guadalupe),Monterrey,1,1,"[1, 1]","[2, 3]"
76,Round of 32,,2026-06-29,12:00 UTC-5,2026-06-29T17:00:00Z,Brazil,Japan,Houston,Houston,2,1,,
77,Round of 32,,2026-06-30,17:00 UTC-4,2026-06-30T21:00:00Z,France,Sweden,New York/New Jersey (East Rutherford),New York/New Jersey,3,0,,
78,Round of 32,,2026-06-30,12:00 UTC-5,2026-06-30T17:00:00Z,Ivory Coast,Norway,Dallas (Arlington),Dallas,1,2,,
79,Round of 32,,2026-06-30,19:00 UTC-6,2026-07-01T01:00:00Z,Mexico,Ecuador,Mexico City,Mexico City,2,0,,
80,Round of 32,,2026-07-01,12:00 UTC-4,2026-07-01T16:00:00Z,England,DR Congo,Atlanta,Atlanta,2,1,,
81,Round of 32,,2026-07-01,17:00 UTC-7,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,San Francisco Bay Area (Santa Clara),San Francisco Bay Area,2,0,,
82,Round of 32,,2026-07-01,13:00 UTC-7,2026-07-01T20:00:00Z,Belgium,Senegal,Seattle,Seattle,2,2,"[3, 2]",
83,Round of 32,,2026-07-02,19:00 UTC-4,2026-07-02T23:00:00Z,Portugal,Croatia,Toronto,Toronto,2,1,,
84,Round of 32,,2026-07-02,12:00 UTC-7,2026-07-02T19:00:00Z,Spain,Austria,Los Angeles (Inglewood),Los Angeles,3,0,,
85,Round of 32,,2026-07-02,20:00 UTC-7,2026-07-03T03:00:00Z,Switzerland,Algeria,Vancouver,Vancouver,2,0,,
86,Round of 32,,2026-07-03,18:00 UTC-4,2026-07-03T22:00:00Z,Argentina,Cape Verde,Miami (Miami Gardens),Miami,1,1,"[3, 2]",
87,Round of 32,,2026-07-03,20:30 UTC-5,2026-07-04T01:30:00Z,Colombia,Ghana,Kansas City,Kansas City,1,0,,
88,Round of 32,,2026-07-03,13:00 UTC-5,2026-07-03T18:00:00Z,Australia,Egypt,Dallas (Arlington),Dallas,1,1,"[1, 1]","[2, 4]"
89,Round of 16,,2026-07-04,17:00 UTC-4,2026-07-04T21:00:00Z,Paraguay,France,Philadelphia,Philadelphia,0,1,,
90,Round of 16,,2026-07-04,12:00 UTC-5,2026-07-04T17:00:00Z,Canada,Morocco,Houston,Houston,0,3,,
91,Round of 16,,2026-07-05,16:00 UTC-4,2026-07-05T20:00:00Z,Brazil,Norway,New York/New Jersey (East Rutherford),New York/New Jersey,1,2,,
92,Round of 16,,2026-07-05,18:00 UTC-6,2026-07-06T00:00:00Z,Mexico,England,Mexico City,Mexico City,2,3,,
93,Round of 16,,2026-07-06,14:00 UTC-5,2026-07-06T19:00:00Z,Portugal,Spain,Dallas (Arlington),Dallas,0,1,,
94,Round of 16,,2026-07-06,17:00 UTC-7,2026-07-07T00:00:00Z,USA,Belgium,Seattle,Seattle,1,4,,
95,Round of 16,,2026-07-07,12:00 UTC-4,2026-07-07T16:00:00Z,Argentina,Egypt,Atlanta,Atlanta,3,2,,
96,Round of 16,,2026-07-07,13:00 UTC-7,2026-07-07T20:00:00Z,Switzerland,Colombia,Vancouver,Vancouver,0,0,"[0, 0]","[4, 3]"
97,Quarter-final,,2026-07-09,16:00 UTC-4,2026-07-09T20:00:00Z,France,Morocco,Boston (Foxborough),Boston,2,0,,
98,Quarter-final,,2026-07-10,12:00 UTC-7,2026-07-10T19:00:00Z,Spain,Belgium,Los Angeles (Inglewood),Los Angeles,2,1,,
99,Quarter-final,,2026-07-11,17:00 UTC-4,2026-07-11T21:00:00Z,Norway,England,Miami (Miami Gardens),Miami,1,1,"[1, 2]",
100,Quarter-final,,2026-07-11,20:00 UTC-5,2026-07-12T01:00:00Z,Argentina,Switzerland,Kansas City,Kansas City,1,1,"[3, 1]",
101,Semi-final,,2026-07-14,14:00 UTC-5,2026-07-14T19:00:00Z,France,Spain,Dallas (Arlington),Dallas,0,2,,
102,Semi-final,,2026-07-15,15:00 UTC-4,2026-07-15T19:00:00Z,England,Argentina,Atlanta,Atlanta,1,2,,
103,Match for third place,,2026-07-18,17:00 UTC-4,2026-07-18T21:00:00Z,France,England,Miami (Miami Gardens),Miami,4,6,,
104,Final,,2026-07-19,15:00 UTC-4,2026-07-19T19:00:00Z,Spain,Argentina,New York/New Jersey (East Rutherford),New York/New Jersey,0,0,"[1, 0]",
