recon_id,source_ids,exact_official_url,purpose,registered_at_utc,method,user_agent,no_cookies,no_auth,no_personal_data,data_payload_exception,manifest_status
PR-011,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,Shared official portal data-policy page for automation and licensing evidence,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-012,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/robots.txt,Shared official robots rules governing both retained SODA API paths,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-013,NOLA_STR_PERMIT_EVENTS,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,Official dataset metadata/schema/publication page only; no SODA record payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-014,NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,Official dataset metadata/schema/publication page only; no SODA record payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-015,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/help/guides/terms/,Official data-portal terms and reuse conditions,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-016,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/robots.txt,Official robots rules governing the portal dataset/download paths,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-017,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/datasets/stro-licenses/,Official dataset metadata and download documentation only; no licence-row payload,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-018,SAN_DIEGO_STRO_ACTIVE,https://webmaps.sandiego.gov/robots.txt,Official robots rules governing the documented ArcGIS service path,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-019,SAN_DIEGO_STRO_ACTIVE,https://webmaps.sandiego.gov/arcgis/rest/services/Treasurer/STRO_ACTIVE_LICENSES/MapServer?f=pjson,Official ArcGIS service metadata/schema only; no feature records,2026-09-03T16:58:20Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-020,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/home/terms-of-use.page,Unsandboxed execution of shared official NYC terms GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-021,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/robots.txt,Unsandboxed execution of shared official NYC robots GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-022,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/robots.txt,Unsandboxed execution of official Orange County robots GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-023,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/sitemap,Unsandboxed execution of official site-map GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-024,VANCOUVER_STR_LICENSES,https://vancouver.ca/your-government/terms-of-use.aspx,Unsandboxed execution of official Vancouver terms GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-025,VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/robots.txt,Unsandboxed execution of official Vancouver open-data robots GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-026,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,Unsandboxed execution of shared official NOLA policy GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-027,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/robots.txt,Unsandboxed execution of shared official NOLA robots GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-028,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/help/guides/terms/,Unsandboxed execution of official San Diego portal terms GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-029,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/robots.txt,Unsandboxed execution of official San Diego portal robots GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-030,SAN_DIEGO_STRO_ACTIVE,https://webmaps.sandiego.gov/robots.txt,Unsandboxed execution of official San Diego ArcGIS robots GET after pre-HTTP sandbox DNS failure,2026-09-03T17:00:19Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
PR-031,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/copyright,Official Copyright Notices page discovered in cached official sitemap; used only to resolve site-use restrictions,2026-09-03T17:02:28Z,GET,"ABNB-Edge-Research/1.0 (institutional research; contact: repository-owner)",true,true,true,false,registered_before_request
