recon_id,source_ids,requested_url,requested_at_utc,effective_url,http_status,content_type,response_bytes,sha256,body_cache_path,headers_cache_path,captcha_detected,stop_status,error
PR-018,SAN_DIEGO_STRO_ACTIVE,https://webmaps.sandiego.gov/robots.txt,2026-09-03T16:59:59Z,,,,0,,,cache/PR-018.headers.txt,False,stopped_network_error,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
PR-020,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/home/terms-of-use.page,2026-09-03T17:01:12Z,https://www.nyc.gov/main/terms-of-use,200,text/html;charset=utf-8,504499,e7ffbf3bb9715df49a07db521ab5f7d7d465ec3375aa6793e3ed460183f26829,cache/PR-020.body,cache/PR-020.headers.txt,False,completed,
PR-021,NYC_OSE_STR_SNAPSHOTS|NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/robots.txt,2026-09-03T17:01:20Z,https://www.nyc.gov/robots.txt,200,text/plain; charset=utf-8,36,2bc363ecd41731d45a1e4fbdf6f7cfc7a6a88b746ab35bb36c4e80d36d23995a,cache/PR-021.body,cache/PR-021.headers.txt,False,completed,
PR-022,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/robots.txt,2026-09-03T17:01:21Z,https://www.occompt.com/robots.txt,200,text/plain; charset=utf-8,816,6771bf6465ddd6e600a7866b5e41825007c4a20433b378e56746547c40d205c5,cache/PR-022.body,cache/PR-022.headers.txt,False,completed,
PR-023,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/sitemap,2026-09-03T17:01:28Z,https://www.occompt.com/sitemap,200,text/html; charset=utf-8,191348,03f72cdfd375ccd2f6e90d55e208a2f9141ab1b68847986004dfb6b6961ceead,cache/PR-023.body,cache/PR-023.headers.txt,False,completed,
PR-024,VANCOUVER_STR_LICENSES,https://vancouver.ca/your-government/terms-of-use.aspx,2026-09-03T17:01:28Z,https://vancouver.ca/your-government/terms-of-use.aspx,403,text/html; charset=UTF-8,5715,9586f548a07383298a1efadcde2ffaa8d6df4d9f0827e44775758a467e20f316,cache/PR-024.body,cache/PR-024.headers.txt,False,stopped_http_403,HTTPError 403
PR-025,VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/robots.txt,2026-09-03T17:01:29Z,https://opendata.vancouver.ca/robots.txt,200,text/plain; charset=utf-8,566,09e3886f9dd4d97061ed8a23d9e23d0aeb9087572b452e2bcea36060ae4cb51d,cache/PR-025.body,cache/PR-025.headers.txt,False,completed,
PR-026,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,2026-09-03T17:01:30Z,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,200,text/html; charset=utf-8,313210,70b201bd31a90eca76681dc2843e258b5f3fe2ad3541fdbde637f51eaad44104,cache/PR-026.body,cache/PR-026.headers.txt,False,completed,
PR-027,NOLA_STR_PERMIT_EVENTS|NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/robots.txt,2026-09-03T17:01:38Z,https://data.nola.gov/robots.txt,200,text/plain; charset=utf-8,1744,068c7e8be20b86ec47b432cc8ed37f94c32254f66e4f527aa5140190fb1b08c2,cache/PR-027.body,cache/PR-027.headers.txt,False,completed,
PR-028,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/help/guides/terms/,2026-09-03T17:01:38Z,https://data.sandiego.gov/help/guides/terms/,200,text/html,19868,0acc12d2200066816b5fc783522ed2cd815aea50bf9d27a8e9b0c82276fe8fc0,cache/PR-028.body,cache/PR-028.headers.txt,False,completed,
PR-029,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/robots.txt,2026-09-03T17:01:46Z,https://data.sandiego.gov/robots.txt,404,text/html; charset=utf-8,365,c4114417f87bf51f1477e0935bc8dcc5db9976649ae50c894c4b76e519a0a9e5,cache/PR-029.body,cache/PR-029.headers.txt,False,completed,HTTPError 404
PR-030,SAN_DIEGO_STRO_ACTIVE,https://webmaps.sandiego.gov/robots.txt,2026-09-03T17:01:46Z,https://webmaps.sandiego.gov/robots.txt,403,text/html; charset=utf-8,982,c41a627797f24e40a6c8ff2bd45db424860ee05c4eae760b7ac20b85e1e506b7,cache/PR-030.body,cache/PR-030.headers.txt,False,stopped_http_403,HTTPError 403
PR-003,NYC_OSE_STR_SNAPSHOTS,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,2026-09-03T17:02:57Z,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,200,text/html;charset=UTF-8,24485,6daab824436a5bdafa5367fdffb9b21124e9915bf18a11d9a33f9fbff63f973e,cache/PR-003.body,cache/PR-003.headers.txt,False,completed,
PR-004,NYC_OSE_ENFORCEMENT_REPORTS,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,2026-09-03T17:03:05Z,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,200,text/html;charset=UTF-8,22661,f0f061e2c606e480174e6be2dc59da4bd56b7db6f147c1110a9c44335de6ba84,cache/PR-004.body,cache/PR-004.headers.txt,False,completed,
PR-007,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/quicklinks.aspx?CID=39,2026-09-03T17:03:05Z,https://www.occompt.com/quicklinks.aspx?CID=39,200,text/html; charset=utf-8,102886,8fe550efd1a7c7fe4cba370576fac11c73b9ff927ba48710e5c531eca2ec55d7,cache/PR-007.body,cache/PR-007.headers.txt,False,completed,
PR-010,VANCOUVER_STR_LICENSES,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,2026-09-03T17:03:06Z,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,200,text/html; charset=utf-8,142604,90dfab7664a8ff11b716eaa16bfddca3315657e16ec200cc950319991d3148fd,cache/PR-010.body,cache/PR-010.headers.txt,True,stopped_captcha_detected,
PR-013,NOLA_STR_PERMIT_EVENTS,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,2026-09-03T17:03:07Z,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,200,text/html; charset=utf-8,543986,c78ff117cff6c389b97311e3d764a160ded7dabdb576220f3c8af5e9bf5fabf2,cache/PR-013.body,cache/PR-013.headers.txt,True,stopped_captcha_detected,
PR-014,NOLA_STR_ENFORCEMENT_HEARINGS,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,,,,,0,,,,False,not_requested_after_host_stop,prior request to this host triggered stop rule
PR-017,SAN_DIEGO_STRO_ACTIVE,https://data.sandiego.gov/datasets/stro-licenses/,2026-09-03T17:03:08Z,https://data.sandiego.gov/datasets/stro-licenses/,200,text/html,29022,633cd9b52846804a24b6329246097aee07df396480bb68d9ab698e8c7a1ffa37,cache/PR-017.body,cache/PR-017.headers.txt,False,completed,
PR-031,ORANGE_FL_TDT_RELEASES,https://www.occompt.com/copyright,2026-09-03T17:03:13Z,https://www.occompt.com/copyright,200,text/html; charset=utf-8,88748,acf6f494319dbe7279096562116840fb80299ad1d32a60f86d7d69db95683c1a,cache/PR-031.body,cache/PR-031.headers.txt,False,completed,
