path,purpose,approved_use,direct_forecast_input_approved,overlap_rule,audit_disposition,sha256_lf
analysis/src/audit_hotel_expanded_outputs.py,"Verify registry counts, identities, room crosswalks and source reuse","Audit of hotel evidence, not revenue measurement",False,Paris is a France subset; page clusters and room matches reuse original records,Validation completes before writing overlap output; 11 checks and 89 hash pairs pass,57be6226f738035dd48731c6590d170463642605813330fe3a868bc2d3316cc6
analysis/src/assemble_hotel_13_market_panel.py,Scope existing and extended evidence to the original selected 13 markets,Canonical selected-market supply and data-gap table,False,113 pages/111 clusters reuse the prior collection; do not add them again,"Added numeric checks, frozen evidence/input guards and portable scope hash; missing production stays missing",08f89aced265a2d8b95d89de75379a77b08b02450ca37cf8b9e410929795e6cb
analysis/src/verify_hotel_13_market_panel.py,"Validate scoped identities, missing outcomes, local links and source hashes",Audit of selected-market outputs,False,26 accepted Paris links are the same prior matches; not incremental hotels,Replaced optimization-removable asserts with explicit errors; 204 source hash pairs verified,8c1649e5aa2a05b49cf926c15d783f47731c3e55eac36c2764e53a7c2c76c1d2
analysis/src/report_listing_churn.py,Render dated broad-panel memo and chart,Presentation of audited diagnostics,False,Derived from the same measured CSVs; no separate evidence weight,Added frozen-input guard; isolated report replay reconciles,3b61e310ffea85ba2d9fb56a06bb321995ff60a094cff719bdf6adcc7ceae4c1
analysis/src/report_fee_churn.py,Render dated fee-risk memo and chart,Presentation of diagnostics and scenarios,False,Does not add a second fee/churn factor to the model,Added frozen-input guard; isolated report replay reconciles,5fa87cf9a08e84bef442553c5ce0fe641c9c04f443d36a5f1a394fcf04572e87
analysis/src/report_fee_churn_recent.py,Render dated summer/winter follow-up,Presentation of recent diagnostics,False,Unequal intervals and immature persistence remain explicit,Added frozen-input guard and explicit reconciliation errors; removed stale publication-status sentence,ba5a90e7e4ec4a5e7ee1c68bfe88d72ba59f3493b40e3145ff9ced04e77fdac1
analysis/src/report_hotel_funnel.py,Render dated hotel funnel memo and chart,Presentation of hotel diagnostics and sensitivities,False,Legacy 25-market comparison remains separate from selected 13-market supply panel,Added frozen-input guard; complete evidence preflight remains; isolated report replay reconciles,62cfb9da9dcf03034d4e5f2751ad398d97a2b7d5c035361edd9bd9541f0dad56
analysis/src/research_integrity.py,"Validate numeric inputs, preserve CSV outputs and freeze dated reports",Shared safety helper for these new studies,False,One helper reused by the new modules; does not modify existing model utilities,"Regression-tested atomic output preservation, checksums, exact identities and Git newline normalization",861626c2c0eb55bcf543016ebb1e747ebb3db63aa221ca081102f2222704edfc
analysis/tests/test_audit_listing_churn_inputs.py,"Aggregate scope, duplicates, dates, stock-flow and missing denominators",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,8cdaf20ff7ab51260909738858e33580687c6c48a2ab3f0eb40b442b950939da
analysis/tests/test_churn_archive.py,"Global identity, nested geography, source coverage and confirmation periods",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,68bf98f0b9f98d55fd2450b42e349f40b52ccfdd687f9962e05ebc4997a4afc2
analysis/tests/test_execute_listing_churn.py,"Persistence boundaries, partial-file positives and replacement identity",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,219471559f299476dfa4b1f918f42a8010644ab7e8453a13ba71e164c41e78bc
analysis/tests/test_fee_churn_history.py,"Rolling cohorts, confirmation coverage, comparison samples and fee arithmetic",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,97a40bb3aab5e08da9b3870cf3bccee925b954fa34fbad7990863c96b170bf98
analysis/tests/test_fee_churn_recent.py,Recent interval and reappearance set arithmetic,Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,260d0dd37f35211a19bc021d05d66889f47d504277d411e8246eb7469ff17c40
analysis/tests/test_hotel_funnel.py,"Hotel taxonomy, missing counts and stock-flow reconciliation",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,535b20c07e0cfba3c155f1e88e7301d043ef9b79cf5e95335cb4eeb91ba1c87a
analysis/tests/test_hotel_model.py,"Mix, room requirements, credit economics and report completeness",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,b28382f105303e7fdc87f2b93dda2539d46e93eba6aec9b47b35cd0828c321af
analysis/tests/test_hotel_statistical_design.py,"Planning formulas, monotonicity and invalid inputs",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,32ad2b7c3470372c3a0dfffe9cf6781509749bde6d20524be32629c1be09286a
analysis/tests/test_listing_destinations.py,Frozen sample identity and evidence reconciliation,Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,0abac5b9e0c2c27a0560e4351151c1abe71f8e212855b4f923de0cee7b6ccc8e
analysis/tests/test_listing_platform_history.py,"Actual capture timing, missing archive states and index schema",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,771df9473b5b6ff101af6623ac7e66c137e0432f6865dbe31e8151386c783b10
analysis/tests/test_measure_churn_panel.py,"Exact permit candidates, fixed baselines, coverage and pooling",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,bac968f9082f08405dfac7515b3057e03952b19abe89b9ad5f8158025b735ed5
analysis/tests/test_hotel_13_market_panel.py,"Exactly 13 selected markets, provenance, missing measures and numeric validity",Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,fbf2f04f5d0d02e8d4ead7aefcce7a6e3343890d79a6ecb06f08f129402ffa13
analysis/tests/test_research_release_audit.py,Regression cases for the defects identified during publication review,Regression verification,False,Tests only; no economic observations or model inputs,Included in 110 passing unittest cases,890609497b481569d25e07bad6ac141859b8ab0a694ec0be41d3403adf71e44a
