method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
gbv-joint-cohort-v1,primary-guide,guide_mid,2023Q4,2023-08-03,1,2081.3171176418023,2081.3171176418023,W1,PIT,8,8,,,,,,,,,,,,,,,2023-08-03,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 7 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2025Q2,2025-02-13,1,3061.926202262245,3061.926202262245,W1,PIT,8,14,,,,,,,,,,,,,,,2025-02-13,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2025Q2,2025-02-13,1,3061.926202262245,3061.926202262245,W2,PIT,8,14,,,,,,,,,,,,,,,2025-02-13,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2025Q3,2025-05-01,1,3913.838344475296,3913.838344475296,W1,PIT,8,15,,,,,,,,,,,,,,,2025-05-01,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2025Q3,2025-05-01,1,3913.838344475296,3913.838344475296,W2,PIT,8,15,,,,,,,,,,,,,,,2025-05-01,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2025Q4,2025-08-06,1,2689.900733535936,2689.900733535936,W1,PIT,8,16,,,,,,,,,,,,,,,2025-08-06,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2025Q4,2025-08-06,1,2689.900733535936,2689.900733535936,W2,PIT,8,16,,,,,,,,,,,,,,,2025-08-06,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2026Q1,2025-11-06,1,2558.5636912516634,2558.5636912516634,W1,PIT,8,17,,,,,,,,,,,,,,,2025-11-06,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2026Q1,2025-11-06,1,2558.5636912516634,2558.5636912516634,W2,PIT,8,17,,,,,,,,,,,,,,,2025-11-06,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2026Q2,2026-02-12,1,3457.641529949374,3457.641529949374,W1,PIT,8,18,,,,,,,,,,,,,,,2026-02-12,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
gbv-joint-cohort-v1,primary-guide,guide_mid,2026Q2,2026-02-12,1,3457.641529949374,3457.641529949374,W2,PIT,8,18,,,,,,,,,,,,,,,2026-02-12,pooled_lag0_1_2_equal_tail3_4_early_guide_v1,Research candidate retained; prior release origin before guide; 7 allocation parameters plus 1 cushion parameter using 8 observations; point-only q50 format placeholder; no calibrated bands; effective allocation not physical cohorts; frozen scorer ignores baseline vintage so use local paired same-origin race for promotion,1.1
