path,sha256,check
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\02_horizon.json,eb53770783fe75aec867b6128f17dbad690e2a29e997c4ee016a57c9ff3ae215,final captured input
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\legacy_replication.json,d954db5c9b79a2a438f13cd3bfa2440fae31dac475c1338f44773452b9a5efc8,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\03_legacy_replication.json,d954db5c9b79a2a438f13cd3bfa2440fae31dac475c1338f44773452b9a5efc8,final captured input
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\input_manifest.json,553e61cde9f71dfaa5537ad9a10e4a791df4815aab1acc55dd0933e06b2c265c,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\04_input_manifest.json,553e61cde9f71dfaa5537ad9a10e4a791df4815aab1acc55dd0933e06b2c265c,final captured input
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\workbook_tieout.json,08144e34bc4bd89742005d5a16cb240438f7593445214490e4e61fc4d1f8a52e,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\05_workbook_tieout.json,08144e34bc4bd89742005d5a16cb240438f7593445214490e4e61fc4d1f8a52e,final captured input
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\model_input.json,10b1e5713ff4020bdaf1f00743fd8a0e84c6ae388723442ed9578afcfc5afe8f,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\06_model_input.json,10b1e5713ff4020bdaf1f00743fd8a0e84c6ae388723442ed9578afcfc5afe8f,final captured input
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\forecast.csv,44381e679cc41d2ae7d952bbad78e2a2008392eeb085451ac8130b4ae509e397,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\07_forecast.csv,44381e679cc41d2ae7d952bbad78e2a2008392eeb085451ac8130b4ae509e397,final captured input
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\operating_inputs.csv,4e971be2a5ef8c53fc790fc1ef1465ff852e88f77b200b589f7b82e5a88d3b21,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\08_operating_inputs.csv,4e971be2a5ef8c53fc790fc1ef1465ff852e88f77b200b589f7b82e5a88d3b21,final captured input
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\expectations_comparison.csv,d1588d403a7771db5eb4ee65fd52e40503cfaf524ffef320d68f0c23069280a9,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\09_expectations_comparison.csv,d1588d403a7771db5eb4ee65fd52e40503cfaf524ffef320d68f0c23069280a9,final captured input
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\joint_scenarios.csv,76a15e37371c530d08ab895aa4f72b5bbe56153b804717d2351be4912567b662,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\10_joint_scenarios.csv,76a15e37371c530d08ab895aa4f72b5bbe56153b804717d2351be4912567b662,final captured input
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\descriptive_joint_extremes.csv,db2803fd57325fcc83b89dc4673ba5019d37e70583f83742f5b0b24693062f49,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\11_descriptive_joint_extremes.csv,db2803fd57325fcc83b89dc4673ba5019d37e70583f83742f5b0b24693062f49,final captured input
data\processed\forecast_methods\lane4_revenue_v2\snapshot_v1\issued_guide_comparison.csv,488416940946d075ccb94ef1de802991eaa179d44d80286e53e1f57c732ff0ae,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\12_issued_guide_comparison.csv,488416940946d075ccb94ef1de802991eaa179d44d80286e53e1f57c732ff0ae,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\integrity_receipt.json,9afb70a7abf8e8e988f5ded745802cc4d54ea4d3b95e9241e86ae75e2de470aa,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\13_integrity_receipt.json,9afb70a7abf8e8e988f5ded745802cc4d54ea4d3b95e9241e86ae75e2de470aa,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\row_dispositions.csv,661618b195e8a7e23919225fe2cf9d4a0db0b16102df0ee0909d90847fda28f4,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\14_row_dispositions.csv,661618b195e8a7e23919225fe2cf9d4a0db0b16102df0ee0909d90847fda28f4,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\accounting_eligibility.json,362d01b2575343358d9844377ce2f5156a9979fc447c4e6996031a051465c128,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\15_accounting_eligibility.json,362d01b2575343358d9844377ce2f5156a9979fc447c4e6996031a051465c128,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\accounting_interface.csv,87c4f7c92dafdf72fc9c8bf506ce3d1eae0e3838ce6fb61020fa7ef90aecec69,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\16_accounting_interface.csv,87c4f7c92dafdf72fc9c8bf506ce3d1eae0e3838ce6fb61020fa7ef90aecec69,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\chronological_scores.csv,3ac919a1c3f88bc5a9653c8776b015c8d3690acb186cb73676d3e4ce4d0f87a7,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\17_chronological_scores.csv,3ac919a1c3f88bc5a9653c8776b015c8d3690acb186cb73676d3e4ce4d0f87a7,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\summary.json,9ccdf1a8ddbbe1d49009334204d4e0c69f7b1bd8b3d2184b08167c417d1f98a8,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\18_summary.json,9ccdf1a8ddbbe1d49009334204d4e0c69f7b1bd8b3d2184b08167c417d1f98a8,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\claim_ledger.csv,be783ed3cb65cbe85c3ee9040dc674d970a6c2f0e40b22871ee6964b02288921,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\19_claim_ledger.csv,be783ed3cb65cbe85c3ee9040dc674d970a6c2f0e40b22871ee6964b02288921,final captured input
deck\drafts\lane4_v1\review_v4\unsigned_card.json,020cf46190433267674a69afa7ba217a65356108dffcb9e4724bf3541e42a8c3,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\20_unsigned_card.json,020cf46190433267674a69afa7ba217a65356108dffcb9e4724bf3541e42a8c3,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\qvs\QVS_GUIDE_BASIS_AND_DECISION_LOGIC_v1.md,37bacad9d55d1b5a1f31aa0db793f3ca8784051d3bfd8e4f84786fe1be49cd36,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\21_QVS_GUIDE_BASIS_AND_DECISION_LOGIC_v1.md,37bacad9d55d1b5a1f31aa0db793f3ca8784051d3bfd8e4f84786fe1be49cd36,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\qvs\QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md,0d8eb557924f7dc476d400cb0cec2ba2c30aac92fc22e0133047416677e7cb84,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\22_QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md,0d8eb557924f7dc476d400cb0cec2ba2c30aac92fc22e0133047416677e7cb84,final captured input
docs\revenue-forecast-strategy\05_backtests\LANE2_MEMO_READY_CLAIMS.md,5b54b1c2e6fdd62f8cc84ff9602b02a364d1df9507886bb132ee45712aa59d3a,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\23_LANE2_MEMO_READY_CLAIMS.md,5b54b1c2e6fdd62f8cc84ff9602b02a364d1df9507886bb132ee45712aa59d3a,final captured input
docs\revenue-forecast-strategy\05_backtests\ALPHA_F_RNPL.md,636850c6c887cd0efecd05322f2a8d2a59ab2146aa5ed13bcca4a115d024b6ee,final source binding
data\processed\forecast_methods\lane4_review_v2\review_v2\inputs\24_ALPHA_F_RNPL.md,636850c6c887cd0efecd05322f2a8d2a59ab2146aa5ed13bcca4a115d024b6ee,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,final source binding
deck\drafts\lane4_v2\review_v2\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,final source binding
deck\drafts\lane4_v2\review_v2\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,final source binding
deck\drafts\lane4_v2\review_v2\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,final source binding
deck\drafts\lane4_v2\review_v2\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,final source binding
deck\drafts\lane4_v2\review_v2\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,final captured input
data\processed\forecast_methods\lane4_sources_v2\snapshot_v1\bundle\payload\conversion\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,final source binding
deck\drafts\lane4_v2\review_v2\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,final captured input
deck\drafts\lane4_v2\review_v2\01_seasonal_conversion.png,52ffcb5cef1e965127370afca0d233d0de57efeed8dd369e98e662823a7642ac,accepted chart exact
deck\drafts\lane4_v2\review_v2\01_seasonal_conversion.svg,851d5cee2aca6204aabbaeba3d3144c2ee40f896ab0773bb4a3763f7f48c59fe,accepted chart exact
deck\drafts\lane4_v2\review_v2\02_weight_identification.png,70664777090d6c6ead68763878c126d4591893b5725c2a785884c33761f0b27b,accepted chart exact
deck\drafts\lane4_v2\review_v2\02_weight_identification.svg,cfa380225529c79283e14259248002f16efa92d83de457058b49e76e2d568350,accepted chart exact
deck\drafts\lane4_v2\review_v2\03_chronological_validation.png,89b39cb8527bdd531caba51b7c50e9939254b43c6bbb25e537217f74acd72248,accepted chart exact
deck\drafts\lane4_v2\review_v2\03_chronological_validation.svg,e0322de126adef6d857401cd944ac296e77aa04590fa78217e60a2343e5ca2e4,accepted chart exact
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\annual.csv,2015f3862de12bf046a66ef06cee0544c0c8f5fff6ab21b0f16b93f7ccb1967e,financial snapshot unchanged
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\scenario_summary.csv,c3a640fda7789e23708fdaae8875f7a3cd104d873a14a18ea716ad0d1290a51a,financial snapshot unchanged
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\valuation.csv,46145c63be1396251d65cb4c44ff07f6555a3af49b48a1d0aba365d67746636a,financial snapshot unchanged
data\processed\forecast_methods\lane4_model_v2\snapshot_v2\horizon.json,eb53770783fe75aec867b6128f17dbad690e2a29e997c4ee016a57c9ff3ae215,financial snapshot unchanged
model\lane4_v2\outputs\lane4_model\snapshot_v2\ABNB_L4_review.xlsx,882b6d7b321d2f791fecc9b1d7ec57265b5e2fdcedd705326ee7bd3ee9ce6f92,identity recorded; parent independently checked OOXML
