id,choice,value,units,effect_vs_review_reference,source,adoption,required_before_adoption,conversion_status,original_decision_reference
L4-D04,S&P Global Market Intelligence via StockAnalysis,3160.0,Q4 consensus USDm,Review guide gap -36.580885 USDm (-1.157623%),CU-2026Q4-revenue-SPGlobal-20260910 / 2026-09-10,OPEN - unsigned,Keep independent panels separate; restamp pre-letter before November scoring,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D04,Zacks,3200.0,Q4 consensus USDm,Review guide gap -76.580885 USDm (-2.393153%),CU-2026Q4-revenue-Zacks-20260911 / 2026-09-11,OPEN - unsigned,Keep independent panels separate; restamp pre-letter before November scoring,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D05,review_with_k_fx_down_sensitivity,180.89382235062453,FY27-end USD/share,Q4 guide 3092.184924; FY27 revenue 15833.198805; value delta -3.768933,L4 model scenario_summary.csv,OPEN - unsigned,Generic +/-1% incremental revenue response only; not an FX estimate; accept explicit versioned L3 inputs before actual FX application,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D05,review_with_k_fx_up_sensitivity,188.43168815504433,FY27-end USD/share,Q4 guide 3154.653306; FY27 revenue 16071.267676; value delta +3.768933,L4 model scenario_summary.csv,OPEN - unsigned,Generic +/-1% incremental revenue response only; not an FX estimate; accept explicit versioned L3 inputs before actual FX application,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D05,L3 cohort FX/RNPL central integration,,USDm / level multiplier / YoY pp separately,Unavailable: no central estimate; not represented as zero,L4 integration_status.json,OPEN - unsigned,"Require bundle version/commit, checksums, reference basis, cohort share denominator, timing, treatment and hedge reconciliation",fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D06,Legacy final-model EBITDA lens,180.87628642066753,USD/share,Difference from new reference FY27-end value -3.786469; distinct horizon/input/method objects,valuation_v1/football_field_reconciliation.csv,OPEN - unsigned,Choose explicit valuation lens and horizon; do not mechanically average; +0.48 relation excluded,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D06,Legacy six-lens mean,156.7868,USD/share,Difference from new reference FY27-end value -27.875955; distinct horizon/input/method objects,valuation_v1/football_field_reconciliation.csv,OPEN - unsigned,Choose explicit valuation lens and horizon; do not mechanically average; +0.48 relation excluded,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D07,"Direction, target and scenario probabilities",,team adoption,Displayed model values span 180.893822-188.431688 USD/share; no expected value or expected return is computed,L4 model scenario_summary.csv,OPEN - unsigned,Team must choose direction/horizon/target and defensible probabilities; short return additionally needs borrow/dividend/cost inputs,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D08,Formal November card adoption,,signature,"11 proposed diagnostics; lambda 17.09/16.93%, joint UF-GBV gap strictly >-8pp, exact nights wording; missing/ambiguous distinct",unsigned_november_card.md,OPEN - unsigned,Team review and signature; no trade authorization follows from diagnostic scores,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
L4-D09,Original D-01: Q3 fixed2/3 benchmark revenue,4808.36292949392,Q3 revenue USDm,Benchmark comparator; not a new Q3 management guide,L4 forecast.csv,OPEN - unsigned,Choose already-guided-quarter revenue approach separately from Q4 guide; L3 conversion results pending,fixed2/3 K0 benchmark provisional pending L3 conversion,D-01
L4-D09,Original D-01: issued_guide_times_median,4814.690225759178,Q3 revenue USDm,Delta vs Q3 benchmark +6.327296265 USDm; issued guide midpoint 4730.000 from 2026-08-06; cushion 1.790491031%,L4 issued_guide_comparison.csv,OPEN - unsigned,Revenue estimate from an already issued guide; do not treat as a new implied guide or stack on kernel revenue,fixed2/3 K0 benchmark provisional pending L3 conversion,D-01
L4-D09,Original D-01: issued_guide_times_mean,4817.823946893976,Q3 revenue USDm,Delta vs Q3 benchmark +9.461017400 USDm; issued guide midpoint 4730.000 from 2026-08-06; cushion 1.856743063%,L4 issued_guide_comparison.csv,OPEN - unsigned,Revenue estimate from an already issued guide; do not treat as a new implied guide or stack on kernel revenue,fixed2/3 K0 benchmark provisional pending L3 conversion,D-01
L4-D10,Conversion methodology: retain current benchmark pending L3,12.0403669384706,Q4 benchmark lambda %,Fixed first-lag coefficient 2/3; current provisional Q4 guide 3123.419115173 USDm; alternative conversion effect unavailable,L4 forecast.csv; imported K0 v2,OPEN - unsigned,L3 owns estimation/validation. Require explicit accepted version/commit and checksums before changing conversion parameters; distinct from FX/RNPL integration,fixed2/3 K0 benchmark provisional pending L3 conversion,No original decision ID reassigned
