scenario,foreign_usd_multiplier,assumed_nonusd_reported_share,assumed_rnpl_revenue_share,timing_scenario,quarter,reference_revenue_usd,booking_revenue_usd,retimed_revenue_usd,booking_level_multiplier,retimed_level_multiplier,replacement_multiplier,booking_fx_usd,retimed_fx_usd,incremental_replacement_usd,reference_basis,basis_status,hedge_status,reported_revenue_including_hedges_usd,total_weight,rnpl_weight,information_date,evidence_status
fx0.95_nonusd0.40_u0.20_first_recognition_month,0.95,0.4,0.2,first_recognition_month,2026Q3,4733211331,4808362929.49,4802697462.64,1.01587750752,1.01468054705,0.998821747247,75151598.4909,69486131.6332,-5665466.85773,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.20_first_recognition_month,1,0.4,0.2,first_recognition_month,2026Q3,4733211331,4808362929.49,4802697462.64,1.01587750752,1.01468054705,0.998821747247,75151598.4909,69486131.6332,-5665466.85773,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.20_first_recognition_month,1.05,0.4,0.2,first_recognition_month,2026Q3,4733211331,4808362929.49,4802697462.64,1.01587750752,1.01468054705,0.998821747247,75151598.4909,69486131.6332,-5665466.85773,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.20_last_recognition_month,0.95,0.4,0.2,last_recognition_month,2026Q3,4733211331,4808362929.49,4793495976.04,1.01587750752,1.0127365209,0.996908104967,75151598.4909,60284645.033,-14866953.4579,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.20_last_recognition_month,1,0.4,0.2,last_recognition_month,2026Q3,4733211331,4808362929.49,4809272985.57,1.01587750752,1.01606977784,1.00018926526,75151598.4909,76061654.571,910056.080028,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.20_last_recognition_month,1.05,0.4,0.2,last_recognition_month,2026Q3,4733211331,4808362929.49,4825049995.11,1.01587750752,1.01940303479,1.00347042556,75151598.4909,91838664.1089,16687065.618,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.20_prior_month_payment_fixing,0.95,0.4,0.2,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4804726784.45,1.01587750752,1.01510928806,0.999243787315,75151598.4909,71515453.4492,-3636145.04175,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.20_prior_month_payment_fixing,1,0.4,0.2,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4804726784.45,1.01587750752,1.01510928806,0.999243787315,75151598.4909,71515453.4492,-3636145.04175,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.20_prior_month_payment_fixing,1.05,0.4,0.2,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4804726784.45,1.01587750752,1.01510928806,0.999243787315,75151598.4909,71515453.4492,-3636145.04175,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.2,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.30_equal_recognition_months,0.95,0.4,0.3,equal_recognition_months,2026Q3,4733211331,4808362929.49,4797866057.87,1.01587750752,1.01365980142,0.997816955213,75151598.4909,64654726.8642,-10496871.6267,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.30_equal_recognition_months,1,0.4,0.3,equal_recognition_months,2026Q3,4733211331,4808362929.49,4805754562.64,1.01587750752,1.01532642989,0.999457535362,75151598.4909,72543231.6332,-2608366.85774,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.30_equal_recognition_months,1.05,0.4,0.3,equal_recognition_months,2026Q3,4733211331,4808362929.49,4813643067.41,1.01587750752,1.01699305837,1.00109811551,75151598.4909,80431736.4022,5280137.91124,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.30_first_recognition_month,0.95,0.4,0.3,first_recognition_month,2026Q3,4733211331,4808362929.49,4799864729.21,1.01587750752,1.01408206681,0.998232620871,75151598.4909,66653398.2043,-8498200.2866,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.30_first_recognition_month,1,0.4,0.3,first_recognition_month,2026Q3,4733211331,4808362929.49,4799864729.21,1.01587750752,1.01408206681,0.998232620871,75151598.4909,66653398.2043,-8498200.2866,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.30_first_recognition_month,1.05,0.4,0.3,first_recognition_month,2026Q3,4733211331,4808362929.49,4799864729.21,1.01587750752,1.01408206681,0.998232620871,75151598.4909,66653398.2043,-8498200.2866,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.30_last_recognition_month,0.95,0.4,0.3,last_recognition_month,2026Q3,4733211331,4808362929.49,4786062499.31,1.01587750752,1.01116602759,0.995362157451,75151598.4909,52851168.3041,-22300430.1869,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.30_last_recognition_month,1,0.4,0.3,last_recognition_month,2026Q3,4733211331,4808362929.49,4809728013.61,1.01587750752,1.016165913,1.0002838979,75151598.4909,76516682.611,1365084.12004,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.30_last_recognition_month,1.05,0.4,0.3,last_recognition_month,2026Q3,4733211331,4808362929.49,4833393527.92,1.01587750752,1.02116579842,1.00520563834,75151598.4909,100182196.918,25030598.427,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u0.30_prior_month_payment_fixing,0.95,0.4,0.3,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4802908711.93,1.01587750752,1.01472517833,0.998865680972,75151598.4909,69697380.9283,-5454217.56263,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u0.30_prior_month_payment_fixing,1,0.4,0.3,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4802908711.93,1.01587750752,1.01472517833,0.998865680972,75151598.4909,69697380.9283,-5454217.56263,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u0.30_prior_month_payment_fixing,1.05,0.4,0.3,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4802908711.93,1.01587750752,1.01472517833,0.998865680972,75151598.4909,69697380.9283,-5454217.56263,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0.3,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u1.00_equal_recognition_months,0.95,0.4,1,equal_recognition_months,2026Q3,4733211331,4808362929.49,4773373357.4,1.01587750752,1.00848515386,0.992723184044,75151598.4909,40162026.4019,-34989572.089,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u1.00_equal_recognition_months,1,0.4,1,equal_recognition_months,2026Q3,4733211331,4808362929.49,4799668373.3,1.01587750752,1.0140405821,0.998191784539,75151598.4909,66457042.2985,-8694556.19245,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u1.00_equal_recognition_months,1.05,0.4,1,equal_recognition_months,2026Q3,4733211331,4808362929.49,4825963389.2,1.01587750752,1.01959601034,1.00366038503,75151598.4909,92752058.1951,17600459.7041,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u1.00_first_recognition_month,0.95,0.4,1,first_recognition_month,2026Q3,4733211331,4808362929.49,4780035595.21,1.01587750752,1.00989270517,0.994108736236,75151598.4909,46824264.2023,-28327334.2887,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u1.00_first_recognition_month,1,0.4,1,first_recognition_month,2026Q3,4733211331,4808362929.49,4780035595.21,1.01587750752,1.00989270517,0.994108736236,75151598.4909,46824264.2023,-28327334.2887,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u1.00_first_recognition_month,1.05,0.4,1,first_recognition_month,2026Q3,4733211331,4808362929.49,4780035595.21,1.01587750752,1.00989270517,0.994108736236,75151598.4909,46824264.2023,-28327334.2887,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u1.00_last_recognition_month,0.95,0.4,1,last_recognition_month,2026Q3,4733211331,4808362929.49,4734028162.2,1.01587750752,1.00017257442,0.984540524836,75151598.4909,816831.201343,-74334767.2896,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u1.00_last_recognition_month,1,0.4,1,last_recognition_month,2026Q3,4733211331,4808362929.49,4812913209.89,1.01587750752,1.01683885914,1.00094632632,75151598.4909,79701878.8911,4550280.40013,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u1.00_last_recognition_month,1.05,0.4,1,last_recognition_month,2026Q3,4733211331,4808362929.49,4891798257.58,1.01587750752,1.03350514386,1.01735212781,75151598.4909,158586926.581,83435328.0899,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.40_u1.00_prior_month_payment_fixing,0.95,0.4,1,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4790182204.29,1.01587750752,1.01203641023,0.996218936575,75151598.4909,56970873.2822,-18180725.2088,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.40_u1.00_prior_month_payment_fixing,1,0.4,1,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4790182204.29,1.01587750752,1.01203641023,0.996218936575,75151598.4909,56970873.2822,-18180725.2088,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.40_u1.00_prior_month_payment_fixing,1.05,0.4,1,prior_month_payment_fixing,2026Q3,4733211331,4808362929.49,4790182204.29,1.01587750752,1.01203641023,0.996218936575,75151598.4909,56970873.2822,-18180725.2088,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,1,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.56_u0.00_equal_recognition_months,0.95,0.56,0,equal_recognition_months,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.56_u0.00_equal_recognition_months,1,0.56,0,equal_recognition_months,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.56_u0.00_equal_recognition_months,1.05,0.56,0,equal_recognition_months,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.56_u0.00_first_recognition_month,0.95,0.56,0,first_recognition_month,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.56_u0.00_first_recognition_month,1,0.56,0,first_recognition_month,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.56_u0.00_first_recognition_month,1.05,0.56,0,first_recognition_month,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.56_u0.00_last_recognition_month,0.95,0.56,0,last_recognition_month,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.56_u0.00_last_recognition_month,1,0.56,0,last_recognition_month,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.05_nonusd0.56_u0.00_last_recognition_month,1.05,0.56,0,last_recognition_month,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx0.95_nonusd0.56_u0.00_prior_month_payment_fixing,0.95,0.56,0,prior_month_payment_fixing,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
fx1.00_nonusd0.56_u0.00_prior_month_payment_fixing,1,0.56,0,prior_month_payment_fixing,2026Q3,4703150691.61,4808362929.49,4808362929.49,1.02237058618,1.02237058618,1,105212237.887,105212237.887,0,fixed_2025_daily_average_usd_per_unit,normalized_kernel_hedge_unresolved,unspecified_no_hedge_added,,1,0,2026-09-13,conditional_sensitivity_not_identified
