"date","measure","value"
"1996-10-01T00:00:00.000","Trucks","507303"
"1996-11-01T00:00:00.000","Buses","12882"
"1996-11-01T00:00:00.000","Bus Passengers","260237"
"1996-11-01T00:00:00.000","Pedestrians","20895"
"1996-11-01T00:00:00.000","Personal Vehicle Passengers","7005691"
"1996-11-01T00:00:00.000","Personal Vehicles","2886083"
"1996-11-01T00:00:00.000","Train Passengers","11069"
"1996-11-01T00:00:00.000","Trains","2629"
"1996-11-01T00:00:00.000","Trucks","459296"
"1996-12-01T00:00:00.000","Buses","10863"
"1996-12-01T00:00:00.000","Bus Passengers","230067"
"1996-12-01T00:00:00.000","Pedestrians","16449"
"1996-12-01T00:00:00.000","Personal Vehicle Passengers","7159086"
"1996-12-01T00:00:00.000","Personal Vehicles","2811916"
"1996-12-01T00:00:00.000","Train Passengers","13990"
"1996-12-01T00:00:00.000","Trains","2501"
"1996-12-01T00:00:00.000","Trucks","412045"
"1997-01-01T00:00:00.000","Buses","8605"
"1997-01-01T00:00:00.000","Bus Passengers","213538"
"1997-01-01T00:00:00.000","Pedestrians","16354"
"1997-01-01T00:00:00.000","Personal Vehicle Passengers","5990353"
"1997-01-01T00:00:00.000","Personal Vehicles","2552157"
"1997-01-01T00:00:00.000","Train Passengers","13133"
"1997-01-01T00:00:00.000","Trains","2559"
"1997-01-01T00:00:00.000","Trucks","473867"
"1997-02-01T00:00:00.000","Buses","9184"
"1997-02-01T00:00:00.000","Bus Passengers","223338"
"1997-02-01T00:00:00.000","Pedestrians","17550"
"1997-02-01T00:00:00.000","Personal Vehicle Passengers","6084033"
"1997-02-01T00:00:00.000","Personal Vehicles","2614001"
"1997-02-01T00:00:00.000","Train Passengers","11158"
"1997-02-01T00:00:00.000","Trains","2496"
"1997-02-01T00:00:00.000","Trucks","463472"
"1997-03-01T00:00:00.000","Buses","11625"
"1997-03-01T00:00:00.000","Bus Passengers","277805"
"1997-03-01T00:00:00.000","Pedestrians","21462"
"1997-03-01T00:00:00.000","Personal Vehicle Passengers","7214768"
"1997-03-01T00:00:00.000","Personal Vehicles","3033566"
"1997-03-01T00:00:00.000","Train Passengers","13266"
"1997-03-01T00:00:00.000","Trains","2781"
"1997-03-01T00:00:00.000","Trucks","482040"
"1997-04-01T00:00:00.000","Buses","12090"
"1997-04-01T00:00:00.000","Bus Passengers","314955"
"1997-04-01T00:00:00.000","Pedestrians","26863"
"1997-04-01T00:00:00.000","Personal Vehicle Passengers","6261678"
"1997-04-01T00:00:00.000","Personal Vehicles","2994074"
"1997-04-01T00:00:00.000","Train Passengers","14723"
"1997-04-01T00:00:00.000","Trains","2779"
"1997-04-01T00:00:00.000","Trucks","503242"
"1997-05-01T00:00:00.000","Buses","16610"
"1997-05-01T00:00:00.000","Bus Passengers","413658"
"1997-05-01T00:00:00.000","Pedestrians","81936"
"1997-05-01T00:00:00.000","Personal Vehicle Passengers","8040944"
"1997-05-01T00:00:00.000","Personal Vehicles","3387709"
"1997-05-01T00:00:00.000","Train Passengers","17818"
"1997-05-01T00:00:00.000","Trains","2805"
"1997-05-01T00:00:00.000","Trucks","499055"
"1997-06-01T00:00:00.000","Buses","17852"
"1997-06-01T00:00:00.000","Bus Passengers","419344"
"1997-06-01T00:00:00.000","Pedestrians","41707"
"1997-06-01T00:00:00.000","Personal Vehicle Passengers","8648522"
"1997-06-01T00:00:00.000","Personal Vehicles","3555250"
"1997-06-01T00:00:00.000","Train Passengers","23581"
"1997-06-01T00:00:00.000","Trains","2869"
"1997-06-01T00:00:00.000","Trucks","500868"
"1997-07-01T00:00:00.000","Buses","18587"
"1997-07-01T00:00:00.000","Bus Passengers","453718"
"1997-07-01T00:00:00.000","Pedestrians","49183"
"1997-07-01T00:00:00.000","Personal Vehicle Passengers","10384078"
"1997-07-01T00:00:00.000","Personal Vehicles","4219377"
"1997-07-01T00:00:00.000","Train Passengers","51278"
"1997-07-01T00:00:00.000","Trains","2766"
"1997-07-01T00:00:00.000","Trucks","460960"
"1997-08-01T00:00:00.000","Buses","20320"
"1997-08-01T00:00:00.000","Bus Passengers","504837"
"1997-08-01T00:00:00.000","Pedestrians","125157"
"1997-08-01T00:00:00.000","Personal Vehicle Passengers","10943228"
"1997-08-01T00:00:00.000","Personal Vehicles","4544532"
"1997-08-01T00:00:00.000","Train Passengers","33630"
"1997-08-01T00:00:00.000","Trains","2814"
"1997-08-01T00:00:00.000","Trucks","474190"
"1997-09-01T00:00:00.000","Buses","16102"
"1997-09-01T00:00:00.000","Bus Passengers","385965"
"1997-09-01T00:00:00.000","Pedestrians","76543"
"1997-09-01T00:00:00.000","Personal Vehicle Passengers","8599309"
"1997-09-01T00:00:00.000","Personal Vehicles","3417495"
"1997-09-01T00:00:00.000","Train Passengers","20985"
"1997-09-01T00:00:00.000","Trains","2867"
"1997-09-01T00:00:00.000","Trucks","510671"
"1997-10-01T00:00:00.000","Buses","13527"
"1997-10-01T00:00:00.000","Bus Passengers","335772"
"1997-10-01T00:00:00.000","Pedestrians","27225"
"1997-10-01T00:00:00.000","Personal Vehicle Passengers","7572362"
"1997-10-01T00:00:00.000","Personal Vehicles","3150381"
"1997-10-01T00:00:00.000","Train Passengers","17255"
"1997-10-01T00:00:00.000","Trains","2557"
"1997-10-01T00:00:00.000","Trucks","516240"
"1997-11-01T00:00:00.000","Buses","9910"
"1997-11-01T00:00:00.000","Bus Passengers","267643"
"1997-11-01T00:00:00.000","Pedestrians","34279"
"1997-11-01T00:00:00.000","Personal Vehicle Passengers","6752567"
"1997-11-01T00:00:00.000","Personal Vehicles","2858858"
"1997-11-01T00:00:00.000","Train Passengers","15291"
"1997-11-01T00:00:00.000","Trains","2777"
"1997-11-01T00:00:00.000","Trucks","490730"
"1997-12-01T00:00:00.000","Buses","9808"
"1997-12-01T00:00:00.000","Bus Passengers","313680"
"1997-12-01T00:00:00.000","Pedestrians","31616"
"1997-12-01T00:00:00.000","Personal Vehicle Passengers","6155147"
"1997-12-01T00:00:00.000","Personal Vehicles","2622825"
"1997-12-01T00:00:00.000","Train Passengers","16988"
"1997-12-01T00:00:00.000","Trains","2793"
"1997-12-01T00:00:00.000","Trucks","451639"
"1998-01-01T00:00:00.000","Buses","9602"
"1998-01-01T00:00:00.000","Bus Passengers","200814"
"1998-01-01T00:00:00.000","Pedestrians","27799"
"1998-01-01T00:00:00.000","Personal Vehicle Passengers","5826406"
"1998-01-01T00:00:00.000","Personal Vehicles","2504823"
"1998-01-01T00:00:00.000","Train Passengers","15617"
"1998-01-01T00:00:00.000","Trains","2880"
"1998-01-01T00:00:00.000","Trucks","487587"
"1998-02-01T00:00:00.000","Buses","10103"
"1998-02-01T00:00:00.000","Bus Passengers","217992"
"1998-02-01T00:00:00.000","Pedestrians","25561"
"1998-02-01T00:00:00.000","Personal Vehicle Passengers","5876741"
"1998-02-01T00:00:00.000","Personal Vehicles","2507357"
"1998-02-01T00:00:00.000","Train Passengers","15453"
"1998-02-01T00:00:00.000","Trains","2778"
"1998-02-01T00:00:00.000","Trucks","490822"
"1998-03-01T00:00:00.000","Buses","10969"
"1998-03-01T00:00:00.000","Bus Passengers","242737"
"1998-03-01T00:00:00.000","Pedestrians","27687"
"1998-03-01T00:00:00.000","Personal Vehicle Passengers","6513374"
"1998-03-01T00:00:00.000","Personal Vehicles","2770818"
"1998-03-01T00:00:00.000","Train Passengers","16523"
"1998-03-01T00:00:00.000","Trains","2958"
"1998-03-01T00:00:00.000","Trucks","554052"
"1998-04-01T00:00:00.000","Buses","13252"
"1998-04-01T00:00:00.000","Bus Passengers","314888"
"1998-04-01T00:00:00.000","Pedestrians","34664"
"1998-04-01T00:00:00.000","Personal Vehicle Passengers","7091059"
"1998-04-01T00:00:00.000","Personal Vehicles","2925192"
"1998-04-01T00:00:00.000","Train Passengers","17792"
"1998-04-01T00:00:00.000","Trains","2883"
"1998-04-01T00:00:00.000","Trucks","535958"
"1998-05-01T00:00:00.000","Buses","17113"
"1998-05-01T00:00:00.000","Bus Passengers","411332"
"1998-05-01T00:00:00.000","Pedestrians","75936"
"1998-05-01T00:00:00.000","Personal Vehicle Passengers","7589843"
"1998-05-01T00:00:00.000","Personal Vehicles","3208112"
"1998-05-01T00:00:00.000","Train Passengers","20434"
"1998-05-01T00:00:00.000","Trains","2882"
"1998-05-01T00:00:00.000","Trucks","535394"
"1998-06-01T00:00:00.000","Buses","18810"
"1998-06-01T00:00:00.000","Bus Passengers","434358"
"1998-06-01T00:00:00.000","Pedestrians","74913"
"1998-06-01T00:00:00.000","Personal Vehicle Passengers","7938073"
"1998-06-01T00:00:00.000","Personal Vehicles","3268398"
"1998-06-01T00:00:00.000","Train Passengers","25519"
"1998-06-01T00:00:00.000","Trains","2722"
"1998-06-01T00:00:00.000","Trucks","539513"
"1998-07-01T00:00:00.000","Buses","20089"
"1998-07-01T00:00:00.000","Bus Passengers","456603"
"1998-07-01T00:00:00.000","Pedestrians","83067"
"1998-07-01T00:00:00.000","Personal Vehicle Passengers","10112279"
"1998-07-01T00:00:00.000","Personal Vehicles","4012998"
"1998-07-01T00:00:00.000","Train Passengers","30824"
"1998-07-01T00:00:00.000","Trains","2544"
"1998-07-01T00:00:00.000","Trucks","483125"
"1998-08-01T00:00:00.000","Buses","20398"
"1998-08-01T00:00:00.000","Bus Passengers","469482"
"1998-08-01T00:00:00.000","Pedestrians","80025"
"1998-08-01T00:00:00.000","Personal Vehicle Passengers","10255759"
"1998-08-01T00:00:00.000","Personal Vehicles","3913485"
"1998-08-01T00:00:00.000","Train Passengers","32218"
"1998-08-01T00:00:00.000","Trains","2684"
"1998-08-01T00:00:00.000","Trucks","525098"
"1998-09-01T00:00:00.000","Buses","16735"
"1998-09-01T00:00:00.000","Bus Passengers","389230"
"1998-09-01T00:00:00.000","Pedestrians","53868"
"1998-09-01T00:00:00.000","Personal Vehicle Passengers","7947548"
"1998-09-01T00:00:00.000","Personal Vehicles","3285508"
"1998-09-01T00:00:00.000","Train Passengers","22484"
"1998-09-01T00:00:00.000","Trains","2746"
"1998-09-01T00:00:00.000","Trucks","558764"
"1998-10-01T00:00:00.000","Buses","14379"
"1998-10-01T00:00:00.000","Bus Passengers","324912"
"1998-10-01T00:00:00.000","Pedestrians","42992"
"1998-10-01T00:00:00.000","Personal Vehicle Passengers","7090153"
"1998-10-01T00:00:00.000","Personal Vehicles","2988293"
"1998-10-01T00:00:00.000","Train Passengers","17230"
"1998-10-01T00:00:00.000","Trains","2785"
"1998-10-01T00:00:00.000","Trucks","541898"
"1998-11-01T00:00:00.000","Buses","11617"
"1998-11-01T00:00:00.000","Bus Passengers","296294"
"1998-11-01T00:00:00.000","Pedestrians","33591"
"1998-11-01T00:00:00.000","Personal Vehicle Passengers","6139896"
"1998-11-01T00:00:00.000","Personal Vehicles","2665949"
"1998-11-01T00:00:00.000","Train Passengers","15182"
"1998-11-01T00:00:00.000","Trains","2681"
"1998-11-01T00:00:00.000","Trucks","528285"
"1998-12-01T00:00:00.000","Buses","10396"
"1998-12-01T00:00:00.000","Bus Passengers","211030"
"1998-12-01T00:00:00.000","Pedestrians","38366"
"1998-12-01T00:00:00.000","Personal Vehicle Passengers","5902056"
"1998-12-01T00:00:00.000","Personal Vehicles","2545873"
"1998-12-01T00:00:00.000","Train Passengers","16657"
"1998-12-01T00:00:00.000","Trains","2592"
"1998-12-01T00:00:00.000","Trucks","490438"
"1999-01-01T00:00:00.000","Buses","9010"
"1999-01-01T00:00:00.000","Bus Passengers","188428"
"1999-01-01T00:00:00.000","Pedestrians","21096"
"1999-01-01T00:00:00.000","Personal Vehicle Passengers","5349130"
"1999-01-01T00:00:00.000","Personal Vehicles","2276851"
"1999-01-01T00:00:00.000","Train Passengers","15547"
"1999-01-01T00:00:00.000","Trains","2815"
"1999-01-01T00:00:00.000","Trucks","520907"
"1999-02-01T00:00:00.000","Buses","10174"
"1999-02-01T00:00:00.000","Bus Passengers","223511"
"1999-02-01T00:00:00.000","Pedestrians","24990"
"1999-02-01T00:00:00.000","Personal Vehicle Passengers","5705666"
"1999-02-01T00:00:00.000","Personal Vehicles","2396230"
"1999-02-01T00:00:00.000","Train Passengers","14324"
"1999-02-01T00:00:00.000","Trains","2713"
"1999-02-01T00:00:00.000","Trucks","524723"
"1999-03-01T00:00:00.000","Buses","10605"
"1999-03-01T00:00:00.000","Bus Passengers","234546"
"1999-03-01T00:00:00.000","Pedestrians","24134"
"1999-03-01T00:00:00.000","Personal Vehicle Passengers","6327011"
"1999-03-01T00:00:00.000","Personal Vehicles","2699899"
"1999-03-01T00:00:00.000","Train Passengers","15255"
"1999-03-01T00:00:00.000","Trains","2891"
"1999-03-01T00:00:00.000","Trucks","594737"
"1999-04-01T00:00:00.000","Buses","13294"
"1999-04-01T00:00:00.000","Bus Passengers","342981"
"1999-04-01T00:00:00.000","Pedestrians","27792"
"1999-04-01T00:00:00.000","Personal Vehicle Passengers","6416075"
"1999-04-01T00:00:00.000","Personal Vehicles","2797112"
"1999-04-01T00:00:00.000","Train Passengers","17930"
"1999-04-01T00:00:00.000","Trains","2816"
"1999-04-01T00:00:00.000","Trucks","572772"
"1999-05-01T00:00:00.000","Buses","18065"
"1999-05-01T00:00:00.000","Bus Passengers","473262"
"1999-05-01T00:00:00.000","Pedestrians","74546"
"1999-05-01T00:00:00.000","Personal Vehicle Passengers","9073447"
"1999-05-01T00:00:00.000","Personal Vehicles","3217670"
"1999-05-01T00:00:00.000","Train Passengers","20959"
"1999-05-01T00:00:00.000","Trains","2899"
"1999-05-01T00:00:00.000","Trucks","571670"
"1999-06-01T00:00:00.000","Buses","19285"
"1999-06-01T00:00:00.000","Bus Passengers","475393"
"1999-06-01T00:00:00.000","Pedestrians","84100"
"1999-06-01T00:00:00.000","Personal Vehicle Passengers","8328156"
"1999-06-01T00:00:00.000","Personal Vehicles","3414833"
"1999-06-01T00:00:00.000","Train Passengers","25423"
"1999-06-01T00:00:00.000","Trains","2756"
"1999-06-01T00:00:00.000","Trucks","596134"
"1999-07-01T00:00:00.000","Buses","22135"
"1999-07-01T00:00:00.000","Bus Passengers","544407"
"1999-07-01T00:00:00.000","Pedestrians","80203"
"1999-07-01T00:00:00.000","Personal Vehicle Passengers","10048010"
"1999-07-01T00:00:00.000","Personal Vehicles","4213561"
"1999-07-01T00:00:00.000","Train Passengers","31441"
"1999-07-01T00:00:00.000","Trains","2706"
"1999-07-01T00:00:00.000","Trucks","517183"
"1999-08-01T00:00:00.000","Buses","20914"
"1999-08-01T00:00:00.000","Bus Passengers","519084"
"1999-08-01T00:00:00.000","Pedestrians","80060"
"1999-08-01T00:00:00.000","Personal Vehicle Passengers","10406124"
"1999-08-01T00:00:00.000","Personal Vehicles","4094235"
"1999-08-01T00:00:00.000","Train Passengers","33745"
"1999-08-01T00:00:00.000","Trains","2805"
"1999-08-01T00:00:00.000","Trucks","597454"
"1999-09-01T00:00:00.000","Buses","18072"
"1999-09-01T00:00:00.000","Bus Passengers","428805"
"1999-09-01T00:00:00.000","Pedestrians","52797"
"1999-09-01T00:00:00.000","Personal Vehicle Passengers","8054542"
"1999-09-01T00:00:00.000","Personal Vehicles","3405350"
"1999-09-01T00:00:00.000","Train Passengers","24431"
"1999-09-01T00:00:00.000","Trains","2574"
"1999-09-01T00:00:00.000","Trucks","588852"
"1999-10-01T00:00:00.000","Buses","15398"
"1999-10-01T00:00:00.000","Bus Passengers","395318"
"1999-10-01T00:00:00.000","Pedestrians","44926"
"1999-10-01T00:00:00.000","Personal Vehicle Passengers","7285038"
"1999-10-01T00:00:00.000","Personal Vehicles","3183898"
"1999-10-01T00:00:00.000","Train Passengers","18590"
"1999-10-01T00:00:00.000","Trains","2740"
"1999-10-01T00:00:00.000","Trucks","601920"
"1999-11-01T00:00:00.000","Buses","14278"
"1999-11-01T00:00:00.000","Bus Passengers","306868"
"1999-11-01T00:00:00.000","Pedestrians","32282"
"1999-11-01T00:00:00.000","Personal Vehicle Passengers","6349831"
"1999-11-01T00:00:00.000","Personal Vehicles","2814074"
"1999-11-01T00:00:00.000","Train Passengers","15159"
"1999-11-01T00:00:00.000","Trains","2686"
"1999-11-01T00:00:00.000","Trucks","599462"
"1999-12-01T00:00:00.000","Buses","10447"
"1999-12-01T00:00:00.000","Bus Passengers","234869"
"1999-12-01T00:00:00.000","Pedestrians","40904"
"1999-12-01T00:00:00.000","Personal Vehicle Passengers","6026165"
"1999-12-01T00:00:00.000","Personal Vehicles","2706197"
"1999-12-01T00:00:00.000","Train Passengers","16368"
"1999-12-01T00:00:00.000","Trains","2529"
"1999-12-01T00:00:00.000","Trucks","531633"
"2000-01-01T00:00:00.000","Buses","10534"
"2000-01-01T00:00:00.000","Bus Passengers","234924"
"2000-01-01T00:00:00.000","Pedestrians","20905"
"2000-01-01T00:00:00.000","Personal Vehicle Passengers","5322407"
"2000-01-01T00:00:00.000","Personal Vehicles","2414248"
"2000-01-01T00:00:00.000","Train Passengers","14747"
"2000-01-01T00:00:00.000","Trains","2573"
"2000-01-01T00:00:00.000","Trucks","562610"
"2000-02-01T00:00:00.000","Buses","11564"
"2000-02-01T00:00:00.000","Bus Passengers","268268"
"2000-02-01T00:00:00.000","Pedestrians","26137"
"2000-02-01T00:00:00.000","Personal Vehicle Passengers","5442787"
"2000-02-01T00:00:00.000","Personal Vehicles","2478054"
"2000-02-01T00:00:00.000","Train Passengers","15337"
"2000-02-01T00:00:00.000","Trains","2718"
"2000-02-01T00:00:00.000","Trucks","573543"
"2000-03-01T00:00:00.000","Buses","12044"
"2000-03-01T00:00:00.000","Bus Passengers","282823"
"2000-03-01T00:00:00.000","Pedestrians","26551"
"2000-03-01T00:00:00.000","Personal Vehicle Passengers","7000236"
"2000-03-01T00:00:00.000","Personal Vehicles","2859058"
"2000-03-01T00:00:00.000","Train Passengers","17383"
"2000-03-01T00:00:00.000","Trains","2973"
"2000-03-01T00:00:00.000","Trucks","636750"
"2000-04-01T00:00:00.000","Buses","14265"
"2000-04-01T00:00:00.000","Bus Passengers","336697"
"2000-04-01T00:00:00.000","Pedestrians","29363"
"2000-04-01T00:00:00.000","Personal Vehicle Passengers","7356805"
"2000-04-01T00:00:00.000","Personal Vehicles","2866784"
"2000-04-01T00:00:00.000","Train Passengers","18947"
"2000-04-01T00:00:00.000","Trains","2759"
"2000-04-01T00:00:00.000","Trucks","574997"
"2000-05-01T00:00:00.000","Buses","17306"
"2000-05-01T00:00:00.000","Bus Passengers","453253"
"2000-05-01T00:00:00.000","Pedestrians","58651"
"2000-05-01T00:00:00.000","Personal Vehicle Passengers","8053354"
"2000-05-01T00:00:00.000","Personal Vehicles","3086634"
"2000-05-01T00:00:00.000","Train Passengers","19130"
"2000-05-01T00:00:00.000","Trains","2842"
"2000-05-01T00:00:00.000","Trucks","635253"
"2000-06-01T00:00:00.000","Buses","20314"
"2000-06-01T00:00:00.000","Bus Passengers","548269"
"2000-06-01T00:00:00.000","Pedestrians","74429"
"2000-06-01T00:00:00.000","Personal Vehicle Passengers","8378207"
"2000-06-01T00:00:00.000","Personal Vehicles","3270220"
"2000-06-01T00:00:00.000","Train Passengers","28451"
"2000-06-01T00:00:00.000","Trains","2757"
"2000-06-01T00:00:00.000","Trucks","613340"
"2000-07-01T00:00:00.000","Buses","21755"
"2000-07-01T00:00:00.000","Bus Passengers","575806"
"2000-07-01T00:00:00.000","Pedestrians","79892"
"2000-07-01T00:00:00.000","Personal Vehicle Passengers","10686762"
"2000-07-01T00:00:00.000","Personal Vehicles","4159358"
"2000-07-01T00:00:00.000","Train Passengers","36693"
"2000-07-01T00:00:00.000","Trains","2768"
"2000-07-01T00:00:00.000","Trucks","528835"
"2000-08-01T00:00:00.000","Buses","21673"
"2000-08-01T00:00:00.000","Bus Passengers","587211"
"2000-08-01T00:00:00.000","Pedestrians","83052"
"2000-08-01T00:00:00.000","Personal Vehicle Passengers","10387658"
"2000-08-01T00:00:00.000","Personal Vehicles","4094125"
"2000-08-01T00:00:00.000","Train Passengers","40216"
"2000-08-01T00:00:00.000","Trains","2880"
"2000-08-01T00:00:00.000","Trucks","631873"
"2000-09-01T00:00:00.000","Buses","20752"
"2000-09-01T00:00:00.000","Bus Passengers","553103"
"2000-09-01T00:00:00.000","Pedestrians","58446"
"2000-09-01T00:00:00.000","Personal Vehicle Passengers","8079059"
"2000-09-01T00:00:00.000","Personal Vehicles","3375291"
"2000-09-01T00:00:00.000","Train Passengers","24877"
"2000-09-01T00:00:00.000","Trains","2808"
"2000-09-01T00:00:00.000","Trucks","588557"
"2000-10-01T00:00:00.000","Buses","16227"
"2000-10-01T00:00:00.000","Bus Passengers","441070"
"2000-10-01T00:00:00.000","Pedestrians","47974"
"2000-10-01T00:00:00.000","Personal Vehicle Passengers","7193370"
"2000-10-01T00:00:00.000","Personal Vehicles","3139788"
"2000-10-01T00:00:00.000","Train Passengers","20175"
"2000-10-01T00:00:00.000","Trains","2908"
"2000-10-01T00:00:00.000","Trucks","626833"
"2000-11-01T00:00:00.000","Buses","11775"
"2000-11-01T00:00:00.000","Bus Passengers","304928"
"2000-11-01T00:00:00.000","Pedestrians","37006"
"2000-11-01T00:00:00.000","Personal Vehicle Passengers","6248585"
"2000-11-01T00:00:00.000","Personal Vehicles","2678751"
"2000-11-01T00:00:00.000","Train Passengers","15434"
"2000-11-01T00:00:00.000","Trains","2851"
"2000-11-01T00:00:00.000","Trucks","600470"
"2000-12-01T00:00:00.000","Buses","11055"
"2000-12-01T00:00:00.000","Bus Passengers","286591"
"2000-12-01T00:00:00.000","Pedestrians","45110"
"2000-12-01T00:00:00.000","Personal Vehicle Passengers","5897718"
"2000-12-01T00:00:00.000","Personal Vehicles","2492742"
"2000-12-01T00:00:00.000","Train Passengers","18112"
"2000-12-01T00:00:00.000","Trains","2610"
"2000-12-01T00:00:00.000","Trucks","475067"
"2001-01-01T00:00:00.000","Buses","10498"
"2001-01-01T00:00:00.000","Bus Passengers","264677"
"2001-01-01T00:00:00.000","Pedestrians","25092"
"2001-01-01T00:00:00.000","Personal Vehicle Passengers","5868379"
"2001-01-01T00:00:00.000","Personal Vehicles","2507473"
"2001-01-01T00:00:00.000","Train Passengers","15074"
"2001-01-01T00:00:00.000","Trains","2842"
"2001-01-01T00:00:00.000","Trucks","579172"
"2001-02-01T00:00:00.000","Buses","10915"
"2001-02-01T00:00:00.000","Bus Passengers","279293"
"2001-02-01T00:00:00.000","Pedestrians","31587"
"2001-02-01T00:00:00.000","Personal Vehicle Passengers","4972004"
"2001-02-01T00:00:00.000","Personal Vehicles","2346471"
"2001-02-01T00:00:00.000","Train Passengers","14505"
"2001-02-01T00:00:00.000","Trains","2701"
"2001-02-01T00:00:00.000","Trucks","532495"
"2001-03-01T00:00:00.000","Buses","12486"
"2001-03-01T00:00:00.000","Bus Passengers","327366"
"2001-03-01T00:00:00.000","Pedestrians","31446"
"2001-03-01T00:00:00.000","Personal Vehicle Passengers","6286079"
"2001-03-01T00:00:00.000","Personal Vehicles","2787843"
"2001-03-01T00:00:00.000","Train Passengers","17558"
"2001-03-01T00:00:00.000","Trains","2911"
"2001-03-01T00:00:00.000","Trucks","596446"
"2001-04-01T00:00:00.000","Buses","12991"
"2001-04-01T00:00:00.000","Bus Passengers","357153"
"2001-04-01T00:00:00.000","Pedestrians","35221"
"2001-04-01T00:00:00.000","Personal Vehicle Passengers","5949378"
"2001-04-01T00:00:00.000","Personal Vehicles","2820914"
"2001-04-01T00:00:00.000","Train Passengers","18367"
