variant,region,quarter,candidate,pred_pp,actual_pp,actual_usable
L_fixed_hicp,emea,1Q25,hicp_ea_accommodation|level|lag0,4.282870027167617,4.0,True
L_reg_lastq,emea,1Q25,last_q,6.0,4.0,True
L_reg_persist,emea,1Q25,persistence,5.30685,4.0,True
L_wf_rel,emea,1Q25,last_q,6.0,4.0,True
L_wf_own,emea,1Q25,ar1,5.437416711621249,4.0,True
L_wf,emea,2Q25,hicp_ea_accommodation|level|lag0,3.643209487602517,3.0,True
L_wf_gap_lastq,emea,2Q25,hicp_ea_accommodation|level|lag0,3.643209487602517,3.0,True
L_fixed_hicp,emea,2Q25,hicp_ea_accommodation|level|lag0,3.643209487602517,3.0,True
L_reg_lastq,emea,2Q25,last_q,4.0,3.0,True
L_reg_persist,emea,2Q25,persistence,5.0,3.0,True
L_wf_rel,emea,2Q25,hicp_ea_accommodation|level|lag0,3.643209487602517,3.0,True
L_wf_own,emea,2Q25,ar1,4.93929992755848,3.0,True
L_wf,emea,3Q25,hicp_ea_accommodation|level|lag0,2.296869799374978,4.0,True
L_wf_gap_lastq,emea,3Q25,hicp_ea_accommodation|level|lag0,2.296869799374978,4.0,True
L_fixed_hicp,emea,3Q25,hicp_ea_accommodation|level|lag0,2.296869799374978,4.0,True
L_reg_lastq,emea,3Q25,last_q,3.0,4.0,True
L_reg_persist,emea,3Q25,persistence,3.5,4.0,True
L_wf_rel,emea,3Q25,hicp_ea_accommodation|level|lag0,2.296869799374978,4.0,True
L_wf_own,emea,3Q25,ar1,4.3530627484079805,4.0,True
L_wf,emea,4Q25,hicp_ea_accommodation|level|lag0,3.2720630728626485,4.0,True
L_wf_gap_lastq,emea,4Q25,hicp_ea_accommodation|level|lag0,3.2720630728626485,4.0,True
L_fixed_hicp,emea,4Q25,hicp_ea_accommodation|level|lag0,3.2720630728626485,4.0,True
L_reg_lastq,emea,4Q25,last_q,4.0,4.0,True
L_reg_persist,emea,4Q25,persistence,3.5,4.0,True
L_wf_rel,emea,4Q25,hicp_ea_accommodation|level|lag0,3.2720630728626485,4.0,True
L_wf_own,emea,4Q25,ar1,4.513360425503118,4.0,True
L_wf,emea,1Q26,hicp_ea_accommodation|level|lag0,3.953784161924556,4.0,True
L_wf_gap_lastq,emea,1Q26,hicp_ea_accommodation|level|lag0,3.953784161924556,4.0,True
L_fixed_hicp,emea,1Q26,hicp_ea_accommodation|level|lag0,3.953784161924556,4.0,True
L_reg_lastq,emea,1Q26,last_q,4.0,4.0,True
L_reg_persist,emea,1Q26,persistence,4.0,4.0,True
L_wf_rel,emea,1Q26,hicp_ea_accommodation|level|lag0,3.953784161924556,4.0,True
L_wf_own,emea,1Q26,ar1,4.4467493090479735,4.0,True
L_wf,emea,2Q26,hicp_ea_accommodation|level|lag0,4.260350481894,5.0,True
L_wf_gap_lastq,emea,2Q26,hicp_ea_accommodation|level|lag0,4.260350481894,5.0,True
L_fixed_hicp,emea,2Q26,hicp_ea_accommodation|level|lag0,4.260350481894,5.0,True
L_reg_lastq,emea,2Q26,last_q,4.0,5.0,True
L_reg_persist,emea,2Q26,persistence,4.0,5.0,True
L_wf_rel,emea,2Q26,hicp_ea_accommodation|level|lag0,4.260350481894,5.0,True
L_wf_own,emea,2Q26,ar1,4.395439084151815,5.0,True
L_wf,latam,1Q24,last_q,-2.7994,-4.4003,False
L_wf_gap_lastq,latam,1Q24,last_q,-2.7994,-4.4003,False
L_fixed_hicp,latam,1Q24,last_q,-2.7994,-4.4003,False
L_reg_lastq,latam,1Q24,last_q,-2.7994,-4.4003,False
L_reg_persist,latam,1Q24,persistence,-3.2636,-4.4003,False
L_wf_rel,latam,1Q24,last_q,-2.7994,-4.4003,False
L_wf_own,latam,1Q24,last_q,-2.7994,-4.4003,False
L_wf,latam,2Q24,last_q,-4.4003,-0.1754,False
L_wf_gap_lastq,latam,2Q24,last_q,-4.4003,-0.1754,False
L_fixed_hicp,latam,2Q24,last_q,-4.4003,-0.1754,False
L_reg_lastq,latam,2Q24,last_q,-4.4003,-0.1754,False
L_reg_persist,latam,2Q24,persistence,-3.59985,-0.1754,False
L_wf_rel,latam,2Q24,last_q,-4.4003,-0.1754,False
L_wf_own,latam,2Q24,last_q,-4.4003,-0.1754,False
L_wf,latam,3Q24,last_q,-0.1754,4.724,False
L_wf_gap_lastq,latam,3Q24,last_q,-0.1754,4.724,False
L_fixed_hicp,latam,3Q24,last_q,-0.1754,4.724,False
L_reg_lastq,latam,3Q24,last_q,-0.1754,4.724,False
L_reg_persist,latam,3Q24,persistence,-2.28785,4.724,False
L_wf_rel,latam,3Q24,last_q,-0.1754,4.724,False
L_wf_own,latam,3Q24,last_q,-0.1754,4.724,False
L_wf,latam,4Q24,last_q,4.724,4.0,True
L_wf_gap_lastq,latam,4Q24,last_q,4.724,4.0,True
L_fixed_hicp,latam,4Q24,last_q,4.724,4.0,True
L_reg_lastq,latam,4Q24,last_q,4.724,4.0,True
L_reg_persist,latam,4Q24,persistence,2.2743,4.0,True
L_wf_rel,latam,4Q24,last_q,4.724,4.0,True
L_wf_own,latam,4Q24,last_q,4.724,4.0,True
L_wf,latam,1Q25,last_q,4.0,2.0,True
L_wf_gap_lastq,latam,1Q25,last_q,4.0,2.0,True
L_fixed_hicp,latam,1Q25,last_q,4.0,2.0,True
L_reg_lastq,latam,1Q25,last_q,4.0,2.0,True
L_reg_persist,latam,1Q25,last_q (persistence unavailable),4.0,2.0,True
L_wf_rel,latam,1Q25,last_q,4.0,2.0,True
L_wf_own,latam,1Q25,last_q,4.0,2.0,True
L_wf,latam,2Q25,last_q,2.0,2.0,True
L_wf_gap_lastq,latam,2Q25,last_q,2.0,2.0,True
L_fixed_hicp,latam,2Q25,last_q,2.0,2.0,True
L_reg_lastq,latam,2Q25,last_q,2.0,2.0,True
L_reg_persist,latam,2Q25,persistence,3.0,2.0,True
L_wf_rel,latam,2Q25,last_q,2.0,2.0,True
L_wf_own,latam,2Q25,last_q,2.0,2.0,True
L_wf,latam,3Q25,last_q,2.0,3.0,True
L_wf_gap_lastq,latam,3Q25,last_q,2.0,3.0,True
L_fixed_hicp,latam,3Q25,last_q,2.0,3.0,True
L_reg_lastq,latam,3Q25,last_q,2.0,3.0,True
L_reg_persist,latam,3Q25,persistence,2.0,3.0,True
L_wf_rel,latam,3Q25,last_q,2.0,3.0,True
L_wf_own,latam,3Q25,last_q,2.0,3.0,True
L_wf,latam,4Q25,last_q,3.0,3.0,True
L_wf_gap_lastq,latam,4Q25,last_q,3.0,3.0,True
L_fixed_hicp,latam,4Q25,last_q,3.0,3.0,True
L_reg_lastq,latam,4Q25,last_q,3.0,3.0,True
L_reg_persist,latam,4Q25,persistence,2.5,3.0,True
L_wf_rel,latam,4Q25,last_q,3.0,3.0,True
L_wf_own,latam,4Q25,last_q,3.0,3.0,True
L_wf,latam,1Q26,last_q,3.0,3.0,True
L_wf_gap_lastq,latam,1Q26,last_q,3.0,3.0,True
L_fixed_hicp,latam,1Q26,last_q,3.0,3.0,True
L_reg_lastq,latam,1Q26,last_q,3.0,3.0,True
L_reg_persist,latam,1Q26,persistence,3.0,3.0,True
L_wf_rel,latam,1Q26,last_q_ex_size,2.8467709814931164,3.0,True
L_wf_own,latam,1Q26,last_q,3.0,3.0,True
L_wf,latam,2Q26,last_q,3.0,2.0,True
L_wf_gap_lastq,latam,2Q26,last_q,3.0,2.0,True
L_fixed_hicp,latam,2Q26,last_q,3.0,2.0,True
L_reg_lastq,latam,2Q26,last_q,3.0,2.0,True
L_reg_persist,latam,2Q26,persistence,3.0,2.0,True
L_wf_rel,latam,2Q26,last_q_ex_size,3.267025406902037,2.0,True
L_wf_own,latam,2Q26,last_q,3.0,2.0,True
L_wf,apac,1Q24,last_q,1.848,4.0312,False
L_wf_gap_lastq,apac,1Q24,last_q,1.848,4.0312,False
L_fixed_hicp,apac,1Q24,last_q,1.848,4.0312,False
L_reg_lastq,apac,1Q24,last_q,1.848,4.0312,False
L_reg_persist,apac,1Q24,persistence,3.2085,4.0312,False
L_wf_rel,apac,1Q24,last_q,1.848,4.0312,False
L_wf_own,apac,1Q24,last_q,1.848,4.0312,False
L_wf,apac,2Q24,last_q,4.0312,2.3195,False
L_wf_gap_lastq,apac,2Q24,last_q,4.0312,2.3195,False
L_fixed_hicp,apac,2Q24,last_q,4.0312,2.3195,False
L_reg_lastq,apac,2Q24,last_q,4.0312,2.3195,False
L_reg_persist,apac,2Q24,persistence,2.9396,2.3195,False
L_wf_rel,apac,2Q24,last_q,4.0312,2.3195,False
L_wf_own,apac,2Q24,last_q,4.0312,2.3195,False
L_wf,apac,3Q24,last_q,2.3195,-1.5166,False
L_wf_gap_lastq,apac,3Q24,last_q,2.3195,-1.5166,False
L_fixed_hicp,apac,3Q24,last_q,2.3195,-1.5166,False
L_reg_lastq,apac,3Q24,last_q,2.3195,-1.5166,False
L_reg_persist,apac,3Q24,persistence,3.17535,-1.5166,False
L_wf_rel,apac,3Q24,last_q,2.3195,-1.5166,False
L_wf_own,apac,3Q24,last_q,2.3195,-1.5166,False
L_wf,apac,4Q24,last_q,-1.5166,2.0,True
L_wf_gap_lastq,apac,4Q24,last_q,-1.5166,2.0,True
L_fixed_hicp,apac,4Q24,last_q,-1.5166,2.0,True
L_reg_lastq,apac,4Q24,last_q,-1.5166,2.0,True
L_reg_persist,apac,4Q24,persistence,0.4014500000000001,2.0,True
L_wf_rel,apac,4Q24,last_q,-1.5166,2.0,True
L_wf_own,apac,4Q24,last_q,-1.5166,2.0,True
L_wf,apac,1Q25,last_q,2.0,3.0,True
L_wf_gap_lastq,apac,1Q25,last_q,2.0,3.0,True
L_fixed_hicp,apac,1Q25,last_q,2.0,3.0,True
L_reg_lastq,apac,1Q25,last_q,2.0,3.0,True
L_reg_persist,apac,1Q25,last_q (persistence unavailable),2.0,3.0,True
L_wf_rel,apac,1Q25,last_q,2.0,3.0,True
L_wf_own,apac,1Q25,last_q,2.0,3.0,True
L_wf,apac,2Q25,last_q,3.0,1.0,True
L_wf_gap_lastq,apac,2Q25,last_q,3.0,1.0,True
L_fixed_hicp,apac,2Q25,last_q,3.0,1.0,True
L_reg_lastq,apac,2Q25,last_q,3.0,1.0,True
L_reg_persist,apac,2Q25,persistence,2.5,1.0,True
L_wf_rel,apac,2Q25,last_q,3.0,1.0,True
L_wf_own,apac,2Q25,last_q,3.0,1.0,True
L_wf,apac,3Q25,last_q,1.0,3.0,True
L_wf_gap_lastq,apac,3Q25,last_q,1.0,3.0,True
L_fixed_hicp,apac,3Q25,last_q,1.0,3.0,True
L_reg_lastq,apac,3Q25,last_q,1.0,3.0,True
L_reg_persist,apac,3Q25,persistence,2.0,3.0,True
L_wf_rel,apac,3Q25,last_q,1.0,3.0,True
L_wf_own,apac,3Q25,last_q,1.0,3.0,True
L_wf,apac,4Q25,last_q,3.0,2.0,True
L_wf_gap_lastq,apac,4Q25,last_q,3.0,2.0,True
L_fixed_hicp,apac,4Q25,last_q,3.0,2.0,True
L_reg_lastq,apac,4Q25,last_q,3.0,2.0,True
L_reg_persist,apac,4Q25,persistence,2.0,2.0,True
L_wf_rel,apac,4Q25,last_q,3.0,2.0,True
L_wf_own,apac,4Q25,last_q,3.0,2.0,True
L_wf,apac,1Q26,persistence,2.5,2.0,True
L_wf_gap_lastq,apac,1Q26,persistence,2.5,2.0,True
L_fixed_hicp,apac,1Q26,last_q,2.0,2.0,True
L_reg_lastq,apac,1Q26,last_q,2.0,2.0,True
L_reg_persist,apac,1Q26,persistence,2.5,2.0,True
L_wf_rel,apac,1Q26,persistence,2.5,2.0,True
L_wf_own,apac,1Q26,persistence,2.5,2.0,True
L_wf,apac,2Q26,persistence,2.0,-1.3509,True
L_wf_gap_lastq,apac,2Q26,persistence,2.0,-1.3509,True
L_fixed_hicp,apac,2Q26,last_q,2.0,-1.3509,True
L_reg_lastq,apac,2Q26,last_q,2.0,-1.3509,True
L_reg_persist,apac,2Q26,persistence,2.0,-1.3509,True
L_wf_rel,apac,2Q26,persistence,2.0,-1.3509,True
L_wf_own,apac,2Q26,persistence,2.0,-1.3509,True
