quarter,region,exfx_pp,reported_yoy_pp,fx_pp,nights_share_pct,adr_anchored_usd,adr_usd,exfx_basis,exfx_basis_raw,reported_basis_raw,basis_flag_04,usable,size_term_pp
3Q23,emea,6.0,13.8998,7.8998,38.5496,140.0039,141.1848,disclosed,disclosed (shareholder letter),derived (disclosed ex-FX + basket x pass-through),disclosed-chained,True,-0.1331104108138571
3Q23,latam,-3.7278,3.2008,6.9286,14.5022,92.9655,92.8413,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,-0.0606356919541909
3Q23,apac,4.569,1.8175,-2.7515,12.9967,115.8646,115.7754,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,-0.5343703575988049
4Q23,na,-0.2236,0.0,0.2236,33.5411,229.5294,228.4205,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.5464701827316891
4Q23,emea,6.0,11.3446,5.3446,40.8038,134.3373,135.4704,disclosed,disclosed (shareholder letter),derived (disclosed ex-FX + basket x pass-through),disclosed-chained,True,-0.2556473365717304
4Q23,latam,-2.7994,2.1632,4.9625,14.8907,90.3324,90.2117,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,-0.6135946639325106
4Q23,apac,1.848,0.7937,-1.0543,10.7643,112.5829,112.4962,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,-0.0883383704409262
1Q24,na,2.7792,3.0,0.2208,30.0818,255.2672,255.642,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.7425145634828048
1Q24,emea,5.0172,7.0,1.9828,42.0962,154.4873,156.2121,solved,derived (disclosed reported y/y - basket x pass-through [WS10 fitted 1.04]),disclosed (shareholder letter),disclosed-chained,True,0.5873250094511994
1Q24,latam,-4.4003,-0.4307,3.9696,14.9702,98.4533,97.6788,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,0.4288800352598581
1Q24,apac,4.0312,-0.0435,-4.0747,12.8518,121.6313,122.2817,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,0.928006871301994
2Q24,na,4.0906,4.0,-0.0906,30.8094,254.1925,254.5658,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.5229214503847444
2Q24,emea,4.61,4.0,-0.61,43.1146,146.2874,147.9207,solved,derived (disclosed reported y/y - basket x pass-through [WS10 fitted 1.04]),disclosed (shareholder letter),disclosed-chained,True,0.2504756098303577
2Q24,latam,-0.1754,-1.1864,-1.011,15.2301,95.853,95.0989,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,0.0103727747466836
2Q24,apac,2.3195,-0.8021,-3.1216,10.8459,118.4187,119.0519,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,1.607100046866501
3Q24,na,3.3314,3.0,-0.3314,32.8447,236.9516,237.2995,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.773216273834174
3Q24,emea,4.6137,6.0,1.3863,37.6958,148.0034,149.6559,solved,derived (disclosed reported y/y - basket x pass-through [WS10 fitted 1.04]),disclosed (shareholder letter),disclosed-chained,True,0.4398205814300115
3Q24,latam,4.724,-1.6596,-6.3836,15.3543,92.0244,91.3004,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.62]),modelled (from modelled levels),modelled,False,0.3360370754735725
3Q24,apac,-1.5166,-1.2772,0.2394,14.1051,113.6888,114.2967,modelled,derived (modelled reported y/y - basket x pass-through [WS10 fitted 0.86]),modelled (from modelled levels),modelled,False,1.1896767534766692
4Q24,na,3.4676,3.0,-0.4676,31.6028,234.9282,235.2732,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.506806322609493
4Q24,emea,6.0,6.0,0.196,40.3147,142.0131,143.5987,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.3208030385176139
4Q24,latam,4.0,-5.0,-8.1378,16.3643,86.3806,85.7011,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.1612638794021414
4Q24,apac,2.0,1.0,-1.004,11.7182,113.0169,113.6212,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.8667236557125473
1Q25,na,3.0,2.0,-0.8172,28.1887,260.9354,260.7549,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,1.4148250032407113
1Q25,emea,4.0,2.0,-2.328,41.4521,156.8688,159.3364,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.3377808851136063
1Q25,latam,2.0,-7.0,-9.1536,16.693,92.8778,90.8413,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.0205665142279302
1Q25,apac,3.0,-1.0,-3.5345,13.6662,120.4803,121.0588,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.7432422960011085
2Q25,na,3.3308,3.0,-0.3308,29.0787,262.3842,262.2027,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.6116072954777851
2Q25,emea,3.0,9.0,5.408,42.7607,158.7366,161.2335,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.3367405777418725
2Q25,latam,2.0,-3.0,-5.5768,16.5443,94.3139,92.246,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,-0.0108180990922708
2Q25,apac,1.0,2.0,-0.2883,11.6163,120.8527,121.433,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.8499266506933498
3Q25,na,5.0474,5.0,-0.0474,31.3935,249.337,249.1645,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.2576920494713306
3Q25,emea,4.0,10.0,5.5869,36.7798,162.0721,164.6215,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.4539044646595796
3Q25,latam,3.0,4.0,0.9465,16.9649,97.0811,94.9525,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,-0.1389578819577257
3Q25,apac,3.0,2.0,-1.3874,14.8618,116.0255,116.5826,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,1.1348469662450067
4Q25,na,4.777,5.0,0.223,30.0561,247.2078,247.0368,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.546046212042775
4Q25,emea,4.0,12.0,7.6372,40.2575,158.3398,160.8305,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.5089540833684291
4Q25,latam,3.0,9.0,5.0618,17.4009,95.5083,93.4142,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.0361960297154771
4Q25,apac,2.0,2.0,-0.4851,12.2855,115.3398,115.8936,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.75134620772947
1Q26,na,6.3048,7.0,0.6952,27.7286,279.2009,279.0077,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.7074359015937912
1Q26,emea,4.0,15.0,9.8899,39.6427,180.3991,183.2368,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.6288644760494841
1Q26,latam,3.0,10.0,7.6624,17.9409,102.1656,99.9254,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,-0.1170329887914064
1Q26,apac,2.0,6.0,4.2211,14.6878,127.7091,128.3224,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,1.0476284777628024
2Q26,na,6.7506,7.0,0.2494,28.2553,280.7511,280.5569,solved,derived (disclosed reported y/y - basket x pass-through [NOT IDENTIFIED; 1.00 assumed (NA basket <1% every quarter)]),disclosed (shareholder letter),disclosed-chained,True,1.6540938751980363
2Q26,emea,5.0,7.0,2.0119,41.55,169.8482,172.5199,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.3657902052369089
2Q26,latam,2.0,9.0,7.0893,17.8621,102.8022,100.5481,disclosed,disclosed (shareholder letter),disclosed (shareholder letter),disclosed-chained,True,0.1499924181106308
2Q26,apac,-1.3509,1.0,2.3509,12.3325,122.0612,122.6473,solved,derived (disclosed reported y/y - basket x pass-through [WS10 fitted 0.86]),disclosed (shareholder letter),disclosed-chained,True,1.0172014859976173
