window,deleted_year,season,group,n_train,status,share_shift_pp,abs_share_shift_pp
W1,2026,4,same_quarter,12,ok,1.1695275993703014,1.1695275993703014
W1,2026,4,one_earlier,12,ok,-0.9188721676255402,0.9188721676255402
W1,2026,4,two_earlier,12,ok,-0.2506554317447618,0.2506554317447618
W1,2026,4,older_finite_tail,12,ok,0.0,0.0
W2,2024,1,same_quarter,6,ok,21.47162653418221,21.47162653418221
W2,2024,1,one_earlier,6,ok,17.52960057562695,17.52960057562695
W2,2024,1,two_earlier,6,ok,-40.72758043732315,40.72758043732315
W2,2024,1,older_finite_tail,6,ok,1.726353327513984,1.726353327513984
W2,2024,2,same_quarter,6,ok,14.060835779229263,14.060835779229263
W2,2024,2,one_earlier,6,ok,24.660918153942838,24.660918153942838
W2,2024,2,two_earlier,6,ok,-40.33099166413416,40.33099166413416
W2,2024,2,older_finite_tail,6,ok,1.6092377309620622,1.6092377309620622
W2,2024,3,same_quarter,6,ok,21.611621271994817,21.611621271994817
W2,2024,3,one_earlier,6,ok,23.25090552669453,23.25090552669453
W2,2024,3,two_earlier,6,ok,-46.34604528356877,46.34604528356877
W2,2024,3,older_finite_tail,6,ok,1.4835184848794172,1.4835184848794172
W2,2024,4,same_quarter,6,ok,21.16917359090048,21.16917359090048
W2,2024,4,one_earlier,6,ok,24.496908493704442,24.496908493704442
W2,2024,4,two_earlier,6,ok,-47.49814681764127,47.49814681764127
W2,2024,4,older_finite_tail,6,ok,1.8320647330363273,1.8320647330363273
W2,2025,1,same_quarter,6,ok,-48.498166125028455,48.498166125028455
W2,2025,1,one_earlier,6,ok,0.0,0.0
W2,2025,1,two_earlier,6,ok,44.988983457894264,44.988983457894264
W2,2025,1,older_finite_tail,6,ok,3.5091826671341946,3.5091826671341946
W2,2025,2,same_quarter,6,ok,-50.326600313221746,50.326600313221746
W2,2025,2,one_earlier,6,ok,0.0,0.0
W2,2025,2,two_earlier,6,ok,46.51279943711669,46.51279943711669
W2,2025,2,older_finite_tail,6,ok,3.813800876105041,3.813800876105041
W2,2025,3,same_quarter,6,ok,-40.73377773309615,40.73377773309615
W2,2025,3,one_earlier,6,ok,0.0,0.0
W2,2025,3,two_earlier,6,ok,38.24274609217455,38.24274609217455
W2,2025,3,older_finite_tail,6,ok,2.4910316409215887,2.4910316409215887
W2,2025,4,same_quarter,6,ok,-39.202163212662654,39.202163212662654
W2,2025,4,one_earlier,6,ok,0.0,0.0
W2,2025,4,two_earlier,6,ok,36.23878029315719,36.23878029315719
W2,2025,4,older_finite_tail,6,ok,2.9633829195054613,2.9633829195054613
W2,2026,1,same_quarter,8,ok,1.7581955794661153,1.7581955794661153
W2,2026,1,one_earlier,8,ok,6.005361068164121e-16,6.005361068164121e-16
W2,2026,1,two_earlier,8,ok,-1.7581955794661208,1.7581955794661208
W2,2026,1,older_finite_tail,8,ok,0.0,0.0
W2,2026,2,same_quarter,8,ok,1.7558934573948415,1.7558934573948415
W2,2026,2,one_earlier,8,ok,9.505966504884821e-16,9.505966504884821e-16
W2,2026,2,two_earlier,8,ok,-1.755893457394847,1.755893457394847
W2,2026,2,older_finite_tail,8,ok,0.0,0.0
W2,2026,3,same_quarter,8,ok,1.7132225405269041,1.7132225405269041
W2,2026,3,one_earlier,8,ok,7.548855734183941e-16,7.548855734183941e-16
W2,2026,3,two_earlier,8,ok,-1.7132225405269041,1.7132225405269041
W2,2026,3,older_finite_tail,8,ok,0.0,0.0
W2,2026,4,same_quarter,8,ok,1.6940785099056999,1.6940785099056999
W2,2026,4,one_earlier,8,ok,7.913483710809279e-16,7.913483710809279e-16
W2,2026,4,two_earlier,8,ok,-1.6940785099057165,1.6940785099057165
W2,2026,4,older_finite_tail,8,ok,0.0,0.0
