quarter,dest_basket_na_yoy,origin_basket_na_yoy,dest_basket_emea_yoy,origin_basket_emea_yoy,dest_basket_latam_yoy,origin_basket_latam_yoy,dest_basket_apac_yoy,origin_basket_apac_yoy,ipp_na,ipp_xb_na,ipp_emea,ipp_xb_emea,ipp_latam,ipp_xb_latam,ipp_apac,ipp_xb_apac,oa_na,oa_xb_na,oa_emea,oa_xb_emea,oa_latam,oa_xb_latam,oa_apac,oa_xb_apac,ipp_dispersion_sd,ipp_global_weighted,usd_vs_rest_yoy,k,ipp_xb_global_equal
4Q21,0.2487,0.3155,-2.4027,-1.9918,-2.2793,-2.0242,-2.5177,-2.5692,-0.2313,-2.4171,0.6206,1.7216,0.5499,1.7294,0.2476,1.4439,0.6732,2.6949,0.3041,-0.7441,0.1386,-0.5997,-0.2882,-1.1187,0.3874,0.3216,1.4177,8007,0.6194500000000001
1Q22,-0.0181,-0.0193,-5.7118,-5.2038,2.5311,2.1835,-6.367,-5.4998,-0.4121,-3.4252,1.2008,4.8379,-1.1571,-4.3946,1.5627,4.3451,0.7402,3.2114,0.1051,-3.8518,0.4981,5.8615,0.0425,-2.8512,1.2956,0.368,2.4559,8008,0.3408000000000003
2Q22,-0.3105,-0.3872,-11.3475,-10.5422,3.9174,3.4114,-8.998,-8.8341,-0.8169,-6.2451,2.2294,9.7061,-1.9424,-7.688,1.0533,4.6108,1.3017,5.8963,-0.0633,-8.5925,0.9557,10.2251,-0.6117,-3.3332,1.8665,0.4781,4.9711,8009,0.09594999999999998
3Q22,-0.3053,-0.3767,-14.9813,-13.8233,-0.5324,-0.5031,-10.4821,-11.2387,-1.1948,-9.434,2.9262,12.2088,-0.835,-4.2922,0.2018,4.0355,2.1401,9.5116,0.0995,-10.295,1.1456,8.2249,-1.3175,-3.2851,1.8643,0.7545,7.3295,8010,0.6295250000000001
4Q22,-0.4911,-0.6402,-11.323,-10.7696,5.3889,4.9051,-12.0237,-12.518,-0.9556,-6.8698,1.8971,8.951,-2.337,-9.7492,1.1359,7.6571,1.1706,5.5698,-0.2528,-8.1697,1.2532,12.2698,-1.9714,-7.1539,1.9362,0.2402,5.323,8011,-0.0027249999999998664
1Q23,-0.3384,-0.4704,-5.5571,-5.6318,3.7831,3.6658,-7.0212,-7.5156,-0.5384,-3.5185,0.6079,4.1918,-1.3436,-6.2484,0.5742,4.8486,0.4454,2.3703,-0.4607,-4.2511,0.9202,7.4999,-1.4923,-4.9939,0.9437,-0.0694,2.7442,8012,-0.18162500000000015
2Q23,-0.156,-0.2578,1.4878,0.6649,4.3751,4.3003,-5.6987,-5.1997,-0.0873,0.0192,-1.0296,-2.1145,-1.0391,-4.8964,1.7072,6.5398,-0.4703,-1.6984,-0.617,1.4055,0.5626,4.605,-1.0479,-6.4755,1.2925,-0.429,-0.3338,8013,-0.11297500000000005
3Q23,0.1293,0.0761,7.3075,6.0867,10.4421,9.7689,-3.2732,-2.9028,0.4639,4.256,-2.0444,-6.3685,-2.3708,-9.1612,1.7979,7.508,-1.6133,-6.8141,-0.6992,4.4221,0.3569,6.8895,-1.5028,-8.0752,2.0074,-0.9224,-3.9452,8014,-0.9414249999999995
4Q23,0.21,0.2048,5.0018,4.2676,7.6396,7.1095,-1.2533,-1.2153,0.3758,3.1689,-1.2614,-4.0288,-1.7363,-6.5611,0.8948,4.322,-1.1104,-4.7947,-0.422,2.6442,0.2138,4.9316,-1.0487,-4.8614,1.2652,-0.6191,-2.9564,8015,-0.77475
1Q24,0.2116,0.2178,1.8772,1.6574,6.1652,5.7391,-4.9164,-4.989,0.0688,0.5277,-0.4943,-1.9357,-1.5625,-6.1082,1.264,6.6102,-0.4799,-2.1002,-0.0568,1.5436,0.3945,5.5984,-1.5703,-6.8253,1.1772,-0.3104,-1.1648,8016,-0.22649999999999992
2Q24,-0.0929,-0.1301,-0.5947,-0.5477,-1.715,-1.3897,-3.7989,-4.5111,-0.2513,-1.8213,-0.071,-0.6906,0.4688,1.0424,0.0886,3.2919,0.2565,1.2356,0.1449,1.1061,0.2184,-0.46,-1.4305,-3.9506,0.3066,-0.0058,1.0683,8017,0.45560000000000006
3Q24,-0.3429,-0.3772,1.3235,1.333,-10.919,-9.9238,0.2483,-0.2104,-0.2208,-1.5885,-0.497,-3.1559,2.9933,10.986,-0.6246,-1.2879,0.4938,2.2541,0.3924,4.152,-0.563,-10.4451,-0.22,0.6174,1.7286,0.1898,1.3545,8018,1.2384250000000003
4Q24,-0.4884,-0.5426,0.1758,0.2488,-14.1596,-12.8784,-1.1899,-1.2092,-0.4041,-2.9698,-0.3854,-2.7918,3.7746,13.7482,-0.1849,-0.847,0.8644,3.9265,0.4723,4.3939,-0.6069,-12.5813,0.1357,0.6795,2.0521,0.3782,2.5041,8019,1.7849000000000004
1Q25,-0.8639,-0.988,-2.2731,-2.0961,-16.0806,-14.7388,-4.2171,-3.7166,-0.6931,-4.8655,-0.0849,-1.4603,3.9819,14.5427,0.534,0.6679,1.2526,5.8418,0.4969,3.6381,-0.5678,-12.6779,0.3499,-0.1786,2.0925,0.547,4.247,8020,2.2211999999999996
2Q25,-0.3463,-0.3697,5.0612,5.0011,-9.4786,-8.7566,-0.4175,0.862,0.0635,0.7007,-1.086,-6.4719,2.6926,10.5747,1.265,1.2067,-0.0597,-0.1806,0.654,7.6664,-0.8595,-10.8893,0.8996,-0.4334,1.6207,0.2037,-0.5144,8021,1.5025500000000003
3Q25,-0.0478,-0.0671,5.2197,5.0517,1.5163,1.3793,-1.638,-0.8394,0.2786,2.4632,-0.9779,-5.2297,-0.1858,-0.381,1.4572,4.0913,-0.7602,-3.2301,0.3282,5.2008,-0.219,-0.7391,-0.2049,-3.7259,1.0181,-0.182,-2.2262,8022,0.2359500000000001
4Q25,0.2137,0.2204,7.0495,6.8533,7.8203,7.1832,-0.5815,-0.6941,0.5484,4.5207,-1.1155,-5.9412,-1.7163,-6.0331,0.8762,4.8311,-1.3942,-6.0641,0.2816,4.9738,-0.0122,3.9509,-1.2915,-5.4278,1.2601,-0.5083,-4.1138,8023,-0.6556250000000001
1Q26,0.6634,0.754,9.0515,8.991,11.5853,10.6883,4.588,2.7229,0.9106,6.9237,-1.0611,-6.3145,-2.4327,-8.5752,-1.2195,1.3628,-1.8915,-8.4988,0.348,4.3597,-0.023,5.5201,-2.2697,-3.6895,1.3838,-0.7692,-6.2018,8024,-1.6508
2Q26,0.2357,0.2369,1.9113,2.2223,10.7864,9.8564,2.282,-0.6389,0.3683,3.0606,0.2031,-0.363,-2.7722,-10.1407,-2.2785,0.2912,-1.0346,-4.4876,0.1618,-1.3036,0.3564,8.5145,-2.9587,-3.0913,1.6368,-0.5877,-2.6772,8025,-1.7879750000000003
3Q26,0.0296,-0.0019,-1.0589,-0.6614,6.2484,5.7511,1.4433,-1.0668,0.0676,0.7939,0.6096,1.723,-1.7021,-6.5216,-2.1839,-0.879,-0.3815,-1.5486,0.1117,-2.6949,0.3866,5.9919,-2.2473,-1.3251,1.3501,-0.3006,-0.6225,8026,-1.2209249999999998
