date,dest_basket_na_yoy,origin_basket_na_yoy,dest_basket_emea_yoy,origin_basket_emea_yoy,dest_basket_latam_yoy,origin_basket_latam_yoy,dest_basket_apac_yoy,origin_basket_apac_yoy,ipp_na,ipp_xb_na,ipp_emea,ipp_xb_emea,ipp_latam,ipp_xb_latam,ipp_apac,ipp_xb_apac,oa_na,oa_xb_na,oa_emea,oa_xb_emea,oa_latam,oa_xb_latam,oa_apac,oa_xb_apac,ipp_dispersion_sd,ipp_global_weighted,usd_vs_rest_yoy,n_days_in_qtd
2026-07-16,-0.0851,-0.1381,-1.7508,-1.3029,5.6853,5.2048,-0.0496,-2.3369,-0.0337,0.1076,0.6909,1.9665,-1.6513,-6.3345,-1.7921,0.1888,-0.2548,-0.9275,0.1588,-2.6801,0.4091,6.0513,-2.251,-2.1236,1.2215,-0.2381,-0.0631,11
2026-07-17,-0.0794,-0.1308,-1.7346,-1.2878,5.7012,5.2181,-0.0226,-2.3232,-0.0313,0.116,0.6889,1.9599,-1.6546,-6.3405,-1.8058,0.1735,-0.256,-0.9378,0.1578,-2.68,0.4068,6.0506,-2.2611,-2.1224,1.2261,-0.2406,-0.0756,12
2026-07-20,-0.0758,-0.1265,-1.7382,-1.2924,5.7464,5.2583,0.0152,-2.3023,-0.0294,0.1265,0.6908,1.9771,-1.6669,-6.3819,-1.8258,0.1413,-0.2583,-0.9504,0.1542,-2.7093,0.4072,6.0849,-2.2708,-2.1067,1.2364,-0.2439,-0.0846,13
2026-07-21,-0.0739,-0.1242,-1.7488,-1.3025,5.8004,5.3069,0.0466,-2.2874,-0.0279,0.1365,0.6949,1.9999,-1.6819,-6.4355,-1.8444,0.1137,-0.261,-0.9633,0.1515,-2.7435,0.409,6.1325,-2.2807,-2.0938,1.2477,-0.2468,-0.0916,14
2026-07-22,-0.0717,-0.1217,-1.755,-1.308,5.8597,5.3598,0.0687,-2.2806,-0.0264,0.147,0.6982,2.0175,-1.6987,-6.4939,-1.8599,0.0979,-0.2643,-0.9787,0.1494,-2.7718,0.4105,6.1839,-2.2923,-2.0922,1.2583,-0.2498,-0.1003,15
2026-07-23,-0.0709,-0.1206,-1.7837,-1.3381,5.8765,5.3739,0.0711,-2.2888,-0.0277,0.1335,0.7019,2.0473,-1.7058,-6.5183,-1.871,0.0846,-0.2614,-0.9671,0.1449,-2.8073,0.4117,6.2105,-2.2996,-2.0879,1.2646,-0.2513,-0.0896,16
2026-07-24,-0.0694,-0.1187,-1.8013,-1.3565,5.9154,5.408,0.0893,-2.2829,-0.0274,0.1338,0.7053,2.0727,-1.7179,-6.5599,-1.885,0.064,-0.2618,-0.9699,0.1411,-2.8417,0.4129,6.2492,-2.307,-2.0783,1.2733,-0.2537,-0.0893,17
2026-07-27,-0.069,-0.1183,-1.8242,-1.3805,5.924,5.4159,0.1042,-2.2754,-0.0282,0.1266,0.7085,2.0988,-1.7212,-6.5735,-1.8957,0.0396,-0.2598,-0.9614,0.1372,-2.8727,0.4144,6.265,-2.3087,-2.0602,1.2784,-0.2545,-0.0818,18
2026-07-28,-0.068,-0.1171,-1.8359,-1.3934,5.9301,5.4218,0.1196,-2.2645,-0.0283,0.1243,0.71,2.1146,-1.7229,-6.581,-1.9033,0.0198,-0.2588,-0.9576,0.1343,-2.8924,0.4154,6.2734,-2.3087,-2.0443,1.2817,-0.2551,-0.0792,19
2026-07-29,-0.0674,-0.1163,-1.8538,-1.4131,5.9171,5.4099,0.1141,-2.2656,-0.0297,0.1114,0.7112,2.1308,-1.7203,-6.5725,-1.9008,0.015,-0.255,-0.9421,0.1313,-2.9073,0.416,6.2705,-2.3032,-2.0347,1.2805,-0.2543,-0.069,20
2026-07-30,-0.0637,-0.1119,-1.8142,-1.3752,5.9543,5.4438,0.1772,-2.2056,-0.0243,0.151,0.7067,2.1124,-1.7267,-6.5914,-1.9111,-0.0242,-0.2631,-0.9796,0.1303,-2.9001,0.4136,6.2744,-2.2982,-2.0013,1.2846,-0.257,-0.0994,21
2026-07-31,-0.0609,-0.1085,-1.7784,-1.3413,5.9878,5.4744,0.2346,-2.1496,-0.0194,0.1878,0.7025,2.0957,-1.7325,-6.6086,-1.9194,-0.0604,-0.2707,-1.0142,0.1293,-2.8936,0.4116,6.2781,-2.2921,-1.9692,1.2879,-0.2595,-0.1268,22
2026-08-03,-0.0586,-0.1058,-1.7513,-1.3163,6.0168,5.5011,0.2928,-2.0888,-0.015,0.2213,0.6994,2.0878,-1.7373,-6.6235,-1.9258,-0.1023,-0.2771,-1.0433,0.1272,-2.895,0.4102,6.2819,-2.2808,-1.927,1.2908,-0.2611,-0.1503,23
2026-08-04,-0.0569,-0.104,-1.7201,-1.287,6.0329,5.5169,0.3565,-2.0272,-0.0108,0.255,0.6957,2.0737,-1.7378,-6.625,-1.9369,-0.1497,-0.2836,-1.0722,0.126,-2.8903,0.4086,6.2723,-2.2729,-1.8842,1.2937,-0.263,-0.1734,24
2026-08-05,-0.0541,-0.1007,-1.6862,-1.2544,6.0474,5.5314,0.4198,-1.9661,-0.0064,0.2885,0.6919,2.0575,-1.7374,-6.6231,-1.9477,-0.1949,-0.2898,-1.1007,0.1254,-2.8824,0.4069,6.2598,-2.2656,-1.8436,1.2963,-0.2646,-0.198,25
2026-08-06,-0.0517,-0.0979,-1.6614,-1.2314,6.0657,5.5492,0.4671,-1.9189,-0.0029,0.3149,0.6888,2.0475,-1.739,-6.6291,-1.9545,-0.228,-0.2948,-1.1236,0.1241,-2.8797,0.4061,6.2575,-2.2588,-1.8125,1.2983,-0.266,-0.2173,26
2026-08-07,-0.047,-0.0923,-1.6269,-1.1978,6.0974,5.5792,0.5295,-1.8594,0.0021,0.3505,0.686,2.0342,-1.7431,-6.6428,-1.9648,-0.2685,-0.3015,-1.1553,0.1237,-2.8755,0.405,6.2597,-2.2531,-1.7766,1.3025,-0.2677,-0.2456,27
2026-08-10,-0.0425,-0.087,-1.5946,-1.1664,6.1228,5.6037,0.5794,-1.8132,0.0064,0.38,0.6828,2.0191,-1.7458,-6.6523,-1.9737,-0.2985,-0.3071,-1.1825,0.1236,-2.868,0.4041,6.2594,-2.2505,-1.7519,1.3056,-0.2694,-0.2702,28
2026-08-11,-0.0381,-0.0819,-1.567,-1.1402,6.1264,5.6091,0.624,-1.773,0.0096,0.4007,0.6792,2.0044,-1.7422,-6.642,-1.9833,-0.3284,-0.3105,-1.1997,0.1232,-2.8585,0.4035,6.2432,-2.2486,-1.7281,1.307,-0.2705,-0.2885,29
2026-08-12,-0.0338,-0.0768,-1.5422,-1.1166,6.1317,5.6162,0.6672,-1.7345,0.0126,0.4202,0.6763,1.9923,-1.7393,-6.6342,-1.9929,-0.358,-0.3136,-1.2158,0.1227,-2.8516,0.4033,6.2302,-2.247,-1.7046,1.3088,-0.2716,-0.3057,30
2026-08-13,-0.03,-0.0724,-1.5217,-1.0976,6.1288,5.6161,0.7034,-1.702,0.0149,0.4346,0.6733,1.9816,-1.7343,-6.6205,-2.0011,-0.3839,-0.3156,-1.2267,0.122,-2.8447,0.4034,6.2133,-2.2454,-1.6838,1.3095,-0.2723,-0.3189,31
2026-08-14,-0.0252,-0.0667,-1.4894,-1.0676,6.1126,5.6045,0.7469,-1.6639,0.0177,0.4517,0.6678,1.9594,-1.7244,-6.5892,-2.0113,-0.4133,-0.318,-1.2396,0.1216,-2.8263,0.4025,6.1779,-2.2447,-1.662,1.3088,-0.2732,-0.3356,32
2026-08-17,-0.0206,-0.0612,-1.4568,-1.0369,6.1133,5.6074,0.7924,-1.6248,0.0211,0.4733,0.663,1.9393,-1.7197,-6.5748,-2.0222,-0.4424,-0.3217,-1.2585,0.1212,-2.812,0.4016,6.1566,-2.2452,-1.6416,1.3101,-0.2748,-0.3552,33
2026-08-18,-0.0167,-0.0567,-1.4293,-1.0116,6.1062,5.6032,0.8307,-1.5926,0.0236,0.4894,0.6582,1.921,-1.7135,-6.5552,-2.0322,-0.4681,-0.3243,-1.2721,0.1204,-2.7985,0.4007,6.132,-2.246,-1.6241,1.3106,-0.2762,-0.3702,34
2026-08-19,-0.0117,-0.0507,-1.3852,-0.9693,6.116,5.6142,0.8815,-1.5474,0.0281,0.5197,0.6521,1.8923,-1.7107,-6.546,-2.0423,-0.4958,-0.3301,-1.3004,0.1208,-2.7766,0.3991,6.1125,-2.2461,-1.6048,1.3118,-0.2782,-0.397,35
2026-08-20,-0.0062,-0.0441,-1.3395,-0.9263,6.1221,5.6219,0.9264,-1.507,0.0323,0.5475,0.6447,1.8606,-1.7068,-6.5331,-2.0503,-0.5176,-0.3354,-1.3271,0.1206,-2.7516,0.3974,6.0898,-2.2466,-1.5909,1.3117,-0.2803,-0.4231,36
2026-08-21,-0.0006,-0.0374,-1.2951,-0.884,6.1416,5.6415,0.9827,-1.4591,0.0372,0.5802,0.6388,1.8341,-1.7066,-6.5328,-2.0633,-0.5492,-0.3419,-1.3586,0.1204,-2.7342,0.3958,6.0777,-2.2485,-1.5705,1.3148,-0.283,-0.452,37
2026-08-24,0.0034,-0.0328,-1.2568,-0.8477,6.1556,5.6558,1.0298,-1.4184,0.0412,0.6084,0.6333,1.8098,-1.706,-6.5306,-2.0738,-0.576,-0.3476,-1.3859,0.1202,-2.7177,0.3943,6.0651,-2.2496,-1.5528,1.3169,-0.2853,-0.476,38
2026-08-25,0.0073,-0.0281,-1.2187,-0.8112,6.1711,5.6714,1.0767,-1.3773,0.0453,0.6371,0.628,1.7859,-1.7057,-6.5299,-2.0837,-0.6023,-0.3534,-1.4135,0.1202,-2.7014,0.393,6.054,-2.2502,-1.5349,1.3191,-0.2875,-0.5004,39
2026-08-26,0.0103,-0.0247,-1.188,-0.7825,6.179,5.6801,1.122,-1.3395,0.0485,0.6604,0.6234,1.7671,-1.7041,-6.5246,-2.0956,-0.632,-0.3581,-1.4355,0.1194,-2.6901,0.3917,6.0401,-2.2516,-1.5151,1.3217,-0.2897,-0.5195,40
2026-08-27,0.0134,-0.0209,-1.1582,-0.7542,6.1854,5.6874,1.1716,-1.2991,0.0518,0.6839,0.6194,1.7497,-1.7019,-6.5174,-2.1098,-0.6662,-0.3626,-1.4569,0.119,-2.6802,0.3904,6.0244,-2.2536,-1.4921,1.3252,-0.2918,-0.5386,41
2026-08-28,0.0157,-0.0183,-1.14,-0.7374,6.1753,5.6798,1.2113,-1.2668,0.0537,0.6968,0.6163,1.7389,-1.696,-6.4982,-2.1222,-0.6985,-0.3645,-1.4665,0.1182,-2.6743,0.3894,6.001,-2.2543,-1.4688,1.3273,-0.293,-0.5489,42
2026-08-31,0.0183,-0.0151,-1.1201,-0.7192,6.1762,5.682,1.2522,-1.2326,0.0561,0.713,0.6134,1.7288,-1.6932,-6.4891,-2.1338,-0.7296,-0.3673,-1.4801,0.1171,-2.6701,0.3885,5.9863,-2.2544,-1.446,1.33,-0.2945,-0.562,43
2026-09-01,0.0205,-0.0126,-1.1054,-0.7056,6.1884,5.6942,1.2892,-1.2017,0.0584,0.7292,0.6117,1.7243,-1.694,-6.4932,-2.1443,-0.7577,-0.3703,-1.4944,0.1158,-2.6721,0.3883,5.9849,-2.2545,-1.425,1.3336,-0.296,-0.5743,44
2026-09-02,0.0232,-0.0095,-1.0925,-0.6938,6.2084,5.713,1.3317,-1.1663,0.0609,0.747,0.6108,1.7241,-1.6972,-6.5046,-2.1565,-0.7907,-0.3736,-1.5103,0.1142,-2.6796,0.3879,5.9899,-2.2544,-1.3998,1.3387,-0.2977,-0.5879,45
2026-09-03,0.0266,-0.0053,-1.0747,-0.6766,6.2282,5.7317,1.388,-1.1159,0.0644,0.7707,0.61,1.7229,-1.6997,-6.5124,-2.1701,-0.8349,-0.3776,-1.5296,0.113,-2.6865,0.387,5.9898,-2.2507,-1.3624,1.3444,-0.2992,-0.6057,46
2026-09-04,0.0296,-0.0019,-1.0589,-0.6614,6.2484,5.7511,1.4433,-1.0668,0.0676,0.7939,0.6096,1.723,-1.7021,-6.5216,-2.1839,-0.879,-0.3815,-1.5486,0.1117,-2.6949,0.3866,5.9919,-2.2473,-1.3251,1.3501,-0.3006,-0.6225,47
