spec,perm_p_r2,family,rank,holm_threshold,clears_holm,bonferroni_p
U_rev_beat_vs_guide_top_pct [ex_reopening],0.6302,36 primary-target univariate tests across three samples,22,0.0033333333333333335,False,1.0
U_eps_surprise_bps_px [post2022],0.6472,36 primary-target univariate tests across three samples,23,0.0035714285714285718,False,1.0
U_fy_raised [ex_reopening],0.6577,36 primary-target univariate tests across three samples,24,0.0038461538461538464,False,1.0
U_guide_dir_code [post2022],0.6907,36 primary-target univariate tests across three samples,25,0.004166666666666667,False,1.0
U_nights_yoy_accel_pts [ex_reopening],0.6942,36 primary-target univariate tests across three samples,26,0.004545454545454546,False,1.0
U_pre_runup_20d_pct [post2022],0.7186,36 primary-target univariate tests across three samples,27,0.005,False,1.0
U_guide_dir_code [ex_reopening],0.7481,36 primary-target univariate tests across three samples,28,0.005555555555555556,False,1.0
U_revenue_surprise_pct [post2022],0.7511,36 primary-target univariate tests across three samples,29,0.00625,False,1.0
U_rev_beat_vs_guide_top_pct [post2022],0.7696,36 primary-target univariate tests across three samples,30,0.0071428571428571435,False,1.0
U_revenue_surprise_pct [ex_reopening],0.8616,36 primary-target univariate tests across three samples,31,0.008333333333333333,False,1.0
U_nights_surprise_pct [all],0.8621,36 primary-target univariate tests across three samples,32,0.01,False,1.0
U_eps_surprise_bps_px [ex_reopening],0.905,36 primary-target univariate tests across three samples,33,0.0125,False,1.0
U_fy_raised [all],0.9365,36 primary-target univariate tests across three samples,34,0.016666666666666666,False,1.0
U_guide_dir_pts [post2022],0.962,36 primary-target univariate tests across three samples,35,0.025,False,1.0
U_guide_dir_pts [ex_reopening],0.979,36 primary-target univariate tests across three samples,36,0.05,False,1.0
