sample,sort,bucket,target,n,mean,median,min,max,n_positive,hit_rate_positive,sample_base_rate_positive,binom_p_vs_half,binom_p_vs_base_rate_1sided,prints,mann_whitney_p,welch_p,fisher_p_share_positive
ex_reopening,guide_dir,decelerating,gap_excess_pct,11,-0.88,-2.38,-15.4,12.14,5.0,0.45,0.38,1.0,0.399,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,gap_excess_pct,2,-7.87,-7.87,-8.52,-7.22,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,gap_excess_pct,14,0.39,1.56,,,,,,,,top 1/3 positive vs bottom 5/11,1.0,0.947,1.0
ex_reopening,guide_dir,accelerating,intraday_excess_pct,3,2.98,0.78,-0.25,8.41,2.0,0.67,0.69,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,intraday_excess_pct,11,-0.27,0.9,-6.4,4.43,7.0,0.64,0.69,0.549,0.467,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,intraday_excess_pct,2,0.14,0.14,0.13,0.16,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,intraday_excess_pct,14,3.25,-0.12,,,,,,,,top 2/3 positive vs bottom 7/11,0.659,0.36,1.0
ex_reopening,guide_dir,accelerating,ev_ntm_rev_multiple_change_pct,3,2.45,-2.89,-9.46,19.7,1.0,0.33,0.31,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ev_ntm_rev_multiple_change_pct,11,-0.01,-0.97,-14.45,20.38,4.0,0.36,0.31,0.549,0.467,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ev_ntm_rev_multiple_change_pct,2,-6.72,-6.72,-8.38,-5.06,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ev_ntm_rev_multiple_change_pct,14,2.46,-1.92,,,,,,,,top 1/3 positive vs bottom 4/11,0.885,0.813,1.0
ex_reopening,guide_dir,accelerating,ret_5d_cc_excess_pct,3,3.27,-2.09,-7.75,19.65,1.0,0.33,0.38,1.0,0.684,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ret_5d_cc_excess_pct,11,-2.83,-0.36,-18.76,9.32,5.0,0.45,0.38,1.0,0.399,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ret_5d_cc_excess_pct,2,-8.72,-8.72,-10.58,-6.85,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ret_5d_cc_excess_pct,14,6.1,-1.73,,,,,,,,top 1/3 positive vs bottom 5/11,0.769,0.548,1.0
ex_reopening,guide_dir,accelerating,ret_20d_cc_excess_pct,3,1.46,-7.75,-9.61,21.74,1.0,0.33,0.25,1.0,0.578,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ret_20d_cc_excess_pct,11,-4.36,-3.48,-16.73,10.07,3.0,0.27,0.25,0.227,0.545,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ret_20d_cc_excess_pct,2,-8.76,-8.76,-12.2,-5.33,0.0,0.0,0.25,0.5,0.562,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ret_20d_cc_excess_pct,14,5.82,-4.26,,,,,,,,top 1/3 positive vs bottom 3/11,1.0,0.629,1.0
ex_reopening,guide_dir,accelerating,ret_20d_open_excess_pct,3,1.64,-0.95,-6.95,12.82,1.0,0.33,0.25,1.0,0.578,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir,decelerating,ret_20d_open_excess_pct,11,-2.97,-3.76,-11.82,10.64,2.0,0.18,0.25,0.065,0.455,3Q22 4Q22 1Q23 3Q23 4Q23 2Q24 4Q24 1Q25 3Q25 4Q25 1Q26,,,
ex_reopening,guide_dir,stable,ret_20d_open_excess_pct,2,-0.72,-0.72,-4.96,3.52,1.0,0.5,0.25,1.0,0.437,1Q24 2Q25,,,
ex_reopening,guide_dir,TOP minus BOTTOM,ret_20d_open_excess_pct,14,4.61,2.81,,,,,,,,top 1/3 positive vs bottom 2/11,0.555,0.519,1.0
ex_reopening,nights_accel_sign,decelerating,ret_1d_cc_excess_pct,9,-3.57,-2.83,-12.3,12.59,1.0,0.11,0.31,0.039,0.175,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ret_1d_cc_excess_pct,1,-8.78,-8.78,-8.78,-8.78,0.0,0.0,0.31,1.0,0.688,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ret_1d_cc_excess_pct,6,3.37,2.52,-10.0,16.26,4.0,0.67,0.31,0.688,0.081,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ret_1d_cc_excess_pct,15,6.93,5.35,,,,,,,,top 4/6 positive vs bottom 1/9,0.145,0.196,0.089
ex_reopening,nights_accel_sign,decelerating,ret_1d_cc_raw_pct,9,-2.92,-1.7,-13.4,13.4,3.0,0.33,0.44,0.508,0.391,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ret_1d_cc_raw_pct,1,-8.7,-8.7,-8.7,-8.7,0.0,0.0,0.44,1.0,0.562,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ret_1d_cc_raw_pct,6,3.33,2.45,-13.4,17.4,4.0,0.67,0.44,0.688,0.235,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ret_1d_cc_raw_pct,15,6.26,4.15,,,,,,,,top 4/6 positive vs bottom 3/9,0.288,0.278,0.315
ex_reopening,nights_accel_sign,decelerating,ret_1d_open_excess_pct,9,1.74,0.94,0.13,4.01,9.0,1.0,0.69,0.004,0.034,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ret_1d_open_excess_pct,1,-0.26,-0.26,-0.26,-0.26,0.0,0.0,0.69,1.0,0.312,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ret_1d_open_excess_pct,6,-1.62,-4.1,-6.25,7.72,2.0,0.33,0.69,0.688,0.081,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ret_1d_open_excess_pct,15,-3.36,-5.04,,,,,,,,top 2/6 positive vs bottom 9/9,0.145,0.186,0.011
ex_reopening,nights_accel_sign,decelerating,gap_excess_pct,9,-5.29,-3.72,-15.4,8.16,1.0,0.11,0.38,0.039,0.093,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,gap_excess_pct,1,-8.52,-8.52,-8.52,-8.52,0.0,0.0,0.38,1.0,0.625,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,gap_excess_pct,6,4.86,6.26,-5.86,12.14,5.0,0.83,0.38,0.219,0.031,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,gap_excess_pct,15,10.14,9.98,,,,,,,,top 5/6 positive vs bottom 1/9,0.026,0.015,0.011
ex_reopening,nights_accel_sign,decelerating,intraday_excess_pct,9,1.72,0.9,0.13,4.43,9.0,1.0,0.69,0.004,0.034,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,intraday_excess_pct,1,-0.25,-0.25,-0.25,-0.25,0.0,0.0,0.69,1.0,0.312,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,intraday_excess_pct,6,-1.49,-4.1,-6.4,8.41,2.0,0.33,0.69,0.688,0.081,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,intraday_excess_pct,15,-3.21,-4.99,,,,,,,,top 2/6 positive vs bottom 9/9,0.145,0.225,0.011
ex_reopening,nights_accel_sign,decelerating,ev_ntm_rev_multiple_change_pct,9,-2.87,-2.89,-14.45,17.33,2.0,0.22,0.31,0.18,0.43,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ev_ntm_rev_multiple_change_pct,1,-9.46,-9.46,-9.46,-9.46,0.0,0.0,0.31,1.0,0.688,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ev_ntm_rev_multiple_change_pct,6,4.85,-0.03,-9.94,20.38,3.0,0.5,0.31,1.0,0.279,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ev_ntm_rev_multiple_change_pct,15,7.72,2.86,,,,,,,,top 3/6 positive vs bottom 2/9,0.113,0.221,0.329
ex_reopening,nights_accel_sign,decelerating,ret_5d_cc_excess_pct,9,-5.87,-6.85,-18.76,9.32,2.0,0.22,0.38,0.18,0.282,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ret_5d_cc_excess_pct,1,-7.75,-7.75,-7.75,-7.75,0.0,0.0,0.38,1.0,0.625,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ret_5d_cc_excess_pct,6,3.63,3.24,-7.28,19.65,4.0,0.67,0.38,0.688,0.146,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ret_5d_cc_excess_pct,15,9.5,10.09,,,,,,,,top 4/6 positive vs bottom 2/9,0.088,0.089,0.136
ex_reopening,nights_accel_sign,decelerating,ret_20d_cc_excess_pct,9,-7.29,-6.38,-16.73,6.51,1.0,0.11,0.25,0.039,0.3,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ret_20d_cc_excess_pct,1,-9.61,-9.61,-9.61,-9.61,0.0,0.0,0.25,1.0,0.75,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ret_20d_cc_excess_pct,6,2.36,-0.75,-12.97,21.74,3.0,0.5,0.25,1.0,0.169,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ret_20d_cc_excess_pct,15,9.65,5.63,,,,,,,,top 3/6 positive vs bottom 1/9,0.05,0.119,0.235
ex_reopening,nights_accel_sign,decelerating,ret_20d_open_excess_pct,9,-1.65,-1.52,-10.67,10.64,2.0,0.22,0.25,0.18,0.601,4Q22 1Q23 2Q23 4Q23 1Q24 2Q24 1Q25 2Q25 1Q26,,,
ex_reopening,nights_accel_sign,flat,ret_20d_open_excess_pct,1,-0.95,-0.95,-0.95,-0.95,0.0,0.0,0.25,1.0,0.75,3Q24,,,
ex_reopening,nights_accel_sign,accelerating,ret_20d_open_excess_pct,6,-2.22,-4.09,-11.82,12.82,2.0,0.33,0.25,0.688,0.466,3Q22 3Q23 4Q24 3Q25 4Q25 2Q26,,,
ex_reopening,nights_accel_sign,TOP minus BOTTOM,ret_20d_open_excess_pct,15,-0.57,-2.57,,,,,,,,top 2/6 positive vs bottom 2/9,0.776,0.891,1.0
ex_reopening,momentum_score,-2 both decel,ret_1d_cc_excess_pct,6,-2.77,-2.22,-12.3,12.59,1.0,0.17,0.31,0.219,0.394,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ret_1d_cc_excess_pct,2,-7.73,-7.73,-8.36,-7.09,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ret_1d_cc_excess_pct,6,0.65,0.29,-10.0,14.03,3.0,0.5,0.31,1.0,0.279,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ret_1d_cc_excess_pct,1,-8.78,-8.78,-8.78,-8.78,0.0,0.0,0.31,1.0,0.688,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ret_1d_cc_excess_pct,1,16.26,16.26,16.26,16.26,1.0,1.0,0.31,1.0,0.312,2Q26,,,
ex_reopening,momentum_score,-2 both decel,ret_1d_cc_raw_pct,6,-1.82,-0.5,-13.4,13.4,3.0,0.5,0.44,1.0,0.533,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ret_1d_cc_raw_pct,2,-7.45,-7.45,-8.0,-6.9,0.0,0.0,0.44,0.5,0.316,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ret_1d_cc_raw_pct,6,0.35,-0.1,-13.4,14.4,3.0,0.5,0.44,1.0,0.533,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ret_1d_cc_raw_pct,1,-8.7,-8.7,-8.7,-8.7,0.0,0.0,0.44,1.0,0.562,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ret_1d_cc_raw_pct,1,17.4,17.4,17.4,17.4,1.0,1.0,0.44,1.0,0.438,2Q26,,,
ex_reopening,momentum_score,-2 both decel,ret_1d_open_excess_pct,6,2.43,2.85,0.82,4.01,6.0,1.0,0.69,0.031,0.106,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ret_1d_open_excess_pct,2,0.14,0.14,0.13,0.15,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ret_1d_open_excess_pct,6,-2.77,-4.1,-6.25,1.65,2.0,0.33,0.69,0.688,0.081,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ret_1d_open_excess_pct,1,-0.26,-0.26,-0.26,-0.26,0.0,0.0,0.69,1.0,0.312,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ret_1d_open_excess_pct,1,7.72,7.72,7.72,7.72,1.0,1.0,0.69,1.0,0.688,2Q26,,,
ex_reopening,momentum_score,-2 both decel,gap_excess_pct,6,-5.17,-3.54,-15.4,8.16,1.0,0.17,0.38,0.219,0.274,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,gap_excess_pct,2,-7.87,-7.87,-8.52,-7.22,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,momentum_score,0,gap_excess_pct,6,3.41,2.97,-5.86,12.14,4.0,0.67,0.38,0.688,0.146,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,gap_excess_pct,1,-8.52,-8.52,-8.52,-8.52,0.0,0.0,0.38,1.0,0.625,3Q24,,,
ex_reopening,momentum_score,+2 both accel,gap_excess_pct,1,7.84,7.84,7.84,7.84,1.0,1.0,0.38,1.0,0.375,2Q26,,,
ex_reopening,momentum_score,-2 both decel,intraday_excess_pct,6,2.4,2.6,0.77,4.43,6.0,1.0,0.69,0.031,0.106,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,intraday_excess_pct,2,0.14,0.14,0.13,0.16,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,momentum_score,0,intraday_excess_pct,6,-2.76,-4.1,-6.4,1.89,2.0,0.33,0.69,0.688,0.081,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,intraday_excess_pct,1,-0.25,-0.25,-0.25,-0.25,0.0,0.0,0.69,1.0,0.312,3Q24,,,
ex_reopening,momentum_score,+2 both accel,intraday_excess_pct,1,8.41,8.41,8.41,8.41,1.0,1.0,0.69,1.0,0.688,2Q26,,,
ex_reopening,momentum_score,-2 both decel,ev_ntm_rev_multiple_change_pct,6,-1.58,-2.05,-14.45,17.33,2.0,0.33,0.31,0.688,0.606,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ev_ntm_rev_multiple_change_pct,2,-6.72,-6.72,-8.38,-5.06,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ev_ntm_rev_multiple_change_pct,6,1.08,-0.84,-9.94,20.38,2.0,0.33,0.31,0.688,0.606,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ev_ntm_rev_multiple_change_pct,1,-9.46,-9.46,-9.46,-9.46,0.0,0.0,0.31,1.0,0.688,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ev_ntm_rev_multiple_change_pct,1,19.7,19.7,19.7,19.7,1.0,1.0,0.31,1.0,0.312,2Q26,,,
ex_reopening,momentum_score,-2 both decel,ret_5d_cc_excess_pct,6,-5.55,-4.39,-18.76,9.32,2.0,0.33,0.38,0.688,0.596,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ret_5d_cc_excess_pct,2,-8.72,-8.72,-10.58,-6.85,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ret_5d_cc_excess_pct,6,0.01,-0.51,-7.28,8.93,3.0,0.5,0.38,1.0,0.404,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ret_5d_cc_excess_pct,1,-7.75,-7.75,-7.75,-7.75,0.0,0.0,0.38,1.0,0.625,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ret_5d_cc_excess_pct,1,19.65,19.65,19.65,19.65,1.0,1.0,0.38,1.0,0.375,2Q26,,,
ex_reopening,momentum_score,-2 both decel,ret_20d_cc_excess_pct,6,-6.72,-5.06,-16.73,6.51,1.0,0.17,0.25,0.219,0.534,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ret_20d_cc_excess_pct,2,-8.76,-8.76,-12.2,-5.33,0.0,0.0,0.25,0.5,0.562,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ret_20d_cc_excess_pct,6,-2.56,-2.79,-12.97,10.07,2.0,0.33,0.25,0.688,0.466,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ret_20d_cc_excess_pct,1,-9.61,-9.61,-9.61,-9.61,0.0,0.0,0.25,1.0,0.75,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ret_20d_cc_excess_pct,1,21.74,21.74,21.74,21.74,1.0,1.0,0.25,1.0,0.25,2Q26,,,
ex_reopening,momentum_score,-2 both decel,ret_20d_open_excess_pct,6,-1.08,-1.11,-10.67,10.64,1.0,0.17,0.25,0.219,0.534,4Q22 1Q23 4Q23 2Q24 1Q25 1Q26,,,
ex_reopening,momentum_score,-1,ret_20d_open_excess_pct,2,-0.72,-0.72,-4.96,3.52,1.0,0.5,0.25,1.0,0.437,1Q24 2Q25,,,
ex_reopening,momentum_score,0,ret_20d_open_excess_pct,6,-5.52,-5.68,-11.82,0.99,1.0,0.17,0.25,0.219,0.534,3Q22 2Q23 3Q23 4Q24 3Q25 4Q25,,,
ex_reopening,momentum_score,+1,ret_20d_open_excess_pct,1,-0.95,-0.95,-0.95,-0.95,0.0,0.0,0.25,1.0,0.75,3Q24,,,
ex_reopening,momentum_score,+2 both accel,ret_20d_open_excess_pct,1,12.82,12.82,12.82,12.82,1.0,1.0,0.25,1.0,0.25,2Q26,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ret_1d_cc_excess_pct,3,2.48,-0.04,-8.78,16.26,1.0,0.33,0.31,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ret_1d_cc_excess_pct,4,7.06,8.51,-2.83,14.03,3.0,0.75,0.31,0.625,0.093,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ret_1d_cc_excess_pct,7,-5.85,-5.14,-12.3,0.61,1.0,0.14,0.31,0.125,0.304,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ret_1d_cc_excess_pct,2,-7.73,-7.73,-8.36,-7.09,0.0,0.0,0.31,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ret_1d_cc_raw_pct,3,2.73,-0.5,-8.7,17.4,1.0,0.33,0.44,1.0,0.593,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ret_1d_cc_raw_pct,4,7.68,9.0,-1.7,14.4,3.0,0.75,0.44,0.625,0.225,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ret_1d_cc_raw_pct,7,-5.57,-3.3,-13.4,1.0,3.0,0.43,0.44,1.0,0.635,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ret_1d_cc_raw_pct,2,-7.45,-7.45,-8.0,-6.9,0.0,0.0,0.44,0.5,0.316,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ret_1d_open_excess_pct,3,2.74,0.77,-0.26,7.72,2.0,0.67,0.69,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ret_1d_open_excess_pct,4,0.58,1.29,-4.29,4.01,3.0,0.75,0.69,0.625,0.63,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ret_1d_open_excess_pct,7,-0.73,0.82,-6.25,3.13,4.0,0.57,0.69,1.0,0.381,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,ret_1d_open_excess_pct,2,0.14,0.14,0.13,0.15,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,gap_excess_pct,3,-0.5,-0.82,-8.52,7.84,1.0,0.33,0.38,1.0,0.684,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,gap_excess_pct,4,6.42,8.63,-3.72,12.14,3.0,0.75,0.38,0.625,0.152,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,gap_excess_pct,7,-5.06,-3.36,-15.4,4.67,2.0,0.29,0.38,0.453,0.475,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,gap_excess_pct,2,-7.87,-7.87,-8.52,-7.22,0.0,0.0,0.38,0.5,0.391,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,intraday_excess_pct,3,2.98,0.78,-0.25,8.41,2.0,0.67,0.69,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,intraday_excess_pct,4,0.64,1.39,-4.66,4.43,3.0,0.75,0.69,0.625,0.63,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,intraday_excess_pct,7,-0.79,0.77,-6.4,3.1,4.0,0.57,0.69,1.0,0.381,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
ex_reopening,guide_dir_x_q4print,stable | non-Q4 print,intraday_excess_pct,2,0.14,0.14,0.13,0.16,2.0,1.0,0.69,0.5,0.473,1Q24 2Q25,,,
ex_reopening,guide_dir_x_q4print,accelerating | non-Q4 print,ev_ntm_rev_multiple_change_pct,3,2.45,-2.89,-9.46,19.7,1.0,0.33,0.31,1.0,0.675,2Q23 3Q24 2Q26,,,
ex_reopening,guide_dir_x_q4print,decelerating | Q4 print,ev_ntm_rev_multiple_change_pct,4,8.85,8.31,-1.6,20.38,2.0,0.5,0.31,1.0,0.37,4Q22 4Q23 4Q24 4Q25,,,
ex_reopening,guide_dir_x_q4print,decelerating | non-Q4 print,ev_ntm_rev_multiple_change_pct,7,-5.07,-2.49,-14.45,0.63,2.0,0.29,0.31,0.453,0.619,3Q22 1Q23 3Q23 2Q24 1Q25 3Q25 1Q26,,,
