market_key,cdn_path_v1,dump_date,ymi,n_reviews_v1,n_listings_v1,n_reviews_mature12_v1,n_reviews_mature24_v1,n_new_listing_cohort_v1,ym_v1,cdn_path_v2,n_reviews_v2,n_listings_v2,n_reviews_mature12_v2,n_reviews_mature24_v2,n_new_listing_cohort_v2,ym_v2,_merge
japan_kanto_tokyo,,2025-08-30,24204,,,,,,,japan/kanto/tokyo,1460,453,496,153,29,2017-01,right_only
japan_kanto_tokyo,,2025-08-30,24205,,,,,,,japan/kanto/tokyo,1460,435,492,139,21,2017-02,right_only
japan_kanto_tokyo,,2025-08-30,24206,,,,,,,japan/kanto/tokyo,1611,482,605,170,32,2017-03,right_only
japan_kanto_tokyo,,2025-08-30,24207,,,,,,,japan/kanto/tokyo,2252,575,966,252,37,2017-04,right_only
japan_kanto_tokyo,,2025-08-30,24208,,,,,,,japan/kanto/tokyo,1816,550,883,224,14,2017-05,right_only
japan_kanto_tokyo,,2025-08-30,24209,,,,,,,japan/kanto/tokyo,1552,491,710,166,15,2017-06,right_only
japan_kanto_tokyo,,2025-08-30,24210,,,,,,,japan/kanto/tokyo,1992,558,943,271,32,2017-07,right_only
japan_kanto_tokyo,,2025-08-30,24211,,,,,,,japan/kanto/tokyo,1994,604,960,287,38,2017-08,right_only
japan_kanto_tokyo,,2025-08-30,24212,,,,,,,japan/kanto/tokyo,1756,554,925,277,17,2017-09,right_only
japan_kanto_tokyo,,2025-08-30,24213,,,,,,,japan/kanto/tokyo,2195,628,1196,350,29,2017-10,right_only
japan_kanto_tokyo,,2025-08-30,24214,,,,,,,japan/kanto/tokyo,2044,636,1184,322,37,2017-11,right_only
japan_kanto_tokyo,,2025-08-30,24215,,,,,,,japan/kanto/tokyo,2002,653,1236,378,39,2017-12,right_only
japan_kanto_tokyo,,2025-08-30,24216,,,,,,,japan/kanto/tokyo,2099,723,1292,423,41,2018-01,right_only
japan_kanto_tokyo,,2025-08-30,24217,,,,,,,japan/kanto/tokyo,2038,669,1272,446,13,2018-02,right_only
japan_kanto_tokyo,,2025-08-30,24218,,,,,,,japan/kanto/tokyo,2318,747,1469,557,53,2018-03,right_only
japan_kanto_tokyo,,2025-08-30,24219,,,,,,,japan/kanto/tokyo,2956,872,1883,856,65,2018-04,right_only
japan_kanto_tokyo,,2025-08-30,24220,,,,,,,japan/kanto/tokyo,2849,882,1780,863,47,2018-05,right_only
japan_kanto_tokyo,,2025-08-30,24221,,,,,,,japan/kanto/tokyo,2267,889,1404,669,74,2018-06,right_only
japan_kanto_tokyo,,2025-08-30,24222,,,,,,,japan/kanto/tokyo,2586,763,1412,764,94,2018-07,right_only
japan_kanto_tokyo,,2025-08-30,24223,,,,,,,japan/kanto/tokyo,2945,904,1651,881,95,2018-08,right_only
japan_kanto_tokyo,,2025-08-30,24224,,,,,,,japan/kanto/tokyo,3268,1020,1715,940,101,2018-09,right_only
japan_kanto_tokyo,,2025-08-30,24225,,,,,,,japan/kanto/tokyo,3818,1134,2030,1130,93,2018-10,right_only
japan_kanto_tokyo,,2025-08-30,24226,,,,,,,japan/kanto/tokyo,4149,1273,2102,1195,107,2018-11,right_only
japan_kanto_tokyo,,2025-08-30,24227,,,,,,,japan/kanto/tokyo,4094,1333,1828,1061,140,2018-12,right_only
japan_kanto_tokyo,,2025-08-30,24228,,,,,,,japan/kanto/tokyo,4114,1398,1684,1016,107,2019-01,right_only
japan_kanto_tokyo,,2025-08-30,24229,,,,,,,japan/kanto/tokyo,3949,1360,1445,840,108,2019-02,right_only
