name,value,unit,source,is_judgement
adr_geo_mix_pp,-1.428426033774555,pp,"P1_card_v3_terms.csv (3Q26 measured, carried)",False
adr_party_pp,0.796671778749512,pp,P1_card_v3_terms.csv,False
adr_los_pp,0.0562640964166838,pp,P1_card_v3_terms.csv,False
adr_interaction_pp,-0.1,pp,P1_card_v3_terms.csv,False
adr_k_line_pp_1q_3q27,0.3745,pp,P1_card_v3_terms.csv 4Q26 K line (0.3745) carried while the y/y migrated share is still rising; 0 in 4Q27 (K: falls out of the y/y in 4Q27),True
adr_seats_2027_pp,-0.5650781766808444,pp,15_seats_dilution_quarterly.csv base 2027 (-0.565 vs -0.483 in 2026),False
adr_residual_rule_base,4.85 -> 4.35 (1Q27) -> 3.85 (2Q27+),pp,"judgement: the ~1pp bundle ADR contribution laps with the ex-NA RNPL anniversary (half 1Q27, full 2Q27); rest of the residual persists (v3 last_q)",True
adr_residual_rule_bear,linear 4.85 -> 2.40 over 1Q27-4Q27,pp,ADR v3 synthesis section 4 point 2: carry mean reversion as the downside,True
adr_residual_rule_bull,4.85 held,pp,v3 last_q persistence,True
adr_fx_eur_fit,"(-0.5687, 0.4512)","intercept, slope on EUR/USD y/y",B4_application_3q26_4q26.py (05_fx_fits ex21 n17),False
adr_fx_baskets,GBV-share x pass-through x destination-basket y/y,,B4_application_3q26_4q26.py DEST_BASKET / PASSTHROUGH / GBV_SHARE_2025,False
fx_spot_held_from,2026-09-04,date,B_fx_meta.json latest_fred_fx_observation,False
rev_fx_phi_scale,0.851,,"fx_lag_v2 Phi (0, 2/3, 1/3) x 0.851 (B4 adopted reading C)",False
rev_fx_2027_source,"fx_lag_v2/23b_fy27_annualisation_v2.csv, spec phi_scale_0.851, rows spot_held / usd_weak_+1sd / usd_strong_-1sd",pp by quarter,kernel output read directly (0.93/0.62/0.31/0.38 spot held); never added to revenue,False
fy28_nights_yoy_pct,7.0,%,"judgement: clean comp, LatAm/APAC decay continues (WS10 direction), no new lever; reverse DCF market-implied 8-9 for FY27",True
fy28_adr_reported_yoy_pct,2.0,%,judgement: residual at its 2023-25 mean 2.40 + carried mix -1.2 + seats -0.62 (15_seats 2028) + K 0 + FX 0 (spot held) ~ 0.6; rounded up to 2.0 for the 4Q27 exit 2.6,True
fy28_take_rate_change_pts,0.0,pts,judgement: take rate flat (management 'in line' language 2025-26),True
v2b_3q26_revenue_bear_musd,4755.0,$M,PREREG_ABNB-INT-v1.md INT-01 80% band low (B1 registered block),False
v2b_3q26_revenue_bull_musd,4878.0,$M,PREREG_ABNB-INT-v1.md INT-01 80% band high,False
