quarter,scenario,line,ws06,mine,diff,is_finding
1Q27,bull,gbv_yoy_pct,16.857,12.4314,-4.4256,True
1Q27,bull,revenue_musd,3119.9376,3113.2735,-6.6641,False
1Q27,bull,revenue_yoy_pct,16.5025,16.2537,-0.2488,False
2Q27,bull,nights_yoy_pct,8.82,7.916,-0.904,True
2Q27,bull,nights_mm,161.3801,160.0394,-1.3407,True
2Q27,bull,adr_yoy_exfx_pct,3.92,3.9833,0.0633,False
2Q27,bull,fx_pts_adr,1.881,-0.1791,-2.0601,True
2Q27,bull,adr_yoy_reported_pct,5.801,3.8041,-1.9969,True
2Q27,bull,adr_usd,194.3882,190.7194,-3.6688,True
2Q27,bull,gbv_yoy_pct,15.1326,12.0213,-3.1113,True
2Q27,bull,revenue_musd,4189.9054,4074.0486,-115.8568,True
2Q27,bull,revenue_yoy_pct,16.1282,12.9171,-3.2111,True
3Q27,bull,nights_yoy_pct,8.684,7.916,-0.768,True
3Q27,bull,nights_mm,161.174,160.0351,-1.1389,True
3Q27,bull,adr_yoy_exfx_pct,3.747,3.9833,0.2363,False
3Q27,bull,fx_pts_adr,1.521,0.0748,-1.4462,True
3Q27,bull,adr_yoy_reported_pct,5.268,4.0581,-1.2099,True
3Q27,bull,adr_usd,189.0407,186.8679,-2.1728,True
3Q27,bull,gbv_yoy_pct,14.4095,12.2953,-2.1142,True
3Q27,bull,revenue_musd,5559.9477,5388.4244,-171.5233,True
3Q27,bull,revenue_yoy_pct,15.7349,12.1645,-3.5704,True
4Q27,bull,nights_yoy_pct,8.571,7.916,-0.655,True
4Q27,bull,nights_mm,144.0741,143.2049,-0.8692,True
4Q27,bull,adr_yoy_exfx_pct,3.459,3.6088,0.1498,False
4Q27,bull,fx_pts_adr,-0.285,-0.2843,0.0006,False
4Q27,bull,adr_yoy_reported_pct,3.174,3.3244,0.1504,False
4Q27,bull,adr_usd,182.6088,182.875,0.2662,False
4Q27,bull,gbv_yoy_pct,12.017,11.5036,-0.5134,True
4Q27,bull,revenue_musd,3700.9529,3621.8321,-79.1208,True
4Q27,bull,revenue_yoy_pct,14.6538,12.2027,-2.4511,True
