,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,yoy_pct,n_days,n_days,n_days,n_days,n_days,n_days,n_days,n_days,n_days,n_days
1Q21,0.77287,0.18245650190133578,0.7901852792868052,1.2045333333333335,1.37979,0.0137172365768404,0.00942252587133544,0.000897178778628176,0.04910185648586321,112.36396166666667,17.649,-18.88,6.233,9.284,7.901,-0.579,2.612,7.068,-2.279,-4.579,60,60,60,60,60,60,60,60,60,60
2Q21,0.7700578125,0.1892574736278295,0.8142061152989019,1.2050421875,1.3981296875,0.01355438670700732,0.009138643239757726,0.0008918616555190675,0.04997428103532398,111.826015625,17.065,1.467,12.763,9.393,12.585,2.807,-1.75,8.719,16.389,-8.214,64,64,64,64,64,64,64,64,64,64
3Q21,0.7343828125,0.19126459522204287,0.7936923761284257,1.1784140625,1.3779171875,0.013496379744489815,0.009085159111065425,0.0008621335346273575,0.049928836678898816,113.304753125,2.655,2.814,5.715,0.735,6.595,0.335,-3.608,2.38,10.248,-3.445,64,64,64,64,64,64,64,64,64,64
4Q21,0.728911475409836,0.17896761406210207,0.7935963440374969,1.1436590163934426,1.3485770491803277,0.013345036899857726,0.008800088057834433,0.0008451305034453015,0.048213039504706005,114.96657213114754,-0.282,-3.452,3.394,-4.099,2.131,-1.539,-8.067,-5.557,-0.91,0.921,61,61,61,61,61,61,61,61,61,61
1Q22,0.7248629032258064,0.19192973663272442,0.7897118028319147,1.1216016129032258,1.3407032258064515,0.013292316475499596,0.008598041384368975,0.0008291698188233351,0.04877624313471456,115.4901935483871,-6.212,5.192,-0.06,-6.885,-2.833,-3.098,-8.75,-7.58,-0.663,2.782,62,62,62,62,62,62,62,62,62,62
2Q22,0.7143698412698413,0.20349922718623112,0.7835864205496368,1.0645777777777776,1.2564079365079366,0.012957608986298028,0.007714679370760694,0.0007936678580507165,0.04987825758751875,118.96356507936508,-7.232,7.525,-3.761,-11.656,-10.137,-4.403,-15.582,-11.01,-0.192,6.383,63,63,63,63,63,63,63,63,63,63
3Q22,0.6833046875,0.1907391035660605,0.7658880648311571,1.006565625,1.17665,0.012535561719700855,0.0072334487229141625,0.0007463880886480771,0.04943068355453593,123.5284203125,-6.955,-0.275,-3.503,-14.583,-14.607,-7.119,-20.382,-13.425,-0.998,9.023,64,64,64,64,64,64,64,64,64,64
4Q22,0.6574295081967213,0.19033965567822994,0.7365880544086933,1.0218049180327868,1.1753704918032786,0.012172878482123705,0.0070852827074136876,0.0007370411585795141,0.05081940328492499,124.81290819672132,-9.807,6.354,-7.184,-10.655,-12.844,-8.783,-19.486,-12.79,5.406,8.565,61,61,61,61,61,61,61,61,61,61
1Q23,0.6832677419354839,0.19254560367329773,0.739254335997772,1.0729709677419357,1.215341935483871,0.012166088124719277,0.00755325841060324,0.000784004647509417,0.05363287428061569,120.30960806451613,-5.738,0.321,-6.389,-4.336,-9.35,-8.473,-12.151,-5.447,9.957,4.173,62,62,62,62,62,62,62,62,62,62
2Q23,0.6680777777777778,0.20202591590272467,0.7446890285993771,1.0888285714285713,1.2519492063492064,0.012170212880334241,0.0072857165853980575,0.0007601946013434383,0.05655625581264214,119.39654761904762,-6.48,-0.724,-4.964,2.278,-0.355,-6.077,-5.56,-4.218,13.389,0.364,63,63,63,63,63,63,63,63,63,63
3Q23,0.6547634920634922,0.20492602228580506,0.7458002229455715,1.0884174603174603,1.2662555555555557,0.012094290369875,0.006922085147630141,0.0007617953011159086,0.05864633233549057,119.85063333333333,-4.177,7.438,-2.623,8.132,7.615,-3.52,-4.304,2.064,18.644,-2.977,63,63,63,63,63,63,63,63,63,63
4Q23,0.6513196721311475,0.20196201598281843,0.7346987336584855,1.0761147540983607,1.2419147540983606,0.01201275856761003,0.006769663125062707,0.0007567820936379224,0.057027645969506977,121.54992295081966,-0.929,6.106,-0.256,5.315,5.662,-1.315,-4.455,2.678,12.216,-2.614,61,61,61,61,61,61,61,61,61,61
1Q24,0.6572935483870969,0.20191557903316218,0.7415367456349268,1.085501612903226,1.2682048387096774,0.012044104404919842,0.006732913774870809,0.0007521460344681079,0.058887594760161796,120.6440129032258,-3.801,4.866,0.309,1.168,4.35,-1.003,-10.861,-4.064,9.798,0.278,62,62,62,62,62,62,62,62,62,62
2Q24,0.6589142857142858,0.19208396630348393,0.7309716178181276,1.076588888888889,1.2618349206349206,0.01198862817447732,0.006420786672962672,0.0007299118179765894,0.058156768955142164,122.51596031746033,-1.372,-4.921,-1.842,-1.124,0.79,-1.492,-11.872,-3.984,2.83,2.613,63,63,63,63,63,63,63,63,63,63
3Q24,0.6698015625,0.18039932749014656,0.7331155483985334,1.098678125,1.300478125,0.011939744588573477,0.006719865108572533,0.0007379808570051972,0.052915042370484694,122.650203125,2.297,-11.969,-1.701,0.943,2.703,-1.278,-2.921,-3.126,-9.773,2.336,64,64,64,64,64,64,64,64,64,64
4Q24,0.6523290322580645,0.17147679836116514,0.715050503081914,1.0667790322580644,1.2815693548387097,0.011844209871304646,0.006564786435923789,0.0007154578671055626,0.04978677191304421,125.77585806451613,0.155,-15.095,-2.674,-0.868,3.193,-1.403,-3.026,-5.461,-12.697,3.477,62,62,62,62,62,62,62,62,62,62
1Q25,0.6276606557377049,0.17112958336197673,0.6969208666662495,1.0531098360655737,1.2604918032786885,0.011547553805157222,0.006565142704901406,0.0006887484555772965,0.04900361574784505,127.64460163934426,-4.508,-15.247,-6.017,-2.984,-0.608,-4.123,-2.492,-8.429,-16.784,5.803,61,61,61,61,61,61,61,61,61,61
2Q25,0.6407920634920635,0.17641228169749962,0.7224543815536656,1.1341571428571429,1.3353015873015872,0.011687890344500825,0.0069219180404329235,0.0007148236526965032,0.05125892922295003,122.41503492063492,-2.75,-8.159,-1.165,5.347,5.822,-2.509,7.805,-2.067,-11.861,-0.082,63,63,63,63,63,63,63,63,63,63
3Q25,0.654265625,0.1835815303772725,0.7260903474054974,1.16854375,1.348371875,0.011451531042827198,0.006779637489054718,0.0007210491783890903,0.05369300264004977,120.237221875,-2.319,1.764,-0.958,6.359,3.683,-4.089,0.889,-2.294,1.47,-1.967,64,64,64,64,64,64,64,64,64,64
4Q25,0.6567725806451613,0.18532910082912718,0.7174653233738536,1.1641451612903226,1.3304354838709676,0.011224481607279927,0.0064921883823325,0.0006904142060539023,0.05465867226602326,120.74873548387096,0.681,8.078,0.338,9.127,3.813,-5.232,-1.106,-3.5,9.786,-3.997,62,62,62,62,62,62,62,62,62,62
1Q26,0.695639344262295,0.19038850147246922,0.7292153261766713,1.1701491803278687,1.3478180327868852,0.010925611186356482,0.006374553721907155,0.000682509677481058,0.05696380329451181,119.06635081967214,10.83,11.254,4.634,11.114,6.928,-5.386,-2.903,-0.906,16.244,-6.72,61,61,61,61,61,61,61,61,61,61
2Q26,0.7100507936507936,0.19818350742567012,0.7228921208748926,1.1631809523809524,1.3429349206349206,0.01056933784621479,0.006275493225357658,0.0006666495770453866,0.057530327345593775,119.30373174603176,10.808,12.341,0.061,2.559,0.572,-9.57,-9.339,-6.739,12.235,-2.542,63,63,63,63,63,63,63,63,63,63
3Q26,0.7048297872340427,0.1949211397200926,0.7147614349512098,1.1514723404255318,1.346823404255319,0.010463108585144987,0.006236758105890354,0.000696255104058234,0.0580302059765109,119.62547659574467,7.728,6.177,-1.56,-1.461,-0.115,-8.631,-8.007,-3.439,8.078,-0.509,47,47,47,47,47,47,47,47,47,47
