feature,target,window,wf_from,knowable_before_print,n,pearson_r,pearson_p,spearman,perm_p,loo_rmse,loo_mean_rmse,wf_n,wf_first,wf_last,wf_rmse,wf_rmse_naive,wf_rmse_prior_year,wf_rmse_ar1,wf_ratio_vs_naive,wf_ratio_vs_ar1,wf_ratio_vs_prior_year,wf_sign_acc,wf_sign_n,prediction_2026Q3,version
ntto_total_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),15,0.8900243910205001,8.817758014723498e-06,0.5821428571428571,0.0,1.8906469767679965,3.8818781379058027,11,2023Q4,2026Q2,2.255869478677219,2.1092550817765026,4.2740637783985145,3.1173732676332793,1.0695100361105834,0.7236443264908995,0.5278043556763418,0.6363636363636364,11,,original
ntto_total_qtd1m,nights_m_yoy_pct,2022Q1..2026Q2,2023Q1,yes (Sep prelim mid-Oct 2026),12,0.9062337990827976,4.868265457885492e-05,0.23076923076923078,0.018,1.8152559495543092,3.570938617726472,8,2024Q3,2026Q2,1.7303366649929466,2.2250182583520526,2.404241408428031,2.476728749902284,0.7776730184113234,0.6986379372635032,0.7197017150304784,0.5,8,,calendar_aligned
ntto_overseas_full,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),14,0.7363753777579781,0.0026703680139909046,0.5208791208791209,0.004,2.7109986738067744,3.026527590232389,10,2024Q1,2026Q2,1.7232949910495188,2.1591433023308118,3.668825534145771,2.274257911327153,0.7981383121672418,0.7577394729359797,0.46971298444442416,0.6,10,,original
ntto_overseas_full,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),11,0.32657300884487295,0.32699175285755566,0.10000000000000002,0.333,1.726101373834172,1.6364499870145746,7,2024Q4,2026Q2,2.065910131192273,2.377357506620684,1.7171161039037854,1.8558025261745896,0.8689943037338459,1.1132165745300409,1.2031278062651212,0.42857142857142855,7,,calendar_aligned
ntto_overseas_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),14,0.7940547204894824,0.0006953690375891927,0.432967032967033,0.0,2.2786176544454073,3.026527590232389,10,2024Q1,2026Q2,1.6040842218124325,2.1591433023308118,3.668825534145771,2.274257911327153,0.7429262430524233,0.705322036618249,0.43722008770469334,0.6,10,9.17284962327044,original
ntto_overseas_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),11,0.10912905144382233,0.7494234383224446,-0.10000000000000002,0.752,1.7983985029433855,1.6364499870145746,7,2024Q4,2026Q2,2.1274972380081136,2.377357506620684,1.7171161039037854,1.8558025261745896,0.8949000022433578,1.1464028138778186,1.238994400653133,0.42857142857142855,7,9.31222253319275,calendar_aligned
ntto_weurope_full,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),14,0.7533443984881929,0.001865184000512691,0.5208791208791209,0.018,2.6417792791611623,3.026527590232389,10,2024Q1,2026Q2,1.8342515578336447,2.1591433023308118,3.668825534145771,2.274257911327153,0.8495274750191689,0.8065275045094861,0.499956059715094,0.7,10,,original
ntto_weurope_full,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),11,0.19879203380712912,0.5578855436284387,0.10000000000000002,0.56,1.7545099029419604,1.6364499870145746,7,2024Q4,2026Q2,2.052042690731545,2.377357506620684,1.7171161039037854,1.8558025261745896,0.8631611716020109,1.1057440981942566,1.1950517999722436,0.5714285714285714,7,,calendar_aligned
ntto_weurope_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),14,0.7506461212357117,0.001978312732914107,0.3934065934065934,0.002,2.4930658114403452,3.026527590232389,10,2024Q1,2026Q2,1.6857418007485239,2.1591433023308118,3.668825534145771,2.274257911327153,0.7807456776624102,0.74122718991216,0.4594772318986879,0.7,10,9.404084251518066,original
ntto_weurope_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),11,-0.08101596442251768,0.8128151495116772,-0.18181818181818182,0.807,1.7547715977502107,1.6364499870145746,7,2024Q4,2026Q2,1.9764722460712172,2.377357506620684,1.7171161039037854,1.8558025261745896,0.8313735904536678,1.0650229311549473,1.1510417039231053,0.7142857142857143,7,9.653107401645688,calendar_aligned
ntto_total_full,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),14,0.7834482286932694,0.0009169021797906594,0.6395604395604396,0.0,2.44020018527907,3.026527590232389,10,2024Q1,2026Q2,1.5542972006388216,2.1591433023308118,3.668825534145771,2.274257911327153,0.719867550690566,0.68343049084165,0.42364979914497775,0.7,10,,original
ntto_total_full,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),11,0.4723167917965003,0.14239320144909004,0.33636363636363636,0.142,1.5834002214767509,1.6364499870145746,7,2024Q4,2026Q2,2.0706876555873936,2.377357506620684,1.7171161039037854,1.8558025261745896,0.8710038981603533,1.1157909456324278,1.2059101017571143,0.42857142857142855,7,,calendar_aligned
ntto_total_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),14,0.795567552930028,0.0006676255463651352,0.48571428571428577,0.0,2.2674594460110895,3.026527590232389,10,2024Q1,2026Q2,1.5629166993343118,2.1591433023308118,3.668825534145771,2.274257911327153,0.7238596426865836,0.6872205177566098,0.42599918823837246,0.6,10,,original
ntto_total_qtd1m,nights_m_yoy_pct,2023Q1..2026Q2,2024Q1,yes (Sep prelim mid-Oct 2026),11,0.26743235402946186,0.4265983933678624,0.0,0.43,1.7581910968441021,1.6364499870145746,7,2024Q4,2026Q2,2.293181077301254,2.377357506620684,1.7171161039037854,1.8558025261745896,0.9645924396793466,1.235681622887023,1.3354839967360455,0.2857142857142857,7,,calendar_aligned
